醫事機構代碼,合約醫院名稱,所在縣市,郵遞區號,合約醫院地址,緯度,經度,看診科別,合約醫院電話,合約醫院網站,開辦日期,M痘疫苗接種
401180014,國立臺灣大學醫學院附設醫院,臺北市,100229,臺北市中正區常德街1號,25.0416163,121.5171944,家庭醫學科第10診（旅遊醫學特別門診）,(02)23123456,http://www.ntuh.gov.tw/ntuh_chinese.aspx,2008/1/1,1
3432060513,聯新國際醫院桃園國際機場醫療中心,桃園市,337041,桃園市大園區航站南路15號B1（第一航廈）,25.0811077,121.2368287,旅遊醫學門診,(03)3983456,http://www.landseedhospital.com/airport-clinic,2008/1/1,0
412040012,國立臺灣大學醫學院附設醫院新竹分院,新竹市,300195,新竹市北區經國路一段442巷25號,24.816467,120.9795262,家庭醫學科,(03)5326151,http://www.hch.gov.tw/,2009/1/1,0
501110514,國防醫學院三軍總醫院內湖院區,臺北市,114202,臺北巿內湖區成功路二段325號,25.0717589,121.592611,旅遊醫學門診,(02)87923311,http://www.tsgh.ndmctsgh.edu.tw/,2011/4/12,0
1131010011,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,新北市,220216,新北市板橋區南雅南路二段21號,24.9972647,121.4527715,家庭醫學科,(02)89667000,http://www.femh.org.tw/,2014/3/14,1
1134020028,財團法人天主教靈醫會羅東聖母醫院,宜蘭縣,265502,宜蘭縣羅東鎮中正南路160號,24.6718382,121.7715737,家庭醫學科,(03)9544106,http://www.smh.org.tw/,2014/3/14,0
933050018,東元綜合醫院,新竹縣,302048,新竹縣竹北市縣政二路69號,24.8237011,121.0144284,感染科,(03)5527000,http://w3.tyh.com.tw/,2014/3/14,0
135010016,衛生福利部苗栗醫院,苗栗縣,360014,苗栗縣苗栗市為公路747號,24.5755097,120.8410317,職業醫學科,(037)261920,http://www.mil.mohw.gov.tw/,2014/3/14,0
190030516,衛生福利部金門醫院,金門縣,891002,金門縣金湖鎮復興路2號,24.4406948,118.4180251,家庭醫學科,(082)332546,http://www.kmhp.mohw.gov.tw/,2014/12/15,0
291010010,福建省連江縣立醫院,連江縣,209002,連江縣南竿鄉復興村217號,26.1609852,119.9488321,體檢門診,(0836)23995,http://www.matsuh.gov.tw/,2014/12/15,0
1131050515,佛教慈濟醫療財團法人台北慈濟醫院,新北市,231016,新北市新店區建國路289號,24.9860362,121.535297,家庭醫學科,(02)66289779,http://taipei.tzuchi.com.tw/,2017/3/1,1
132010014,衛生福利部桃園醫院,桃園市,330215,桃園市桃園區中山路1492號,24.977703,121.269191,旅遊醫學科,(03)3699721,http://www.tygh.mohw.gov.tw/,2017/10/1,1
1301200010,臺北市立萬芳醫院-委託臺北醫學大學辦理,臺北市,116079,臺北市文山區興隆路三段111號,24.99969,121.557585,家庭醫學科,(02)29307930,http://www.wanfang.gov.tw/,2018/4/2,0
1301170017,臺北醫學大學附設醫院,臺北市,110301,臺北市信義區吳興街252號,25.0274437,121.5631729,家庭醫學科,(02)27372181,https://www.tmuh.org.tw/,2019/7/1,0
1102110011,高雄市立小港醫院,高雄市,812015,高雄市小港區山明路482號,22.5674103,120.3633173,家庭醫學科,(07)8036783,http://www.kmhk.kmu.edu.tw/,2006/10/20,0
421040011,國立成功大學醫學院附設醫院,臺南市,704302,臺南市北區勝利路138號,23.0021803,120.2189867,家庭醫學科,(06)2353535,http://www.hosp.ncku.edu.tw/,2007/12/1,1
102020011,高雄市立聯合醫院,高雄市,804051,高雄市鼓山區中華一路976號,22.654927,120.291194,小兒科,(07)5552565,http://www.kmuh.gov.tw/,2008/1/1,1
439010518,國立臺灣大學醫學院附設醫院雲林分院,雲林縣,640203,雲林縣斗六市雲林路二段579號,23.6975466,120.5259195,社區及家庭醫學部,(05)5323911,http://www.ylh.ntuh.gov.tw/,2014/3/14,0
1122010021,天主教聖馬爾定醫院,嘉義市,600044,嘉義市東區大雅路二段565號,23.4773947,120.4680192,健康管理中心,(05)2756000,http://www.stm.org.tw/,2014/3/14,0
1140010510,長庚醫療財團法人嘉義長庚紀念醫院,嘉義縣,613016,嘉義縣朴子市嘉朴路西段6號,23.4623035,120.2859553,旅遊醫學門診,(05)3621000,https://www.cgmh.org.tw/,2014/3/14,0
1143010012,屏基醫療財團法人屏東基督教醫院,屏東縣,900026,屏東縣屏東市大連路60號,22.682129,120.502622,旅遊醫學門診,(08)7368686,https://www.ptch.org.tw/,2014/3/14,0
544010031,國防醫學院三軍總醫院澎湖分院,澎湖縣,880026,澎湖縣馬公市前寮里90號,23.5552607,119.5833391,旅遊醫學門診,(06)9211116,http://afph.tsgh.ndmctsgh.edu.tw/,2014/12/15,0
