型態,縣市代碼,設置單位,地址,連絡電話,聯絡人,更新年度
匿篩醫院,10008,台中榮民總醫院埔里分院,南投縣埔里鎮榮光路1號,049-2990833#3215,張婉怡,2020
匿篩醫院,10009,國立臺灣大學醫學院附設醫院雲林分院,"斗六院區：雲林縣斗六市雲林路二段579號
虎尾院區：雲林縣虎尾鎮廉使里19鄰學府路95號","05-537-3427(斗六院區)
05-633-0912(虎尾院區)","陳怡君
李美玲",2020
匿篩醫院,10009,天主教若瑟醫療財團法人若瑟醫院,雲林縣虎尾鎮新生路74號,05-7001797、0940252329,林維貞,2020
匿篩醫院,10020,戴德森醫療財團法人嘉義基督教醫院,嘉義市忠孝路539號,"05-276-5041#2733
0905-203695
0972-951768",金子涵,2020
匿篩醫院,10020,臺中榮民總醫院嘉義分院,嘉義市西區世賢路二段600號,"05-235-9630#2505
0966607701",陳如惠,2020
匿篩醫院,10010,衛生福利部朴子醫院,嘉義縣朴子市永和里42-50號,"05-379-0600#297
05-379-0600#500
05-370-1875",何蕙妏,2020
匿篩醫院,10010,佛教慈濟醫療財團法人大林慈濟醫院,嘉義縣大林鎮民生路2號,05-2648000#5907,陳雅嵐,2020
匿篩醫院,10010,長庚醫療財團法人嘉義長庚紀念醫院,嘉義縣朴子市嘉朴路西段6號,05-3621000#3803,侯晴芸,2020
匿篩醫院,10021,國立成功大學醫學院附設醫院,台南市勝利路138號,06-235-3535#4100,毛琳文,2020
匿篩醫院,10021,奇美醫療財團法人奇美醫院,"永康奇美:台南市永康區中華路901號
樹林院區:台南市南區樹林街二段442號","06-281-2811
#53689",辛祈諠,2020
匿篩醫院,10021,衛生福利部臺南醫院,台南市中西區中山路125號,06-220-0055#3128,宋麗娟,2020
匿篩醫院,64000,高雄榮民總醫院,高雄市左營區大中一路386號(醫療大樓10樓感染症篩檢諮詢中心),"07-346-8299
",陳怡靈,2020
匿篩醫院,64000,義大醫療財團法人義大醫院,高雄市燕巢區義大路一號,0972-745551,吳宏欣,2020
匿篩醫院,64000,財團法人私立高雄醫學大學附設中和紀念醫院,高雄市三民區自由一路100號,"07-321-4227
0965-076-209",陳仰秀,2020
匿篩醫院,64000,高雄市立小港醫院,高雄市小港區山明路482號,"0981-916-101
07-8036783#3275",蕭伊珊,2020
匿篩醫院,64000,高雄市立大同醫院,801高雄市前金區中華三路68號,07-2911101#8071,詹棋絜,2020
匿篩醫院,64000,高雄市立民生醫院,高雄市苓雅區凱旋二路134號,07-7511131#4090   0972815069,巴韋茜,2020
匿篩醫院,64000,阮綜合醫療社團法人阮綜合醫院,高雄市苓雅區成功一路162號,"0912-591387
07-3351121#2329",邵明瑾,2020
匿篩醫院,64000,鳳山李嘉文泌尿科診所,高雄市鳳山區新富路266號,07-7659229,林淑溶,2020
匿篩醫院,64000,杏生婦產科診所,高雄市楠梓區德民路290號,0986801538,高嘉伶,2020
匿篩醫院,64000,小港高美泌尿科診所,高雄市小港區漢民路121號,07-8064899,張美玉,2020
匿篩醫院,10016,衛生福利部澎湖醫院,澎湖縣馬公市中正路10號,06-9261151#50306,林恒梅,2020
匿篩醫院,10013,屏基醫療財團法人屏東基督教醫院,屏東縣屏東市大連路60號,08-738-5909,高至瀅,2020
匿篩醫院,10013,安泰醫療社團法人安泰醫院,屏東縣東港鎮中正路一段210號,08-8329966#3055,王雅虹,2020
匿篩醫院,10013,衛生福利部屏東醫院,屏東縣屏東市自由路270號,08-736-3011#2283、2708,陳安琪,2020
匿篩醫院,10015,衛生福利部花蓮醫院,花蓮縣花蓮市中正路600號,03-8358141#6125、1215,王美婷,2020
匿篩醫院,10015,佛教慈濟醫療財團法人佛教花蓮慈濟醫院,花蓮縣花蓮市中央路三段707號,03-846-3989,吳藝文,2020
匿篩醫院,10015,台灣基督教門諾會醫療財團法人門諾醫院,花蓮縣花蓮市民權路44號,03-824-1455,林葦萍,2020
匿篩醫院,10014,衛生福利部臺東醫院,台東縣台東市五權街1號,089-324-112#1336,蘇美瑜,2020
衛生局(所),65000,新北市三重區衛生所,新北市三重區新北大道1號,02-29825233分機150,黃妙如,2020
衛生局(所),65000,新北市板橋區衛生所,新北市板橋區英士路192號,02-22586606分機307,薛雅青,2020
衛生局(所),65000,新北市中和區衛生所,新北市中和區南山路4巷3號,02-22491936分機316,李婉綺,2020
衛生局(所),65000,新北市永和區衛生所,新北市永和區秀朗路1段137號,02-32332780分機213,王靖雯,2020
衛生局(所),65000,新北市新莊區衛生所,新北市新莊區中華路1段2號,02-29967123分機308,游淑貞,2020
衛生局(所),65000,新北市新店區衛生所,新北市新店區北新路1段88巷11號,02-29113984分機352,王素卿,2020
衛生局(所),65000,新北市土城區衛生所,新北市土城區和平路26號,02-22603181分機335,鄭綺嫻,2020
衛生局(所),65000,新北市蘆洲區衛生所,新北市蘆洲區中央路58號,02-22812011分機212,陳慧蓮,2020
衛生局(所),65000,新北市樹林區衛生所,新北市樹林區樹新路40-7號1.2樓,02-26812134分機23,鄭玉清,2020
衛生局(所),65000,新北市鶯歌區衛生所,新北市鶯歌區文化路389號,02-26702304分機34,谷佳錡,2020
衛生局(所),65000,新北市三峽區衛生所,新北市三峽區光明路71號3樓,02-26711592分機233,鐘雅雯,2020
衛生局(所),65000,新北市淡水區衛生所,新北市淡水區中山路158號,02-26215620分機326,陳淑榆,2020
衛生局(所),65000,新北市汐止區衛生所,新北市汐止區新台五路1段266號,02-26412030分機203,呂佩榕,2020
衛生局(所),65000,新北市瑞芳區衛生所,新北市瑞芳區明燈路3段1號,02-24978798分機24,張妍儀,2020
衛生局(所),65000,新北市五股區衛生所,新北市五股區新城三路11號,02-22917717分機26,葉麗萍,2020
衛生局(所),65000,新北市泰山區衛生所,新北市泰山區全興路212號3樓,02-29099921分機204,黃欣佳,2020
衛生局(所),65000,新北市林口區衛生所,新北市林口區忠孝二路55號,02-26068760分機133,曾麗娟,2020
衛生局(所),65000,新北市深坑區衛生所,新北市深坑區深坑街165號,02-26621567分機304,林怡秀,2020
衛生局(所),65000,新北市石碇區衛生所,新北市石碇區碇坪路1段82號,02-26631325分機31,陳秉君,2020
衛生局(所),65000,新北市坪林區衛生所,新北市坪林區坪林街104號,02-26656272分機213,劉明芳,2020
衛生局(所),65000,新北市三芝區衛生所,新北市三芝區中山路1段12號,02-26362007分機103,邱敏華,2020
衛生局(所),65000,新北市石門區衛生所,新北市石門區中山路28之1號,02-26381007分機311,黃淑雯,2020
衛生局(所),65000,新北市八里區衛生所,新北市八里區舊城路16號,02-26102137分機29,賴美珍,2020
衛生局(所),65000,新北市平溪區衛生所,新北市平溪區公園街17號,02-24951015,蔡宛諭,2020
衛生局(所),65000,新北市雙溪區衛生所,新北市雙溪區新基南街18號,02-24931210,錢薏蕾,2020
衛生局(所),65000,新北市貢寮區衛生所,新北市貢寮區仁愛路128號,02-24901431,田游榮,2020
衛生局(所),65000,新北市金山區衛生所,新北市金山區民生路59號,02-24982778#29,羅淑鈴,2020
衛生局(所),65000,新北市萬里區衛生所,新北市萬里區瑪鋉路157號,02-24921117分機113,李慧敏,2020
衛生局(所),65000,新北市烏來區衛生所,新北市烏來區新烏路5段109號,02-26617200分機31,葉曉穎,2020
衛生局(所),10017,基隆市衛生局,基隆市信二路266號3樓,02-24281528,王慈萍,2020
衛生局(所),10017,中正區衛生所,基隆市中正區中正路236號,02-24621632,鄭佳陽,2020
衛生局(所),10017,七堵區衛生所,基隆市七堵區光明路21-1號,02-24572630,盧秀華,2020
衛生局(所),10017,暖暖區衛生所,基隆市暖暖區暖暖街281巷98號,02-24311592,劉勇松,2020
衛生局(所),10017,仁愛區衛生所,基隆市仁愛區光一路26號,02-24562008,張巧佩,2020
衛生局(所),10017,中山區衛生所,基隆市中山區中山二路15號,02-24229860,李言祐,2020
衛生局(所),10017,安樂區衛生所,基隆市安樂區安樂路二段164號1樓前棟,02-24315061,陳旭宏,2020
衛生局(所),10017,信義區衛生所,基隆市信義區信一路69號,02-24221633,林誼潔,2020
衛生局(所),10002,宜蘭市衛生所,宜蘭縣宜蘭市復興路一段3號,(03)9322362#15,游瑜菁,2020
衛生局(所),10002,羅東鎮衛生所,宜蘭縣羅東鎮民生路79號,(03)9542321,林明慧,2020
衛生局(所),10002,蘇澳鎮衛生所,宜蘭縣蘇澳鎮志成路六十號,(03)9962185,薛佳鳳,2020
衛生局(所),10002,頭城鎮衛生所,宜蘭縣頭城鎮新建里吉祥路15號,(03)9771034#105,張禎倪,2020
衛生局(所),10002,礁溪鄉衛生所,宜蘭縣礁溪鄉礁溪路四段126號B1  ,(03)9882908,羅美惠,2020
衛生局(所),10002,壯圍鄉衛生所,宜蘭縣壯圍鄉吉祥村中央路二段290號,(03)9385503#15,劉鴻斌,2020
衛生局(所),10002,員山鄉衛生所,宜蘭縣員山鄉復興路2號,(03)9226147#12,陳漪茜,2020
衛生局(所),10002,冬山鄉衛生所,宜蘭縣冬山鄉冬山村中正路16號,(03)9591140,張子寧,2020
衛生局(所),10002,五結鄉衛生所,宜蘭縣五結鄉五結村五結路二段337號,(03)9600040,邱炳煌,2020
衛生局(所),10002,三星鄉衛生所,宜蘭縣三星鄉三星路五段70號,(03)9893541,邱士娟,2020
衛生局(所),10002,大同鄉衛生所,宜蘭縣大同鄉崙埤村朝陽40號,(03)9801175,李文英,2020
衛生局(所),10002,南澳鄉衛生所,宜蘭縣南澳鄉蘇花路二段375號,(03)9981019,邱仲平,2020
衛生局(所),10002,宜蘭縣政府衛生局,宜蘭縣宜蘭市女中路二段287號,(03)9356519,蔡美英,2020
衛生局(所),09020,金門縣衛生局,金門縣金湖鎮復興路1-12號,082-330751,李俊祥,2020
衛生局(所),09007,連江縣衛生福利局,連江縣南竿鄉復興村216號,0836-22095轉8852,劉京鑫,2020
衛生局(所),68000,桃園區衛生所,桃園市桃園區國豐三街123號,03-3791888#52,姜建州,2020
衛生局(所),68000,中壢區衛生所,桃園市中壢區溪州街269號,03-4352666#45,周珈琳,2020
衛生局(所),68000,平鎮區衛生所,桃園市平鎮區振興路1號,03-4576624#101,楊淑慧,2020
衛生局(所),68000,八德區衛生所,桃園市八德區介壽路2段361巷26號,03-3662781#309,張雅淨,2020
衛生局(所),68000,楊梅區衛生所,桃園市楊梅區校前路409號,03-4782248#103,鍾武翰,2020
衛生局(所),68000,大溪區衛生所,桃園市大溪區仁愛路1號,03-3882401#303,許筠宜,2020
衛生局(所),68000,蘆竹區衛生所,桃園市蘆竹區長安路2段238號,03-3524732#205或216,詹勳翰,2020
衛生局(所),68000,大園區衛生所,桃園市大園區中正西路19號,03-3862024#25,黃瓊慧,2020
衛生局(所),68000,龜山區衛生所,桃園市龜山區自強南路103號,03-3299645#104,劉金鳳,2020
衛生局(所),68000,龍潭區衛生所,桃園市龍潭區大昌路一段277號2樓,03-4792033#207,王筑均,2020
衛生局(所),68000,新屋區衛生所,桃園市新屋區中山路239號,03-4772018#17,張素英,2020
衛生局(所),68000,觀音區衛生所,桃園市觀音區觀新路58號,03-4732031#111,魏薏玲,2020
衛生局(所),68000,復興區衛生所,桃園市復興區中正路25號,03-3822325#307,彭秀蓮,2020
衛生局(所),10018,新竹市北區衛生所,新竹市國華街69號1樓,03-5353969#105,彭立晴,2020
衛生局(所),10004,新竹縣政府衛生局,新竹縣竹北市光明七街1號,03-6575234,魏小姐,2020
衛生局(所),10018,新竹市東區衛生所,新竹市民族路40之2號,03-5236158#23,謝明芳,2020
衛生局(所),10018,新竹市香山區衛生所,新竹市香山區育德街188號一樓,03-5388109#211,林秀香,2020
衛生局(所),10004,新竹縣五峰鄉衛生所,五峰鄉大隘村6鄰99號,03-5851005-227,張小姐,2020
衛生局(所),10004,新竹縣北埔鄉衛生所,北埔鄉北埔街90號,03-5802304,劉小姐,2020
衛生局(所),10004,新竹縣尖石鄉衛生所,尖石鄉嘉樂村2鄰61號,03-5841011,范先生,2020
衛生局(所),10004,新竹縣竹東鎮衛生所,竹東鎮中正路221號,03-5943566,陳小姐,2020
衛生局(所),10004,新竹縣芎林鄉衛生所,芎林鄉文山路532號,03-5924787,彭小姐,2020
衛生局(所),10004,新竹縣湖口鄉衛生所,湖口鄉中興街36號,03-5992654,徐小姐,2020
衛生局(所),10004,新竹縣新埔鎮衛生所,新埔鎮中正路758號,03-5882017,戴小姐,2020
衛生局(所),10004,新竹縣新豐鄉衛生所,新豐鄉重興村11鄰萃豐路21號,03-5591150,鍾先生,2020
衛生局(所),10004,新竹縣橫山鄉衛生所,橫山鄉大肚村新興街141巷10號,03-5932004,邱小姐,2020
衛生局(所),10004,新竹縣寶山鄉衛生所,寶山鄉雙溪村雙園路二段273號,"03-5203054
03-5292106
03-5207694",張先生,2020
衛生局(所),10004,新竹縣關西鎮衛生所,關西鎮中山路207號,03-5872454,葉先生,2020
衛生局(所),10004,新竹縣竹北市衛生所,竹北市光明二街89號,"03-5533381-35
03-5533384-35",黃小姐,2020
衛生局(所),10004,新竹縣峨眉鄉衛生所,峨眉鄉峨眉村二鄰5號,03-5800314,葉先生,2020
衛生局(所),10005,苗栗縣政府衛生局,苗栗縣後龍鎮大庄里光華路373號,037-722630,劉玉婷,2020
衛生局(所),10005,苗栗縣苗栗市衛生所,苗栗市上苗里建名街28號,037-277129,李秋華,2020
衛生局(所),10005,苗栗縣苑裡鎮衛生所,苑裡鎮客庄里公民街16號,037-869595,吳坤慧,2020
衛生局(所),10005,苗栗縣通霄鎮衛生所,苗栗縣通霄鎮中正路9-6號,037-752048,邱瑞美,2020
衛生局(所),10005,苗栗縣後龍鎮衛生所,苗栗縣後龍鎮大庄里光華路375號,037-722008,李芓嫻,2020
衛生局(所),10005,苗栗縣頭份市衛生所,"苗栗縣頭份市頭份里
顯會路72號",037-663049,葉婉柔,2020
衛生局(所),10005,苗栗縣竹南鎮衛生所,苗栗縣竹南鎮大營路209號,037-470152,羅偉祐,2020
衛生局(所),10005,苗栗縣卓蘭鎮衛生所,苗栗縣卓蘭鎮老庄里中正路142號,04-25892027,聶文通,2020
衛生局(所),10005,苗栗縣公館鄉衛生所,苗栗縣公館鄉館中村大同路75號,037-224732,徐劭堯,2020
衛生局(所),10005,苗栗縣銅鑼鄉衛生所,苗栗縣銅鑼鄉新興路81號,037-981006,涂鳳秋,2020
衛生局(所),10005,苗栗縣南庄鄉衛生所,苗栗縣南庄鄉東村大同路17號,"
037-822014",莊美玲,2020
衛生局(所),10005,苗栗縣大湖鄉衛生所,苗栗縣大湖鄉中原路87號,037-991034,徐年億,2020
衛生局(所),10005,苗栗縣三灣鄉鄉衛生所,苗栗縣三灣鄉三灣村11鄰親民路17號,037-831140,彭文忠,2020
衛生局(所),10005,苗栗縣造橋鄉衛生所,苗栗縣造橋鄉造橋村14鄰8-2號,037-542755,李郁婷,2020
衛生局(所),10005,苗栗縣頭屋鄉衛生所,苗栗縣頭屋鄉中山街13鄰54號,037-253534,楊春英,2020
衛生局(所),10005,苗栗縣三義鄉衛生所,苗栗縣三義鄉廣盛村復興路45號,037-872014,詹秀妮,2020
衛生局(所),10005,苗栗縣西湖鄉衛生所,苗栗縣西湖鄉龍洞村1鄰16號,037-921211,楊得謙,2020
衛生局(所),10005,苗栗縣獅潭鄉衛生所,苗栗縣獅潭鄉新店村11鄰130-6號,037-931309,胡慧君,2020
衛生局(所),10005,苗栗縣泰安鄉衛生所,苗栗縣泰安鄉清安村洗水坑2鄰72號,037-941054,林淑嵐,2020
衛生局(所),10019,大里區衛生所,臺中市大里區大衛路 82 號,04-24061500-11,黃嘉慧,2020
衛生局(所),10019,霧峰區衛生所,臺中市霧峰區民生路1之9號,04-23393022-21,盧文儀,2020
衛生局(所),10019,太平區衛生所,臺中市太平區勤益里中山路1段213之1號,04-23938083-223,廖珮誼,2020
衛生局(所),10019,烏日區衛生所,臺中市烏日區長樂街136號,04-23381027-214,王藝蒨,2020
衛生局(所),10019,豐原區衛生所,臺中市豐原區中興路136號1樓,04-25261170-20,李淑美,2020
衛生局(所),10019,后里區衛生所,臺中市后里區公安路86號,04-25562048-18,林姿宜,2020
衛生局(所),10019,潭子區衛生所,臺中市潭子區中山路二段 241 巷 5 號,04-25324643-207,陳香梅,2020
衛生局(所),10019,神岡區衛生所,臺中市神岡區神岡路2號,04-25622792-36,宋美伶,2020
衛生局(所),10019,東勢區衛生所,臺中市東勢區中寧里豐勢路490號,04-25873872,周美伶,2020
衛生局(所),10019,石岡區衛生所,臺中市石岡區石岡街6號,04-25721887,楊羽菁,2020
衛生局(所),10019,新社區衛生所,臺中市新社區新社里興社街4段1號,04-25813514,莊婉婷,2020
衛生局(所),10019,大雅區衛生所,臺中市大雅區中清東路232號,04-25661091-25,陳苑玲,2020
衛生局(所),10019,梧棲區衛生所,臺中市梧棲區雲集街 70巷3號,04-26562809,蔡靜美,2020
衛生局(所),10019,大甲區衛生所,臺中市大甲區文武里德興路81號,04-26872153-32,劉郁芬,2020
衛生局(所),10019,外埔區衛生所,臺中市外埔區大同里甲后路444號,04-26833208-30,邵新妮,2020
衛生局(所),10019,大安區衛生所,臺中市大安區中山南路333號,04-26713681,劉美華,2020
衛生局(所),10019,龍井區衛生所,臺中市龍井區竹坑里沙田路4段243號,04-26352228-210,莊佳靜,2020
衛生局(所),10019,沙鹿區衛生所,臺中市沙鹿區文昌街20號,04-26625040,邱慧芬,2020
衛生局(所),10019,大肚區衛生所,臺中市大肚區頂街里榮華街1號,04-26992111-25,涂慧妃,2020
衛生局(所),10019,和平區衛生所,臺中市和平區南勢里東關路3段132號,04-25942781-217,林淑靜,2020
衛生局(所),10019,清水區衛生所,臺中市清水區中山路92號,04-26222639-311,柯佳君,2020
衛生局(所),10019,和平區梨山衛生所,臺中市和平區梨山里中正路68號,04-25989540-20,陳雪琪,2020
衛生局(所),10019,東區衛生所,臺中市東區信義街142號,04-22834121-209,張瑗容,2020
衛生局(所),10019,南區衛生所,臺中市南區工學路72號2樓,04-22629735-117,吳郁芳,2020
衛生局(所),10019,中西區衛生所,臺中市西區民權路105號,04-22222832-323,柯百柔,2020
衛生局(所),10019,北區衛生所,臺中市北區永興街301號4樓,04-22359182-111,呂怡潔,2020
衛生局(所),10019,西屯區衛生所,臺中市西屯區西屯路2段299號,04-27027068-28,陳淩瑄,2020
衛生局(所),10019,南屯區衛生所,臺中市南屯區向心南路811號,04-23827640-105,林慧鈴,2020
衛生局(所),10019,北屯區軍功衛生所,臺中市北屯區軍功路2段16號,04-22392638-201,賴惠姿,2020
衛生局(所),10019,北屯區四民衛生所,臺中市北屯區后庄路1062號,04-24211945-2208,陳晏寧,2020
衛生局(所),10007,彰化市南西北區衛生所,彰化縣彰化市旭光路166號,04-7282141,楊綄安,2020
衛生局(所),10007,彰化市東區衛生所,彰化縣彰化市彰南路2段346巷31弄26號,04-7372348,白美雲　,2020
衛生局(所),10007,花壇鄉衛生所,彰化縣花壇鄉長沙村中正路11號,04-7872433,莊碧惠,2020
衛生局(所),10007,芬園鄉衛生所,彰化縣芬園鄉社口村公園一街11號,049-2524065,張芳瑄,2020
衛生局(所),10007,大村鄉衛生所,彰化縣大村鄉大村村中正西路340號,04-8520513,洪嘉伶,2020
衛生局(所),10007,員林市衛生所,彰化縣員林市仁美里博愛路229號,04-8336403,張美珠,2020
衛生局(所),10007,埔心鄉衛生所,彰化縣埔心鄉義民村員鹿路二段340號,04-8294133,雲美欣,2020
衛生局(所),10007,溪湖鎮衛生所,彰化縣溪湖鎮湖東里青雅路36號,04-8815112,黃滄裕,2020
衛生局(所),10007,永靖鄉衛生所,彰化縣永靖鄉永西村西興路91號,04-8234193,徐美津,2020
衛生局(所),10007,社頭鄉衛生所,彰化縣社頭鄉社頭村員集路2段409號,04-8732038,邱明瑜,2020
衛生局(所),10007,田尾鄉衛生所,彰化縣田尾鄉饒平村光復路二段608號,04-8832145,羅玉妮,2020
衛生局(所),10007,田中鎮衛生所,彰化縣田中鎮西路里斗中路一段222號,04-8748598,張瑞旺,2020
衛生局(所),10007,北斗鎮衛生所,彰化縣北斗鎮光復里地政路406巷17號,04-8880344,邱淑香,2020
衛生局(所),10007,溪州鄉衛生所,彰化縣溪州鄉尾厝村溪下路四段570號,04-8890330,吳寶娟,2020
衛生局(所),10007,二水鄉衛生所,彰化縣二水鄉二水村過圳路19號,04-8790382,蕭西雲,2020
衛生局(所),10007,和美鎮衛生所,彰化縣和美鎮和東里彰美路五段319號,04-7561514,周佩珊,2020
衛生局(所),10007,伸港鄉衛生所,彰化縣伸港鄉大同村中興路2段197號,04-7988034,王韋淳,2020
衛生局(所),10007,線西鄉衛生所,彰化縣線西鄉寓埔村和線路957巷2號,04-7585201,許育玲,2020
衛生局(所),10007,鹿港鎮衛生所,彰化縣鹿港鎮順興里復興路423號,04-7765415,柯昕彤,2020
衛生局(所),10007,秀水鄉衛生所,彰化縣秀水鄉安東村中山路288號,04-7680737,馬英瑛,2020
衛生局(所),10007,福興鄉衛生所,彰化縣福興鄉福興村福興路51巷2號,04-7765539,顧珮鈺,2020
衛生局(所),10007,埔鹽鄉衛生所,彰化縣埔鹽鄉好修村員鹿路二段58號,04-8654814,張君禎,2020
衛生局(所),10007,埤頭鄉衛生所,彰化縣埤頭鄉合興村健安街119號,04-8922445,張瑩慧,2020
衛生局(所),10007,二林鎮衛生所,彰化縣二林鎮斗苑路四段689號,04-8964298,陳詩雯,2020
衛生局(所),10007,芳苑鄉衛生所,彰化縣芳苑鄉芳苑村斗苑路芳苑段194巷48號,04-8983134,林家慧,2020
衛生局(所),10007,竹塘鄉衛生所,彰化縣竹塘鄉竹塘村竹林路一段304號,04-8971181,周耀文,2020
衛生局(所),10007,大城鄉衛生所,彰化縣大城鄉大城村中平路126號,04-8942543,傅美汝,2020
衛生局(所),10008,南投市衛生所,南投縣南投市三和一路13號,049-2223264,林奇勳,2020
衛生局(所),10008,草屯鎮衛生所,南投縣草屯鎮草溪路882巷7號,049-2323153,廖小華,2020
衛生局(所),10008,埔里鎮衛生所,南投縣埔里鎮中山路二段256號,049-2982157,邱仁祥,2020
衛生局(所),10008,竹山鎮衛生所,南投縣竹山鎮雲林里公所路126號,049-2642026,吳青穎,2020
衛生局(所),10008,集集鎮衛生所,南投縣集集鎮民生路106號,049-2762015,吳淑美,2020
衛生局(所),10008,名間鄉衛生所,南投縣名間鄉中正村彰南路42號,049-2732135,張立薇,2020
衛生局(所),10008,鹿谷鄉衛生所,南投縣鹿谷鄉鹿谷村中正路二段20號,049-2752002,梁春梅,2020
衛生局(所),10008,中寮鄉衛生所,南投縣中竂鄉永平村永昌街102號,049-2691404,劉芊秀,2020
衛生局(所),10008,魚池鄉衛生所,南投縣魚池鄉魚池村魚池街194號,049-2895513,簡品容,2020
衛生局(所),10008,國姓鄉衛生所,南投縣國姓鄉國姓村民族街42號,049-2721009,林慧珍,2020
衛生局(所),10008,水里鄉衛生所,南投縣水里鄉博愛路205號,049-2770079,陳碧滿,2020
衛生局(所),10008,信義鄉衛生所,南投縣信義鄉明德村玉山路45號,049-2791148,吳芷萱,2020
衛生局(所),10008,仁愛鄉衛生所,南投縣仁愛鄉大同村五福巷17號,049-2802434,楊立璿,2020
衛生局(所),10009,斗六市衛生所,雲林縣斗六市鎮西里公園路75號,05-5345140,陳姿穎,2020
