疾病別,題目,答案,日期,提供單位
同婚與愛滋,同志健康中心開課宣導跑趴及用藥安全，是變相鼓勵同志跑趴使用娛樂性藥物？,"1.在各縣市設立健康社區服務中心，主要是參考世界衛生組織建議，透過以社區為基礎的組織，進行溝通及加強傳播愛滋或性傳染病防治的訊息，提供友善的環境宣導預防措施和給予關懷服務，此策略已被證實能有效地減少不安全性行為發生比率、降低性伴侶數、提升與非固定性伴侶使用保險套的比率及增加愛滋篩檢率。2.而且各中心服務對象亦非侷限同志，一般民眾均可至該中心尋求性傳染病防治及篩檢相關服務。
健康中心內所安排的相關演講，多會提醒民眾不論參加何種活動，皆應注意保護自身的健康，另針對部分對娛樂性用藥好奇的民眾，也會提醒說明有關藥物特性、健康危害及法律責任，並強調應避免用藥易伴隨發生不安全性行為。課程重點著重在提醒與強調安全性行為與愛滋等性傳染病之防治觀念，內容並無不妥。",2017/6/5,疾病管制署
同婚與愛滋,同性婚姻合法化後，同志都來台，我國又把「男男間性行為者永久限制捐血」修改為「五年內有男男間性行為暫緩捐血」，這如何保障我國血品安全？,"1.我國於102年2月起針對捐血的血品全面施行核酸擴大檢驗(NAT)，已將檢驗空窗期由原舊有檢驗方式(西方墨點法)的21天縮短為11天，自實施NAT檢驗後迄今，沒有發生輸血感染愛滋的案例。2.政策的修訂以維護用血者安全為首要考量，參考加拿大的經驗，該國修改男男間性行為者暫緩捐血也是由永久限制放寬為五年內無男男間性行為者開始，並監測因捐血發現的愛滋人數趨勢及評估對用血安全的衝擊。研究也證明，捐血限制之修改，讓男男間性行為者增加其在捐血面談時坦承檢視自身是否有捐血限制的行為，有助於降低血品傳播愛滋病的道德風險。
3.政策如經衛生福利部同意修訂後，本署也將持續監測因捐血發現的感染愛滋人數有無增加情形，以評估未來本項政策要趨嚴或趨緩的參考，確保民眾用血安全。",2017/6/5,疾病管制署
其它,網路謠傳中國有人吃豬肉感染SK5病毒，是真的嗎？,這是假訊息。類似謠言已在中國流傳多年，內容主要描述民眾食用某種水果或肉類而感染SB5、SB6或SK5等不存在的病毒而死亡或醫師被隔離等，之後亦可能換個省份、病毒名稱或食材後，繼續透過網路傳播。提醒民眾，民眾若接獲類似不明的疫情訊息，務必先查證是否為網路謠言，以避免轉傳錯誤資訊。,2018/12/18,疾病管制署
流感,網路上流傳，未來如出現全球流行的新型流感病毒，對人類將有一定程度之威脅，會對我們造成影響嗎？?,我國因2003年因應SARS疫情的防疫經驗，自2004年起，即開始針對流感病毒變異造成全球大流行議題進行各項整備工作，且亦儲備有防疫物資以及建置傳染病防治醫療網等措施，以因應新型流感之流行。,2018/3/13,疾病管制署
流感,網路上流傳，現在有一種可怕的新澳洲流感可能即將爆發，「勤洗手和打噴嚏捂住嘴」這些措施也不足以應對，請問是真的嗎？?,1.流感病毒主要是透過飛沫傳染，民眾仍應注意個人衛生習慣、呼吸道衛生及咳嗽禮節，如平時養成勤洗手、有呼吸道症狀須戴口罩、生病在家休養等，這些習慣若能於平時養成，仍是有助於降低流感的傳播。2.另外對於可能由禽傳人的新型A型流感，除上述預防措施外，應遵守「5要6不」原則，且出國民眾於返國入境時如有發燒、咳嗽等類流感症狀，應主動告知航空公司人員及機場港口檢疫人員；返國後如出現上述症狀，應戴上口罩儘速就醫，並告知醫師接觸史及旅遊史。,2018/3/13,疾病管制署
流感,網路上流傳，有專家警告『新澳洲流感』將殺死3億人，蔓延到全世界各國，請問是真的嗎？?,這是錯誤的。該內容所指新澳洲流感病毒是由禽流感病毒變異而造成，是錯誤的，且至今澳洲並未出現網路上流傳的新澳洲流感。根據澳洲衛生部門資料顯示，目前澳洲並未出現新型流感病毒流行疫情，惟該國2017年流感季流感疫情較往年嚴重，主要流行病毒株為A/H3N2型。,2018/3/13,疾病管制署
流感,流感就是現在最流行的感冒？,流感與感冒完全不一樣。一般感冒的病毒與流感病毒大不相同，所以流感是流感、感冒是感冒。最常見的主要感冒症狀是呼吸道症狀，如咳嗽、鼻塞、流鼻水等由鼻病毒、冠狀病毒所引起。而流感則是由分A、B、C三型的流感病毒感染，症狀嚴重且突然，最大差別是全身痠痛、倦怠，病況遠比一般感冒嚴重，常讓成人臥床動彈不得，且持續一至兩週。,2016/10/20,疾病管制署
流感,聽說感冒如果治不好就會變成肺炎？,當感冒症狀持續惡化時，確實有可能演變為肺炎，但並不能說感冒治不好就會變成肺炎。肺炎的成因可能是細菌或病毒直接侵犯肺部、或者漸進式由上呼吸道感染後接著入侵到肺部。一般感冒很少會高燒超過4～5天，可觀察患者整體症狀來判斷，不必自己嚇自己！,2016/10/20,疾病管制署
流感,感冒一定要吃藥才會好？,感冒泛指病毒性感染，目前對於感冒的治療大多以症狀治療為主。醫師開藥也是針對發燒、流鼻水、咳嗽等症狀治療。也就是說即使不吃藥，時間久了也會靠身體機制自然痊癒。因此感冒不見得要吃藥，吃藥的好處僅是減緩過程中的不適，盡快讓身體恢復體力來對抗病毒。,2016/10/20,疾病管制署
流感,一般感冒會轉化成流感？,感冒的致病原包含多達數百種不同的病毒，與流感是由感染流感病毒引起不同。一般而言，流感症狀較一般感冒嚴重，通常症狀發作較突然，痊癒的時間也比一般感冒長，但兩者的致病原是不同的病毒，所以其實並沒有必然的因果關係。但同時，也不能說得過流感就不會感冒，反之亦然。,2016/10/20,疾病管制署
流感,聽說只要吃維生素/維他命就可以治療流感？,許多感冒會好，大多是因為身體恢復足夠的體力、來對抗病毒的侵襲。所以想要感冒快快好，首先要讓虛弱的身體靜下來休息、保持體力。而維生素其實並不能治療、或預防流感，只是一種協助身體恢復體力來抵禦流感的方式之一。當然這種方式最好還是要透過醫師的專業建議來執行！,2016/10/20,疾病管制署
流感,冬天容易得流感是因為天氣太冷？,許多人都深深相信，又冷又濕的天氣會讓人感冒。再加上流感好發於冬季，一般人都會認為感冒是受涼了，或者衣服少穿一件、淋雨、門窗沒關密的結果。但事實上，流感的傳染途徑主要是藉由得到流感的病患咳嗽或打噴嚏所產生的飛沫將病毒傳播給周圍的人，秋冬季節由於受氣候因素影響，人多於室內活動，大大增加了傳染因素！,2016/10/20,疾病管制署
流感,感冒是不是只要打一針就可以馬上好？,當感冒稍微惡化、嚴重到可能影響生活作息時，一般人都會希望有速效藥，也就是想要打一針救治好感冒。但是你知道感冒為什麼會好嗎？其實不是因為針劑真的是什麼神秘特效藥、而是由於身體受感染後產生抗體、最終自己把病毒消滅的緣故。,2016/10/20,疾病管制署
流感,聽說流汗可以治感冒，是真的嗎？,許多人認為生病時，只要發燒出汗、或者穿暖一點「逼汗」，就可以治好感冒，這是錯誤的觀念。感冒時逼身體出汗不但不能紓緩感冒症狀，反而有讓身體脫水的危險，與其硬逼身體流汗，倒不如多補充水分、好好休息。,2016/10/20,疾病管制署
流感,因為穿太少著涼所以得流感？,許多人對感冒的印象就是「著涼」，所以一般人最常在天冷的時候提醒要「多穿一點以免感冒」，以致許多人都認為穿太少是感冒的原因之一。但其實此說法尚無醫學實證，而是因為天冷，病毒可以在環境中存活比較久，傳播能力變強所致。,2016/10/20,疾病管制署
流感,聽說只要多喝水、喝攝氏 40度到50度的溫水，就能殺死流感病原？,喝溫水可殺死流感病毒是沒有科學實證根據的方法，如果感染流感，建議盡速就醫聽從醫生指示服用抗病毒藥物治療，才是治療流感正確的方式。,2016/5/16,疾病管制署
流感,聽說將沒有剝皮的洋蔥擺在房間內，可吸收流感病菌，就不會感染流感了。請問是真的嗎？,洋蔥並沒有辦法過濾吸收空氣中的病毒與細菌，要防範流感最基本的方法還是要勤洗手、戴口罩，或是施打流感疫苗。若感染到流感，要配戴口罩，接受醫生專業治療，並且避免到人多的地方，減少將流感傳染給他人的機會喔！,2016/5/16,疾病管制署
流感,網路流傳，A、B型流感延伸變種金黃色葡萄球菌，一旦感染三天內就會死亡，請問是真的嗎？,金黃色葡萄球菌並不是從A型流感或是B型流感延伸、變種產生，而是本來就存在的細菌，如果人體免疫力下降，金黃色葡萄球菌就有可能趁虛而入導致人體感染肺炎，與病毒變種無關。提醒民眾，感染流感應盡快到鄰近醫療院所接受醫師專業診斷治療，並建議可施打流感疫苗，減低感染風險。,2016/5/16,疾病管制署
流感疫苗,"網路流傳打流感疫苗的女性會降低身體免疫力? 
",網路傳言不正確，根據國外研究指出，每年接種流感疫苗者所產生的抗體，雖然可能比第一次接種流感疫苗者為低，但這與人體一般免疫功能無關，也不影響流感疫苗產生的保護力，民眾最好還是每年接種流感疫苗。,2018/1/2,疾病管制署
流感疫苗,網路上流傳，有研究發現注射流感疫苗被科學證實在幾年後會削弱機體的免疫應答的功能，請問是真的嗎？,這是錯的。據一些國外研究，每年接種流感疫苗者所產生的抗體，雖然可能較第一次接種流感疫苗者為低，但這與人體一般免疫功能無關，亦不影響流感疫苗產生的保護力，因此建議民眾仍應每年接種流感疫苗。,2017/12/1,疾病管制署
流感疫苗,只要打了流感疫苗就可以百分之百預防流感？,接種流感疫苗是預防流感最有效的方式，尤其是針對免疫力較差的長者、幼兒與慢性病患者等高危險族群及國小學童與醫護人員等高傳播族群。但是由於流感病毒並非只有一種，病毒的變異性強，因此疫苗的防護力大約有七、八成。仍有兩至三成的人在接種疫苗後仍可能會得流感，並非百分百預防。,2016/10/20,疾病管制署
疫苗安全,聽說有些常規疫苗中含有汞，接種後會影響幼童健康，是真的嗎？,少數疫苗含有的硫柳汞（Thimerosal）是一種乙基汞，作為保存劑，每劑疫苗含量極微，並符合國家規範，其代謝速度也比環境中常見的甲基汞快，不會在人體內累積致病。目前也無科學證據顯示疫苗的硫柳汞對人體有害，且國際已有多個大型研究證實含汞疫苗不會造成兒童傷害。接種疫苗可建立學幼童對相關傳染病的免疫保護力，也是降低疾病感染及阻斷傳染最有效的方法。,2016/10/19,疾病管制署
疫苗接種,某些疫苗預防的疾病在國內幾乎已經絕跡了，所以不必再進行疫苗接種對嗎？,即使特定疾病在國內已經幾乎沒有相關病例，還是要進行疫苗接種，因為這些傳染性疾病仍然可能在其他地區傳播，未接種疫苗，將來仍可能有受到傳染的可能性。而且接種疫苗的人越多，越能在人群中產生群體保護力，減少傳染病擴散流行的機會，建議還是要接種疫苗喔！,2016/5/16,疾病管制署
病毒性腸胃炎/流感,聽說「腸胃型感冒」是騙人的，其實沒有這種病是嗎？,腸胃型感冒是醫生向病人解釋的一種說法，當醫師說得到腸胃型感冒時，有可能是得到病毒性腸胃炎或是得了感冒或流感。腸胃炎係指胃、小腸或大腸的發炎，由病毒引起的腸胃炎稱為「病毒性腸胃炎」，有時也會被稱作是「胃流感」。病毒性腸胃炎是由輪狀病毒、諾羅病毒等多種病毒引起的一種傳染病，會導致病患嘔吐或腹瀉，被感染的人也可能會有頭痛、發燒、腹部痙攣、胃痛、噁心、肌肉酸痛等症狀。病毒性腸胃炎主要是透過糞口傳播，建議平時可以勤洗手，注意飲食衛生，降低病毒傳染的機會。若是得了感冒或流感，有時也會腸胃不適或輕微腹瀉，這時有些醫生也會向病人說是「腸胃型感冒」。若是得了感冒或是流感，出入公共場所時，記得戴上口罩，以免傳染給他人喔！,2016/5/16,疾病管制署
茲卡病毒,聽說投放基因絕育蚊子與茲卡病毒傳播有關，請問是真的嗎？,目前沒有證據顯示讓蚊子絕育，會導致小頭症病例增多或其他人體異常缺陷。提醒民眾，目前茲卡病毒並無疫苗可以預防，建議應避免前往流行區域，並做好防蚊措施避免傳染。,2016/5/16,疾病管制署
登革熱,有關網路社群謠傳「高雄登革熱防治經費0元」，是真的嗎？,"中央政府每年均會核定補助縣市政府辦理登革熱等病媒傳染病防治計畫。疾管署今（108）年2月11日已核定高雄市政府傳染病防治經費1,523萬9千元（其中861萬元為登革熱防治補助費），並已於2月26日及6月6日全數撥付完畢，高於去年核定補助金額，且為全國最多。另亦於6月19日同意動支5,318萬3,510元，支援高雄市政府防疫工作。防疫不分中央地方，登革熱防治工作需中央、地方及全民一起合作，才能有效對抗登革熱。",2019/6/19,疾病管制署
登革熱,在水溝裡撒鹽、傾倒漂白水能夠防治孑孓？,依據高雄市政府衛生局104–105年研究結果，有機磷劑溶液對於白線斑蚊及埃及斑蚊幼蟲（孑孓）的防治效果優於粗鹽溶液及海水。為能有效防治登革熱，建議應定期疏通水溝，避免淤積，如因受限於溝渠內結構而有部分靜止不流動的區段孳生孑孓，建議使用行政院環境保護署核准的環境衛生用藥防治。,2017/5/18,疾病管制署
登革熱,生態魚缸可有效防治登革熱？,飼養蓋斑鬥魚、大肚魚或孔雀魚等魚種雖然會吃掉蚊子幼蟲（孑孓），但是牠們的食量有限，而且登革熱病媒蚊的幼蟲（孑孓）可以孳生在各式各樣的積水容器內，並不會只在魚缸產卵，因此清除所有積水容器才是預防登革熱最有效的方法。,2017/5/18,疾病管制署
登革熱,網路上流傳捕蚊絕招，用黑色紙板噴上果蠅黏膠，可以吸引蚊子主動飛來而黏住死亡，這種方法真的可以消滅登革熱病媒蚊嗎？?,這個方法利用蚊子喜歡棲息在暗處的習性，運用黑色的板子來誘引蚊子並捕殺。不過經由專家學者實際進行試驗，黏獲的蚊子以家蚊為主。而登革熱主要傳播病媒蚊是埃及斑蚊及白線斑蚊，目前防治登革熱最根本有效的方法還是清除積水容器等孳生源，避免孳生蚊蟲。疾管署提醒大家隨時注意環境管理，巡查家戶內外是否有積水容器等孳生源並予以清除，以保護自身及家人的健康。,2017/5/18,疾病管制署
登革熱,我的另一半感染登革熱，如果跟對方接吻是不是也會被傳染？?,登革熱是透過埃及斑蚊及白線斑蚊等病媒蚊叮咬而傳播，因此不會因為接吻而感染。,2017/5/18,疾病管制署
登革熱,我被蚊子叮咬，擔心是登革熱，可以看皮膚科嗎？?,如有感染的疑慮，但不知道該去哪裡就診，可以撥打當地衛生局的電話或是撥打1922防疫專線。,2017/5/18,疾病管制署
登革熱,防止埃及斑蚊，捕蚊燈擺家中角落就對了？,埃及斑蚊喜歡棲息在室內，多棲息在陰暗的角落，可經常挪動擺放位置提高補到蚊子的機會。,2017/5/18,疾病管制署
登革熱,喝檸檬汁可以治療登革熱？,目前登革熱的治療尚無特效藥，網路流傳治療偏方也未經臨床試驗證實，請民眾不要輕易嘗試，如懷疑感染登革熱請務必儘速就醫，並聽從醫師建議治療、服藥，多補充水分，確保自身健康。,2017/5/18,疾病管制署
登革熱,若被蚊子叮咬得到登革熱，可以服用最大的劑量維他命C，以緩解登革熱症狀？,感染登革熱目前沒有特效藥，請您遵照醫師指示服藥、在家休息、多補充含電解質的水分，症狀通常在感染後1-2週左右可自行痊癒，發病後5天內，要避免蚊蟲叮咬，以減少蚊子傳播登革病毒的機會。,2017/5/18,疾病管制署
登革熱,聽說有人去捐血時得到登革熱，所以要大家不能去捐血，請問是真的嗎？,登革熱是由病媒蚊傳染，捐血不會感染登革熱，請民眾可以放心捐血。如果民眾捐血後，有出現高燒、頭痛、肌肉關節痛及出疹等疑似登革熱症狀，擔心自己捐血時處於登革熱潛伏期，可以盡早回電給捐血中心，讓捐血中心即時銷毀可能有問題的血液。,2016/5/16,疾病管制署
登革熱,喝西瓜汁、紅芭樂汁、檸檬汁可以治療登革熱？,目前登革熱的治療尚無特效藥，網路流傳治療偏方也未經臨床試驗證實，請民眾不要輕易嘗試，如懷疑感染登革熱請務必就醫，並聽從醫師建議治療、服藥，多補充水分，確保自身健康。,2016/5/16,疾病管制署
愛滋病,有關網路社群及論壇內謠傳「同婚助長台灣愛滋感染加速健保破產、今年愛滋人數創新高？開啟同婚終止愛滋健保給付？」等不實議題，疾管署澄清說明如下,"1.依據「世界經濟論壇」(WEF)世界評比，台灣屬愛滋低盛行率國家，我國愛滋防治表現於全球評比為第1名。2.依據疾管署統計資料顯示，107年新增愛滋感染人數為1,992人，是繼101年以來最低，與前一年比較，降幅達21%。3.我國自從開放外籍配偶納入愛滋公務預算補助，至今每年外籍配偶感染人數並沒有增加，放眼世界等先進國家均以公費或保險制度提供感染者適當治療，並配合相關配套措施遏止疫情蔓延。4.任何疾病的傳染並不會區分性別、性向。5.任何訊息不應涉及洩漏影射個資，若違法可依個人資料保護法、刑法等相關法規對洩漏者、散布者進行裁處。",2019/5/17,疾病管制署
愛滋病,國內愛滋醫療支出會對政府支出造成嚴重負擔，並壓縮其他疫病防治資源與預算？,"事實上，「治療即預防」已是國際上對於愛滋疫情控制的共識，政府以公務預算及健保給付愛滋藥物，其目的在於使感染者及早診治、維護健康並有效壓制病毒傳播，這是國際公認符合成本效益的疫情防治方法之一。近年來我國積極推動愛滋防治工作，去（2018）年新增感染人數為1,992人，與前一年之2,512人相比，降幅達21%，為2012年以來最低。此外，近幾年我國第一線愛滋藥物費用上限已由2012年每月每人約2萬元，降至2016年起均低於15,500元，且較與我國經濟發展相似國家的平均藥費支出來得低。",2019/3/20,疾病管制署
愛滋病,網路上流傳「服用愛滋治療藥物（俗稱雞尾酒療法）會致癌」，是真的嗎？,如果感染愛滋病毒後能及早遵醫囑服藥，會大幅減少罹患愛滋相關之伺機性感染及癌症等疾病風險。因為愛滋病毒會破壞體內之免疫系統，如果無及早就醫服藥，就可能會造成愛滋相關之伺機性感染及癌症等罹患風險增加。,2018/11/1,疾病管制署
愛滋病,外國人只要在臺灣服藥滿2年就可以由健保給付？,1.外籍人士受聘在台工作，或因就學等因素申請在台居留，並合法居留六個月以上，才能享有健保；而自106年2月4日起，外籍人士愛滋感染者確診後應自費在國內開始服藥2年後，具健保身分者，其醫療費用由健保以慢性病照護模式給付。2.事實上，外籍感染者來台免費治療愛滋，必須通過5道關卡（包括：(1)受聘在台工作，或獲得合法居留身分，(2)取得居留證明文件需居留滿6個月，(3)愛滋感染被通報列管，(4)開始治療的頭2年自付藥費，一年約20萬元，(5)在台有就醫治療紀錄），才能獲得健保給付。3.依「全民健康保險法」第1條規定，全民健保為強制性之社會保險，於保險對象在保險有效期間，發生疾病、傷害、生育事故時，依健保法規定給付。外籍人士除非是受聘來台工作，否則需領有居留證明文件且在台居留滿六個月，才能享有健保。因此，若申請居留原因不存在，自然不能參加全民健保。,2018/9/28,疾病管制署
愛滋病,網路謠傳臺灣愛滋疫情比泰國嚴重？,1.泰國愛滋感染人數推估有45萬人(盛行率1.1%)遠較臺灣約3萬人(0.2%)為高。2.每個國家對於愛滋篩檢找出感染黑數的積極程度不一，我國則是多方推動在家篩檢、匿名篩檢等計畫積極揪出感染黑數。3.世界經濟論壇(2017-2018)評比我國愛滋防治排名為最優等級。4.2018年我國愛滋新增數較2017年同期減少26%，年輕族群(15-24歲)案例下降35%。5.愛滋疫情年輕化為全球面臨的挑戰，安全性行為是防治愛滋最重要的策略之一。,2018/7/18,疾病管制署
愛滋病,為何要預備修正「捐血人健康標準」，將過去曾吸食毒品者捐血限制，由「永久不得捐血」改為「6個月內曾吸食毒品者應暫緩捐血」?,確保血品安全一直是政府重要的政策。毒品使用，主要分為吸食以及注射方式，其中注射毒品者因共用針頭、稀釋液等行為，容易感染B型肝炎、C型肝炎與愛滋等血液傳染疾病，為避免捐血傳播疾病，我國與其他先進國家一致，此次並未修正，仍將其列為永久不得捐血對象。而僅吸食但未曾注射毒品者，若現已戒除達六個月以上，體內已不會有毒品及相關代謝物，故台灣血液基金會參考國際間規範，將曾吸食毒品者之捐血限制，提案建議由「永久不得捐血」規定，比照日本作法，預備修改為6個月內暫緩捐血。,2018/7/11,疾病管制署
愛滋病,網路謠傳，同志健康中心成立與愛滋病感染人數呈正相關？,"對網路上對同志健康中心增加愛滋同志疫情的謠言，進行以下說明：1.在國際上透過以同志健康中心等單位同儕提供衛教資訊、篩檢服務及諮商，以及賦權（empower) , 早已被證實能大幅度提升性病在族群中的認知及篩檢率，因此，這也是各國普遍運用防止愛滋的措施之一。2.從匿篩服務個案研究更顯示，接受過同志健康中心資訊的朋友，比起從來沒聽過或不曾接受同志健康中心服務的朋友，其愛滋篩檢陽性比例較低（1.5% vs. 3.4%)，這顯示前往同志健康中心的朋友，在性行為時有較高的保險套使用率，以及較高的性病篩檢率。3.疾管署自2010年起設立推廣同志健康中心，就是希望能逐步改善安全性行為及愛滋性病篩檢率。105年提供超過6000人次篩檢服務及50場以上健康相關講座。同志健康中心在社區中已看見社區對健康中心的期待，也提供異性朋友健康諮詢、交友輔導、性病篩檢、壓力處理等諮商講座服務。2012年起，整體愛滋疫情上升趨勢趨緩。",2017/9/3,疾病管制署
愛滋病,網路謠傳，台灣愛滋病防治政策失效導致感染數從2000年至2016年持續上升？,我國從2000年起，愛滋疫情快速上升至2005年的3378例，主因是注射藥癮者共用針具或稀釋液，因推動藥癮愛滋減害計畫，包括衛生教育、清潔針具服務、美沙冬替代療法，使藥癮愛滋疫情迅速獲得控制，注射藥癮感染人數持續下降。之後則以不安全性行為為感染主因，本署除持續推動多元篩檢服務，並自2012年推動社群動員愛滋篩檢計畫，找出潛在感染者，才使疫情有增加趨勢。目前結合教育部等部會，共同推動相關預防教育措施，如宣導「愛滋病防治ABC原則」，A(Abstain)拒絕性誘惑、B(Be Faithful)忠實性伴侶、C(Condom)戴上保險套，及在家自我篩檢計畫、感染者診斷即刻服藥。期望在政府全方位及務實防治精神下，經由發現、預防、治療、教育各面向努力，讓整體疫情早日反轉。,2017/8/30,疾病管制署
愛滋病,網路謠傳，某教授拿政府經費宣傳網路約炮? ,近年隨著新媒體的普及，使許多年輕族群增加感染性傳染病的風險，因此本署對外委託研究，希望能多面向了解透過網路從事危險性行為的族群樣態，發展特定有效的愛滋病防治策略。 有關本署辦理委託科技研究計畫，每年均依當前重要傳染病（例如愛滋病、登革熱…）流行現況與防疫政策發展等需要，嚴謹研議及規劃審查研究重點後，再依政府採購法相關法令，以公開徵求及透過審查委員會(外聘3名、內派2名)審查方式，遴選出績優學術單位，執行本署委託計畫，且在執行過程中，亦依雙方所訂契約定期追蹤及管考，並於計畫結束時，參考採用其成果，做為本署政策訂定之重要依據，所以一切程序皆依相關規定公平公正公開處理，經得起各界檢視。,2017/8/28,疾病管制署
愛滋病,網路流傳疾管署的研究經費都用在研究男男性行為??,找出「問題背後的真正原因，對症下藥」，才是最重要的防治之道。本署執行愛滋病防治相關科技研究計畫，其研究族群、研究重點及經費，會依據我國疫情狀況進行調整。2004-2005年間，因爆發注射藥癮者愛滋感染疫情，之後幾年進行多項藥癮族群愛滋防治之相關研究，據以研訂因應策略及評估執行成效，因此使得疫情很快受到控制。而近幾年來均以「不安全性行為」為愛滋感染之主要途徑，因此將研究重點放在易感族群之防治策略及介入成效評估，並非在研究男男性行為。透過研究成果回饋至防治政策與介入措施，已使男男間不安全性行為有逐漸趨於平緩的趨勢。未來將持續透過研究，以發展更有效、更符合成本效益之防治策略。,2017/8/25,疾病管制署
愛滋病,網路謠傳，由於我國「性別平等教育法」於2004年6月23日開始實施，造成2004、2005、2006連續三年疫情大爆發，愛滋感染人數三級跳，由2003年的860人，大躍進到2004年的1520人；2005年3378人，達最高鋒，剛好是性平法實施的隔年。」這是真的嗎? ,"1、我國2004年和2005年間，愛滋疫情主因是注射藥癮者共用針具或稀釋液至感染人數迅速攀升，2005年新增通報感染3,378人，其中2,425（占72%）為注射藥癮者。2、我國自2005年推動藥癮愛滋減害計畫，包括衛生教育、清潔針具服務、美沙冬替代療法，使藥癮愛滋疫情迅速獲得控制，注射藥癮感染人數持續下降，近年來每年因注射藥癮感染愛滋通報人數已降至百人以下。3、台灣在此藥癮愛滋疫情的控制成效，亦獲得國際和聯合國愛滋病防治組織高度肯定。4、新聞稿-台灣愛滋減害成功經驗獲國際肯定",2017/8/17,疾病管制署
