縣市,鄉鎮市區,機構類別,醫事機構代碼,合約醫療院所名稱,接種時間,聯絡電話,地址,公費疫苗,自費疫苗
花蓮縣,鳳林鎮,衛生所,2345020011,花蓮縣鳳林鎮衛生所,每週二上午09:00-11:00卡介苗接種每月第二週星期二上午09:00-11:00,03-8761116,花蓮縣鳳林鎮鳳智里光華路95號,各項常規疫苗、卡介苗、育齡婦女MMR,
花蓮縣,玉里鎮,衛生所,2345030017,花蓮縣玉里鎮衛生所,"每週三
下午14:00-16:00
卡介苗接種每月第一週星期三下午13:30-15:30",03-8882046,花蓮縣玉里鎮中正路152號,各項常規疫苗、卡介苗、育齡婦女MMR,
花蓮縣,玉里鎮,合約院所,645030011,臺北榮民總醫院玉里分院,"每週一至五
上午09:00-12:00
下午19:00-21:00
每週六至日
上午09:00-12:00
卡介苗接種每月第二週星期三上午09:00-12:00",03-8883141#301,花蓮縣玉里鎮泰昌里新興街91號,各項常規疫苗、卡介苗、B型肝炎疫苗、B型肝炎免疫球蛋白,肺炎鏈球菌疫苗、輪狀病毒疫苗
花蓮縣,新城鄉,衛生所,2345040013,花蓮縣新城鄉衛生所,"每週三
下午14:00-17:00
卡介苗接種每月第一週星期三下午14:00-16:00(若遇假日延後一週)",03-8266781,花蓮縣新城鄉北埔村北埔路160號,各項常規疫苗、卡介苗、育齡婦女MMR,B型肝炎疫苗、輪狀病毒疫苗
花蓮縣,新城鄉,合約院所,545040515,國軍花蓮總醫院附設民眾診療服務處,"每週一上午09:00-12:00
每週四下午14:00-17:00",03-8263151#815131,花蓮縣新城鄉嘉里路163號,各項常規疫苗,B型肝炎疫苗、輪狀病毒疫苗
花蓮縣,吉安鄉,衛生所,2345050019,花蓮縣吉安鄉衛生所,每週二、五上午09:00-11:00卡介苗接種每月第二、四週星期五上午09:00-11:00,03-8521113,吉安鄉吉安村吉安路2段132號,各項常規疫苗、卡介苗、育齡婦女MMR,
花蓮縣,吉安鄉,合約院所,3545051511,博幼診所,"每週一至六上午8:30-12:00
每週一至五下午16:00-21:00
",03-8569866,花蓮縣花蓮縣吉安鄉建國路一段19號,各項常規疫苗,B型肝炎疫苗、水痘
花蓮縣,吉安鄉,合約院所,3545051548,和田小兒科診所,"每週一至四上午8:00-12:00
每週一至四下午
16:00-18:00
18:30-21:00
每週五上午8:00-12:00",03-8576822,花蓮縣吉安鄉建國路二段229號1樓,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、肺炎鏈球菌、輪狀病毒疫苗
花蓮縣,壽豐鄉,衛生所,2345060015,花蓮縣壽豐鄉衛生所,"每週三上午09:00-11:00
卡介苗接種每月第四週星期三上午09:00-11:00",03-8652101,壽豐鄉壽豐村公園路28巷10號,各項常規疫苗、卡介苗、育齡婦女MMR,
花蓮縣,光復鄉,衛生所,2345070011,花蓮縣光復鄉衛生所,"每週二上午09:00-11:00
卡介苗接種每月第二週星期二上午09:00-11:00",03-8701114,光復鄉大馬村中學街158號,各項常規疫苗、卡介苗、育齡婦女MMR,
花蓮縣,豐濱鄉,衛生所,2345080017,花蓮縣豐濱鄉衛生所,"每週二上午09:00-11:00
卡介苗接種每月第四週星期二上午09:00-11:00",03-8791590,豐濱鄉豐濱村光豐路31鄰39號,各項常規疫苗、卡介苗、育齡婦女MMR,
花蓮縣,瑞穗鄉,衛生所,2345090013,花蓮縣瑞穗鄉衛生所,"每週三上午09:00-11:00
卡介苗接種每月第二週星期三上午09:00-11:00",03-8872045,花蓮縣瑞穗鄉民生街75號,各項常規疫苗、卡介苗、育齡婦女MMR,
花蓮縣,富里鄉,衛生所,2345100014,花蓮縣富里鄉衛生所,"每週二上午08:30-11:30
每週二下午14:00-16:00(東里衛生室)
卡介苗接種每月第一週星期二上午08:30-11:30",03-8832836,花蓮縣富里鄉富里村中山路２０３號,各項常規疫苗、卡介苗、育齡婦女MMR,
花蓮縣,秀林鄉,衛生所,2345110010,花蓮縣秀林鄉衛生所,"每週二上午08:00-12:00
卡介苗接種每月第一、三週星期二上午08:00-12:00",03-8612122#201,花蓮縣秀林鄉秀林村12鄰秀林路88號,各項常規疫苗、卡介苗、育齡婦女MMR,
花蓮縣,萬榮鄉,衛生所,2345120016,花蓮縣萬榮鄉衛生所,"每週三、五上午08:30-11:30
卡介苗接種每月第一週星期三上午09:00-11:30",03-8751652,花蓮縣萬榮鄉萬榮村12號,各項常規疫苗、卡介苗、育齡婦女MMR,
花蓮縣,卓溪鄉,衛生所,2345130012,花蓮縣卓溪鄉衛生所,"每週五上午08:30-11:30
卡介苗接種每月第三週星期三上午09:00-11:00",03-8881238,花蓮縣卓溪鄉卓溪村中正路65號,各項常規疫苗、卡介苗、育齡婦女MMR,
新竹市,東區,衛生所,2312010014,新竹市東區衛生所,週一-週五9:00-11:00,03-5236158,新竹市民族路40-2號,各項常規疫苗、卡介苗、A型肝炎疫苗、育齡婦女MMR,
新竹市,東區,合約院所,3512012773,林正弘小兒科診所,周一至周五、週日晚上,03-5311905,新竹市光華東街16號,各項常規疫苗,B型肝炎疫苗、23PPV、輪狀病毒疫苗、帶狀皰疹疫苗    
新竹市,東區,合約院所,3512011070,石銘煌診所,周一至周五週六上午,03-5277332,新竹市東門街138號,各項常規疫苗,幼兒A型肝炎疫苗、B型肝炎疫苗、13PCV、 輪狀病毒疫苗、帶狀皰疹、水痘
新竹市,東區,合約院所,3512013467,欣欣診所,門診時間,03-6663721,新竹市光復路一段147號,各項常規疫苗、育齡婦女MMR,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗
新竹市,東區,合約院所,3512011187,謝碧祥診所,門診時間,03-5725099,新竹市光復路二段254號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、帶狀皰疹、水痘、HPV
新竹市,東區,合約院所,3512014124,小森林兒科診所,門診時間,03-5670033,新竹市慈濟路3號1樓,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、23PPV、輪狀病毒疫苗、帶狀皰疹、水痘、MMR、HPV
新竹市,東區,合約院所,3512012479,蘇育賢小兒科診所,門診時間,03-5212911,新竹市文昌街109號,各項常規疫苗,
新竹市,東區,合約院所,3512011034,吳廷臣診所,週一-週五9:00-12:0016:00-18:00,03-5346677,新竹市中央路１７６號１樓,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、帶狀皰疹
新竹市,東區,合約院所,1512011185,南門綜合醫院,門診時間,03-5261122,新竹市林森路20號,各項常規疫苗,B型肝炎疫苗、13PCV、23PPV、VAR、MMR、HPV9+
新竹市,東區,合約院所,3512012899,慈佑小兒科診所,門診時間,03-5613809,新竹市南大路549號1樓,各項常規疫苗、育齡婦女MMR,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、HPV、帶狀皰疹
新竹市,東區,合約院所,3512010617,簡小兒科內科診所,門診時間,03-5223963,新竹市西大路364號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、帶狀皰疹
新竹市,東區,合約院所,3512012728,啟恩小兒科診所,門診時間,03-5317177,新竹市中央路269號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、HPV、帶狀皰疹
新竹市,東區,合約院所,3512013903,漢杰小兒科診所,門診時間,03-5239779,竹市南門街14號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、MMR、Var、HPV、流感
新竹市,東區,合約院所,3512010939,江婦產科診所,周一至周六早午晚,03-5353532,新竹市民族路125號,各項常規疫苗,HBIG、 HPV、百日咳 
新竹市,東區,合約院所,3512012906,趙永康小兒科診所,周一至周五早午晚週六早午週日上午,03-5313931,新竹市北大路72號,各項常規疫苗,幼兒A型肝炎疫苗、13PCV、輪狀病毒疫苗、MMR、Var、HPV、流感
新竹市,東區,合約院所,3512013912,林君怡小兒專科診所,門診時間,03-6662718,新竹市關新路18號1樓,各項常規疫苗、育齡婦女MMR,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、HPV、VAR、破傷風
新竹市,東區,合約院所,3512013225,賴閔宦小兒科診所,週一日上午8:00-1200下午3:00-6;00,03-5611238,新竹市南大路387-1號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、帶狀皰疹疫苗、HPV  
新竹市,東區,合約院所,3512013636,宏偉婦產科診所,週一五上午8:00-1200下午3:00-6;00,03-5330733,新竹市民生路287號,B型肝炎疫苗、B型肝炎免疫球蛋白,百日咳、HPV
新竹市,東區,合約院所,3512011329,葉佳全小兒科診所,門診時間,03-5321977,新竹市民權路199號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、VAR、MMR、HPV、百日咳、帶狀皰疹、流感
新竹市,東區,合約院所,3512011150,廖明厚小兒科診所,門診時間,03-5316665,新竹市民族路130號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、HPV、帶狀皰疹、水痘、MMR、流感、三合一
新竹市,東區,合約院所,3512013645,謝德貴兒童診所,門診時間,03-6686666,新竹市光復路一段360之2號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、日腦、HPV9+、MMR、VAR、三合一、帶狀皰疹、流感
新竹市,東區,合約院所,3512013384,謝承霖兒童診所,周一到周日上午08:00-12:00，周一&周五下午14:30-18:00，周一到周五晚上18:30-21:00,03-5320520,新竹市東區民族路60號,各項常規疫苗、A型肝炎疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、VAR、JE、HPV、帶狀皰疹、流感、MMR
新竹市,東區,合約院所,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,週一-週五14:00-17:00BCG週一-週五14:00-17:00,03-6119595,新竹市光復路二段690號,各項常規疫苗、卡介苗、育齡婦女MMR,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、23PPV、輪狀病毒疫苗、Tdap疫苗、HBIG、VAR、HPV、MMR、FLU、帶狀皰疹
新竹市,東區,合約院所,3512014133,晨心兒科診所,門診時間,03-5322066,新竹市中央路163號1樓,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、帶狀皰疹、水痘、MMR、HPV六合一
新竹市,東區,合約院所,3512014115,昇安耳鼻喉科,門診時間,03-6662783,新竹市龍山東路1號1樓,各項常規疫苗,B型肝炎疫苗、13PCV、輪狀病毒疫苗、帶狀皰疹、水痘、MMR、HPV.
新竹市,東區,合約院所,1112010528,國泰醫療財團法人新竹國泰綜合醫院,週一-週五早診，下午診周六上午BCG週二上午,03-5278999,新竹市中華路二段678號,各項常規疫苗、卡介苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、23PPV、輪狀病毒疫苗、Tdap疫苗、帶狀皰疹、流感、HPV
新竹市,東區,合約院所,3512013369,小太陽耳鼻喉科診所,上午8:00-下午12:00、下午3:00-下午9:30,03-5750238,新竹市東區建新路40號,各項常規疫苗、A型肝炎疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、VAR、JE、HPV、帶狀皰疹、流感、MMR
新竹市,東區,合約院所,3512010135,林啟銘內科小兒科診所,門診時間,03-5430288,新竹市民權路71號1樓,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗
新竹市,北區,衛生所,2312041028,新竹市北區衛生所,早上9-11,03-5353969,新竹市國華街69號1樓,各項常規疫苗、卡介苗、A型肝炎疫苗、育齡婦女MMR,
新竹市,北區,合約院所,412040012,國立臺灣大學醫學院附設醫院新竹分院,門診時間,03-5326151,新竹市經國路一段442巷25號,各項常規疫苗、卡介苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、23PPV、輪狀病毒疫苗、Tdap疫苗、HPV、MMR、帶狀皰疹、旅遊疫苗
新竹市,北區,合約院所,512040014,國軍新竹地區醫院附設民眾診療服務處,門診時間,03-5348181,新竹市武陵路3號,各項常規疫苗、卡介苗,B型肝炎疫苗、13PCV、輪狀病毒疫苗、Tdap疫苗、HPV、MMR、帶狀皰疹
新竹市,北區,合約院所,3512040777,簡志澔小兒科診所,門診時間,03-5223855,新竹市延平路ㄧ段165號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、Tdap疫苗、HPV、MMR、帶狀皰疹
新竹市,北區,合約院所,3512040893,張錚小兒科診所,,03-5337928,新竹市中正路317號,各項常規疫苗,
新竹市,北區,合約院所,3512040599,劉復國診所,門診時間,03-5210085,新竹市中山路48號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、Tdap疫苗
新竹市,北區,合約院所,3512042208,陳君毅小兒科診所,門診時間,03-5345705,新竹市西大路738號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、Tdap疫苗、MMR、帶狀皰疹
新竹市,北區,合約院所,3512042520,陳志成耳鼻喉科診所,門診時間,03-5258626,新竹市西大路619號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、Tdap疫苗、HPV、MMR、帶狀皰疹
新竹市,北區,合約院所,3512040955,台安耳鼻喉科診所,門診時間,03-5246069,新竹市北大路466號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、HPV、MMR、帶狀皰疹
新竹市,北區,合約院所,3512040991,惠生婦產科診所,門診時間,03-5350358,新竹市東大路二段577號,B型肝炎疫苗、B型肝炎免疫球蛋白,HPV
新竹市,北區,合約院所,3512042600,林敬堯親子診所,門診時間,03-5350123,新竹市湳雅街120號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、Tdap疫苗、HPV、MMR、帶狀皰疹、日腦
新竹市,香山區,衛生所,2312050018,新竹市香山衛生所,"W1-W5
9-11AM",03-5388109,新竹市育德街188號1樓,各項常規疫苗、卡介苗、A型肝炎疫苗、育齡婦女MMR,
南投縣,南投市,衛生所,2338010014,南投縣南投市衛生所,"1.每週一、四
下午02：00-04：00
2.接種卡介苗每個月第3週之星期四下午02：00-04：00
",049-2223264,南投市三和一路13號,各項常規疫苗、卡介苗、A型肝炎疫苗、育齡婦女MMR、流感疫苗、HPV、23PPV,
南投縣,南投市,合約院所,138010027,衛生福利部南投醫院,"1.每週一至六上午
2.每週一、四、五下午
3.週一至週五晚上
4.接種卡介苗每月第二週星期二上午09：00-10：30
",049-2231150-1219,南投市復興路478號,各項常規疫苗、卡介苗、Flu、PPV、HBIG,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、Tdap疫苗、結核菌素測驗、黃熱病、流行性腦脊膜炎、傷寒、小兒麻痺、水痘、MMR、活性日本腦炎、人用狂犬病、Flu、HPV、帶狀皰疹病毒疫苗
南投縣,南投市,合約院所,3538011883,佳成小兒科診所,"週一.二.三.五.六
上午08：00-12：00
周一.三.四晚上06：45-09：30
〈週日休診〉
",049-2231115,南投市民族路３５８號,各項常規疫苗、Flu,13PCV、輪狀病毒疫苗、Flu
南投縣,南投市,合約院所,3538011712,馨生婦產科小兒科診所,"1.週一至五全天診
2.週六上午及下午診
每個月第二.四週之週四3:30-5:00接種卡介苗
〈休診時間：週六晚上及日全天〉",049-2206626,南投市中山街14巷13號,各項常規疫苗、卡介苗、Flu、HBIG,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、Flu、HPV、帶狀皰疹病毒疫苗
南投縣,南投市,合約院所,3538012022,子泰診所,"
上午08：00-12：00
下午02：30-05：30
晚上06：00-09：00
(休診:週六全天休診
週二下午至晚上週日晚上)",049-2223013,南投市南崗二路路298號,各項常規疫苗、Flu,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、Flu、HPV、帶狀皰疹病毒疫苗
南投縣,南投市,合約院所,3538012095,黃子卿小兒科診所,"上午08：30-12：00
下午03：30-06：30
晚上07：00-09：30
〈休診時間：週二.三.六晚上.週日整日〉",049-2200623,南投市民族路12３號,各項常規疫苗、Flu,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、Flu、HPV、帶狀皰疹病毒疫苗
南投縣,南投市,合約院所,3538012086,幼安小兒科診所,"上午08：30-12：00
下午03：00-06：00
晚上07：00-09：30
〈休診時間：週五全天休診〉",049-2208826,南投市民族路243號,各項常規疫苗、Flu,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、Flu、HPV、帶狀皰疹病毒疫苗
南投縣,埔里鎮,衛生所,2338020010,南投縣埔里鎮衛生所,星期一、星期四下午1點30分至4點30分﹑卡介苗每個月第3個之星期四下午2點至4點,049-2982157,南投縣埔里鎮中山路二段256號,各項常規疫苗、卡介苗、A型肝炎疫苗、育齡婦女MMR、流感疫苗、HPV、23PPV,
南投縣,埔里鎮,衛生室,2338020010,向善衛生室,星期二下午2點至4點,049-2982157,南投縣埔里鎮向善里向善路75號,各項常規疫苗,
南投縣,埔里鎮,衛生室,2338020010,合成衛生室,星期五下午2點至4點,049-2982157,南投縣埔里鎮合成里西安路3段223號,各項常規疫苗,
南投縣,埔里鎮,合約院所,1138020015,埔基醫療財團法人埔里基督教醫院,星期一二三四五六下午門診時間,049-2912151,南投縣埔里鎮鐵山里鐵山路1號,各項常規疫苗、卡介苗、免疫球蛋白、育齡婦女MMR,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、23PPV、輪狀病毒疫苗
南投縣,埔里鎮,合約院所,3538020613,祐安小兒科診所,星期一三四五六日門診時間,049-2997752,南投縣埔里鎮中正路395號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、23PPV、輪狀病毒疫苗
南投縣,埔里鎮,合約院所,3538020168,童小兒家醫科聯合診所,星期一二三四五六門診時間,049-2983212,南投縣埔里鎮中正路408號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗
南投縣,埔里鎮,合約院所,3538022331,安麗小兒科內科診所,星期一三四五六門診時間,049-2991030,南投縣埔里鎮中山路二段262號,各項常規疫苗,幼兒A型肝炎疫苗、B型肝炎疫苗、輪狀病毒疫苗
南投縣,埔里鎮,合約院所,3538022564,李振明診所,星期一三四五六日門診時間,049-2991151,南投縣埔里鎮中山路二段355號,各項常規疫苗,幼兒A型肝炎疫苗、B型肝炎疫苗、輪狀病毒疫苗
南投縣,埔里鎮,合約院所,3538022171,長榮診所,星期一二三四五日門診時間,049-2994830,南投縣埔里鎮忠孝路329號,各項常規疫苗,幼兒A型肝炎疫苗、B型肝炎疫苗、輪狀病毒疫苗
南投縣,埔里鎮,合約院所,3538020604,聖光小兒科診所,星期一二三四五六門診時間,049-2988099,南投縣埔里鎮南昌街160號,各項常規疫苗,幼兒A型肝炎疫苗、B型肝炎疫苗、輪狀病毒疫苗
南投縣,草屯鎮,衛生所,2338030016,南投縣草屯鎮衛生所,週一、週四14：00-16：00/卡介苗每月第1個星期一下午14：00-16：00,049-2362023,南投縣草屯鎮草溪路882巷7號,各項常規疫苗、卡介苗、A型肝炎疫苗、育齡婦女MMR、流感疫苗、HPV、23PPV,
南投縣,草屯鎮,合約院所,938030016,佑民醫療社團法人佑民醫院,"週二、週三14:00-16:00
卡介苗每週三下午14:00-16:00",049-2358151,南投縣草屯鎮太平路一段200號,"各項常規疫苗、卡介苗、B型肝炎免疫球蛋白
",幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、23PPV、輪狀病毒疫苗、FLU、HPV、MMR、VAR、HBIG
南投縣,草屯鎮,合約院所,3538030440,林洸燁小兒科診所,"平日07:30-12:00/13:30-18:00/18:30-21:30、週四休
假日08：00-12：00/14：00-18：00/18：30-21：30",049-2318735,南投縣草屯鎮中正路626號,各項常規疫苗、A型肝炎疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、23PPV、輪狀病毒疫苗、FLU、HPV、帶狀皰疹
南投縣,草屯鎮,合約院所,3538032962,祐幼小兒科診所,08:00-12:00/15:00-18:00/19:00-21:30、週二休,049-2320606,南投縣草屯鎮虎山路746號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、輪狀病毒疫苗
南投縣,草屯鎮,合約院所,3538033012,洪瑞成小兒科診所,08:00-12:00/14:30-18:00/18:30-21:30、週四休、週六日晚上休,049-2323151,南投縣草屯鎮中山街36號,各項常規疫苗、A型肝炎疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、23PPV、輪狀病毒疫苗、FLU、HPV
南投縣,草屯鎮,合約院所,3538032837,小太陽小兒科診所,08:00-12:00/15:00-18:00/19:00-21:30、週六休,049-2303535,南投縣草屯鎮虎山路786號,各項常規疫苗、A型肝炎疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、23PPV、輪狀病毒疫苗、FLU、HPV、帶狀?疹、日本腦炎
南投縣,草屯鎮,合約院所,3538032793,聖方小兒科診所,"08:00-12:00/16:30-21:00
週六休/週日上午休、下午上班",049-2307728,南投縣草屯鎮碧山南路21號,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、23PPV、輪狀病毒疫苗、FLU、HPV
南投縣,草屯鎮,合約院所,3538030851,錦林診所,08:00-12:00/14:30-18:00/18:45-21:30、週三休,049-2357509,南投縣草屯鎮虎山路736號,各項常規疫苗、A型肝炎疫苗,B型肝炎疫苗、13PCV、23PPV、輪狀病毒疫苗、FLU、HPV、帶狀皰疹、破傷風疫苗
南投縣,草屯鎮,合約院所,3538031081,謝立中聯合診所,08：00-12：00/15：00-18：00/18：30-21：30、週日休,049-2301010,南投縣草屯鎮碧山南路13號,各項常規疫苗,輪狀病毒疫苗、帶狀皰疹
南投縣,草屯鎮,合約院所,3538030968,蔡文雄診所,"08:00-12:00/15:00-18:00/18:50-20:50、週六看到下午17點晚上休/週日休
",049-2569085,南投縣草屯鎮富昌路2之1號,各項常規疫苗、A型肝炎疫苗,輪狀病毒疫苗、FLU
南投縣,竹山鎮,衛生所,2338040012,南投縣竹山鎮衛生所,星期二9:00~11:00(卡介苗除外，為每月第一週星期四下午2-4點),049-2642024,南投縣竹山鎮公所路126號,各項常規疫苗、卡介苗、A型肝炎疫苗、育齡婦女MMR、流感疫苗、HPV、23PPV,幼兒A型肝炎疫苗
南投縣,竹山鎮,合約院所,1538041101,竹山秀傳醫院,星期二、四早上(卡介苗除外.108年度6至12月第三週上午9-11點),049-2624266-32100,南投縣竹山鎮集山路二段75號 ,各項常規疫苗、卡介苗、B型肝炎免疫球蛋白,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、23PPV、輪狀病毒疫苗、流感(Flu，每年10月份起)、B型肝炎免疫球蛋白、子宮頸癌疫苗、帶狀皰疹疫苗、三合一疫苗、水痘、MMR
南投縣,竹山鎮,合約院所,3538041550,弘仁診所,每週二、四、六上午,049-2652259,南投縣竹山鎮集山路三段948號之1的,各項常規疫苗,幼兒A型肝炎疫苗、成人A型肝炎疫苗、B型肝炎疫苗、13PCV、輪狀病毒疫苗、流感(Flu，每年10月份起)
