確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數
侵襲性ｂ型嗜血桿菌感染症,2013,24,台南市,西港區,M,否,70+,1
侵襲性ｂ型嗜血桿菌感染症,2013,25,嘉義縣,番路鄉,M,否,70+,1
侵襲性ｂ型嗜血桿菌感染症,2013,29,高雄市,楠梓區,M,否,45-49,1
侵襲性ｂ型嗜血桿菌感染症,2013,29,新北市,汐止區,F,否,50-54,1
侵襲性ｂ型嗜血桿菌感染症,2013,29,花蓮縣,萬榮鄉,M,否,45-49,1
侵襲性ｂ型嗜血桿菌感染症,2013,36,新北市,鶯歌區,F,否,5-9,1
侵襲性ｂ型嗜血桿菌感染症,2013,45,桃園市,桃園區,M,否,60-64,1
侵襲性ｂ型嗜血桿菌感染症,2013,45,彰化縣,花壇鄉,M,否,70+,1
侵襲性ｂ型嗜血桿菌感染症,2014,14,高雄市,左營區,M,否,55-59,1
侵襲性ｂ型嗜血桿菌感染症,2014,17,新竹市,北區,F,否,0,1
侵襲性ｂ型嗜血桿菌感染症,2014,41,台東縣,金峰鄉,M,否,15-19,1
侵襲性ｂ型嗜血桿菌感染症,2014,52,桃園市,大溪區,F,否,35-39,1
侵襲性ｂ型嗜血桿菌感染症,2015,2,桃園市,八德區,F,否,40-44,1
侵襲性ｂ型嗜血桿菌感染症,2015,39,新竹縣,竹東鎮,M,否,70+,1
侵襲性ｂ型嗜血桿菌感染症,2015,50,嘉義市,西區,F,否,2,1
侵襲性ｂ型嗜血桿菌感染症,2016,7,台南市,新化區,M,否,70+,1
侵襲性ｂ型嗜血桿菌感染症,2016,11,桃園市,大園區,M,否,70+,1
侵襲性ｂ型嗜血桿菌感染症,2016,16,彰化縣,和美鎮,M,否,55-59,1
侵襲性ｂ型嗜血桿菌感染症,2016,18,新北市,板橋區,M,否,70+,1
侵襲性ｂ型嗜血桿菌感染症,2016,19,花蓮縣,吉安鄉,F,否,70+,1
侵襲性ｂ型嗜血桿菌感染症,2016,23,新北市,泰山區,F,否,65-69,1
侵襲性ｂ型嗜血桿菌感染症,2016,24,花蓮縣,玉里鎮,F,否,45-49,1
侵襲性ｂ型嗜血桿菌感染症,2016,29,嘉義市,西區,M,否,70+,1
侵襲性ｂ型嗜血桿菌感染症,2016,29,彰化縣,社頭鄉,M,否,70+,1
侵襲性ｂ型嗜血桿菌感染症,2016,29,嘉義縣,民雄鄉,M,否,70+,1
侵襲性ｂ型嗜血桿菌感染症,2016,33,新北市,土城區,M,否,70+,1
侵襲性ｂ型嗜血桿菌感染症,2016,33,桃園市,龜山區,M,否,50-54,1
侵襲性ｂ型嗜血桿菌感染症,2016,34,台北市,萬華區,M,否,60-64,1
侵襲性ｂ型嗜血桿菌感染症,2016,42,台北市,士林區,F,否,70+,1
侵襲性ｂ型嗜血桿菌感染症,2017,6,高雄市,旗山區,M,否,70+,1
侵襲性ｂ型嗜血桿菌感染症,2017,12,台東縣,海端鄉,M,否,30-34,1
侵襲性ｂ型嗜血桿菌感染症,2017,30,台北市,萬華區,M,否,70+,1
侵襲性ｂ型嗜血桿菌感染症,2017,38,屏東縣,屏東市,M,否,65-69,1
侵襲性ｂ型嗜血桿菌感染症,2017,40,花蓮縣,玉里鎮,F,否,70+,1
侵襲性ｂ型嗜血桿菌感染症,2017,49,桃園市,中壢區,F,否,40-44,1
侵襲性ｂ型嗜血桿菌感染症,2018,10,台東縣,大武鄉,M,否,65-69,1
侵襲性ｂ型嗜血桿菌感染症,2018,17,桃園市,桃園區,M,否,40-44,1
侵襲性ｂ型嗜血桿菌感染症,2018,22,桃園市,桃園區,F,否,70+,1
侵襲性ｂ型嗜血桿菌感染症,2018,26,桃園市,新屋區,F,否,70+,1
侵襲性ｂ型嗜血桿菌感染症,2018,36,嘉義縣,竹崎鄉,M,否,70+,1
侵襲性ｂ型嗜血桿菌感染症,2019,31,屏東縣,萬丹鄉,F,否,40-44,1
侵襲性ｂ型嗜血桿菌感染症,2019,49,屏東縣,屏東市,M,否,3,1
侵襲性ｂ型嗜血桿菌感染症,2019,50,台北市,文山區,M,否,70+,1
侵襲性ｂ型嗜血桿菌感染症,2020,11,台北市,士林區,F,否,70+,1
侵襲性ｂ型嗜血桿菌感染症,2020,16,彰化縣,二林鎮,M,否,60-64,1
侵襲性ｂ型嗜血桿菌感染症,2020,19,桃園市,平鎮區,M,否,45-49,1
侵襲性ｂ型嗜血桿菌感染症,2021,15,花蓮縣,卓溪鄉,F,否,45-49,1
侵襲性ｂ型嗜血桿菌感染症,2022,13,新北市,永和區,M,否,40-44,1
侵襲性ｂ型嗜血桿菌感染症,2022,31,彰化縣,二林鎮,M,否,55-59,1
侵襲性ｂ型嗜血桿菌感染症,2023,39,桃園市,楊梅區,F,否,70+,1
侵襲性ｂ型嗜血桿菌感染症,2024,13,台南市,永康區,F,否,70+,1
侵襲性ｂ型嗜血桿菌感染症,2024,22,宜蘭縣,羅東鎮,M,否,65-69,1
