確定病名,死亡年份,死亡週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,死亡病例數
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,汐止區,M,否,70+,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,土城區,M,否,60-64,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,土城區,M,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,土城區,F,否,70+,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,土城區,M,否,70+,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,蘆洲區,M,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,蘆洲區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,五股區,M,否,65-69,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,五股區,M,否,70+,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,泰山區,M,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,泰山區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,林口區,M,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,深坑區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,石碇區,F,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,新北市,八里區,M,否,55-59,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,桃園市,桃園區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,桃園市,龜山區,F,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,桃園市,龍潭區,M,否,60-64,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,桃園市,平鎮區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,宜蘭縣,頭城鎮,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,彰化縣,溪湖鎮,F,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,22,彰化縣,田中鎮,F,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,松山區,F,否,55-59,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,松山區,M,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,松山區,F,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,大安區,F,否,70+,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,大安區,M,否,70+,4
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,大同區,M,否,55-59,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,大同區,F,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,大同區,F,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,中山區,M,否,55-59,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,中山區,M,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,中山區,F,否,70+,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,內湖區,M,否,70+,3
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,南港區,M,否,50-54,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,南港區,M,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,南港區,F,否,70+,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,南港區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,士林區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,北投區,M,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,北投區,F,否,70+,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,信義區,F,否,70+,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,中正區,M,否,65-69,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,中正區,M,否,70+,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,萬華區,F,否,45-49,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,萬華區,F,否,55-59,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,萬華區,M,否,55-59,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,萬華區,F,否,60-64,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,萬華區,F,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,萬華區,M,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,萬華區,F,否,70+,3
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,萬華區,M,否,70+,12
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,文山區,M,否,60-64,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,文山區,F,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台北市,文山區,M,否,70+,3
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台中市,西屯區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,台中市,北屯區,F,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,基隆市,仁愛區,F,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,基隆市,仁愛區,M,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,基隆市,安樂區,F,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,基隆市,安樂區,M,否,70+,3
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,基隆市,信義區,F,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,新北市,板橋區,M,否,60-64,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,新北市,板橋區,F,否,65-69,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,新北市,板橋區,M,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,新北市,板橋區,F,否,70+,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,新北市,板橋區,M,否,70+,5
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,新北市,三重區,M,否,55-59,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,新北市,三重區,M,否,60-64,3
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,新北市,三重區,F,否,65-69,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,新北市,三重區,M,否,65-69,2
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,新北市,三重區,F,否,70+,3
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,新北市,三重區,M,否,70+,4
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,新北市,永和區,F,否,50-54,1
嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),2021,23,新北市,永和區,M,否,65-69,2
