受補助單位,補助日期,撥款金額,核准日期,累計撥款金額,補助事項或支出用途,縣市別,,
衛生福利部臺中醫院,109/08/10,"1,452,000 ",109/02/15,"2,420,000 ",109年傳染病防治醫療網應變醫院病房維護費補（捐）助方案,臺中市,,
衛生福利部臺南醫院,109/07/30,"1,468,500 ",109/02/15,"2,447,500 ",109年傳染病防治醫療網應變醫院病房維護費補（捐）助方案,臺南市,,
國立臺北商業大學,109/04/29,0 ,109/03/11,"20,000 ",109年補助民間團體及大專校院辦理愛滋病防治工作計畫,臺北市,,
國立成功大學醫學院附設醫院,109/03/30,0 ,109/03/19,"700,000 ",傳染病防治醫療網支援合作醫院109年行政作業款,臺南市,,
國立臺灣大學醫學院附設醫院,109/04/01,0 ,109/03/19,"700,000 ",傳染病防治醫療網支援合作醫院109年行政作業款,臺北市,,
高雄榮民總醫院,109/09/08,"32,000 ",109/05/09,"32,000 ",109年本署補助腸病毒責任醫院辦理醫護人員訓練經費,高雄市,,
臺中榮民總醫院,109/09/03,"12,975 ",109/05/09,"12,975 ",109年本署補助腸病毒責任醫院辦理醫護人員訓練經費,臺中市,,
國立臺灣大學,109/08/10,"420,000 ",109/08/06,"420,000 ",109年暴露愛滋病毒前預防性投藥(PrEP)血中藥物濃度檢測計畫,臺北市,,
天主教聖功醫療財團法人聖功醫院,109/08/19,"82,642 ",109/01/01,"132,227 ",109年抗生素抗藥性管理通報系統補捐助案,高雄市,,
台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,109/08/28,"82,642 ",109/01/01,"132,227 ",109年抗生素抗藥性管理通報系統補捐助案,臺北市,,
台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,109/08/19,"82,642 ",109/01/01,"132,227 ",109年抗生素抗藥性管理通報系統補捐助案,新竹市,,
佛教慈濟醫療財團法人大林慈濟醫院,109/08/19,"82,642 ",109/01/01,"132,227 ",109年抗生素抗藥性管理通報系統補捐助案,嘉義縣,,
秀傳醫療財團法人彰濱秀傳紀念醫院,109/08/21,"82,642 ",109/01/01,"132,227 ",109年抗生素抗藥性管理通報系統補捐助案,彰化縣,,
長庚醫療財團法人高雄長庚紀念醫院,109/08/28,"82,642 ",109/01/01,"132,227 ",109年抗生素抗藥性管理通報系統補捐助案,高雄市,,
國泰醫療財團法人國泰綜合醫院,109/08/19,"82,642 ",109/01/01,"132,227 ",109年抗生素抗藥性管理通報系統補捐助案,臺北市,,
彰化基督教醫療財團法人員林基督教醫院,109/08/19,"82,642 ",109/01/01,"132,227 ",109年抗生素抗藥性管理通報系統補捐助案,彰化縣,,
臺灣基督教門諾會醫療財團法人門諾醫院,109/08/19,"82,642 ",109/01/01,"132,227 ",109年抗生素抗藥性管理通報系統補捐助案,花蓮縣,,
台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,109/02/26,0 ,109/02/03,"60,000 ",109年度補助醫院辦理漢生病個案確診及治療計畫,臺北市,,
中山醫學大學附設醫院,109/08/27,"7,500 ",109/02/10,"15,000 ",109年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥計畫(PrEP)計畫,臺中市,,
天主教若瑟醫療財團法人若瑟醫院,109/02/26,0 ,109/02/10,"12,500 ",109年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥計畫(PrEP)計畫,雲林縣,,
台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,109/03/01,0 ,109/02/10,"20,000 ",109年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥計畫(PrEP)計畫,臺北市,,
台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,109/09/16,"12,500 ",109/02/10,"25,000 ",109年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥計畫(PrEP)計畫,新竹市,,
長庚醫療財團法人基隆長庚紀念醫院,109/02/26,0 ,109/02/10,"12,500 ",109年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥計畫(PrEP)計畫,基隆市,,
長庚醫療財團法人嘉義長庚紀念醫院,109/04/06,0 ,109/02/10,"12,500 ",109年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥計畫(PrEP)計畫,嘉義縣,,
財團法人私立高雄醫學大學附設中和紀念醫院,109/09/04,"20,000 ",109/02/10,"40,000 ",109年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥計畫(PrEP)計畫,高雄市,,
彰化基督教醫療財團法人彰化基督教醫院,109/02/26,0 ,109/02/10,"12,500 ",109年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥計畫(PrEP)計畫,彰化縣,,
戴德森醫療財團法人嘉義基督教醫院,109/02/26,0 ,109/02/10,"22,500 ",109年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥計畫(PrEP)計畫,嘉義市,,
醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,109/09/11,"20,000 ",109/02/10,"40,000 ",109年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥計畫(PrEP)計畫,新北市,,
光宇學校財團法人元培醫事科技大學,109/05/01,0 ,109/03/11,"20,000 ",109年補助民間團體及大專校院辦理愛滋病防治工作計畫,新竹市,,
財團法人台灣紅絲帶基金會,109/04/23,0 ,109/03/11,"1,212,400 ",109年補助民間團體及大專校院辦理愛滋病防治工作計畫,臺北市,,
財團法人台灣關愛基金會,109/04/23,0 ,109/03/11,"1,264,000 ",109年補助民間團體及大專校院辦理愛滋病防治工作計畫,臺北市,,
財團法人杏陵醫學基金會,109/04/06,0 ,109/03/11,"528,000 ",109年補助民間團體及大專校院辦理愛滋病防治工作計畫,臺北市,,
財團法人護理人員愛滋病防治基金會,109/05/01,0 ,109/03/11,"100,000 ",109年補助民間團體及大專校院辦理愛滋病防治工作計畫,臺北市,,
中國醫藥大學附設醫院,109/03/31,0 ,109/03/19,"700,000 ",傳染病防治醫療網支援合作醫院109年行政作業款,臺中市,,
佛教慈濟醫療財團法人花蓮慈濟醫院,109/04/06,0 ,109/03/19,"700,000 ",傳染病防治醫療網支援合作醫院109年行政作業款,花蓮縣,,
長庚醫療財團法人林口長庚紀念醫院,109/03/26,0 ,109/03/19,"700,000 ",傳染病防治醫療網支援合作醫院109年行政作業款,桃園市,,
財團法人私立高雄醫學大學附設中和紀念醫院,109/03/31,0 ,109/03/19,"700,000 ",傳染病防治醫療網支援合作醫院109年行政作業款,高雄市,,
財團法人肝病防治學術基金會 ,109/05/28,0 ,109/04/22,"100,000 ",109年度補(捐)助民間團體辦理急性病毒性肝炎防治衛生教育,臺北市,,
財團法人兒童肝膽疾病防治基金會,109/05/13,0 ,109/04/22,"100,000 ",109年度補(捐)助民間團體辦理急性病毒性肝炎防治衛生教育,臺北市,,
天主教若瑟醫療財團法人若瑟醫院,109/09/03,"22,967 ",109/05/09,"22,967 ",109年本署補助腸病毒責任醫院辦理醫護人員訓練經費,雲林縣,,
台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,109/09/17,"27,816 ",109/05/09,"27,816 ",109年本署補助腸病毒責任醫院辦理醫護人員訓練經費,新竹市,,
天成醫療社團法人天晟醫院,109/08/19,"82,642 ",109/01/01,"132,227 ",109年抗生素抗藥性管理通報系統補捐助案,桃園市,,
東元醫療社團法人東元綜合醫院,109/08/19,"82,642 ",109/01/01,"132,227 ",109年抗生素抗藥性管理通報系統補捐助案,新竹縣,,
寶建醫療社團法人寶建醫院,109/08/19,"82,642 ",109/01/01,"132,227 ",109年抗生素抗藥性管理通報系統補捐助案,屏東縣,,
社團法人台灣內科醫學會,109/09/22,"250,000 ",109/01/29,"250,000 ",「成人重要傳染病防治」醫護人員教育訓練,臺北市,,
竹山秀傳醫院,109/02/26,0 ,109/02/10,"22,500 ",109年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥計畫(PrEP)計畫,南投縣,,
東元醫療社團法人東元綜合醫院,109/03/01,0 ,109/02/10,"10,000 ",109年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥計畫(PrEP)計畫,新竹縣,,
高雄市立大同醫院(委託財團法人私立高雄醫學大學附設中和紀念醫院經營),109/03/16,0 ,109/02/10,"11,750 ",109年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥計畫(PrEP)計畫,高雄市,,
中華身心健康促進暨研究協會,109/04/23,0 ,109/03/11,"40,000 ",109年補助民間團體及大專校院辦理愛滋病防治工作計畫,桃園市,,
世界和平婦女會台灣總會,109/04/01,0 ,109/03/11,"80,000 ",109年補助民間團體及大專校院辦理愛滋病防治工作計畫,臺北市,,
台灣年輕藥師協會,109/04/23,0 ,109/03/11,"150,000 ",109年補助民間團體及大專校院辦理愛滋病防治工作計畫,臺北市,,
台灣愛滋病學會,109/04/23,0 ,109/03/11,"821,600 ",109年補助民間團體及大專校院辦理愛滋病防治工作計畫,臺北市,,
社團法人中華民國愛滋感染者權益促進會,109/04/06,0 ,109/03/11,"240,000 ",109年補助民間團體及大專校院辦理愛滋病防治工作計畫,臺北市,,
社團法人中華民國醫務社會工作協會,109/04/01,0 ,109/03/11,"100,000 ",109年補助民間團體及大專校院辦理愛滋病防治工作計畫,臺北市,,
社團法人台北市日日春關懷互助協會,109/05/01,0 ,109/03/11,"200,000 ",109年補助民間團體及大專校院辦理愛滋病防治工作計畫,臺北市,,
社團法人台灣愛之希望協會,109/04/23,0 ,109/03/11,"495,200 ",109年補助民間團體及大專校院辦理愛滋病防治工作計畫,高雄市,,
社團法人台灣愛滋病護理學會,109/05/01,0 ,109/03/11,"520,000 ",109年補助民間團體及大專校院辦理愛滋病防治工作計畫,臺北市,,
社團法人台灣新滋識同盟,109/05/01,0 ,109/03/11,"200,000 ",109年補助民間團體及大專校院辦理愛滋病防治工作計畫,新北市,,
社團法人台灣預防醫學學會,109/04/06,0 ,109/03/11,"200,000 ",109年補助民間團體及大專校院辦理愛滋病防治工作計畫,臺北市,,
社團法人台灣露德協會,109/05/01,0 ,109/03/11,"920,000 ",109年補助民間團體及大專校院辦理愛滋病防治工作計畫,臺北市,,
社團法人彰化縣馨滋關懷協會,109/04/23,0 ,109/03/11,"4,100 ",109年補助民間團體及大專校院辦理愛滋病防治工作計畫,彰化縣,,
臺灣腎臟護理學會,109/05/19,0 ,109/03/13,"200,000 ",醫療院所透析單位急性病毒性B、C型肝炎防治教育訓練,臺北市,,
台灣結核暨肺部疾病醫學會,109/04/28,0 ,109/04/15,"570,000 ",「109年結核病防治教育訓練補助計畫」-醫師結核病防治教育訓練計畫 ,臺北市,,
台灣結核暨肺部疾病醫學會,109/04/28,0 ,109/04/22,"1,110,000 ",109年結核病防治教育訓練補助計畫-結核病個案管理師教育訓練及認證,臺北市,,
社團法人中華民國腹膜透析腎友協會,109/05/28,0 ,109/04/22,"100,000 ",109年度補(捐)助民間團體辦理急性病毒性肝炎防治衛生教育,臺北市,,
童綜合醫療社團法人童綜合醫院,109/09/15,"19,699 ",109/05/09,"19,699 ",109年本署補助腸病毒責任醫院辦理醫護人員訓練經費,臺中市,,
個人,109/09/26,"174,148,492 ",109/01/01,"349,116,492 ",109年度「結核病及漢生病直接觀察治療都治執行計畫」,各縣市,,
個人,109/09/21,"15,401,000 ",109/01/01,"145,905,000 ",109年度補助建構抗藥性結核病醫療照護體系計畫,各縣市,,
個人,109/09/22,"79,472 ",109/01/01,"251,772 ",因執行業務意外暴露感染源之預防性投藥醫療費用,各縣市,,
個人,109/08/14,"2,750 ",109/01/01,"22,952 ",因執行業務意外暴露感染源之預防性投藥醫療費用,各縣市,,
個人,109/07/01,"14,088 ",109/01/01,"80,768 ",因執行業務意外暴露感染源之預防性投藥醫療費用,各縣市,,
個人,109/09/09,"88,783 ",109/01/01,"134,219 ",因執行業務意外暴露感染源之預防性投藥醫療費用,各縣市,,
個人,109/09/15,"128,372 ",109/01/01,"211,144 ",因執行業務意外暴露感染源之預防性投藥醫療費用,各縣市,,
個人,109/09/22,"96,588 ",109/01/01,"262,473 ",因執行業務意外暴露感染源之預防性投藥醫療費用,各縣市,,
個人,109/07/07,"1,773,816 ",109/01/08,"3,020,000 ",「109年公費抗結核藥品cycloserine」採購案,各縣市,,
個人,109/02/04,0 ,109/01/08,"1,233,213,000 ",支付愛滋醫療費用,各縣市,,
個人,109/09/18,"19,812,000 ",109/01/13,"38,100,000 ",109年抗結核公費藥品Bedaquiline,各縣市,,
個人,109/02/24,0 ,109/01/21,"6,149,725 ",109年度愛滋病指定醫事機構服務品質提升計畫,各縣市,,
個人,109/02/24,0 ,109/01/21,"333,430 ",109年度愛滋病指定醫事機構服務品質提升計畫,各縣市,,
個人,109/02/17,0 ,109/01/21,"3,533,240 ",109年度愛滋病指定醫事機構服務品質提升計畫,各縣市,,
個人,109/02/26,0 ,109/01/21,"3,098,960 ",109年度愛滋病指定醫事機構服務品質提升計畫,各縣市,,
個人,109/03/11,0 ,109/01/21,"6,929,420 ",109年度愛滋病指定醫事機構服務品質提升計畫,各縣市,,
個人,109/02/03,0 ,109/01/22,"5,186,311 ",107年愛滋醫療費用欠款之利息,各縣市,,
個人,109/09/16,"1,638,218 ",109/02/10,"5,419,731 ",109年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥計畫(PrEP)計畫,各縣市,,
個人,109/02/13,0 ,109/02/11,"318,393 ",107年醫療費用欠款利息,各縣市,,
個人,109/09/07,"55,200 ",109/02/11,"146,400 ",109年慢性傳染性結核病個案住院營養暨生活費補助,各縣市,,
個人,109/08/01,"20,000,000 ",109/02/11,"40,000,000 ",109年藥癮愛滋個案替代治療計畫,各縣市,,
個人,109/08/05,"23,000,000 ",109/02/13,"46,000,000 ",孕婦全面愛滋篩檢,各縣市,,
個人,109/08/03,"84,478,000 ",109/02/15,"170,956,000 ",109年委託健保署代辦公務預算支付結核病等醫療費用,各縣市,,
個人,109/03/04,0 ,109/02/15,"1,120,500 ",愛滋匿名篩檢服務拓點計畫,各縣市,,
個人,109/08/25,"10,000,000 ",109/02/17,"20,000,000 ",「性傳染病、急性病毒性肝炎或藥癮病患全面篩檢愛滋計畫」醫療費用,各縣市,,
個人,109/09/02,"400,000 ",109/02/21,"816,000 ",109年度抗結核免費藥品levofloxacin 750mg採購案,各縣市,,
個人,109/08/05,"260,000 ",109/03/02,"468,000 ",「109年公費抗結核藥品streptomycin」採購案,各縣市,,
個人,109/08/17,"889,200 ",109/03/10,"889,200 ",「109年度專案進口公費抗結核藥品clofazimine」採購案,各縣市,,
個人,109/03/12,0 ,109/03/10,"282,295 ",因108年菸金繳納107年愛滋醫療費用欠款而衍生之利息支出,各縣市,,
個人,109/03/13,0 ,109/03/10,"81,144 ",專案進口公費抗結核藥品兒童複方可溶錠RH/RHZ,各縣市,,
個人,109/03/16,0 ,109/03/11,"1,950 ",補助感染愛滋之藥害血友病患者108年下半年度全民健保自付保費,各縣市,,
個人,109/03/24,0 ,109/03/19,"21,960 ",結核病人用Amikacin 250mg 900支,各縣市,,
個人,109/04/01,0 ,109/03/30,"51,600 ","結核病人用Levofloxacin 500mg 12,000顆",各縣市,,
個人,109/06/17,0 ,109/04/16,"1,170,909 ",109年度公費抗結核藥品PAS採購案,各縣市,,
個人,109/05/19,0 ,109/04/21,"1,089,600 ",109年度公費抗結核藥品moxifloxacin採購案,各縣市,,
個人,109/06/01,0 ,109/05/13,"2,138,400 ",109年度專案進口公費抗結核藥品delamanid採購案,各縣市,,
個人,109/06/18,0 ,109/06/15,"1,826,870 ",109年度愛滋病指定醫事機構服務品質提升計畫,各縣市,,
個人,109/09/24,"750,000 ",109/07/23,"750,000 ",109年專案進口公費抗結核藥品kanamycin採購案,各縣市,,
個人,109/07/31,"78,059 ",109/07/28,"78,059 ",108年愛滋醫療費用欠款之利息,各縣市,,
個人,109/08/27,"42,059 ",109/08/24,"42,059 ",108年愛滋醫療費用欠款利息,各縣市,,
個人,109/09/10,"2,697 ",109/09/02,"2,697 ",藥害血友病患者健保自付保費,各縣市,,
個人,109/02/06,0 ,109/02/04,"14,114 ",本署108年退休人員優惠存款差額利息(江○○),各縣市,,
個人,109/08/05,"246,111 ",109/08/03,"246,111 ",本署聘任退休人員陳○○君及楊○○君108年度優惠存款差額利息歸墊,各縣市,,
個人,109/09/08,"230,000 ",108/12/24,"690,000 ",109年退職工友(含遺眷)三節慰問金,各縣市,,
個人,109/09/26,"176,000 ",108/12/25,"530,000 ",109年致贈退休人員及在職亡故同仁之遺族三節慰問金,各縣市,,
個人,109/07/03,"28,000 ",109/05/08,"28,000 ",109年三麻一風監視調查作業之病例通報獎金,各縣市,,
個人,109/07/03,"20,000 ",109/07/01,"40,000 ",登革熱通報獎金,各縣市,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
