受補(捐)助單位,核准日期,累計撥付金額,補(捐)助事項或用途,縣市別
疫苗基金,112/02/02,"2,500,000,000 ",撥充疫苗基金辦理COVID-19疫苗採購及相關接種作業所需費用,臺北市
台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,112/01/01,"6,000 ",112年愛滋病指定醫事機構服務品質提升計畫,臺東縣
台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,112/01/01,"50,000 ",112年度補助醫院辦理漢生病個案確診及治療計畫,臺北市
財團法人台灣紅絲帶基金會,112/01/01,"1,000,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,臺北市
財團法人台灣關愛基金會,112/01/01,"1,036,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,臺北市
財團法人杏陵醫學基金會,112/01/01,"414,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,臺北市
財團法人護理人員愛滋病防治基金會,112/01/01,"110,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,臺北市
彰化基督教醫療財團法人彰化基督教醫院,112/01/01,"6,000 ",112年愛滋病指定醫事機構服務品質提升計畫,彰化縣
財團法人台灣肝臟研究暨教育基金會,112/02/12,"300,000 ",2023年亞太肝臟研究學會32nd Conference of the Asian Pacific Association for the Study of the Liver(2023APASL Annual Meeting),臺北市
人和藥局,112/01/01,"6,000 ",112年愛滋病指定醫事機構服務品質提升計畫,高雄市
人和藥局(屏東),112/01/01,"6,000 ",112年愛滋病指定醫事機構服務品質提升計畫,屏東縣
日信藥局(彰化員林),112/01/01,"16,000 ",112年愛滋病指定醫事機構服務品質提升計畫,彰化縣
世界和平婦女會台灣總會,112/01/01,"80,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,臺北市
台灣同志運動發展協會,112/01/01,"100,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,臺北市
台灣年輕藥師協會,112/01/01,"100,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,臺北市
台灣愛滋病學會,112/01/01,"560,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,臺北市
台灣預防醫學學會,112/01/01,"134,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,臺北市
未來診所,112/01/01,"16,000 ",112年愛滋病指定醫事機構服務品質提升計畫,高雄市
社團法人中華民國台灣懷愛協會,112/01/01,"250,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,臺中市
社團法人中華民國愛滋感染者權益促進會,112/01/01,"200,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,臺北市
社團法人台北市日日春關懷互助協會,112/01/01,"200,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,臺北市
社團法人台灣愛之希望協會,112/01/01,"420,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,高雄市
社團法人台灣愛滋病護理學會,112/01/01,"1,136,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,臺北市
社團法人台灣新滋識同盟,112/01/01,"280,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,新北市
社團法人台灣跨虹者權益促進協會,112/01/01,"360,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,臺北市
社團法人台灣露德協會,112/01/01,"568,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,臺北市
柏愛藥局(新北市),112/01/01,"16,000 ",112年愛滋病指定醫事機構服務品質提升計畫,新北市
柏愛藥局(臺北市),112/01/01,"6,000 ",112年愛滋病指定醫事機構服務品質提升計畫,臺北市
家安藥師藥局,112/01/01,"6,000 ",112年愛滋病指定醫事機構服務品質提升計畫,屏東縣
個人,111/11/05,"53,259,000 ",112年建構抗藥性結核病醫療照護體系補助計畫,各縣市
個人,111/12/01,"1,180,000 ",112年公費抗結核藥品prothionamide,各縣市
個人,111/12/14,"545,016 ",112年補助臺南市政府衛生局配置保全人員,各縣市
個人,112/01/01,"127,887,452 ",112年愛滋病指定醫事機構服務品質提升計畫,各縣市
個人,112/01/01,"1,597,620 ",112年矯正機關潛伏結核感染檢驗與治療計畫,各縣市
個人,112/01/10,"211,935,000 ",112年度結核病及漢生病直接觀察治療都治執行計畫,各縣市
個人,112/01/13,"128,000 ",112年度愛滋匿名篩檢服務拓點計畫,各縣市
個人,112/01/17,"207,019 ",112年因執行職務意外暴露愛滋病毒後預防性投藥,各縣市
個人,112/01/17,"150,652 ",112年疑似愛滋感染嬰幼兒醫療照護作業補助費用,各縣市
個人,112/01/30,"16,000,000,000 ",112年本署委託衛生福利部中央健康保險署代辦支付嚴重特殊傳染性肺炎隔離治療費用,各縣市
個人,112/02/09,"1,387,358 ",112年非愛滋指定醫事機構PrEP計畫,各縣市
個人,112/02/10,"80,000,000 ",112年結核醫療費用,各縣市
個人,112/02/15,"210,000,000 ",112年愛滋醫療費用,各縣市
個人,112/02/15,"15,000,000 ",112年藥癮愛滋個案替代治療計畫,各縣市
個人,112/02/17,"5,000,000 ",112年性病、急性病毒性肝炎及藥癮患者全面篩檢愛滋病毒計畫(委託中央健保署代收代付)(B1),各縣市
個人,112/02/20,"16,000,000 ",112年孕婦全面愛滋篩檢(1至12月醫療費用),各縣市
個人,112/03/21,"1,597,858,300 ",112年臺灣清冠一號公費藥品補助費用,各縣市
個人,112/03/27,"500,000,000 ",肺炎死亡喪葬慰問金等,各縣市
個人,112/01/16,"202,539 ",本署退休人員(聘任人員)111年度優惠存款差額利息歸墊,各縣市
個人,111/12/23,"164,000 ",112年致贈退休人員及在職亡故同仁之遺族三節慰問金(春節),各縣市
個人,111/12/23,"224,000 ",112年退職工友(含遺眷)春節慰問金,各縣市
個人,112/03/03,"2,500 ",屈公病通報獎金,各縣市
個人,112/03/06,"2,960,000,000 ",負壓隔離病房、專責病房醫護人員津貼,臺北市
