受補助單位,補助日期,撥款金額,核准日期,累計撥款金額,補助事項或支出用途,縣市別
宜蘭縣政府衛生局,112/01/03,0 ,1110825,"102,222 ",因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案-COVID-19疫苗接種作業子計畫,宜蘭縣
花蓮縣衛生局,112/01/04,0 ,1110825,"24,050 ",因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案-COVID-19疫苗接種作業子計畫,花蓮縣
南投縣政府衛生局,112/01/11,0 ,1110825,"50,000 ",因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案-COVID-19疫苗接種作業子計畫,南投縣
屏東縣政府衛生局,112/01/10,0 ,1110825,"464,250 ",因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案-COVID-19疫苗接種作業子計畫,屏東縣
苗栗縣政府衛生局,112/01/06,0 ,1110825,"114,000 ",因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案-COVID-19疫苗接種作業子計畫,苗栗縣
基隆市衛生局,112/01/06,0 ,1110825,"39,000 ",因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案-COVID-19疫苗接種作業子計畫,基隆市
嘉義市政府衛生局,112/01/04,0 ,1110825,"441,800 ",因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案-COVID-19疫苗接種作業子計畫,嘉義市
臺東縣衛生局,112/01/04,0 ,1110825,"103,500 ",因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案-COVID-19疫苗接種作業子計畫,臺東縣
高雄榮民總醫院,112/01/05,"441,604 ",1110101,"890,354 ",111年「感染管制與抗生素管理卓越計畫補捐助案」,高雄市
國立臺灣大學醫學院附設醫院,112/01/03,"433,743 ",1110101,"882,493 ",111年「感染管制與抗生素管理卓越計畫補捐助案」,臺北市
國立陽明交通大學附設醫院,111/11/22,"42,000 ",1110101,"42,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,宜蘭縣
高雄榮民總醫院,111/12/05,"22,000 ",1110101,"22,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,高雄市
國軍高雄總醫院左營分院附設民眾診療服務處,111/12/02,"40,000 ",1110101,"40,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,高雄市
臺中榮民總醫院埔里分院,111/11/18,"133,000 ",1110101,"133,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,南投縣
衛生福利部南投醫院,111/11/25,"22,000 ",1110101,"22,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,南投縣
衛生福利部屏東醫院,111/12/02,"56,000 ",1110101,"56,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,屏東縣
衛生福利部恆春旅遊醫院,111/12/02,"32,000 ",1110101,"32,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,屏東縣
衛生福利部旗山醫院,111/11/18,"32,000 ",1110101,"32,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,高雄市
衛生福利部豐原醫院,111/12/02,"64,000 ",1110101,"64,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,臺中市
國立成功大學醫學院附設醫院,111/11/17,0 ,1110101,"26,015 ",111年度補助醫院辦理漢生病個案確診及治療計畫,臺南市
國立臺灣大學醫學院附設醫院,111/12/29,0 ,1110101,"100,000 ",111年度補助醫院辦理漢生病個案確診及治療計畫,臺北市
臺中榮民總醫院,111/12/28,0 ,1110101,"94,365 ",111年度補助醫院辦理漢生病個案確診及治療計畫,臺中市
衛生福利部樂生療養院,111/12/26,0 ,1110101,"27,882 ",111年度補助醫院辦理漢生病個案確診及治療計畫,新北市
國立陽明交通大學附設醫院,111/12/31,0 ,1110101,"4,500 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,宜蘭縣
國立成功大學醫學院附設醫院,111/12/28,"1,500 ",1110101,"41,500 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,臺南市
高雄榮民總醫院,111/12/21,"6,000 ",1110101,"31,000 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,高雄市
國立臺灣大學醫學院附設醫院,112/01/04,0 ,1110101,"97,500 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,臺北市
國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院竹北院區,111/12/28,"5,000 ",1110101,"11,000 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,新竹縣
國?臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,111/12/12,"1,500 ",1110101,"15,500 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,新竹市
臺中榮民總醫院,111/12/26,"31,575 ",1110101,"1,331,179 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,臺中市
臺北市立聯合醫院林森中醫昆明院區,111/12/28,0 ,1110101,"1,939,914 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,臺北市
臺北榮民總醫院,112/01/06,0 ,1110101,"1,223,225 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,臺北市
衛生福利部南投醫院,111/12/28,"8,500 ",1110101,"8,500 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,南投縣
衛生福利部屏東醫院,111/12/28,"11,500 ",1110101,"11,500 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,屏東縣
衛生福利部桃園醫院,111/12/13,0 ,1110101,"561,513 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,桃園市
高雄市立民生醫院,111/12/26,"33,000 ",1111003,"33,000 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,高雄市
三軍總醫院澎湖分院附設民眾診療服務處,111/09/19,0 ,1110414,"15,000 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,澎湖縣
高雄榮民總醫院,111/09/19,0 ,1110414,"29,000 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,高雄市
國?臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,111/11/10,"8,500 ",1110414,"8,500 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,新竹市
臺中榮民總醫院,111/08/12,0 ,1110414,"10,464 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,臺中市
衛生福利部南投醫院,111/10/17,"8,180 ",1110414,"8,180 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,南投縣
衛生福利部苗栗醫院,111/11/09,"3,800 ",1110414,"3,800 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,苗栗縣
衛生福利部桃園醫院,111/10/17,"15,375 ",1110414,"15,375 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,桃園市
國立成功大學醫學院附設醫院,111/11/23,0 ,1110504,"768,226 ",111年度傳染病防治醫療網支援合作醫院補（捐）助行政作業款調整,臺南市
國立臺灣大學醫學院附設醫院,111/11/23,0 ,1110504,"950,000 ",111年度傳染病防治醫療網支援合作醫院補（捐）助行政作業款調整,臺北市
衛生福利部花蓮醫院,111/11/03,"2,229,794 ",1110604,"2,229,794 ",補助傳染病防治醫療網應變醫院強化負壓隔離病房硬體結構/設備,花蓮縣
衛生福利部南投醫院,111/11/21,"1,623,000 ",1110611,"1,623,000 ",補助傳染病防治醫療網應變醫院強化負壓隔離病房硬體結構/設備,南投縣
國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院竹北院區,111/12/19,"2,084,250 ",1110618,"2,084,250 ",補助傳染病防治醫療網應變醫院強化負壓隔離病房硬體結構/設備,新竹縣
三軍總醫院澎湖分院附設民眾診療服務處,112/01/09,"366,560 ",1110705,"670,560 ",111年度傳染病防治醫療網應變醫院病房維護費補助,澎湖縣
高雄市立民生醫院,111/11/17,"747,000 ",1110705,"1,245,000 ",111年度傳染病防治醫療網應變醫院病房維護費補助,高雄市
國立陽明交通大學附設醫院,111/12/20,"438,000 ",1110705,"730,000 ",111年度傳染病防治醫療網應變醫院病房維護費補助,宜蘭縣
國立臺灣大學醫學院附設醫院雲林分院,111/12/30,"1,214,400 ",1110705,"2,024,000 ",111年度傳染病防治醫療網應變醫院病房維護費補助,雲林縣
國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院竹北院區,112/01/06,"214,645 ",1110705,"706,645 ",111年度傳染病防治醫療網應變醫院病房維護費補助,新竹縣
國?臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,111/12/28,"1,240,800 ",1110705,"2,068,000 ",111年度傳染病防治醫療網應變醫院病房維護費補助,新竹市
連江縣立醫院,111/12/24,0 ,1110705,"620,000 ",111年度傳染病防治醫療網應變醫院病房維護費補助,連江縣
新北市立聯合醫院三重院區,111/12/06,"462,000 ",1110705,"770,000 ",111年度傳染病防治醫療網應變醫院病房維護費補助,新北市
臺北市立聯合醫院和平院區,111/12/22,0 ,1110705,"3,282,500 ",111年度傳染病防治醫療網應變醫院病房維護費補助,臺北市
衛生福利部花蓮醫院,111/12/30,"936,000 ",1110705,"1,560,000 ",111年度傳染病防治醫療網應變醫院病房維護費補助,花蓮縣
衛生福利部金門醫院,111/12/15,0 ,1110705,"780,000 ",111年度傳染病防治醫療網應變醫院病房維護費補助,金門縣
衛生福利部南投醫院,112/01/07,"271,474 ",1110705,"579,474 ",111年度傳染病防治醫療網應變醫院病房維護費補助,南投縣
衛生福利部屏東醫院,111/12/16,0 ,1110705,"2,475,000 ",111年度傳染病防治醫療網應變醫院病房維護費補助,屏東縣
衛生福利部苗栗醫院,111/12/22,"418,580 ",1110705,"726,580 ",111年度傳染病防治醫療網應變醫院病房維護費補助,苗栗縣
衛生福利部桃園醫院新屋分院,112/01/05,"1,485,000 ",1110705,"2,475,000 ",111年度傳染病防治醫療網應變醫院病房維護費補助,桃園市
衛生福利部基隆醫院,112/01/03,"368,000 ",1110705,"616,000 ",111年度傳染病防治醫療網應變醫院病房維護費補助,基隆市
衛生福利部嘉義醫院,111/12/22,"444,000 ",1110705,"740,000 ",111年度傳染病防治醫療網應變醫院病房維護費補助,嘉義市
衛生福利部彰化醫院,112/01/03,"918,000 ",1110705,"1,530,000 ",111年度傳染病防治醫療網應變醫院病房維護費補助,彰化縣
衛生福利部臺中醫院,112/01/09,"1,296,521 ",1110705,"2,297,521 ",111年度傳染病防治醫療網應變醫院病房維護費補助,臺中市
衛生福利部臺東醫院,111/12/24,0 ,1110705,"645,291 ",111年度傳染病防治醫療網應變醫院病房維護費補助,臺東縣
衛生福利部臺南醫院,111/12/31,"1,382,080 ",1110705,"2,394,080 ",111年度傳染病防治醫療網應變醫院病房維護費補助,臺南市
國立彰化師範大學,111/12/08,0 ,1110101,"20,000 ",111年補助民間團體及大專校院辦理愛滋病防治工作計畫,彰化縣
疫苗基金,111/12/06,"280,506,000 ",1110117,"1,048,506,000 ",111年國庫撥補款,臺北市
衛生福利部,111/04/28,0 ,1110328,"397,573 ",本署聘任人員109年度調降退休所得節省經費挹注退撫基金,臺北市
中國醫藥大學附設醫院,112/01/05,"400,865 ",1110101,"869,615 ",111年「感染管制與抗生素管理卓越計畫補捐助案」,臺中市
長庚醫療財團法人林口長庚紀念醫院,112/01/03,"421,750 ",1110101,"850,500 ",111年「感染管制與抗生素管理卓越計畫補捐助案」,桃園市
中國醫藥大學附設醫院,111/12/02,"32,000 ",1110101,"32,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,臺中市
天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,111/12/01,"53,000 ",1110101,"53,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,嘉義市
天主教靈醫會醫療財團法人羅東聖母醫院,111/12/01,"79,000 ",1110101,"79,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,宜蘭縣
台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,111/11/25,"49,000 ",1110101,"49,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,臺東縣
台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,111/12/02,"65,000 ",1110101,"65,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,新竹市
佛教慈濟醫療財團法人台北慈濟醫院,111/11/18,"30,000 ",1110101,"30,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,新北市
佛教慈濟醫療財團法人玉里慈濟醫院,111/12/02,"289,000 ",1110101,"289,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,花蓮縣
佛教慈濟醫療財團法人花蓮慈濟醫院,111/12/02,"26,000 ",1110101,"26,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,花蓮縣
佛教慈濟醫療財團法人關山慈濟醫院,111/12/12,"40,000 ",1110101,"40,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,臺東縣
東基醫療財團法人台東基督教醫院,111/12/02,"27,000 ",1110101,"27,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,臺東縣
長庚醫療財團法人林口長庚紀念醫院,111/11/25,"60,000 ",1110101,"60,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,桃園市
屏基醫療財團法人屏東基督教醫院,111/12/02,"125,000 ",1110101,"125,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,屏東縣
埔基醫療財團法人埔里基督教醫院,111/11/30,"115,000 ",1110101,"115,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,南投縣
財團法人私立高雄醫學大學附設中和紀念醫院,111/12/01,"39,000 ",1110101,"39,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,高雄市
彰化基督教醫療財團法人南投基督教醫院,111/11/18,"97,000 ",1110101,"97,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,南投縣
臺灣基督教門諾會醫療財團法人門諾醫院,111/12/01,"49,000 ",1110101,"49,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,花蓮縣
戴德森醫療財團法人嘉義基督教醫院,111/11/22,"47,000 ",1110101,"47,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,嘉義市
醫療財團法人羅許基金會羅東博愛醫院,111/11/25,"49,000 ",1110101,"49,000 ",111年山地原鄉合作院所胸部X光篩檢補助計畫,宜蘭縣
中國醫藥大學附設醫院,111/11/23,0 ,1110504,"800,000 ",111年度傳染病防治醫療網支援合作醫院補（捐）助行政作業款調整,臺中市
佛教慈濟醫療財團法人花蓮慈濟醫院,111/11/23,0 ,1110504,"741,264 ",111年度傳染病防治醫療網支援合作醫院補（捐）助行政作業款調整,花蓮縣
長庚醫療財團法人林口長庚紀念醫院,111/11/16,0 ,1110504,"871,421 ",111年度傳染病防治醫療網支援合作醫院補（捐）助行政作業款調整,桃園市
財團法人私立高雄醫學大學附設中和紀念醫院,111/11/17,0 ,1110504,"800,000 ",111年度傳染病防治醫療網支援合作醫院補（捐）助行政作業款調整,高雄市
長庚醫療財團法人嘉義長庚紀念醫院,111/12/28,"741,023 ",1110705,"1,245,023 ",111年度傳染病防治醫療網應變醫院病房維護費補助,嘉義縣
台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,111/12/07,0 ,1110101,"11,800 ",111年度補助醫院辦理漢生病個案確診及治療計畫,臺北市
中山醫學大學附設醫院,111/12/24,0 ,1110101,"44,500 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,臺中市
天主教若瑟醫療財團法人若瑟醫院,111/12/13,0 ,1110101,"5,000 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,雲林縣
天主教耕莘醫療財團法人耕莘醫院,112/01/04,"19,500 ",1110101,"19,500 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,新北市
天主教靈醫會醫療財團法人羅東聖母醫院,111/12/24,0 ,1110101,"1,500 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,宜蘭縣
台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,111/12/26,"1,500 ",1110101,"1,500 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,臺東縣
台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,112/01/07,0 ,1110101,"14,000 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,臺北市
台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,111/12/21,"4,000 ",1110101,"29,000 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,新竹市
佛教慈濟醫療財團法人大林慈濟醫院,111/12/30,"3,000 ",1110101,"3,000 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,嘉義縣
佛教慈濟醫療財團法人台北慈濟醫院,111/12/28,"2,000 ",1110101,"17,000 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,新北市
佛教慈濟醫療財團法人花蓮慈濟醫院,111/12/13,"9,500 ",1110101,"9,500 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,花蓮縣
奇美醫療財團法人奇美醫院,111/12/28,"1,000 ",1110101,"31,000 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,臺南市
財團法人私立高雄醫學大學附設中和紀念醫院,111/12/22,"3,000 ",1110101,"38,000 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,高雄市
彰化基督教醫療財團法人員林基督教醫院,111/12/26,"2,000 ",1110101,"37,000 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,彰化縣
彰化基督教醫療財團法人彰化基督教醫院,111/12/13,"5,500 ",1110101,"45,500 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,彰化縣
臺灣基督教門諾會醫療財團法人門諾醫院,111/12/28,"3,000 ",1110101,"3,000 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,花蓮縣
戴德森醫療財團法人嘉義基督教醫院,111/12/16,0 ,1110101,"14,500 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,嘉義市
醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,111/12/22,0 ,1110101,"60,500 ",111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,新北市
光宇學校財團法人元培醫事科技大學,111/12/08,0 ,1110101,"10,000 ",111年補助民間團體及大專校院辦理愛滋病防治工作計畫,新竹市
財團法人台灣紅絲帶基金會,111/12/28,"270,000 ",1110101,"1,350,000 ",111年補助民間團體及大專校院辦理愛滋病防治工作計畫,臺北市
財團法人台灣關愛基金會,111/12/31,"366,500 ",1110101,"1,542,500 ",111年補助民間團體及大專校院辦理愛滋病防治工作計畫,臺北市
財團法人杏陵醫學基金會,111/12/14,"100,000 ",1110101,"500,000 ",111年補助民間團體及大專校院辦理愛滋病防治工作計畫,臺北市
財團法人護理人員愛滋病防治基金會,111/12/31,0 ,1110101,"181,722 ",111年補助民間團體及大專校院辦理愛滋病防治工作計畫,臺北市
崇右學校財團法人崇右影藝科技大學,111/12/13,0 ,1110101,"10,000 ",111年補助民間團體及大專校院辦理愛滋病防治工作計畫,基隆市
中山醫學大學附設醫院,111/08/11,0 ,1110414,"9,288 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,臺中市
天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,111/10/20,"18,099 ",1110414,"18,099 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,嘉義市
天主教若瑟醫療財團法人若瑟醫院,111/09/08,0 ,1110414,"26,974 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,雲林縣
台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,111/10/20,"3,672 ",1110414,"3,672 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,臺北市
佛教慈濟醫療財團法人大林慈濟醫院,111/09/02,0 ,1110414,"20,000 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,嘉義縣
佛教慈濟醫療財團法人花蓮慈濟醫院,111/10/13,"12,500 ",1110414,"12,500 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,花蓮縣
奇美醫療財團法人奇美醫院,111/09/19,0 ,1110414,"10,651 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,臺南市
長庚醫療財團法人高雄長庚紀念醫院,111/10/18,"29,000 ",1110414,"29,000 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,高雄市
屏基醫療財團法人屏東基督教醫院,111/08/11,0 ,1110414,"23,080 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,屏東縣
為恭醫療財團法人為恭紀念醫院,111/10/27,"13,950 ",1110414,"13,950 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,苗栗縣
埔基醫療財團法人埔里基督教醫院,111/10/14,"28,000 ",1110414,"28,000 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,南投縣
財團法人私立高雄醫學大學附設中和紀念醫院,111/08/16,0 ,1110414,"28,000 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,高雄市
義大醫療財團法人義大醫院,111/09/08,0 ,1110414,"5,800 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,高雄市
彰化基督教醫療財團法人彰化基督教兒童醫院,111/09/08,0 ,1110414,"18,998 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,彰化縣
戴德森醫療財團法人嘉義基督教醫院,111/08/11,0 ,1110414,"21,640 ",111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,嘉義市
