受補(捐)助單位,核准日期,累計撥付金額,補(捐)助事項或用途,縣市別,
三軍總醫院澎湖分院附設民眾診療服務處,112/04/17,"316,000 ",112年度傳染病防治醫療網應變醫院病房維護費,澎湖縣,
高雄市立民生醫院,112/04/17,"1,273,000 ",112年度傳染病防治醫療網應變醫院病房維護費,高雄市,
國立成功大學醫學院附設醫院斗六分院,112/04/17,"265,320 ",112年度傳染病防治醫療網應變醫院病房維護費,雲林縣,
國立陽明交通大學附設醫院,112/04/17,"846,000 ",112年度傳染病防治醫療網應變醫院病房維護費,宜蘭縣,
國立臺灣大學醫學院附設醫院雲林分院,112/04/17,"1,061,280 ",112年度傳染病防治醫療網應變醫院病房維護費,雲林縣,
國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院竹北院區,112/04/17,"648,000 ",112年度傳染病防治醫療網應變醫院病房維護費,新竹縣,
國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,112/04/17,"1,313,200 ",112年度傳染病防治醫療網應變醫院病房維護費,新竹市,
連江縣立醫院,112/04/17,"316,000 ",112年度傳染病防治醫療網應變醫院病房維護費,連江縣,
新北市立聯合醫院三重院區,112/04/17,"743,900 ",112年度傳染病防治醫療網應變醫院病房維護費,新北市,
臺北市立聯合醫院和平院區,112/04/17,"1,313,200 ",112年度傳染病防治醫療網應變醫院病房維護費,臺北市,
衛生福利部花蓮醫院,112/04/17,"640,000 ",112年度傳染病防治醫療網應變醫院病房維護費,花蓮縣,
衛生福利部金門醫院,112/04/17,"316,000 ",112年度傳染病防治醫療網應變醫院病房維護費,金門縣,
衛生福利部南投醫院,112/04/17,"664,000 ",112年度傳染病防治醫療網應變醫院病房維護費,南投縣,
衛生福利部屏東醫院,112/04/17,"846,000 ",112年度傳染病防治醫療網應變醫院病房維護費,屏東縣,
衛生福利部苗栗醫院,112/04/17,"668,000 ",112年度傳染病防治醫療網應變醫院病房維護費,苗栗縣,
衛生福利部桃園醫院新屋分院,112/04/17,"765,400 ",112年度傳染病防治醫療網應變醫院病房維護費,桃園市,
衛生福利部基隆醫院,112/04/17,"316,000 ",112年度傳染病防治醫療網應變醫院病房維護費,基隆市,
衛生福利部嘉義醫院,112/04/17,"648,000 ",112年度傳染病防治醫療網應變醫院病房維護費,嘉義市,
衛生福利部彰化醫院,112/04/17,"874,200 ",112年度傳染病防治醫療網應變醫院病房維護費,彰化縣,
衛生福利部臺中醫院,112/04/17,"846,000 ",112年度傳染病防治醫療網應變醫院病房維護費,臺中市,
衛生福利部臺東醫院,112/04/17,"300,000 ",112年度傳染病防治醫療網應變醫院病房維護費,臺東縣,
衛生福利部臺南醫院,112/04/17,"1,273,000 ",112年度傳染病防治醫療網應變醫院病房維護費,臺南市,
衛生福利部,112/04/19,"467,700 ",本署聘任人員110年度調降退休所得節省經費挹注退撫基金,臺北市,
台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,112/01/01,"6,000 ",112年愛滋病指定醫事機構服務品質提升計畫,臺東縣,
台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,112/01/01,"50,000 ",112年度補助醫院辦理漢生病個案確診及治療計畫,臺北市,
財團法人台灣紅絲帶基金會,112/01/01,"1,000,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,臺北市,
財團法人台灣關愛基金會,112/01/01,"1,036,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,臺北市,
財團法人杏陵醫學基金會,112/01/01,"414,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,臺北市,
財團法人護理人員愛滋病防治基金會,112/01/01,"110,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,臺北市,
彰化基督教醫療財團法人彰化基督教醫院,112/01/01,"6,000 ",112年愛滋病指定醫事機構服務品質提升計畫,彰化縣,
財團法人台灣肝臟研究暨教育基金會,112/02/12,"300,000 ",2023年亞太肝臟研究學會32nd Conference of the Asian Pacific Association for the Study of the Liver(2023APASL Annual Meeting),臺北市,
埔基醫療財團法人埔里基督教醫院,112/03/16,"26,000 ",補助112年腸病毒責任醫院辦理醫護人員教育訓練,南投縣,
財團法人私立高雄醫學大學附設中和紀念醫院,112/03/16,"27,000 ",補助112年腸病毒責任醫院辦理醫護人員教育訓練,高雄市,
戴德森醫療財團法人嘉義基督教醫院,112/03/16,"12,392 ",補助112年腸病毒責任醫院辦理醫護人員教育訓練,嘉義市,
中國醫藥大學附設醫院,112/04/10,"800,000 ",112年傳染病防治醫療網支援合作醫院行政作業款,臺中市,
佛教慈濟醫療財團法人花蓮慈濟醫院,112/04/10,"750,000 ",112年傳染病防治醫療網支援合作醫院行政作業款,花蓮縣,
長庚醫療財團法人林口長庚紀念醫院,112/04/10,"900,000 ",112年傳染病防治醫療網支援合作醫院行政作業款,桃園市,
財團法人私立高雄醫學大學附設中和紀念醫院,112/04/10,"800,000 ",112年傳染病防治醫療網支援合作醫院行政作業款,高雄市,
佛教慈濟醫療財團法人大林慈濟醫院,112/04/17,"298,800 ",112年度傳染病防治醫療網應變醫院病房維護費,嘉義縣,
長庚醫療財團法人嘉義長庚紀念醫院,112/04/17,"365,200 ",112年度傳染病防治醫療網應變醫院病房維護費,嘉義縣,
人和藥局,112/01/01,"6,000 ",112年愛滋病指定醫事機構服務品質提升計畫,屏東縣,
人和藥局,112/01/01,"6,000 ",112年愛滋病指定醫事機構服務品質提升計畫,高雄市,
日信藥局(彰化員林),112/01/01,"16,000 ",112年愛滋病指定醫事機構服務品質提升計畫,彰化縣,
世界和平婦女會台灣總會,112/01/01,"80,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,臺北市,
台灣同志運動發展協會,112/01/01,"100,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,臺北市,
台灣年輕藥師協會,112/01/01,"100,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,臺北市,
台灣愛滋病學會,112/01/01,"560,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,臺北市,
台灣預防醫學學會,112/01/01,"134,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,臺北市,
未來診所,112/01/01,"16,000 ",112年愛滋病指定醫事機構服務品質提升計畫,高雄市,
社團法人中華民國台灣懷愛協會,112/01/01,"250,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,臺中市,
社團法人中華民國愛滋感染者權益促進會,112/01/01,"200,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,臺北市,
社團法人台北市日日春關懷互助協會,112/01/01,"200,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,臺北市,
社團法人台灣愛之希望協會,112/01/01,"420,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,高雄市,
社團法人台灣愛滋病護理學會,112/01/01,"1,136,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,臺北市,
社團法人台灣新滋識同盟,112/01/01,"280,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,新北市,
社團法人台灣跨虹者權益促進協會,112/01/01,"360,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,臺北市,
社團法人台灣露德協會,112/01/01,"568,000 ",112年補助民間團體暨大專校院辦理愛滋病防治工作計畫,臺北市,
柏愛藥局(新北市),112/01/01,"16,000 ",112年愛滋病指定醫事機構服務品質提升計畫,新北市,
柏愛藥局(臺北市),112/01/01,"6,000 ",112年愛滋病指定醫事機構服務品質提升計畫,臺北市,
皇誼藥局,112/01/01,"16,000 ",112年愛滋病指定醫事機構服務品質提升計畫,新北市,
家安藥師藥局,112/01/01,"6,000 ",112年愛滋病指定醫事機構服務品質提升計畫,屏東縣,
安泰醫療社團法人安泰醫院,112/03/16,"28,000 ",補助112年腸病毒責任醫院辦理醫護人員教育訓練,屏東縣,
敏盛綜合醫院,112/03/16,"16,000 ",補助112年腸病毒責任醫院辦理醫護人員教育訓練,桃園市,
童綜合醫療社團法人童綜合醫院,112/03/16,"23,800 ",補助112年腸病毒責任醫院辦理醫護人員教育訓練,臺中市,
澄清綜合醫院中港分院,112/03/16,"18,000 ",補助112年腸病毒責任醫院辦理醫護人員教育訓練,臺中市,
中華民國藥師公會全國聯合會,112/05/12,"350,000 ",2023亞洲藥學會年會(FAPA2023),臺北市,
個人,111/11/05,"127,347,000 ",112年建構抗藥性結核病醫療照護體系補助計畫,各縣市,
個人,111/12/01,"46,001,000 ",112年公費抗結核藥品,各縣市,
個人,111/12/14,"545,016 ",112年補助臺南市政府衛生局配置保全人員,各縣市,
個人,112/01/01,"8,817,900,500 ",112年3月前醫事人員津貼及醫療機構獎勵費用,各縣市,
個人,112/01/01,"127,973,952 ",112年愛滋病指定醫事機構服務品質提升計畫,各縣市,
個人,112/01/01,"1,597,620 ",112年矯正機關潛伏結核感染檢驗與治療計畫,各縣市,
個人,112/01/10,"211,935,000 ",112年度結核病及漢生病直接觀察治療都治執行計畫,各縣市,
個人,112/01/13,"128,000 ",112年度愛滋匿名篩檢服務拓點計畫,各縣市,
個人,112/01/17,"833,313 ",112年因執行職務意外暴露愛滋病毒後預防性投藥,各縣市,
個人,112/01/17,"287,278 ",112年疑似愛滋感染嬰幼兒醫療照護作業補助費用,各縣市,
個人,112/01/30,"11,358,878,973 ",112年本署委託衛生福利部中央健康保險署代辦支付嚴重特殊傳染性肺炎隔離治療費用,各縣市,
個人,112/02/09,"2,133,866 ",112年非愛滋指定醫事機構PrEP計畫,各縣市,
個人,112/02/10,"80,000,000 ",112年結核醫療費用,各縣市,
個人,112/02/15,"500,000,000 ",112年愛滋醫療費用,各縣市,
個人,112/02/15,"15,000,000 ",112年藥癮愛滋個案替代治療計畫,各縣市,
個人,112/02/17,"5,000,000 ",112年性病、急性病毒性肝炎及藥癮患者全面篩檢愛滋病毒計畫,各縣市,
個人,112/02/20,"16,000,000 ",112年孕婦全面愛滋篩檢,各縣市,
個人,112/03/06,"2,436,000 ",第1/2型愛滋病毒自我篩檢試劑採購案-112年第1次後續擴充,各縣市,
個人,112/03/21,"1,916,918,612 ",112年臺灣清冠一號公費藥品補助費用,各縣市,
個人,112/03/22,"480,000 ",112年愛滋病毒快速確認檢驗之抗體免疫層析試劑組,各縣市,
個人,112/03/27,"498,283,655 ",發給接受隔離、檢疫者與其請假照顧之家屬防疫補償金等及撥付肺炎死亡喪葬慰問金,各縣市,
個人,112/05/19,"3,426 ",補助感染愛滋之藥害病患全民健保自付保費(111年下半年及112年上半年),各縣市,
個人,112/01/16,"202,539 ",本署退休人員(聘任人員)111年度優惠存款差額利息歸墊,各縣市,
個人,111/12/23,"164,000 ",112年致贈退休人員及在職亡故同仁之遺族三節慰問金(春節),各縣市,
個人,111/12/23,"224,000 ",112年退職工友(含遺眷)春節慰問金,各縣市,
個人,112/03/03,"2,500 ",屈公病通報獎金,各縣市,
個人,112/03/06,"2,999,200,000 ",負壓隔離病房、專責病房醫護人員津貼,臺北市,
個人,112/05/09,"5,000 ",茲卡病毒感染症病通報獎金 ,各縣市,
個人,112/04/22,"35,000 ",登革熱通報獎金,各縣市,
個人,112/06/01,"162,000 ",112年致贈退休人員及在職亡故同仁之遺族三節慰問金(端午節),各縣市,
個人,112/06/02,"230,000 ",退職工友（含遺眷）112年端午節慰問金   ,各縣市,
