菌株收集代碼（Strain ID）,菌株分離年代（Year）,菌種 （Species）,組別,Azithromycin,Ampicillin,Cefotaxime,Ceftazidime,Nalidixic acid,Ciprofloxacin,Gentamicin,Chloramphenicol,Trimethoprim／sulfamethoxazole,Tetracylcine
R18.0002,2017,S. sonnei,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,R,R
R18.0006,2018,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,R,S,R,R
R18.0017,2018,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R18.0025,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R18.0027,2018,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,R,I,S,S,R,R
R18.0046,2018,S. flexneri,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R18.0047,2018,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,R,R
R18.0050,2018,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R18.0053,2018,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,R,R
R18.0063,2018,S. sonnei,外籍人士或有境外旅遊史,S,R,R,R,R,R,S,S,R,R
R18.0066,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R18.0081,2018,S. flexneri,外籍人士或有境外旅遊史,S,S,S,S,R,R,S,S,R,R
R18.0134,2018,S. sonnei,外籍人士或有境外旅遊史,S,R,R,R,R,R,S,S,R,R
R18.0135,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R18.0167,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R18.0168,2018,S. sonnei,外籍人士或有境外旅遊史,S,R,R,R,R,R,S,S,R,R
R18.0183,2018,S. sonnei,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,R,R
R18.0184,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R18.0202,2018,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,S
R18.0453,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R18.0522,2018,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,S
R18.0552,2018,S. flexneri,本國籍無境外旅遊史,R,R,S,S,S,S,S,R,R,R
R18.0816,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R18.0821,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R18.0886,2018,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,S,R,R
R18.0950,2018,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,S
R18.1332,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R18.1333,2018,S. flexneri,本國籍無境外旅遊史,S,R,S,S,R,R,S,R,R,R
R18.1586,2018,S. sonnei,外籍人士或有境外旅遊史,S,I,S,S,S,S,S,S,R,R
R18.1639,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R18.1736,2018,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R18.1737,2018,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,R,R
R18.1749,2018,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R18.1859,2018,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R18.1991,2018,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,R,R
R18.2019,2018,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R18.2165,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R18.2216,2018,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R18.2399,2018,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R18.2409,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R18.2411,2018,S. sonnei,本國籍無境外旅遊史,S,S,S,S,S,S,S,S,R,S
R18.2418,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R18.2427,2018,S. flexneri,本國籍無境外旅遊史,R,R,S,S,S,S,S,R,R,R
R18.2436,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R18.2438,2018,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,R,R
R18.2444,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R18.2445,2018,S. flexneri,本國籍無境外旅遊史,S,R,S,S,R,R,S,R,R,R
R18.2452,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R18.2458,2018,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,R,R
R18.2464,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R18.2469,2018,S. flexneri,本國籍無境外旅遊史,R,R,S,S,S,S,S,R,R,R
R18.2470,2018,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,S,R,R
R18.2471,2018,S. flexneri,外籍人士或有境外旅遊史,R,R,S,S,S,S,S,R,R,R
R18.2478,2018,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,R,R
R18.2485,2018,S. flexneri,本國籍無境外旅遊史,S,R,S,S,R,R,S,R,R,R
R18.2504,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R18.2510,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R18.2513,2018,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,R,I,S,S,R,R
R18.2514,2018,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R18.2517,2018,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R18.2627,2018,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,R,R,S,S,R,R
R18.2629,2018,S. sonnei,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,R,R
R18.2630,2018,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R19.0094,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R19.0102,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R19.0105,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R19.0121,2019,S. flexneri,本國籍無境外旅遊史,S,R,S,S,R,R,S,R,R,R
R19.0122,2019,S. flexneri,本國籍無境外旅遊史,S,R,S,S,R,R,S,R,R,R
R19.0124,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R19.0126,2019,S. flexneri,本國籍無境外旅遊史,S,R,S,S,R,R,S,S,R,R
R19.0128,2019,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,S,R,R
R19.0139,2019,S. boydii,外籍人士或有境外旅遊史,S,R,S,S,R,R,S,I,R,R
R19.0143,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R19.0154,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R19.0156,2019,S. sonnei,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,S,R,R
R19.0163,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R19.0178,2019,S. flexneri,本國籍無境外旅遊史,S,R,S,S,R,R,R,S,R,R
R19.0179,2019,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R19.0222,2019,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,I,S,S,R,R
R19.0307,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R19.0439,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R19.0450,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R19.0538,2019,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R19.0540,2019,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,S,R,R
R19.0597,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R19.0876,2019,S. flexneri,外籍人士或有境外旅遊史,R,I,S,R,R,R,S,S,R,R
R19.0877,2019,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,S
R19.0878,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R19.1423,2019,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,S
R19.1473,2019,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,R,I,S,S,R,R
R19.1710,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R19.1838,2019,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,S
R19.1839,2019,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,S
R19.1855,2019,S. flexneri,本國籍無境外旅遊史,S,R,S,S,R,R,R,S,R,R
R19.2250,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R19.2548,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R19.2679,2019,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,S
R19.2680,2019,S. sonnei,外籍人士或有境外旅遊史,R,R,R,S,R,I,R,S,R,R
R19.2685,2019,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,I,S,S,R,R
R19.2686,2019,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,R,R
R19.2755,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R19.2835,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R19.2836,2019,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,S,R,S
R19.2863,2019,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,R,R
R19.2869,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R19.2870,2019,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R19.2878,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R19.2885,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R19.2887,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R19.2901,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R19.2933,2019,S. flexneri,本國籍無境外旅遊史,S,R,S,S,R,R,S,R,R,R
R19.2937,2019,S. flexneri,本國籍無境外旅遊史,S,R,R,R,R,R,S,S,R,R
R19.2939,2019,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,R,R,S,S,R,R
R19.2940,2019,S. flexneri,本國籍無境外旅遊史,S,R,R,R,R,R,S,R,R,R
R19.2941,2019,S. flexneri,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,S
R19.2942,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R19.2946,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R19.2948,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R19.2950,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R19.2951,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R19.2954,2019,S. flexneri,本國籍無境外旅遊史,S,R,R,R,R,R,S,S,R,R
R19.2955,2019,S. flexneri,本國籍無境外旅遊史,S,R,S,S,R,R,R,S,R,R
R19.2956,2019,S. flexneri,本國籍無境外旅遊史,S,R,R,R,R,R,S,S,R,R
R19.2964,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R19.2966,2019,S. flexneri,本國籍無境外旅遊史,S,R,R,S,R,R,S,S,R,R
R20.0004,2020,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,S,S,R,R
R20.0006,2020,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R20.0007,2020,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R20.0008,2020,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R20.0013,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0024,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0027,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0029,2020,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,I,R,S
R20.0042,2020,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R20.0053,2020,S. flexneri,本國籍無境外旅遊史,R,R,R,R,R,R,S,S,R,R
R20.0055,2020,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R20.0056,2020,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,I,R,S
R20.0058,2020,S. sonnei,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,R,R
R20.0061,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0064,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0069,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0070,2020,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,S,S,R,R
R20.0072,2019,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0084,2020,S. flexneri,本國籍無境外旅遊史,S,R,R,R,R,R,S,S,R,R
R20.0098,2020,S. flexneri,本國籍無境外旅遊史,R,R,S,S,S,S,S,R,R,R
R20.0102,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0111,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0112,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0114,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0115,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0124,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0126,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,R,R,R
R20.0134,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0139,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0149,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0156,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0157,2020,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,S,S,R,R
R20.0161,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0162,2020,S. flexneri,本國籍無境外旅遊史,S,R,R,R,R,R,S,S,R,R
R20.0163,2020,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,R,R
R20.0164,2020,S. flexneri,外籍人士或有境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0167,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0174,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0177,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0178,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0181,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0184,2020,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,S,S,R,R
R20.0185,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0190,2020,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,S,S,R,R
R20.0193,2020,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,S,S,R,R
R20.0196,2020,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,S,S,R,R
R20.0201,2020,S. flexneri,本國籍無境外旅遊史,S,R,R,R,R,R,S,S,R,R
R20.0210,2020,S. flexneri,本國籍無境外旅遊史,R,R,R,R,R,R,S,S,R,R
R20.0213,2020,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,S,S,R,R
R20.0220,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0221,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0223,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0246,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0250,2020,S. sonnei,本國籍無境外旅遊史,S,R,R,R,R,I,S,S,R,R
R20.0274,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0276,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0277,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0278,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0280,2020,S. sonnei,本國籍無境外旅遊史,S,I,S,S,R,I,S,S,R,R
R20.0300,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0301,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0304,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0307,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0327,2020,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,S,S,R,R
R20.0329,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0345,2020,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,S,S,R,R
R20.0349,2020,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,R,R
R20.0350,2020,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,R,R
R20.0352,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0354,2020,S. flexneri,本國籍無境外旅遊史,S,R,R,R,R,R,S,S,R,R
R20.0365,2020,S. boydii,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,I,R,I
R20.0366,2020,S. flexneri,本國籍無境外旅遊史,S,I,S,S,S,S,S,I,R,I
R20.0380,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0385,2020,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,S,S,R,R
R20.0386,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0395,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0396,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R20.0403,2020,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,R,I,S,S,R,R
R20.0408,2020,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R21.0007,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R21.0009,2021,S. flexneri,本國籍無境外旅遊史,S,R,R,R,R,R,S,S,R,R
R21.0016,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R21.0063,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,I,S,R,R
R21.0070,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R21.0073,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R21.0075,2021,S. flexneri,本國籍無境外旅遊史,S,R,R,R,R,R,S,R,R,R
R21.0077,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R21.0080,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R21.0319,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R21.0326,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R21.0329,2021,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,I,S,R,R
R21.0330,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R21.0333,2021,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,I,S,R,R
R21.0335,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R21.0337,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R21.0342,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R21.0344,2021,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,S,S,R,R
R21.0350,2021,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,S,S,R,R
R21.0353,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R21.0354,2021,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,S,S,R,R
R21.0377,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R21.0378,2021,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,S,S,R,R
R21.0382,2021,S. flexneri,本國籍無境外旅遊史,S,R,S,S,R,R,S,R,R,R
R21.0407,2021,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
