確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數
嚴重特殊傳染性肺炎,2023,12,台中市,神岡區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,西屯區,F,否,40-44,1
嚴重特殊傳染性肺炎,2023,12,台中市,西屯區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,台中市,西屯區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,西屯區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,豐原區,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,台中市,豐原區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台中市,豐原區,F,否,65-69,2
嚴重特殊傳染性肺炎,2023,12,台中市,豐原區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,台中市,霧峰區,M,否,65-69,2
嚴重特殊傳染性肺炎,2023,12,台中市,霧峰區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,龍井區,M,否,2,1
嚴重特殊傳染性肺炎,2023,12,台中市,龍井區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台南市,下營區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台南市,中西區,F,否,40-44,1
嚴重特殊傳染性肺炎,2023,12,台南市,中西區,M,否,50-54,1
嚴重特殊傳染性肺炎,2023,12,台南市,中西區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,台南市,仁德區,F,否,35-39,1
嚴重特殊傳染性肺炎,2023,12,台南市,仁德區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,台南市,佳里區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台南市,佳里區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,台南市,六甲區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台南市,六甲區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台南市,北區,M,否,40-44,1
嚴重特殊傳染性肺炎,2023,12,台南市,北區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台南市,北區,F,否,70+,5
嚴重特殊傳染性肺炎,2023,12,台南市,北區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,台南市,南區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,12,台南市,南區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,台南市,善化區,M,否,0,1
嚴重特殊傳染性肺炎,2023,12,台南市,安南區,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,台南市,安南區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台南市,安定區,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,台南市,安定區,M,否,65-69,2
嚴重特殊傳染性肺炎,2023,12,台南市,後壁區,F,否,0,1
嚴重特殊傳染性肺炎,2023,12,台南市,新化區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,12,台南市,新市區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台南市,新營區,F,否,2,1
嚴重特殊傳染性肺炎,2023,12,台南市,新營區,F,否,45-49,1
嚴重特殊傳染性肺炎,2023,12,台南市,新營區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台南市,東區,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,台南市,東區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台南市,柳營區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台南市,歸仁區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台南市,歸仁區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台南市,永康區,M,否,45-49,1
嚴重特殊傳染性肺炎,2023,12,台南市,永康區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,台南市,永康區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台南市,永康區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台南市,永康區,F,否,70+,4
嚴重特殊傳染性肺炎,2023,12,台南市,永康區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台南市,玉井區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,台南市,白河區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台南市,白河區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,台南市,關廟區,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,台南市,關廟區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台南市,關廟區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台南市,鹽水區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,高雄市,三民區,F,否,25-29,1
嚴重特殊傳染性肺炎,2023,12,高雄市,三民區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,高雄市,三民區,M,否,60-64,2
嚴重特殊傳染性肺炎,2023,12,高雄市,三民區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,高雄市,仁武區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,高雄市,仁武區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,高雄市,六龜區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,高雄市,前鎮區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,高雄市,前鎮區,M,否,70+,3
嚴重特殊傳染性肺炎,2023,12,高雄市,大寮區,M,否,45-49,1
嚴重特殊傳染性肺炎,2023,12,高雄市,大樹區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,高雄市,大樹區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,高雄市,大社區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,高雄市,小港區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,高雄市,左營區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,12,高雄市,新興區,F,否,0,1
嚴重特殊傳染性肺炎,2023,12,高雄市,旗山區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,高雄市,林園區,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,高雄市,楠梓區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,高雄市,楠梓區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,高雄市,楠梓區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,高雄市,橋頭區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,高雄市,苓雅區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,高雄市,茄萣區,M,否,45-49,1
嚴重特殊傳染性肺炎,2023,12,高雄市,路竹區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,高雄市,鳥松區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,高雄市,鳳山區,F,否,1,1
嚴重特殊傳染性肺炎,2023,12,高雄市,鳳山區,M,否,15-19,1
嚴重特殊傳染性肺炎,2023,12,高雄市,鳳山區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,高雄市,鳳山區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,高雄市,鳳山區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,高雄市,鳳山區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,高雄市,鳳山區,M,否,70+,4
嚴重特殊傳染性肺炎,2023,12,高雄市,鹽埕區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,高雄市,鹽埕區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,12,高雄市,鼓山區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,基隆市,七堵區,M,否,40-44,1
嚴重特殊傳染性肺炎,2023,12,基隆市,七堵區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,基隆市,中山區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,基隆市,中山區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,12,基隆市,中正區,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,基隆市,中正區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,基隆市,中正區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,基隆市,信義區,M,否,25-29,1
嚴重特殊傳染性肺炎,2023,12,基隆市,信義區,M,否,40-44,1
嚴重特殊傳染性肺炎,2023,12,基隆市,信義區,M,否,70+,3
嚴重特殊傳染性肺炎,2023,12,基隆市,安樂區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,基隆市,安樂區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,基隆市,暖暖區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,基隆市,暖暖區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,基隆市,暖暖區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,新竹市,東區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,新竹市,東區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,新竹市,香山區,M,否,0,1
嚴重特殊傳染性肺炎,2023,12,嘉義市,東區,F,否,0,1
嚴重特殊傳染性肺炎,2023,12,嘉義市,東區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,嘉義市,東區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,12,嘉義市,東區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,嘉義市,西區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,嘉義市,西區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,新北市,三峽區,F,否,0,1
嚴重特殊傳染性肺炎,2023,12,新北市,三峽區,M,否,1,1
嚴重特殊傳染性肺炎,2023,12,新北市,三峽區,M,否,45-49,1
嚴重特殊傳染性肺炎,2023,12,新北市,三峽區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,新北市,三峽區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,新北市,三峽區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,新北市,三峽區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,新北市,三芝區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,新北市,三芝區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,新北市,三重區,F,否,70+,4
嚴重特殊傳染性肺炎,2023,12,新北市,三重區,M,否,70+,4
嚴重特殊傳染性肺炎,2023,12,新北市,中和區,M,否,45-49,1
嚴重特殊傳染性肺炎,2023,12,新北市,中和區,M,否,50-54,1
嚴重特殊傳染性肺炎,2023,12,新北市,中和區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,新北市,中和區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,新北市,中和區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,新北市,中和區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,新北市,中和區,M,否,65-69,2
嚴重特殊傳染性肺炎,2023,12,新北市,中和區,F,否,70+,5
嚴重特殊傳染性肺炎,2023,12,新北市,中和區,M,否,70+,4
嚴重特殊傳染性肺炎,2023,12,新北市,五股區,F,否,50-54,1
嚴重特殊傳染性肺炎,2023,12,新北市,五股區,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,新北市,五股區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,新北市,五股區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,12,新北市,八里區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,新北市,八里區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,新北市,土城區,M,否,60-64,2
嚴重特殊傳染性肺炎,2023,12,新北市,土城區,F,否,65-69,2
嚴重特殊傳染性肺炎,2023,12,新北市,土城區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,12,新北市,土城區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,新北市,新店區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,新北市,新店區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,12,新北市,新店區,M,否,70+,5
嚴重特殊傳染性肺炎,2023,12,新北市,新莊區,M,否,35-39,1
嚴重特殊傳染性肺炎,2023,12,新北市,新莊區,F,否,45-49,1
嚴重特殊傳染性肺炎,2023,12,新北市,新莊區,F,否,50-54,1
嚴重特殊傳染性肺炎,2023,12,新北市,新莊區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,新北市,新莊區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,新北市,板橋區,M,否,30-34,1
嚴重特殊傳染性肺炎,2023,12,新北市,板橋區,M,否,40-44,1
嚴重特殊傳染性肺炎,2023,12,新北市,板橋區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,新北市,板橋區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,新北市,板橋區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,12,新北市,板橋區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,新北市,林口區,M,否,3,1
嚴重特殊傳染性肺炎,2023,12,新北市,林口區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,新北市,林口區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,新北市,林口區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,新北市,林口區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,新北市,樹林區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,新北市,樹林區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,新北市,樹林區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,新北市,永和區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,新北市,永和區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,新北市,汐止區,M,否,50-54,1
嚴重特殊傳染性肺炎,2023,12,新北市,汐止區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,新北市,汐止區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,12,新北市,汐止區,M,否,70+,3
嚴重特殊傳染性肺炎,2023,12,新北市,泰山區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,新北市,淡水區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,新北市,淡水區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,新北市,淡水區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,新北市,瑞芳區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,新北市,瑞芳區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,新北市,萬里區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,新北市,蘆洲區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,新北市,蘆洲區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,新北市,鶯歌區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,新北市,鶯歌區,M,否,70+,5
嚴重特殊傳染性肺炎,2023,12,桃園市,中壢區,F,否,50-54,1
嚴重特殊傳染性肺炎,2023,12,桃園市,中壢區,F,否,55-59,2
嚴重特殊傳染性肺炎,2023,12,桃園市,中壢區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,桃園市,中壢區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,桃園市,中壢區,M,否,70+,5
嚴重特殊傳染性肺炎,2023,12,桃園市,八德區,M,否,50-54,2
嚴重特殊傳染性肺炎,2023,12,桃園市,八德區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,桃園市,八德區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,桃園市,八德區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,桃園市,大園區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,桃園市,大溪區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,桃園市,大溪區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,桃園市,平鎮區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,桃園市,平鎮區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,桃園市,平鎮區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,桃園市,新屋區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,桃園市,新屋區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,桃園市,桃園區,M,否,1,1
嚴重特殊傳染性肺炎,2023,12,桃園市,桃園區,M,否,30-34,1
嚴重特殊傳染性肺炎,2023,12,桃園市,桃園區,M,否,50-54,2
嚴重特殊傳染性肺炎,2023,12,桃園市,桃園區,M,否,55-59,2
嚴重特殊傳染性肺炎,2023,12,桃園市,桃園區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,桃園市,桃園區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,12,桃園市,桃園區,M,否,70+,4
嚴重特殊傳染性肺炎,2023,12,桃園市,楊梅區,M,否,45-49,1
嚴重特殊傳染性肺炎,2023,12,桃園市,楊梅區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,桃園市,楊梅區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,桃園市,楊梅區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,桃園市,楊梅區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,桃園市,蘆竹區,F,否,0,1
嚴重特殊傳染性肺炎,2023,12,桃園市,蘆竹區,M,否,2,1
嚴重特殊傳染性肺炎,2023,12,桃園市,蘆竹區,M,否,45-49,1
嚴重特殊傳染性肺炎,2023,12,桃園市,蘆竹區,F,否,5-9,1
嚴重特殊傳染性肺炎,2023,12,桃園市,蘆竹區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,桃園市,蘆竹區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,桃園市,蘆竹區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,桃園市,觀音區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,桃園市,龍潭區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,桃園市,龍潭區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,桃園市,龜山區,M,否,35-39,1
嚴重特殊傳染性肺炎,2023,12,桃園市,龜山區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,桃園市,龜山區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,桃園市,龜山區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,新竹縣,寶山鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,新竹縣,尖石鄉,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,新竹縣,新埔鎮,F,否,70+,3
嚴重特殊傳染性肺炎,2023,12,新竹縣,新豐鄉,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,新竹縣,新豐鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,新竹縣,湖口鄉,F,否,0,1
嚴重特殊傳染性肺炎,2023,12,新竹縣,湖口鄉,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,新竹縣,湖口鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,新竹縣,竹北市,F,否,20-24,1
嚴重特殊傳染性肺炎,2023,12,新竹縣,竹北市,M,否,40-44,1
嚴重特殊傳染性肺炎,2023,12,新竹縣,竹北市,F,否,70+,2
嚴重特殊傳染性肺炎,2023,12,新竹縣,竹東鎮,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,新竹縣,竹東鎮,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,宜蘭縣,三星鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,宜蘭縣,五結鄉,M,否,45-49,1
嚴重特殊傳染性肺炎,2023,12,宜蘭縣,五結鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,宜蘭縣,員山鄉,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,宜蘭縣,宜蘭市,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,宜蘭縣,宜蘭市,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,宜蘭縣,宜蘭市,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,宜蘭縣,羅東鎮,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,宜蘭縣,羅東鎮,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,宜蘭縣,頭城鎮,M,否,30-34,1
嚴重特殊傳染性肺炎,2023,12,苗栗縣,卓蘭鎮,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,苗栗縣,南庄鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,苗栗縣,竹南鎮,M,否,50-54,1
嚴重特殊傳染性肺炎,2023,12,苗栗縣,苗栗市,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,苗栗縣,通霄鎮,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,苗栗縣,銅鑼鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,彰化縣,二林鎮,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,彰化縣,二林鎮,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,彰化縣,二林鎮,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,彰化縣,二水鄉,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,彰化縣,二水鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,彰化縣,伸港鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,彰化縣,和美鎮,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,彰化縣,員林市,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,彰化縣,員林市,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,彰化縣,埔鹽鄉,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,彰化縣,埤頭鄉,F,否,70+,1
