國名(中),國名(英),ISO3166-1（numeric）,主類別,次類別,疾病,警示日期,疫苗
美屬薩摩亞,American Samoa,016,預防接種規定及建議,預防接種項目,,,傷寒疫苗
美屬薩摩亞,American Samoa,016,當地其他相關疾病,蟲媒傳染,登革熱,,
美屬薩摩亞,American Samoa,016,當地其他相關疾病,蟲媒傳染,茲卡病毒感染症,,
美屬薩摩亞,American Samoa,016,預防蚊蟲叮咬-建議,戶外活動時，穿著淺色長袖衣褲、包鞋及長襪，儘量減少裸露部位,,,
美屬薩摩亞,American Samoa,016,預防蚊蟲叮咬-建議,正確使用防蚊蟲劑,,,
美屬薩摩亞,American Samoa,016,預防蚊蟲叮咬-建議,選擇有空調、紗窗的旅館，或懸掛蚊帳(確認無破洞)，必要時噴灑環境用殺蟲或防蚊劑,,,
美屬薩摩亞,American Samoa,016,預防蚊蟲叮咬-建議,茲卡病毒可由斑蚊叮咬傳播，一般旅客感染症狀較輕微，但孕婦感染可能導致胎兒小頭畸形或死亡，除採取上述防蚊措施外，建議懷孕婦女非必要應暫緩前往具流行風險之地區，孕婦及計劃懷孕婦女如必要前往請先諮詢醫師，於當地務必全程做好避免蚊蟲叮咬的措施,,,
美屬薩摩亞,American Samoa,016,當地其他相關疾病,食物或飲水傳染,傷寒,,
美屬薩摩亞,American Samoa,016,注意飲食安全-建議,選擇安全的食物,,,
美屬薩摩亞,American Samoa,016,注意飲食安全-建議,選擇衛生條件良好的用餐地點，如規模較大的飯店、沒有蟑螂蚊蠅的餐廳,,,
美屬薩摩亞,American Samoa,016,當地其他相關疾病,接觸傳染,狂犬病,,
美屬薩摩亞,American Samoa,016,避免接觸動物-建議,在當地應避免逗弄、餵食哺乳動物，並避免至可能有蝙蝠的洞窟，以免感染狂犬病,,,
安道爾,Andorra,020,國際旅遊疫情建議等級,第一級:注意(Watch)警示,新冠併發重症,2023-11-01,
安道爾,Andorra,020,預防接種規定及建議,預防接種項目,,,黃熱病疫苗
安道爾,Andorra,020,預防接種規定及建議,預防接種項目,,,A型肝炎疫苗
安道爾,Andorra,020,預防接種規定及建議,預防接種項目,,,麻疹、腮腺炎及德國麻疹混合(MMR)疫苗
安道爾,Andorra,020,預防接種規定及建議,預防接種項目,,,狂犬病疫苗
安道爾,Andorra,020,當地其他相關疾病,接觸傳染,狂犬病,,
安道爾,Andorra,020,避免接觸動物-建議,在當地應避免逗弄、餵食哺乳動物，並避免至可能有蝙蝠的洞窟，以免感染狂犬病,,,
安哥拉,Angola,024,國際旅遊疫情建議等級,第一級:注意(Watch)警示,黃熱病,2023-11-01,
安哥拉,Angola,024,國際旅遊疫情建議等級,第一級:注意(Watch)警示,小兒麻痺症/急性無力肢體麻痺,2025-04-11,
安哥拉,Angola,024,國際旅遊疫情建議等級,第一級:注意(Watch)警示,新冠併發重症,2023-11-01,
安哥拉,Angola,024,國際旅遊疫情建議等級,第一級:注意(Watch)警示,茲卡病毒感染症,2020-11-06,
安哥拉,Angola,024,預防接種規定及建議,預防接種項目,,,黃熱病疫苗
安哥拉,Angola,024,預防接種規定及建議,預防接種項目,,,A型肝炎疫苗
安哥拉,Angola,024,預防接種規定及建議,預防接種項目,,,小兒麻痺疫苗
安哥拉,Angola,024,預防接種規定及建議,預防接種項目,,,麻疹、腮腺炎及德國麻疹混合(MMR)疫苗
安哥拉,Angola,024,預防接種規定及建議,預防接種項目,,,狂犬病疫苗
安哥拉,Angola,024,預防接種規定及建議,預防接種項目,,,傷寒疫苗
安哥拉,Angola,024,預防接種規定及建議,預防接種項目,,,瘧疾預防用藥
安哥拉,Angola,024,當地其他相關疾病,蟲媒傳染,登革熱,,
安哥拉,Angola,024,當地其他相關疾病,蟲媒傳染,瘧疾,,
安哥拉,Angola,024,當地其他相關疾病,蟲媒傳染,黃熱病,,
安哥拉,Angola,024,當地其他相關疾病,蟲媒傳染,茲卡病毒感染症,,
安哥拉,Angola,024,預防蚊蟲叮咬-建議,戶外活動時，穿著淺色長袖衣褲、包鞋及長襪，儘量減少裸露部位,,,
安哥拉,Angola,024,預防蚊蟲叮咬-建議,正確使用防蚊蟲劑,,,
安哥拉,Angola,024,預防蚊蟲叮咬-建議,選擇有空調、紗窗的旅館，或懸掛蚊帳(確認無破洞)，必要時噴灑環境用殺蟲或防蚊劑,,,
安哥拉,Angola,024,預防蚊蟲叮咬-建議,茲卡病毒可由斑蚊叮咬傳播，一般旅客感染症狀較輕微，但孕婦感染可能導致胎兒小頭畸形或死亡，除採取上述防蚊措施外，建議懷孕婦女非必要應暫緩前往具流行風險之地區，孕婦及計劃懷孕婦女如必要前往請先諮詢醫師，於當地務必全程做好避免蚊蟲叮咬的措施,,,
安哥拉,Angola,024,當地其他相關疾病,食物或飲水傳染,霍亂,,
安哥拉,Angola,024,當地其他相關疾病,食物或飲水傳染,傷寒,,
安哥拉,Angola,024,注意飲食安全-建議,選擇安全的食物,,,
安哥拉,Angola,024,注意飲食安全-建議,選擇衛生條件良好的用餐地點，如規模較大的飯店、沒有蟑螂蚊蠅的餐廳,,,
安哥拉,Angola,024,當地其他相關疾病,接觸傳染,狂犬病,,
安哥拉,Angola,024,避免接觸動物-建議,在當地應避免逗弄、餵食哺乳動物，並避免至可能有蝙蝠的洞窟，以免感染狂犬病,,,
安哥拉,Angola,024,感染血吸蟲風險-建議,避免接觸河流、湖泊、池塘等淡水水域,,,
安哥拉,Angola,024,感染血吸蟲風險-建議,使用河水、湖水洗澡或洗衣，建議添加氯錠消毒，或在乾淨容器至少儲放2天再使用,,,
安哥拉,Angola,024,感染血吸蟲風險-建議,如不慎碰觸淡水，請立即用酒精和乾毛巾大力擦拭皮膚，減低感染風險,,,
安吉拉(英國海外領地),Anguilla,660,國際旅遊疫情建議等級,第一級:注意(Watch)警示,新冠併發重症,2023-11-01,
安吉拉(英國海外領地),Anguilla,660,國際旅遊疫情建議等級,第一級:注意(Watch)警示,茲卡病毒感染症,2020-11-06,
安吉拉(英國海外領地),Anguilla,660,預防接種規定及建議,預防接種項目,,,黃熱病疫苗
安吉拉(英國海外領地),Anguilla,660,預防接種規定及建議,預防接種項目,,,A型肝炎疫苗
安吉拉(英國海外領地),Anguilla,660,預防接種規定及建議,預防接種項目,,,麻疹、腮腺炎及德國麻疹混合(MMR)疫苗
安吉拉(英國海外領地),Anguilla,660,預防接種規定及建議,預防接種項目,,,狂犬病疫苗
安吉拉(英國海外領地),Anguilla,660,預防接種規定及建議,預防接種項目,,,傷寒疫苗
安吉拉(英國海外領地),Anguilla,660,當地其他相關疾病,蟲媒傳染,登革熱,,
安吉拉(英國海外領地),Anguilla,660,當地其他相關疾病,蟲媒傳染,屈公病,,
安吉拉(英國海外領地),Anguilla,660,當地其他相關疾病,蟲媒傳染,茲卡病毒感染症,,
安吉拉(英國海外領地),Anguilla,660,預防蚊蟲叮咬-建議,戶外活動時，穿著淺色長袖衣褲、包鞋及長襪，儘量減少裸露部位,,,
安吉拉(英國海外領地),Anguilla,660,預防蚊蟲叮咬-建議,正確使用防蚊蟲劑,,,
安吉拉(英國海外領地),Anguilla,660,預防蚊蟲叮咬-建議,選擇有空調、紗窗的旅館，或懸掛蚊帳(確認無破洞)，必要時噴灑環境用殺蟲或防蚊劑,,,
安吉拉(英國海外領地),Anguilla,660,預防蚊蟲叮咬-建議,茲卡病毒可由斑蚊叮咬傳播，一般旅客感染症狀較輕微，但孕婦感染可能導致胎兒小頭畸形或死亡，除採取上述防蚊措施外，建議懷孕婦女非必要應暫緩前往具流行風險之地區，孕婦及計劃懷孕婦女如必要前往請先諮詢醫師，於當地務必全程做好避免蚊蟲叮咬的措施,,,
安吉拉(英國海外領地),Anguilla,660,當地其他相關疾病,接觸傳染,狂犬病,,
安吉拉(英國海外領地),Anguilla,660,避免接觸動物-建議,在當地應避免逗弄、餵食哺乳動物，並避免至可能有蝙蝠的洞窟，以免感染狂犬病,,,
安吉拉(英國海外領地),Anguilla,660,感染血吸蟲風險-建議,避免接觸河流、湖泊、池塘等淡水水域,,,
安吉拉(英國海外領地),Anguilla,660,感染血吸蟲風險-建議,使用河水、湖水洗澡或洗衣，建議添加氯錠消毒，或在乾淨容器至少儲放2天再使用,,,
安吉拉(英國海外領地),Anguilla,660,感染血吸蟲風險-建議,如不慎碰觸淡水，請立即用酒精和乾毛巾大力擦拭皮膚，減低感染風險,,,
安地卡及巴布達,Antigua and Barbuda,028,國際旅遊疫情建議等級,第一級:注意(Watch)警示,新冠併發重症,2023-11-01,
安地卡及巴布達,Antigua and Barbuda,028,國際旅遊疫情建議等級,第一級:注意(Watch)警示,茲卡病毒感染症,2020-11-06,
安地卡及巴布達,Antigua and Barbuda,028,預防接種規定及建議,預防接種項目,,,黃熱病疫苗
安地卡及巴布達,Antigua and Barbuda,028,預防接種規定及建議,預防接種項目,,,A型肝炎疫苗
安地卡及巴布達,Antigua and Barbuda,028,預防接種規定及建議,預防接種項目,,,麻疹、腮腺炎及德國麻疹混合(MMR)疫苗
安地卡及巴布達,Antigua and Barbuda,028,預防接種規定及建議,預防接種項目,,,狂犬病疫苗
安地卡及巴布達,Antigua and Barbuda,028,預防接種規定及建議,預防接種項目,,,傷寒疫苗
安地卡及巴布達,Antigua and Barbuda,028,當地其他相關疾病,蟲媒傳染,登革熱,,
安地卡及巴布達,Antigua and Barbuda,028,當地其他相關疾病,蟲媒傳染,屈公病,,
安地卡及巴布達,Antigua and Barbuda,028,當地其他相關疾病,蟲媒傳染,茲卡病毒感染症,,
安地卡及巴布達,Antigua and Barbuda,028,預防蚊蟲叮咬-建議,戶外活動時，穿著淺色長袖衣褲、包鞋及長襪，儘量減少裸露部位,,,
安地卡及巴布達,Antigua and Barbuda,028,預防蚊蟲叮咬-建議,正確使用防蚊蟲劑,,,
安地卡及巴布達,Antigua and Barbuda,028,預防蚊蟲叮咬-建議,選擇有空調、紗窗的旅館，或懸掛蚊帳(確認無破洞)，必要時噴灑環境用殺蟲或防蚊劑,,,
安地卡及巴布達,Antigua and Barbuda,028,預防蚊蟲叮咬-建議,茲卡病毒可由斑蚊叮咬傳播，一般旅客感染症狀較輕微，但孕婦感染可能導致胎兒小頭畸形或死亡，除採取上述防蚊措施外，建議懷孕婦女非必要應暫緩前往具流行風險之地區，孕婦及計劃懷孕婦女如必要前往請先諮詢醫師，於當地務必全程做好避免蚊蟲叮咬的措施,,,
安地卡及巴布達,Antigua and Barbuda,028,當地其他相關疾病,接觸傳染,狂犬病,,
安地卡及巴布達,Antigua and Barbuda,028,避免接觸動物-建議,在當地應避免逗弄、餵食哺乳動物，並避免至可能有蝙蝠的洞窟，以免感染狂犬病,,,
安地卡及巴布達,Antigua and Barbuda,028,感染血吸蟲風險-建議,避免接觸河流、湖泊、池塘等淡水水域,,,
安地卡及巴布達,Antigua and Barbuda,028,感染血吸蟲風險-建議,使用河水、湖水洗澡或洗衣，建議添加氯錠消毒，或在乾淨容器至少儲放2天再使用,,,
安地卡及巴布達,Antigua and Barbuda,028,感染血吸蟲風險-建議,如不慎碰觸淡水，請立即用酒精和乾毛巾大力擦拭皮膚，減低感染風險,,,
阿根廷,Argentina,032,國際旅遊疫情建議等級,第一級:注意(Watch)警示,黃熱病,2023-11-01,
阿根廷,Argentina,032,國際旅遊疫情建議等級,第一級:注意(Watch)警示,屈公病,2025-04-11,
阿根廷,Argentina,032,國際旅遊疫情建議等級,第一級:注意(Watch)警示,新冠併發重症,2023-11-01,
阿根廷,Argentina,032,國際旅遊疫情建議等級,第一級:注意(Watch)警示,茲卡病毒感染症,2021-04-09,
阿根廷,Argentina,032,預防接種規定及建議,預防接種項目,,,黃熱病疫苗
阿根廷,Argentina,032,預防接種規定及建議,預防接種項目,,,A型肝炎疫苗
阿根廷,Argentina,032,預防接種規定及建議,預防接種項目,,,麻疹、腮腺炎及德國麻疹混合(MMR)疫苗
阿根廷,Argentina,032,預防接種規定及建議,預防接種項目,,,狂犬病疫苗
阿根廷,Argentina,032,預防接種規定及建議,預防接種項目,,,傷寒疫苗
阿根廷,Argentina,032,預防接種規定及建議,預防接種項目,,,瘧疾預防用藥
阿根廷,Argentina,032,當地其他相關疾病,其他類,M痘,,
阿根廷,Argentina,032,其他類-建議,降低人際間傳播風險,,,
阿根廷,Argentina,032,其他類-建議,降低人畜共通傳播風險,,,
阿根廷,Argentina,032,其他類-建議,如有任何疑似症狀，應及時就醫，並告知旅遊史、高風險場域暴露史與接觸史,,,
阿根廷,Argentina,032,當地其他相關疾病,蟲媒傳染,登革熱,,
阿根廷,Argentina,032,當地其他相關疾病,蟲媒傳染,瘧疾,,
阿根廷,Argentina,032,當地其他相關疾病,蟲媒傳染,黃熱病,,
阿根廷,Argentina,032,當地其他相關疾病,蟲媒傳染,利什曼原蟲,,
阿根廷,Argentina,032,當地其他相關疾病,蟲媒傳染,茲卡病毒感染症,,
阿根廷,Argentina,032,當地其他相關疾病,蟲媒傳染,屈公病,,
阿根廷,Argentina,032,預防蚊蟲叮咬-建議,戶外活動時，穿著淺色長袖衣褲、包鞋及長襪，儘量減少裸露部位,,,
阿根廷,Argentina,032,預防蚊蟲叮咬-建議,正確使用防蚊蟲劑,,,
阿根廷,Argentina,032,預防蚊蟲叮咬-建議,選擇有空調、紗窗的旅館，或懸掛蚊帳(確認無破洞)，必要時噴灑環境用殺蟲或防蚊劑,,,
阿根廷,Argentina,032,預防蚊蟲叮咬-建議,茲卡病毒可由斑蚊叮咬傳播，一般旅客感染症狀較輕微，但孕婦感染可能導致胎兒小頭畸形或死亡，除採取上述防蚊措施外，建議懷孕婦女非必要應暫緩前往具流行風險之地區，孕婦及計劃懷孕婦女如必要前往請先諮詢醫師，於當地務必全程做好避免蚊蟲叮咬的措施,,,
阿根廷,Argentina,032,當地其他相關疾病,食物或飲水傳染,傷寒,,
阿根廷,Argentina,032,注意飲食安全-建議,選擇安全的食物,,,
阿根廷,Argentina,032,注意飲食安全-建議,選擇衛生條件良好的用餐地點，如規模較大的飯店、沒有蟑螂蚊蠅的餐廳,,,
阿根廷,Argentina,032,當地其他相關疾病,接觸傳染,狂犬病,,
阿根廷,Argentina,032,避免接觸動物-建議,在當地應避免逗弄、餵食哺乳動物，並避免至可能有蝙蝠的洞窟，以免感染狂犬病,,,
亞美尼亞,Armenia,051,國際旅遊疫情建議等級,第一級:注意(Watch)警示,新冠併發重症,2023-11-01,
亞美尼亞,Armenia,051,預防接種規定及建議,預防接種項目,,,黃熱病疫苗
亞美尼亞,Armenia,051,預防接種規定及建議,預防接種項目,,,A型肝炎疫苗
亞美尼亞,Armenia,051,預防接種規定及建議,預防接種項目,,,麻疹、腮腺炎及德國麻疹混合(MMR)疫苗
亞美尼亞,Armenia,051,預防接種規定及建議,預防接種項目,,,狂犬病疫苗
亞美尼亞,Armenia,051,預防接種規定及建議,預防接種項目,,,傷寒疫苗
亞美尼亞,Armenia,051,當地其他相關疾病,蟲媒傳染,利什曼原蟲,,
亞美尼亞,Armenia,051,預防蚊蟲叮咬-建議,戶外活動時，穿著淺色長袖衣褲、包鞋及長襪，儘量減少裸露部位,,,
亞美尼亞,Armenia,051,預防蚊蟲叮咬-建議,正確使用防蚊蟲劑,,,
亞美尼亞,Armenia,051,預防蚊蟲叮咬-建議,選擇有空調、紗窗的旅館，或懸掛蚊帳(確認無破洞)，必要時噴灑環境用殺蟲或防蚊劑,,,
亞美尼亞,Armenia,051,當地其他相關疾病,食物或飲水傳染,傷寒,,
亞美尼亞,Armenia,051,注意飲食安全-建議,選擇安全的食物,,,
亞美尼亞,Armenia,051,注意飲食安全-建議,選擇衛生條件良好的用餐地點，如規模較大的飯店、沒有蟑螂蚊蠅的餐廳,,,
亞美尼亞,Armenia,051,當地其他相關疾病,接觸傳染,狂犬病,,
亞美尼亞,Armenia,051,避免接觸動物-建議,在當地應避免逗弄、餵食哺乳動物，並避免至可能有蝙蝠的洞窟，以免感染狂犬病,,,
荷屬阿魯巴,Aruba,533,國際旅遊疫情建議等級,第一級:注意(Watch)警示,新冠併發重症,2023-11-01,
荷屬阿魯巴,Aruba,533,國際旅遊疫情建議等級,第一級:注意(Watch)警示,茲卡病毒感染症,2020-11-06,
荷屬阿魯巴,Aruba,533,預防接種規定及建議,預防接種項目,,,黃熱病疫苗
荷屬阿魯巴,Aruba,533,預防接種規定及建議,預防接種項目,,,A型肝炎疫苗
荷屬阿魯巴,Aruba,533,預防接種規定及建議,預防接種項目,,,麻疹、腮腺炎及德國麻疹混合(MMR)疫苗
荷屬阿魯巴,Aruba,533,預防接種規定及建議,預防接種項目,,,狂犬病疫苗
荷屬阿魯巴,Aruba,533,預防接種規定及建議,預防接種項目,,,傷寒疫苗
荷屬阿魯巴,Aruba,533,當地其他相關疾病,蟲媒傳染,登革熱,,
荷屬阿魯巴,Aruba,533,當地其他相關疾病,蟲媒傳染,茲卡病毒感染症,,
荷屬阿魯巴,Aruba,533,預防蚊蟲叮咬-建議,戶外活動時，穿著淺色長袖衣褲、包鞋及長襪，儘量減少裸露部位,,,
荷屬阿魯巴,Aruba,533,預防蚊蟲叮咬-建議,正確使用防蚊蟲劑,,,
荷屬阿魯巴,Aruba,533,預防蚊蟲叮咬-建議,選擇有空調、紗窗的旅館，或懸掛蚊帳(確認無破洞)，必要時噴灑環境用殺蟲或防蚊劑,,,
荷屬阿魯巴,Aruba,533,預防蚊蟲叮咬-建議,茲卡病毒可由斑蚊叮咬傳播，一般旅客感染症狀較輕微，但孕婦感染可能導致胎兒小頭畸形或死亡，除採取上述防蚊措施外，建議懷孕婦女非必要應暫緩前往具流行風險之地區，孕婦及計劃懷孕婦女如必要前往請先諮詢醫師，於當地務必全程做好避免蚊蟲叮咬的措施,,,
荷屬阿魯巴,Aruba,533,當地其他相關疾病,食物或飲水傳染,傷寒,,
荷屬阿魯巴,Aruba,533,注意飲食安全-建議,選擇安全的食物,,,
荷屬阿魯巴,Aruba,533,注意飲食安全-建議,選擇衛生條件良好的用餐地點，如規模較大的飯店、沒有蟑螂蚊蠅的餐廳,,,
荷屬阿魯巴,Aruba,533,當地其他相關疾病,接觸傳染,狂犬病,,
荷屬阿魯巴,Aruba,533,避免接觸動物-建議,在當地應避免逗弄、餵食哺乳動物，並避免至可能有蝙蝠的洞窟，以免感染狂犬病,,,
澳大利亞,Australia,036,國際旅遊疫情建議等級,第一級:注意(Watch)警示,M痘,2025-04-11,
澳大利亞,Australia,036,國際旅遊疫情建議等級,第一級:注意(Watch)警示,新冠併發重症,2023-11-01,
澳大利亞,Australia,036,預防接種規定及建議,預防接種項目,,,日本腦炎疫苗
澳大利亞,Australia,036,預防接種規定及建議,預防接種項目,,,黃熱病疫苗
澳大利亞,Australia,036,預防接種規定及建議,預防接種項目,,,麻疹、腮腺炎及德國麻疹混合(MMR)疫苗
澳大利亞,Australia,036,預防接種規定及建議,預防接種項目,,,狂犬病疫苗
澳大利亞,Australia,036,當地其他相關疾病,其他類,M痘,,
澳大利亞,Australia,036,其他類-建議,降低人際間傳播風險,,,
澳大利亞,Australia,036,其他類-建議,降低人畜共通傳播風險,,,
澳大利亞,Australia,036,其他類-建議,如有任何疑似症狀，應及時就醫，並告知旅遊史、高風險場域暴露史與接觸史,,,
澳大利亞,Australia,036,當地其他相關疾病,蟲媒傳染,登革熱(侷限在東北部昆士蘭州地區),,
澳大利亞,Australia,036,當地其他相關疾病,蟲媒傳染,日本腦炎,,
澳大利亞,Australia,036,預防蚊蟲叮咬-建議,戶外活動時，穿著淺色長袖衣褲、包鞋及長襪，儘量減少裸露部位,,,
澳大利亞,Australia,036,預防蚊蟲叮咬-建議,正確使用防蚊蟲劑,,,
澳大利亞,Australia,036,預防蚊蟲叮咬-建議,選擇有空調、紗窗的旅館，或懸掛蚊帳(確認無破洞)，必要時噴灑環境用殺蟲或防蚊劑,,,
澳大利亞,Australia,036,當地其他相關疾病,接觸傳染,狂犬病,,
澳大利亞,Australia,036,避免接觸動物-建議,在當地應避免逗弄、餵食哺乳動物，並避免至可能有蝙蝠的洞窟，以免感染狂犬病,,,
