醫療院所名稱,抗蛇毒血清種類,電話,區域別,縣市別,縣市別代碼,縣市鄉鎮市區,縣市鄉鎮市區代碼,地址,經度,緯度,醫事機構代碼
彰化基督教醫療財團法人二林基督教醫院,抗雨傘節及飯匙倩蛇毒血清,(04)8952031,中區,彰化縣,10007,彰化縣二林鎮,10007200,彰化縣二林鎮南光里大成路一段５５８號,120.363344,23.893608,1137080017
衛生福利部彰化醫院,抗雨傘節及飯匙倩蛇毒血清,(04)8298686,中區,彰化縣,10007,彰化縣埔心鄉,10007150,彰化縣埔心鄉舊館村中正路二段８０號,120.527299,23.950225,0137170515
秀傳醫療社團法人秀傳紀念醫院,抗龜殼花及赤尾鮐蛇毒血清,(04)7256166,中區,彰化縣,10007,彰化縣彰化市,10007010,彰化縣彰化市南瑤里中山路一段５４２號,120.537508,24.064786,0937010019
秀傳醫療財團法人彰濱秀傳紀念醫院,抗龜殼花及赤尾鮐蛇毒血清,(04)7813888,中區,彰化縣,10007,彰化縣鹿港鎮,10007020,彰化縣鹿港鎮鹿工路6號,120.411121,24.078274,1137020511
彰化基督教醫療財團法人彰化基督教醫院,抗龜殼花及赤尾鮐蛇毒血清,(04)7238595,中區,彰化縣,10007,彰化縣彰化市,10007010,彰化縣彰化市光南里南校街１３５號,120.544461,24.07149,1137010024
衛生福利部彰化醫院,抗龜殼花及赤尾鮐蛇毒血清,(04)8298686,中區,彰化縣,10007,彰化縣埔心鄉,10007150,彰化縣埔心鄉舊館村中正路二段８０號,120.527299,23.950225,0137170515
臺中市和平區梨山衛生所,抗百步蛇毒血清,(04)25989540,中區,臺中市,10019,臺中市和平區,66000290,臺中市和平區梨山里中正路68號,121.255125,24.25445,2336210034
臺中榮民總醫院,抗百步蛇毒血清,(04)23592525,中區,臺中市,10019,臺中市西屯區,10019060,臺中市西屯區福安里臺灣大道四段1650號,120.608039,24.175886,0617060018
中山醫學大學附設醫院,抗雨傘節及飯匙倩蛇毒血清,(04)24739595,中區,臺中市,10019,臺中市南區,10019030,臺中市南區樹義里南區建國北路一段１１０號,120.6495084,24.1218092,1317040011
中國醫藥大學附設醫院,抗雨傘節及飯匙倩蛇毒血清,(04)22062121,中區,臺中市,10019,臺中市北區,10019050,臺中市北區學士路2號,120.6783605,24.1576494,1317050017
光田醫療社團法人光田綜合醫院,抗雨傘節及飯匙倩蛇毒血清,(04)26625111,中區,臺中市,10019,臺中市沙鹿區,66000130,臺中市沙鹿區興安里沙田路117號,120.558832,24.235321,0936050029
佛教慈濟醫療財團法人臺中慈濟醫院,抗雨傘節及飯匙倩蛇毒血清,(04)36060666,中區,臺中市,10019,臺中市潭子區,66000170,臺中市潭子區豐興路一段66、88號,120.722674,24.201631,1136090519
李綜合醫療社團法人大甲李綜合醫院,抗雨傘節及飯匙倩蛇毒血清,(04)26862288,中區,臺中市,10019,臺中市大甲區,66000110,臺中市大甲區平安里八德街２號,120.618073,24.350784,0936030018
國軍臺中總醫院附設民眾診療服務處,抗雨傘節及飯匙倩蛇毒血清,(04)23934191,中區,臺中市,10019,臺中市太平區,66000270,臺中市太平區光華里中山路2段348號,120.7278923,24.1511575,0536190011
童綜合醫療社團法人童綜合醫院,抗雨傘節及飯匙倩蛇毒血清,(04)26581919,中區,臺中市,10019,臺中市梧棲區,66000140,臺中市梧棲區大庄里臺灣大道八段６９９號,120.542506,24.247286,0936060016
臺中市和平區梨山衛生所,抗雨傘節及飯匙倩蛇毒血清,(04)25989540,中區,臺中市,10019,臺中市和平區,66000290,臺中市和平區梨山里中正路68號,121.255125,24.25445,2336210034
臺中榮民總醫院,抗雨傘節及飯匙倩蛇毒血清,(04)23592525,中區,臺中市,10019,臺中市西屯區,10019060,臺中市西屯區福安里臺灣大道四段1650號,120.608039,24.175886,0617060018
澄清綜合醫院中港分院,抗雨傘節及飯匙倩蛇毒血清,(04)24632000,中區,臺中市,10019,臺中市西屯區,10019060,臺中市西屯區福安里臺灣大道四段966號,120.622011,24.180203,1517061032
衛生福利部臺中醫院,抗雨傘節及飯匙倩蛇毒血清,(04)22294411,中區,臺中市,10019,臺中市西區,10019040,臺中市西區三民路一段１９９號,120.675711,24.140226,0117030010
衛生福利部豐原醫院,抗雨傘節及飯匙倩蛇毒血清,(04)25271180,中區,臺中市,10019,臺中市豐原區,66000090,臺中市豐原區安康路１００號,120.725292,24.242707,0136010010
中山醫學大學附設醫院,抗龜殼花及赤尾鮐蛇毒血清,(04)24739595,中區,臺中市,10019,臺中市南區,10019030,臺中市南區樹義里南區建國北路一段１１０號,120.6495084,24.1218092,1317040011
中國醫藥大學附設醫院,抗龜殼花及赤尾鮐蛇毒血清,(04)22062121,中區,臺中市,10019,臺中市北區,10019050,臺中市北區學士路2號,120.6783605,24.1576494,1317050017
仁愛醫療財團法人大里仁愛醫院,抗龜殼花及赤尾鮐蛇毒血清,(04)24819900,中區,臺中市,10019,臺中市大里區,66000280,臺中市大里區東榮路４８３號,120.680434,24.109261,1136200015
光田醫療社團法人光田綜合醫院,抗龜殼花及赤尾鮐蛇毒血清,(04)26625111,中區,臺中市,10019,臺中市沙鹿區,66000130,臺中市沙鹿區興安里沙田路117號,120.558832,24.235321,0936050029
佛教慈濟醫療財團法人臺中慈濟醫院,抗龜殼花及赤尾鮐蛇毒血清,(04)36060666,中區,臺中市,10019,臺中市潭子區,66000170,臺中市潭子區豐興路一段66、88號,120.722674,24.201631,1136090519
李綜合醫療社團法人大甲李綜合醫院,抗龜殼花及赤尾鮐蛇毒血清,(04)26862288,中區,臺中市,10019,臺中市大甲區,66000110,臺中市大甲區平安里八德街２號,120.618073,24.350784,0936030018
亞洲大學附屬醫院,抗龜殼花及赤尾鮐蛇毒血清,(04)37061668,中區,臺中市,10019,臺中市霧峰區,66000260,臺中市霧峰區臺中市霧峰區福新路２２２號,120.686893,24.054042,1303180011
東勢區農會附設農民醫院,抗龜殼花及赤尾鮐蛇毒血清,(04)25771919,中區,臺中市,10019,臺中市東勢區,66000100,臺中市東勢區南平里豐勢路２９７號,120.829518,24.253923,1436020013
國軍臺中總醫院附設民眾診療服務處,抗龜殼花及赤尾鮐蛇毒血清,(04)23934191,中區,臺中市,10019,臺中市太平區,66000270,臺中市太平區光華里中山路2段348號,120.7278923,24.1511575,0536190011
童綜合醫療社團法人童綜合醫院,抗龜殼花及赤尾鮐蛇毒血清,(04)26581919,中區,臺中市,10019,臺中市梧棲區,66000140,臺中市梧棲區大庄里臺灣大道八段６９９號,120.542506,24.247286,0936060016
臺中市和平區梨山衛生所,抗龜殼花及赤尾鮐蛇毒血清,(04)25989540,中區,臺中市,10019,臺中市和平區,66000290,臺中市和平區梨山里中正路68號,121.255125,24.25445,2336210034
臺中市和平區衛生所,抗龜殼花及赤尾鮐蛇毒血清,(04)25942781,中區,臺中市,10019,臺中市和平區,66000290,臺中市和平區南勢里東關路三段132號,120.881825,24.174073,2336210025
臺中榮民總醫院,抗龜殼花及赤尾鮐蛇毒血清,(04)23592525,中區,臺中市,10019,臺中市西屯區,10019060,臺中市西屯區福安里臺灣大道四段1650號,120.608039,24.175886,0617060018
澄清綜合醫院中港分院,抗龜殼花及赤尾鮐蛇毒血清,(04)24632000,中區,臺中市,10019,臺中市西屯區,10019060,臺中市西屯區福安里臺灣大道四段966號,120.622011,24.180203,1517061032
衛生福利部臺中醫院,抗龜殼花及赤尾鮐蛇毒血清,(04)22294411,中區,臺中市,10019,臺中市西區,10019040,臺中市西區三民路一段１９９號,120.675711,24.140226,0117030010
衛生福利部豐原醫院,抗龜殼花及赤尾鮐蛇毒血清,(04)25271180,中區,臺中市,10019,臺中市豐原區,66000090,臺中市豐原區安康路１００號,120.725292,24.242707,0136010010
臺中榮民總醫院,抗鎖鏈蛇毒血清,(04)23592525,中區,臺中市,10019,臺中市西屯區,10019060,臺中市西屯區福安里臺灣大道四段1650號,120.608039,24.175886,0617060018
大千綜合醫院,抗百步蛇毒血清,(037)357125,北區,苗栗縣,10005,苗栗縣苗栗市,10005010,苗栗縣苗栗市恭敬里恭敬路36號,120.814892,24.55006,1535010051
大千綜合醫院,抗雨傘節及飯匙倩蛇毒血清,(037)357125,北區,苗栗縣,10005,苗栗縣苗栗市,10005010,苗栗縣苗栗市恭敬里恭敬路36號,120.814892,24.55006,1535010051
大順醫院,抗雨傘節及飯匙倩蛇毒血清,(037)997666,北區,苗栗縣,10005,苗栗縣大湖鄉,10005080,苗栗縣大湖鄉中山路71號,120.869417,24.421452,1531060046
李綜合醫療社團法人苑裡李綜合醫院,抗雨傘節及飯匙倩蛇毒血清,(037)862387,北區,苗栗縣,10005,苗栗縣苑裡鎮,10005020,苗栗縣苑裡鎮苑南里和平路１６８號,120.65272,24.44182,0935020027
為恭醫療財團法人為恭紀念醫院,抗雨傘節及飯匙倩蛇毒血清,(037)676811,北區,苗栗縣,10005,苗栗縣頭份鎮,1000505A,苗栗縣頭份鎮東庄里信義路128號,120.907345,24.687096,1135050020
通霄光田醫院,抗雨傘節及飯匙倩蛇毒血清,(037)759999,北區,苗栗縣,10005,苗栗縣通霄鎮,10005030,苗栗縣通霄鎮通西里中山路88號 ,120.6762713,24.4889662,1535031041
衛生福利部苗栗醫院,抗雨傘節及飯匙倩蛇毒血清,(037)261920,北區,苗栗縣,10005,苗栗縣苗栗市,10005010,苗栗縣苗栗市為公路747號,120.840405,24.575655,0135010016
大千綜合醫院,抗龜殼花及赤尾鮐蛇毒血清,(037)357125,北區,苗栗縣,10005,苗栗縣苗栗市,10005010,苗栗縣苗栗市恭敬里恭敬路36號,120.814892,24.55006,1535010051
大順醫院,抗龜殼花及赤尾鮐蛇毒血清,(037)997666,北區,苗栗縣,10005,苗栗縣大湖鄉,10005080,苗栗縣大湖鄉中山路71號,120.869417,24.421452,1531060046
李綜合醫療社團法人苑裡李綜合醫院,抗龜殼花及赤尾鮐蛇毒血清,(037)862387,北區,苗栗縣,10005,苗栗縣苑裡鎮,10005020,苗栗縣苑裡鎮苑南里和平路１６８號,120.65272,24.44182,0935020027
為恭醫療財團法人為恭紀念醫院,抗龜殼花及赤尾鮐蛇毒血清,(037)676811,北區,苗栗縣,10005,苗栗縣頭份鎮,1000505A,苗栗縣頭份鎮東庄里信義路128號,120.907345,24.687096,1135050020
通霄光田醫院,抗龜殼花及赤尾鮐蛇毒血清,(037)759999,北區,苗栗縣,10005,苗栗縣通霄鎮,10005030,苗栗縣通霄鎮通西里中山路88號 ,120.6762713,24.4889662,1535031041
衛生福利部苗栗醫院,抗龜殼花及赤尾鮐蛇毒血清,(037)261920,北區,苗栗縣,10005,苗栗縣苗栗市,10005010,苗栗縣苗栗市為公路747號,120.840405,24.575655,0135010016
桃園市八德區衛生所,抗百步蛇毒血清,(03)3662781,北區,桃園市,68000,桃園市八德區,68000080,桃園市八德區大華里介壽路2段361巷28號,121.2963734,24.9475226,2332080012
桃園市大園區衛生所,抗百步蛇毒血清,(03)3862024,北區,桃園市,68000,桃園市大園區,68000060,桃園市大園區田心里中正西路19號,121.1931273,25.0636388,2332060010
桃園市大溪區衛生所,抗百步蛇毒血清,(03)3882401,北區,桃園市,68000,桃園市大溪區,68000030,桃園市大溪區仁愛路1號,121.285478,24.884489,2332030012
桃園市復興區衛生所,抗百步蛇毒血清,(03)3822325,北區,桃園市,68000,桃園市復興區,68000130,桃園市復興區澤仁里中正路25號,121.350982,24.815071,2332130017
桃園市新屋區衛生所,抗百步蛇毒血清,(03)4772196,北區,桃園市,68000,桃園市新屋區,68000110,桃園市新屋區新屋里中山路239號,121.1043933,24.9725398,2332110015
桃園市蘆竹區衛生所,抗百步蛇毒血清,(03)3524732,北區,桃園市,68000,桃園市蘆竹區,68000050,桃園市蘆竹區內厝里長安路二段238號,121.280466,25.063065,2332050014
桃園市觀音區衛生所,抗百步蛇毒血清,(03)4732031,北區,桃園市,68000,桃園市觀音區,68000120,桃園市觀音區觀音里觀新路58號,121.083744,25.029642,2332120011
天成醫院,抗雨傘節及飯匙倩蛇毒血清,(03)4782350,北區,桃園市,68000,桃園市楊梅區,68000040,桃園市楊梅區中山北路一段356號,121.15712,24.908844,1532040039
天成醫療社團法人天晟醫院,抗雨傘節及飯匙倩蛇毒血清,(03)4629292,北區,桃園市,68000,桃園市中壢區,68000020,桃園市中壢區延平路155號,121.229327,24.962795,0932020025
天祥醫院,抗雨傘節及飯匙倩蛇毒血清,(03)4951866,北區,桃園市,68000,桃園市中壢區,68000020,桃園市中壢區志廣路119號,121.2051214474315,24.96484389110953,1532021418
沙爾德聖保祿修女會醫療財團法人聖保祿醫院,抗雨傘節及飯匙倩蛇毒血清,(03)3613141,北區,桃園市,68000,桃園市桃園區,68000010,桃園市桃園區建新街123號,121.3098143,24.9823171,1132010024
長庚醫療財團法人林口長庚紀念醫院,抗雨傘節及飯匙倩蛇毒血清,(03)3281200,北區,桃園市,68000,桃園市龜山區,68000070,桃園市龜山區復興街5號,121.3653194,25.0616876,1132070011
桃園市大園區衛生所,抗雨傘節及飯匙倩蛇毒血清,(03)3862024,北區,桃園市,68000,桃園市大園區,68000060,桃園市大園區田心里中正西路19號,121.1931273,25.0636388,2332060010
桃園市大溪區衛生所,抗雨傘節及飯匙倩蛇毒血清,(03)3882401,北區,桃園市,68000,桃園市大溪區,68000030,桃園市大溪區仁愛路1號,121.285478,24.884489,2332030012
桃園市復興區衛生所,抗雨傘節及飯匙倩蛇毒血清,(03)3822325,北區,桃園市,68000,桃園市復興區,68000130,桃園市復興區澤仁里中正路25號,121.350982,24.815071,2332130017
桃園市蘆竹區衛生所,抗雨傘節及飯匙倩蛇毒血清,(03)3524732,北區,桃園市,68000,桃園市蘆竹區,68000050,桃園市蘆竹區內厝里長安路二段238號,121.280466,25.063065,2332050014
桃園市觀音區衛生所,抗雨傘節及飯匙倩蛇毒血清,(03)4732031,北區,桃園市,68000,桃園市觀音區,68000120,桃園市觀音區觀音里觀新路58號,121.083744,25.029642,2332120011
國軍桃園總醫院附設民眾診療服務處,抗雨傘節及飯匙倩蛇毒血清,(03)4799595,北區,桃園市,68000,桃園市龍潭區,68000090,桃園市龍潭區中興村中興路１６８號,121.232634,24.8769676,0532090029
敏盛綜合醫院,抗雨傘節及飯匙倩蛇毒血清,(03)3179599,北區,桃園市,68000,桃園市桃園區,68000010,桃園市桃園區經國路１６８號,121.306314,25.016234,1532011154
衛生福利部桃園醫院,抗雨傘節及飯匙倩蛇毒血清,(03)3699721,北區,桃園市,68000,桃園市桃園區,68000010,桃園市桃園區中山路１４９２號,121.2670742,24.9776782,0132010014
衛生福利部桃園醫院新屋分院,抗雨傘節及飯匙倩蛇毒血清,(03)4971989,北區,桃園市,68000,桃園市新屋區,68000110,桃園市新屋區新屋里新福二路6號,121.107189,24.969856,0132110519
聯新國際醫院,抗雨傘節及飯匙倩蛇毒血清,(03)4941234,北區,桃園市,68000,桃園市平鎮區,68000100,桃園市平鎮區廣泰路77號,121.20496,24.94612,1532100049
天成醫院,抗龜殼花及赤尾鮐蛇毒血清,(03)4782350,北區,桃園市,68000,桃園市楊梅區,68000040,桃園市楊梅區中山北路一段356號,121.15712,24.908844,1532040039
天成醫療社團法人天晟醫院,抗龜殼花及赤尾鮐蛇毒血清,(03)4629292,北區,桃園市,68000,桃園市中壢區,68000020,桃園市中壢區延平路155號,121.229327,24.962795,0932020025
天祥醫院,抗龜殼花及赤尾鮐蛇毒血清,(03)4951866,北區,桃園市,68000,桃園市中壢區,68000020,桃園市中壢區志廣路119號,121.2051214474315,24.96484389110953,1532021418
沙爾德聖保祿修女會醫療財團法人聖保祿醫院,抗龜殼花及赤尾鮐蛇毒血清,(03)3613141,北區,桃園市,68000,桃園市桃園區,68000010,桃園市桃園區建新街123號,121.3098143,24.9823171,1132010024
怡仁綜合醫院,抗龜殼花及赤尾鮐蛇毒血清,(03)4855566,北區,桃園市,68000,桃園市楊梅區,68000040,桃園市楊梅區楊新北路３２１巷３０號,121.155427,24.916951,1532040066
長庚醫療財團法人林口長庚紀念醫院,抗龜殼花及赤尾鮐蛇毒血清,(03)3281200,北區,桃園市,68000,桃園市龜山區,68000070,桃園市龜山區復興街5號,121.3653194,25.0616876,1132070011
桃園市大園區衛生所,抗龜殼花及赤尾鮐蛇毒血清,(03)3862024,北區,桃園市,68000,桃園市大園區,68000060,桃園市大園區田心里中正西路19號,121.1931273,25.0636388,2332060010
桃園市大溪區衛生所,抗龜殼花及赤尾鮐蛇毒血清,(03)3882401,北區,桃園市,68000,桃園市大溪區,68000030,桃園市大溪區仁愛路1號,121.285478,24.884489,2332030012
桃園市復興區衛生所,抗龜殼花及赤尾鮐蛇毒血清,(03)3822325,北區,桃園市,68000,桃園市復興區,68000130,桃園市復興區澤仁里中正路25號,121.350982,24.815071,2332130017
桃園市蘆竹區衛生所,抗龜殼花及赤尾鮐蛇毒血清,(03)3524732,北區,桃園市,68000,桃園市蘆竹區,68000050,桃園市蘆竹區內厝里長安路二段238號,121.280466,25.063065,2332050014
桃園市觀音區衛生所,抗龜殼花及赤尾鮐蛇毒血清,(03)4732031,北區,桃園市,68000,桃園市觀音區,68000120,桃園市觀音區觀音里觀新路58號,121.083744,25.029642,2332120011
國軍桃園總醫院附設民眾診療服務處,抗龜殼花及赤尾鮐蛇毒血清,(03)4799595,北區,桃園市,68000,桃園市龍潭區,68000090,桃園市龍潭區中興村中興路１６８號,121.232634,24.8769676,0532090029
敏盛綜合醫院,抗龜殼花及赤尾鮐蛇毒血清,(03)3179599,北區,桃園市,68000,桃園市桃園區,68000010,桃園市桃園區經國路１６８號,121.306314,25.016234,1532011154
衛生福利部桃園醫院,抗龜殼花及赤尾鮐蛇毒血清,(03)3699721,北區,桃園市,68000,桃園市桃園區,68000010,桃園市桃園區中山路１４９２號,121.2670742,24.9776782,0132010014
衛生福利部桃園醫院新屋分院,抗龜殼花及赤尾鮐蛇毒血清,(03)4971989,北區,桃園市,68000,桃園市新屋區,68000110,桃園市新屋區新屋里新福二路6號,121.107189,24.969856,0132110519
聯新國際醫院,抗龜殼花及赤尾鮐蛇毒血清,(03)4941234,北區,桃園市,68000,桃園市平鎮區,68000100,桃園市平鎮區廣泰路77號,121.20496,24.94612,1532100049
長庚醫療財團法人林口長庚紀念醫院,抗鎖鏈蛇毒血清,(03)3281200,北區,桃園市,68000,桃園市龜山區,68000070,桃園市龜山區復興街五號,121.3653194,25.0616876,1132070011
臺灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,抗雨傘節及飯匙倩蛇毒血清,(03)6119595,北區,新竹市,10018,新竹市東區,10018010,新竹市東區光復路二段６９０號,120.990781,24.800088,1112010519
國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,抗雨傘節及飯匙倩蛇毒血清,(03)5326151,北區,新竹市,10018,新竹市北區,10018020,新竹市北區金華里經國路一段４４２巷２５號,120.97992,24.816708,0412040012
國泰醫療財團法人新竹國泰綜合醫院,抗雨傘節及飯匙倩蛇毒血清,(03)5278999,北區,新竹市,10018,新竹市東區,10018010,新竹市東區中華路二段６７８號,120.965227,24.798257,1112010528
臺灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,抗龜殼花及赤尾鮐蛇毒血清,(03)6119595,北區,新竹市,10018,新竹市東區,10018010,新竹市東區光復路二段６９０號,120.990781,24.800088,1112010519
國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,抗龜殼花及赤尾鮐蛇毒血清,(03)5326151,北區,新竹市,10018,新竹市北區,10018020,新竹市北區金華里經國路一段４４２巷２５號,120.97992,24.816708,0412040012
國軍桃園總醫院新竹分院附設民眾診療服務處,抗龜殼花及赤尾鮐蛇毒血清,(03)5348181,北區,新竹市,10018,新竹市北區,10018020,新竹市北區武陵里北區武陵路３號,120.962391,24.815372,0512040014
國泰醫療財團法人新竹國泰綜合醫院,抗龜殼花及赤尾鮐蛇毒血清,(03)5278999,北區,新竹市,10018,新竹市東區,10018010,新竹市東區中華路二段６７８號,120.965227,24.798257,1112010528
新竹縣五峰鄉衛生所,抗百步蛇毒血清,(03)5851005,北區,新竹縣,10004,新竹縣五峰鄉,10004130,新竹縣五峰鄉大隘村699號,121.119384,24.63184,2333140017
臺北榮民總醫院新竹分院,抗百步蛇毒血清,(03)5962134,北區,新竹縣,10004,新竹縣竹東鎮,10004020,新竹縣竹東鎮東寧里中豐路１段８１號,121.099575,24.722702,0633030010
中國醫藥大學新竹附設醫院,抗雨傘節及飯匙倩蛇毒血清,(03)5580558,北區,新竹縣,10004,新竹縣竹北市,10004010,新竹縣竹北市興隆路一段199號,121.001973,24.823942,1333050017
天主教仁慈醫療財團法人仁慈醫院,抗雨傘節及飯匙倩蛇毒血清,(03)5993500,北區,新竹縣,10004,新竹縣湖口鄉,10004050,新竹縣湖口鄉孝勢村忠孝路２９號,121.045458,24.900558,1133060019
東元醫療社團法人東元綜合醫院,抗雨傘節及飯匙倩蛇毒血清,(03)5527000,北區,新竹縣,10004,新竹縣竹北市,10004010,新竹縣竹北市斗崙里縣政二路６９號,121.013753,24.823703,0933050018
國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院,抗雨傘節及飯匙倩蛇毒血清,(03)6677600,北區,新竹縣,10004,新竹縣竹北市,10004010,新竹縣竹北市生醫路一段2號,121.0429112,24.8074294,0433050018
國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院 (竹東院區),抗雨傘節及飯匙倩蛇毒血清,(03)5343248,北區,新竹縣,10004,新竹縣竹東鎮,10004020,新竹縣竹東鎮上館里至善路52號,121.0232212,24.7189239,0433050018
新竹縣五峰鄉衛生所,抗雨傘節及飯匙倩蛇毒血清,(03)5851005,北區,新竹縣,10004,新竹縣五峰鄉,10004130,新竹縣五峰鄉大隘村699號,121.119384,24.63184,2333140017
新竹縣尖石鄉衛生所,抗雨傘節及飯匙倩蛇毒血清,(03)5842356,北區,新竹縣,10004,新竹縣尖石鄉,10004120,新竹縣尖石鄉嘉樂村二61號,121.178636,24.667854,2333130011
臺北榮民總醫院新竹分院,抗雨傘節及飯匙倩蛇毒血清,(03)5962134,北區,新竹縣,10004,新竹縣竹東鎮,10004020,新竹縣竹東鎮東寧里中豐路１段８１號,121.099575,24.722702,0633030010
中國醫藥大學新竹附設醫院,抗龜殼花及赤尾鮐蛇毒血清,(03)5580558,北區,新竹縣,10004,新竹縣竹北市,10004010,新竹縣竹北市興隆路一段199號,121.001973,24.823942,1333050017
天主教仁慈醫療財團法人仁慈醫院,抗龜殼花及赤尾鮐蛇毒血清,(03)5993500,北區,新竹縣,10004,新竹縣湖口鄉,10004050,新竹縣湖口鄉孝勢村忠孝路２９號,121.045458,24.900558,1133060019
