確定病名,診斷年份,診斷月份,縣市,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼
098,2003,02,新北市,M,0,25~29,5,65000
098,2003,02,新北市,M,0,30~34,3,65000
098,2003,02,新北市,M,0,35~39,1,65000
098,2003,02,新北市,M,0,40~44,2,65000
098,2003,02,新北市,M,0,45~49,3,65000
098,2003,02,新北市,M,0,50~54,1,65000
098,2003,02,新北市,M,0,60~64,1,65000
098,2003,02,台中市,M,0,45~49,2,66000
098,2003,02,台南市,M,0,15~19,1,67000
098,2003,02,台南市,M,0,20~24,3,67000
098,2003,02,台南市,M,0,35~39,2,67000
098,2003,02,桃園市,M,0,15~19,1,68000
098,2003,02,桃園市,M,0,35~39,1,68000
098,2003,03,金門縣,M,0,20~24,2,09020
098,2003,03,宜蘭縣,M,0,30~34,1,10002
098,2003,03,新竹縣,M,0,25~29,1,10004
098,2003,03,新竹縣,M,0,35~39,1,10004
098,2003,03,苗栗縣,M,0,30~34,1,10005
098,2003,03,彰化縣,F,0,30~34,1,10007
098,2003,03,彰化縣,M,0,25~29,1,10007
098,2003,03,彰化縣,M,0,35~39,1,10007
098,2003,03,南投縣,F,0,30~34,1,10008
098,2003,03,南投縣,F,0,40~44,1,10008
098,2003,03,嘉義縣,F,0,30~34,1,10010
098,2003,03,嘉義縣,M,0,20~24,1,10010
098,2003,03,嘉義縣,M,0,30~34,1,10010
098,2003,03,屏東縣,M,0,20~24,1,10013
098,2003,03,屏東縣,M,0,35~39,1,10013
098,2003,03,屏東縣,M,0,60~64,1,10013
098,2003,03,台東縣,M,0,15~19,1,10014
098,2003,03,花蓮縣,M,0,20~24,2,10015
098,2003,03,基隆市,M,0,20~24,1,10017
098,2003,03,新竹市,M,0,20~24,1,10018
098,2003,03,新竹市,M,0,50~54,1,10018
098,2003,03,嘉義市,F,0,40~44,1,10020
098,2003,03,台北市,M,0,20~24,4,63000
098,2003,03,台北市,M,0,25~29,2,63000
098,2003,03,台北市,M,0,30~34,3,63000
098,2003,03,台北市,M,0,35~39,1,63000
098,2003,03,台北市,M,0,40~44,1,63000
098,2003,03,台北市,M,0,45~49,2,63000
098,2003,03,台北市,M,0,55~59,1,63000
098,2003,03,高雄市,F,0,25~29,1,64000
098,2003,03,高雄市,F,0,30~34,1,64000
098,2003,03,高雄市,M,0,20~24,1,64000
098,2003,03,高雄市,M,0,25~29,2,64000
098,2003,03,高雄市,M,0,30~34,1,64000
098,2003,03,高雄市,M,0,35~39,3,64000
098,2003,03,新北市,F,0,15~19,3,65000
098,2003,03,新北市,M,0,15~19,2,65000
098,2003,03,新北市,M,0,25~29,4,65000
098,2003,03,新北市,M,0,30~34,2,65000
098,2003,03,新北市,M,0,35~39,2,65000
098,2003,03,新北市,M,0,40~44,1,65000
098,2003,03,台中市,F,0,25~29,1,66000
098,2003,03,台中市,M,0,20~24,2,66000
098,2003,03,台中市,M,0,30~34,1,66000
098,2003,03,台南市,F,0,20~24,1,67000
098,2003,03,台南市,F,0,3,1,67000
098,2003,03,台南市,M,0,15~19,1,67000
098,2003,03,台南市,M,0,20~24,4,67000
098,2003,03,台南市,M,0,25~29,3,67000
098,2003,03,桃園市,F,0,30~34,1,68000
098,2003,03,桃園市,F,0,50~54,1,68000
098,2003,03,桃園市,M,0,50~54,1,68000
098,2003,04,新竹縣,F,0,20~24,1,10004
098,2003,04,新竹縣,M,0,15~19,1,10004
098,2003,04,苗栗縣,M,0,25~29,1,10005
098,2003,04,苗栗縣,M,0,40~44,1,10005
098,2003,04,苗栗縣,M,1,20~24,1,10005
098,2003,04,彰化縣,M,0,20~24,1,10007
098,2003,04,雲林縣,M,0,20~24,2,10009
098,2003,04,雲林縣,M,0,25~29,1,10009
098,2003,04,嘉義縣,F,0,35~39,1,10010
098,2003,04,嘉義縣,M,0,25~29,1,10010
098,2003,04,嘉義縣,M,0,30~34,1,10010
098,2003,04,屏東縣,M,0,25~29,2,10013
098,2003,04,花蓮縣,M,0,20~24,1,10015
098,2003,04,基隆市,M,0,20~24,3,10017
098,2003,04,新竹市,F,0,10~14,1,10018
098,2003,04,新竹市,M,0,20~24,1,10018
098,2003,04,新竹市,M,0,45~49,1,10018
098,2003,04,新竹市,M,0,70+,1,10018
098,2003,04,台北市,F,0,20~24,1,63000
098,2003,04,台北市,F,0,25~29,1,63000
098,2003,04,台北市,M,0,20~24,6,63000
098,2003,04,台北市,M,0,25~29,5,63000
098,2003,04,台北市,M,0,30~34,5,63000
098,2003,04,台北市,M,0,35~39,5,63000
098,2003,04,台北市,M,0,40~44,2,63000
098,2003,04,台北市,M,0,45~49,2,63000
098,2003,04,台北市,M,0,50~54,1,63000
098,2003,04,台北市,M,0,55~59,1,63000
098,2003,04,台北市,M,0,70+,1,63000
098,2003,04,高雄市,M,0,20~24,2,64000
098,2003,04,高雄市,M,0,30~34,5,64000
098,2003,04,高雄市,M,0,40~44,1,64000
098,2003,04,新北市,F,0,15~19,1,65000
098,2003,04,新北市,F,0,20~24,1,65000
098,2003,04,新北市,F,0,25~29,1,65000
098,2003,04,新北市,F,0,30~34,1,65000
098,2003,04,新北市,F,0,45~49,1,65000
098,2003,04,新北市,M,0,15~19,1,65000
098,2003,04,新北市,M,0,20~24,13,65000
098,2003,04,新北市,M,0,25~29,7,65000
098,2003,04,新北市,M,0,30~34,4,65000
098,2003,04,新北市,M,0,35~39,2,65000
098,2003,04,新北市,M,0,60~64,1,65000
098,2003,04,台中市,M,0,15~19,1,66000
098,2003,04,台中市,M,0,20~24,2,66000
098,2003,04,台中市,M,0,25~29,3,66000
098,2003,04,台中市,M,0,30~34,3,66000
098,2003,04,台中市,M,0,35~39,1,66000
098,2003,04,台中市,M,0,40~44,1,66000
098,2003,04,台南市,F,0,45~49,1,67000
098,2003,04,台南市,F,0,50~54,1,67000
098,2003,04,台南市,M,0,20~24,1,67000
098,2003,04,台南市,M,0,25~29,2,67000
098,2003,04,桃園市,M,0,20~24,1,68000
098,2003,04,桃園市,M,0,25~29,2,68000
098,2003,04,桃園市,M,0,30~34,1,68000
098,2003,04,桃園市,M,0,35~39,3,68000
098,2003,05,宜蘭縣,M,0,65~69,1,10002
098,2003,05,新竹縣,M,0,25~29,1,10004
098,2003,05,苗栗縣,M,0,40~44,1,10005
098,2003,05,雲林縣,M,0,55~59,1,10009
098,2003,05,台東縣,M,0,30~34,1,10014
098,2003,05,花蓮縣,M,0,20~24,1,10015
098,2003,05,新竹市,F,0,35~39,1,10018
098,2003,05,新竹市,M,0,15~19,1,10018
098,2003,05,新竹市,M,0,20~24,3,10018
098,2003,05,新竹市,M,0,25~29,1,10018
098,2003,05,新竹市,M,0,30~34,1,10018
098,2003,05,台北市,F,0,15~19,1,63000
098,2003,05,台北市,F,0,25~29,1,63000
098,2003,05,台北市,F,0,40~44,1,63000
098,2003,05,台北市,M,0,15~19,1,63000
098,2003,05,台北市,M,0,20~24,1,63000
098,2003,05,台北市,M,0,25~29,4,63000
098,2003,05,台北市,M,0,30~34,5,63000
098,2003,05,台北市,M,0,35~39,2,63000
098,2003,05,台北市,M,0,40~44,2,63000
098,2003,05,台北市,M,0,45~49,4,63000
098,2003,05,台北市,M,0,50~54,3,63000
098,2003,05,台北市,M,0,55~59,2,63000
098,2003,05,高雄市,M,0,20~24,2,64000
098,2003,05,高雄市,M,0,25~29,1,64000
098,2003,05,高雄市,M,0,30~34,2,64000
098,2003,05,新北市,M,0,0,1,65000
098,2003,05,新北市,M,0,20~24,5,65000
098,2003,05,新北市,M,0,25~29,2,65000
098,2003,05,新北市,M,0,30~34,1,65000
098,2003,05,新北市,M,0,35~39,1,65000
098,2003,05,新北市,M,0,40~44,1,65000
098,2003,05,新北市,M,0,45~49,1,65000
098,2003,05,新北市,M,0,50~54,1,65000
098,2003,05,新北市,M,0,60~64,1,65000
098,2003,05,台中市,M,0,25~29,1,66000
098,2003,05,台中市,M,0,30~34,1,66000
098,2003,05,台南市,M,0,20~24,1,67000
098,2003,05,台南市,M,0,30~34,1,67000
098,2003,05,台南市,M,0,40~44,1,67000
098,2003,05,台南市,M,0,55~59,1,67000
098,2003,05,桃園市,M,0,25~29,1,68000
098,2003,06,宜蘭縣,M,0,35~39,1,10002
098,2003,06,苗栗縣,M,0,35~39,1,10005
098,2003,06,苗栗縣,M,0,70+,1,10005
098,2003,06,彰化縣,M,0,20~24,1,10007
098,2003,06,嘉義縣,M,0,20~24,2,10010
098,2003,06,嘉義縣,M,0,35~39,1,10010
098,2003,06,台東縣,M,0,25~29,1,10014
098,2003,06,花蓮縣,M,0,20~24,3,10015
098,2003,06,花蓮縣,M,0,25~29,1,10015
098,2003,06,基隆市,M,0,20~24,1,10017
098,2003,06,基隆市,M,0,25~29,1,10017
098,2003,06,新竹市,M,0,20~24,1,10018
098,2003,06,新竹市,M,0,25~29,1,10018
098,2003,06,台北市,F,0,30~34,1,63000
098,2003,06,台北市,F,0,45~49,2,63000
098,2003,06,台北市,M,0,15~19,3,63000
098,2003,06,台北市,M,0,20~24,4,63000
098,2003,06,台北市,M,0,25~29,6,63000
098,2003,06,台北市,M,0,30~34,8,63000
098,2003,06,台北市,M,0,35~39,8,63000
098,2003,06,台北市,M,0,40~44,3,63000
098,2003,06,台北市,M,0,45~49,4,63000
098,2003,06,台北市,M,0,50~54,1,63000
098,2003,06,台北市,M,0,70+,1,63000
098,2003,06,高雄市,M,0,20~24,2,64000
098,2003,06,高雄市,M,0,30~34,1,64000
098,2003,06,新北市,F,0,20~24,1,65000
098,2003,06,新北市,F,0,35~39,1,65000
098,2003,06,新北市,F,0,45~49,1,65000
098,2003,06,新北市,M,0,15~19,3,65000
098,2003,06,新北市,M,0,20~24,1,65000
098,2003,06,新北市,M,0,25~29,6,65000
098,2003,06,新北市,M,0,30~34,4,65000
098,2003,06,新北市,M,0,35~39,5,65000
098,2003,06,新北市,M,0,45~49,1,65000
098,2003,06,新北市,M,0,50~54,1,65000
098,2003,06,新北市,M,0,70+,1,65000
098,2003,06,新北市,M,1,30~34,1,65000
098,2003,06,台中市,M,0,20~24,3,66000
098,2003,06,台中市,M,0,25~29,1,66000
098,2003,06,台中市,M,0,45~49,1,66000
098,2003,06,台南市,F,0,30~34,1,67000
098,2003,06,台南市,F,0,50~54,1,67000
098,2003,06,桃園市,F,0,15~19,1,68000
098,2003,06,桃園市,F,0,25~29,1,68000
098,2003,06,桃園市,M,0,25~29,1,68000
098,2003,06,桃園市,M,0,45~49,1,68000
098,2003,07,宜蘭縣,M,0,10~14,1,10002
098,2003,07,新竹縣,M,0,25~29,1,10004
098,2003,07,新竹縣,M,0,45~49,1,10004
098,2003,07,苗栗縣,M,0,20~24,1,10005
098,2003,07,苗栗縣,M,0,25~29,3,10005
098,2003,07,彰化縣,M,0,20~24,1,10007
098,2003,07,彰化縣,M,0,30~34,1,10007
098,2003,07,彰化縣,M,0,40~44,1,10007
098,2003,07,嘉義縣,M,0,20~24,1,10010
098,2003,07,嘉義縣,M,0,25~29,2,10010
098,2003,07,嘉義縣,M,0,30~34,1,10010
098,2003,07,嘉義縣,M,0,40~44,2,10010
098,2003,07,屏東縣,M,0,20~24,2,10013
098,2003,07,屏東縣,M,0,25~29,2,10013
098,2003,07,屏東縣,M,0,35~39,1,10013
098,2003,07,屏東縣,M,0,45~49,1,10013
098,2003,07,屏東縣,M,0,55~59,1,10013
098,2003,07,台東縣,F,0,20~24,1,10014
098,2003,07,台東縣,F,0,35~39,1,10014
098,2003,07,台東縣,M,0,20~24,1,10014
098,2003,07,台東縣,M,0,35~39,1,10014
098,2003,07,花蓮縣,M,0,25~29,1,10015
098,2003,07,花蓮縣,M,0,40~44,1,10015
098,2003,07,基隆市,M,0,30~34,1,10017
098,2003,07,嘉義市,F,0,25~29,1,10020
098,2003,07,嘉義市,F,0,45~49,1,10020
098,2003,07,嘉義市,M,0,20~24,1,10020
098,2003,07,嘉義市,M,0,25~29,1,10020
098,2003,07,嘉義市,M,0,35~39,1,10020
098,2003,07,台北市,F,0,20~24,1,63000
098,2003,07,台北市,F,0,30~34,1,63000
098,2003,07,台北市,M,0,15~19,2,63000
098,2003,07,台北市,M,0,20~24,4,63000
098,2003,07,台北市,M,0,25~29,9,63000
098,2003,07,台北市,M,0,30~34,8,63000
098,2003,07,台北市,M,0,35~39,10,63000
098,2003,07,台北市,M,0,40~44,3,63000
098,2003,07,台北市,M,0,45~49,3,63000
098,2003,07,台北市,M,0,50~54,2,63000
098,2003,07,台北市,M,0,70+,1,63000
098,2003,07,高雄市,M,0,15~19,1,64000
098,2003,07,高雄市,M,0,20~24,2,64000
098,2003,07,高雄市,M,0,30~34,1,64000
098,2003,07,新北市,F,0,15~19,1,65000
098,2003,07,新北市,F,0,25~29,1,65000
098,2003,07,新北市,F,0,30~34,1,65000
098,2003,07,新北市,M,0,15~19,2,65000
098,2003,07,新北市,M,0,20~24,9,65000
098,2003,07,新北市,M,0,25~29,6,65000
098,2003,07,新北市,M,0,30~34,7,65000
098,2003,07,新北市,M,0,35~39,2,65000
098,2003,07,新北市,M,0,40~44,3,65000
098,2003,07,新北市,M,0,45~49,3,65000
098,2003,07,台中市,M,0,15~19,1,66000
098,2003,07,台中市,M,0,25~29,3,66000
098,2003,07,台中市,M,0,35~39,1,66000
098,2003,07,台中市,M,0,60~64,1,66000
098,2003,07,台南市,M,0,15~19,1,67000
098,2003,07,台南市,M,0,20~24,2,67000
098,2003,07,台南市,M,0,25~29,3,67000
098,2003,07,台南市,M,0,30~34,1,67000
098,2003,07,台南市,M,0,35~39,1,67000
098,2003,07,台南市,M,0,65~69,1,67000
098,2003,07,桃園市,F,0,30~34,1,68000
098,2003,07,桃園市,M,0,20~24,2,68000
098,2003,07,桃園市,M,0,25~29,1,68000
098,2003,07,桃園市,M,0,30~34,1,68000
098,2003,07,桃園市,M,0,35~39,1,68000
098,2003,08,宜蘭縣,M,0,20~24,1,10002
098,2003,08,宜蘭縣,M,0,25~29,2,10002
098,2003,08,宜蘭縣,M,0,35~39,1,10002
098,2003,08,苗栗縣,F,0,20~24,1,10005
098,2003,08,苗栗縣,M,0,25~29,1,10005
098,2003,08,苗栗縣,M,0,30~34,1,10005
098,2003,08,雲林縣,M,0,20~24,1,10009
098,2003,08,雲林縣,M,0,35~39,1,10009
098,2003,08,雲林縣,M,0,55~59,1,10009
098,2003,08,嘉義縣,F,0,35~39,1,10010
098,2003,08,嘉義縣,M,0,15~19,2,10010
098,2003,08,嘉義縣,M,0,20~24,2,10010
098,2003,08,嘉義縣,M,0,35~39,1,10010
098,2003,08,嘉義縣,M,0,40~44,1,10010
098,2003,08,台南縣(舊),M,0,25~29,1,10011
098,2003,08,屏東縣,M,0,20~24,1,10013
098,2003,08,屏東縣,M,0,25~29,2,10013
098,2003,08,花蓮縣,F,0,25~29,1,10015
098,2003,08,花蓮縣,M,0,20~24,3,10015
098,2003,08,花蓮縣,M,0,25~29,5,10015
098,2003,08,花蓮縣,M,0,40~44,1,10015
098,2003,08,基隆市,M,0,15~19,1,10017
098,2003,08,基隆市,M,0,35~39,1,10017
098,2003,08,新竹市,M,0,25~29,1,10018
098,2003,08,新竹市,M,0,35~39,1,10018
098,2003,08,嘉義市,M,0,30~34,1,10020
098,2003,08,嘉義市,M,0,35~39,1,10020
098,2003,08,台北市,F,0,20~24,2,63000
098,2003,08,台北市,M,0,15~19,3,63000
098,2003,08,台北市,M,0,20~24,3,63000
098,2003,08,台北市,M,0,25~29,7,63000
098,2003,08,台北市,M,0,30~34,9,63000
098,2003,08,台北市,M,0,35~39,8,63000
098,2003,08,台北市,M,0,40~44,9,63000
098,2003,08,台北市,M,0,45~49,1,63000
098,2003,08,台北市,M,0,50~54,2,63000
098,2003,08,台北市,M,0,55~59,1,63000
098,2003,08,台北市,M,0,60~64,2,63000
098,2003,08,高雄市,F,0,55~59,1,64000
098,2003,08,高雄市,M,0,20~24,2,64000
098,2003,08,高雄市,M,0,25~29,1,64000
098,2003,08,高雄市,M,0,30~34,1,64000
098,2003,08,高雄市,M,0,45~49,1,64000
098,2003,08,新北市,F,0,15~19,2,65000
098,2003,08,新北市,F,0,20~24,1,65000
098,2003,08,新北市,F,0,25~29,1,65000
098,2003,08,新北市,F,0,40~44,1,65000
098,2003,08,新北市,M,0,20~24,10,65000
098,2003,08,新北市,M,0,25~29,13,65000
098,2003,08,新北市,M,0,30~34,13,65000
098,2003,08,新北市,M,0,35~39,5,65000
098,2003,08,新北市,M,0,40~44,1,65000
098,2003,08,新北市,M,0,45~49,3,65000
098,2003,08,台中市,F,0,20~24,1,66000
098,2003,08,台中市,F,0,30~34,1,66000
098,2003,08,台中市,M,0,20~24,1,66000
098,2003,08,台中市,M,0,25~29,1,66000
098,2003,08,台中市,M,1,65~69,1,66000
098,2003,08,台南市,F,0,20~24,1,67000
098,2003,08,台南市,F,0,35~39,1,67000
098,2003,08,台南市,M,0,15~19,1,67000
098,2003,08,台南市,M,0,20~24,3,67000
098,2003,08,台南市,M,0,25~29,3,67000
098,2003,08,台南市,M,0,30~34,3,67000
098,2003,08,台南市,M,0,50~54,1,67000
098,2003,08,台南市,M,0,60~64,1,67000
098,2003,08,台南市,M,0,70+,1,67000
098,2003,08,桃園市,F,0,20~24,1,68000
098,2003,08,桃園市,M,0,15~19,1,68000
098,2003,08,桃園市,M,0,20~24,3,68000
098,2003,08,桃園市,M,0,25~29,3,68000
098,2003,08,桃園市,M,0,30~34,6,68000
098,2003,08,桃園市,M,0,35~39,2,68000
098,2003,08,桃園市,M,0,40~44,1,68000
098,2003,08,桃園市,M,0,60~64,1,68000
098,2003,09,新竹縣,M,0,40~44,1,10004
098,2003,09,新竹縣,M,0,65~69,1,10004
098,2003,09,苗栗縣,M,0,30~34,1,10005
098,2003,09,南投縣,F,0,65~69,1,10008
098,2003,09,南投縣,M,0,25~29,1,10008
098,2003,09,雲林縣,F,0,30~34,1,10009
098,2003,09,雲林縣,M,0,20~24,1,10009
098,2003,09,雲林縣,M,0,45~49,1,10009
098,2003,09,嘉義縣,M,0,25~29,4,10010
098,2003,09,嘉義縣,M,0,35~39,1,10010
098,2003,09,嘉義縣,M,0,55~59,1,10010
098,2003,09,屏東縣,M,0,20~24,1,10013
098,2003,09,屏東縣,M,0,25~29,1,10013
098,2003,09,屏東縣,M,0,30~34,1,10013
098,2003,09,台東縣,M,0,30~34,1,10014
098,2003,09,花蓮縣,M,0,30~34,1,10015
098,2003,09,澎湖縣,M,0,30~34,1,10016
098,2003,09,基隆市,M,0,20~24,2,10017
098,2003,09,新竹市,F,0,35~39,1,10018
098,2003,09,新竹市,M,0,20~24,1,10018
098,2003,09,新竹市,M,0,25~29,1,10018
098,2003,09,新竹市,M,0,55~59,1,10018
098,2003,09,嘉義市,F,0,35~39,1,10020
098,2003,09,台北市,F,0,15~19,1,63000
098,2003,09,台北市,F,0,20~24,1,63000
098,2003,09,台北市,F,0,25~29,2,63000
098,2003,09,台北市,F,0,30~34,1,63000
098,2003,09,台北市,F,0,40~44,1,63000
098,2003,09,台北市,M,0,15~19,1,63000
098,2003,09,台北市,M,0,20~24,7,63000
098,2003,09,台北市,M,0,25~29,10,63000
098,2003,09,台北市,M,0,30~34,4,63000
098,2003,09,台北市,M,0,35~39,6,63000
098,2003,09,台北市,M,0,40~44,5,63000
098,2003,09,台北市,M,0,45~49,4,63000
098,2003,09,台北市,M,0,50~54,5,63000
098,2003,09,台北市,M,0,55~59,2,63000
098,2003,09,台北市,M,0,65~69,1,63000
098,2003,09,高雄市,M,0,20~24,5,64000
098,2003,09,高雄市,M,0,25~29,1,64000
098,2003,09,新北市,F,0,10~14,2,65000
098,2003,09,新北市,F,0,25~29,1,65000
098,2003,09,新北市,F,0,30~34,1,65000
098,2003,09,新北市,M,0,15~19,1,65000
098,2003,09,新北市,M,0,20~24,12,65000
098,2003,09,新北市,M,0,25~29,8,65000
098,2003,09,新北市,M,0,30~34,16,65000
098,2003,09,新北市,M,0,35~39,5,65000
098,2003,09,新北市,M,0,40~44,3,65000
098,2003,09,新北市,M,0,45~49,2,65000
098,2003,09,新北市,M,0,55~59,2,65000
098,2003,09,台中市,M,0,20~24,2,66000
098,2003,09,台中市,M,0,25~29,2,66000
098,2003,09,台中市,M,0,30~34,1,66000
098,2003,09,台中市,M,0,45~49,1,66000
098,2003,09,台中市,M,0,50~54,1,66000
098,2003,09,台南市,F,0,15~19,1,67000
098,2003,09,台南市,F,0,30~34,2,67000
098,2003,09,台南市,M,0,20~24,5,67000
098,2003,09,台南市,M,0,25~29,5,67000
098,2003,09,台南市,M,0,35~39,1,67000
098,2003,09,桃園市,M,0,25~29,3,68000
098,2003,09,桃園市,M,0,30~34,2,68000
098,2003,09,桃園市,M,0,35~39,2,68000
098,2003,09,桃園市,M,0,70+,2,68000
098,2003,10,宜蘭縣,M,0,30~34,1,10002
098,2003,10,新竹縣,M,0,35~39,1,10004
098,2003,10,苗栗縣,M,0,20~24,2,10005
098,2003,10,苗栗縣,M,0,30~34,1,10005
098,2003,10,彰化縣,M,0,25~29,1,10007
098,2003,10,雲林縣,M,0,25~29,2,10009
098,2003,10,嘉義縣,F,0,20~24,1,10010
098,2003,10,嘉義縣,F,0,30~34,1,10010
098,2003,10,嘉義縣,M,0,20~24,2,10010
098,2003,10,高雄縣(舊),M,0,70+,1,10012
098,2003,10,屏東縣,M,0,15~19,1,10013
098,2003,10,屏東縣,M,0,20~24,3,10013
098,2003,10,屏東縣,M,0,25~29,2,10013
098,2003,10,屏東縣,M,0,30~34,1,10013
098,2003,10,屏東縣,M,0,35~39,1,10013
098,2003,10,屏東縣,M,0,70+,1,10013
098,2003,10,花蓮縣,M,0,20~24,1,10015
098,2003,10,花蓮縣,M,0,25~29,1,10015
098,2003,10,花蓮縣,M,0,40~44,1,10015
098,2003,10,澎湖縣,M,0,25~29,1,10016
098,2003,10,基隆市,M,0,15~19,2,10017
098,2003,10,基隆市,M,0,25~29,2,10017
098,2003,10,基隆市,M,0,30~34,1,10017
098,2003,10,基隆市,M,0,35~39,2,10017
098,2003,10,新竹市,M,0,15~19,1,10018
098,2003,10,新竹市,M,0,30~34,2,10018
098,2003,10,新竹市,M,0,35~39,1,10018
098,2003,10,嘉義市,M,0,15~19,1,10020
098,2003,10,嘉義市,M,0,30~34,1,10020
098,2003,10,台北市,F,0,15~19,3,63000
098,2003,10,台北市,F,0,20~24,3,63000
098,2003,10,台北市,F,0,25~29,1,63000
098,2003,10,台北市,F,0,30~34,1,63000
098,2003,10,台北市,F,0,35~39,1,63000
098,2003,10,台北市,M,0,15~19,1,63000
098,2003,10,台北市,M,0,20~24,12,63000
098,2003,10,台北市,M,0,25~29,11,63000
098,2003,10,台北市,M,0,30~34,7,63000
098,2003,10,台北市,M,0,35~39,8,63000
098,2003,10,台北市,M,0,40~44,5,63000
098,2003,10,台北市,M,0,45~49,1,63000
098,2003,10,台北市,M,0,50~54,1,63000
098,2003,10,台北市,M,0,70+,1,63000
098,2003,10,高雄市,F,0,10~14,1,64000
098,2003,10,高雄市,M,0,20~24,8,64000
098,2003,10,高雄市,M,0,25~29,3,64000
098,2003,10,高雄市,M,0,30~34,1,64000
098,2003,10,高雄市,M,0,35~39,5,64000
098,2003,10,新北市,F,0,10~14,1,65000
098,2003,10,新北市,F,0,20~24,2,65000
098,2003,10,新北市,F,0,25~29,1,65000
098,2003,10,新北市,M,0,15~19,2,65000
098,2003,10,新北市,M,0,20~24,12,65000
098,2003,10,新北市,M,0,25~29,21,65000
098,2003,10,新北市,M,0,30~34,17,65000
098,2003,10,新北市,M,0,35~39,5,65000
098,2003,10,新北市,M,0,40~44,4,65000
098,2003,10,新北市,M,0,45~49,1,65000
098,2003,10,新北市,M,0,50~54,1,65000
098,2003,10,新北市,M,0,55~59,1,65000
098,2003,10,台中市,F,0,20~24,1,66000
098,2003,10,台中市,F,0,40~44,1,66000
098,2003,10,台中市,M,0,15~19,2,66000
098,2003,10,台中市,M,0,20~24,1,66000
098,2003,10,台中市,M,0,25~29,2,66000
098,2003,10,台中市,M,0,30~34,2,66000
098,2003,10,台中市,M,0,35~39,2,66000
