確定病名,發病年份,發病週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,死亡病例數,縣市別代碼,鄉鎮別代碼
19CoV,2021,20,台北市,文山區,F,0,45~49,1,63000,63000082
19CoV,2021,20,台北市,文山區,M,0,50~54,2,63000,63000082
19CoV,2021,20,台北市,文山區,M,0,50~54,2,63000,63000080
19CoV,2021,20,台北市,文山區,M,0,50~54,2,63000,63000081
19CoV,2021,20,台北市,文山區,M,0,60~64,1,63000,63000082
19CoV,2021,20,台北市,文山區,M,0,60~64,1,63000,63000081
19CoV,2021,20,台北市,文山區,M,0,60~64,1,63000,63000080
19CoV,2021,20,台北市,文山區,F,0,65~69,1,63000,63000082
19CoV,2021,20,台北市,文山區,F,0,65~69,1,63000,63000081
19CoV,2021,20,台北市,文山區,F,0,65~69,1,63000,63000080
19CoV,2021,20,台北市,文山區,M,0,65~69,1,63000,63000080
19CoV,2021,20,台北市,文山區,M,0,65~69,1,63000,63000081
19CoV,2021,20,台北市,文山區,M,0,65~69,1,63000,63000082
19CoV,2021,20,台北市,文山區,F,0,70+,1,63000,63000082
19CoV,2021,20,台北市,文山區,F,0,70+,1,63000,63000080
19CoV,2021,20,台北市,文山區,F,0,70+,1,63000,63000081
19CoV,2021,20,台北市,文山區,M,0,70+,4,63000,63000081
19CoV,2021,20,台北市,文山區,M,0,70+,4,63000,63000082
19CoV,2021,20,台北市,文山區,M,0,70+,4,63000,63000080
19CoV,2021,20,台北市,松山區,F,0,70+,2,63000,63000010
19CoV,2021,20,台北市,萬華區,M,0,35~39,1,63000,63000071
19CoV,2021,20,台北市,萬華區,M,0,35~39,1,63000,63000070
19CoV,2021,20,台北市,萬華區,M,0,35~39,1,63000,63000072
19CoV,2021,20,台北市,萬華區,F,0,45~49,1,63000,63000070
19CoV,2021,20,台北市,萬華區,F,0,45~49,1,63000,63000072
19CoV,2021,20,台北市,萬華區,F,0,45~49,1,63000,63000071
19CoV,2021,20,台北市,萬華區,M,0,50~54,1,63000,63000071
19CoV,2021,20,台北市,萬華區,M,0,50~54,1,63000,63000070
19CoV,2021,20,台北市,萬華區,M,0,50~54,1,63000,63000072
19CoV,2021,20,台北市,萬華區,F,0,55~59,2,63000,63000072
19CoV,2021,20,台北市,萬華區,F,0,55~59,2,63000,63000071
19CoV,2021,20,台北市,萬華區,F,0,55~59,2,63000,63000070
19CoV,2021,20,台北市,萬華區,M,0,55~59,2,63000,63000071
19CoV,2021,20,台北市,萬華區,M,0,55~59,2,63000,63000070
19CoV,2021,20,台北市,萬華區,M,0,55~59,2,63000,63000072
19CoV,2021,20,台北市,萬華區,F,0,60~64,2,63000,63000072
19CoV,2021,20,台北市,萬華區,F,0,60~64,2,63000,63000070
19CoV,2021,20,台北市,萬華區,F,0,60~64,2,63000,63000071
19CoV,2021,20,台北市,萬華區,M,0,60~64,3,63000,63000071
19CoV,2021,20,台北市,萬華區,M,0,60~64,3,63000,63000072
19CoV,2021,20,台北市,萬華區,M,0,60~64,3,63000,63000070
19CoV,2021,20,台北市,萬華區,F,0,65~69,2,63000,63000072
19CoV,2021,20,台北市,萬華區,F,0,65~69,2,63000,63000071
19CoV,2021,20,台北市,萬華區,F,0,65~69,2,63000,63000070
19CoV,2021,20,台北市,萬華區,M,0,65~69,7,63000,63000071
19CoV,2021,20,台北市,萬華區,M,0,65~69,7,63000,63000072
19CoV,2021,20,台北市,萬華區,M,0,65~69,7,63000,63000070
19CoV,2021,20,台北市,萬華區,F,0,70+,10,63000,63000071
19CoV,2021,20,台北市,萬華區,F,0,70+,10,63000,63000070
19CoV,2021,20,台北市,萬華區,F,0,70+,10,63000,63000072
19CoV,2021,20,台北市,萬華區,M,0,70+,15,63000,63000070
19CoV,2021,20,台北市,萬華區,M,0,70+,15,63000,63000071
19CoV,2021,20,台北市,萬華區,M,0,70+,15,63000,63000072
19CoV,2021,20,新北市,三峽區,F,0,70+,1,65000,65000090
19CoV,2021,20,新北市,三峽區,M,0,70+,1,65000,65000090
19CoV,2021,20,新北市,三重區,M,0,50~54,1,65000,65000020
19CoV,2021,20,新北市,三重區,M,0,55~59,3,65000,65000020
19CoV,2021,20,新北市,三重區,F,0,60~64,1,65000,65000020
19CoV,2021,20,新北市,三重區,M,0,60~64,1,65000,65000020
19CoV,2021,20,新北市,三重區,F,0,65~69,2,65000,65000020
19CoV,2021,20,新北市,三重區,M,0,65~69,1,65000,65000020
19CoV,2021,20,新北市,三重區,F,0,70+,1,65000,65000020
19CoV,2021,20,新北市,三重區,M,0,70+,4,65000,65000020
19CoV,2021,20,新北市,中和區,F,0,40~44,1,65000,65000030
19CoV,2021,20,新北市,中和區,M,0,50~54,1,65000,65000030
19CoV,2021,20,新北市,中和區,M,0,55~59,1,65000,65000030
19CoV,2021,20,新北市,中和區,F,0,60~64,1,65000,65000030
19CoV,2021,20,新北市,中和區,M,0,60~64,3,65000,65000030
19CoV,2021,20,新北市,中和區,F,0,65~69,1,65000,65000030
19CoV,2021,20,新北市,中和區,M,0,65~69,3,65000,65000030
19CoV,2021,20,新北市,中和區,F,0,70+,3,65000,65000030
19CoV,2021,20,新北市,中和區,M,0,70+,8,65000,65000030
19CoV,2021,20,新北市,五股區,M,0,55~59,1,65000,65000150
19CoV,2021,20,新北市,五股區,M,0,60~64,2,65000,65000150
19CoV,2021,20,新北市,五股區,M,0,65~69,1,65000,65000150
19CoV,2021,20,新北市,五股區,M,0,70+,1,65000,65000150
19CoV,2021,20,新北市,土城區,M,0,65~69,1,65000,65000130
19CoV,2021,20,新北市,土城區,F,0,70+,2,65000,65000130
19CoV,2021,20,新北市,土城區,M,0,70+,2,65000,65000130
19CoV,2021,20,新北市,新店區,M,0,35~39,1,65000,65000060
19CoV,2021,20,新北市,新店區,M,0,60~64,1,65000,65000060
19CoV,2021,20,新北市,新店區,F,0,65~69,1,65000,65000060
19CoV,2021,20,新北市,新店區,M,0,65~69,1,65000,65000060
19CoV,2021,20,新北市,新店區,M,0,70+,4,65000,65000060
19CoV,2021,20,新北市,新莊區,F,0,60~64,1,65000,65000050
19CoV,2021,20,新北市,新莊區,M,0,60~64,1,65000,65000050
19CoV,2021,20,新北市,新莊區,M,0,65~69,1,65000,65000050
19CoV,2021,20,新北市,新莊區,F,0,70+,1,65000,65000050
19CoV,2021,20,新北市,新莊區,M,0,70+,3,65000,65000050
19CoV,2021,20,新北市,板橋區,F,0,55~59,1,65000,65000010
19CoV,2021,20,新北市,板橋區,M,0,55~59,1,65000,65000010
19CoV,2021,20,新北市,板橋區,M,0,60~64,1,65000,65000010
19CoV,2021,20,新北市,板橋區,F,0,65~69,1,65000,65000010
19CoV,2021,20,新北市,板橋區,M,0,65~69,4,65000,65000010
19CoV,2021,20,新北市,板橋區,F,0,70+,8,65000,65000010
19CoV,2021,20,新北市,板橋區,M,0,70+,6,65000,65000010
19CoV,2021,20,新北市,林口區,M,0,60~64,1,65000,65000170
19CoV,2021,20,新北市,林口區,M,0,65~69,1,65000,65000170
19CoV,2021,20,新北市,樹林區,F,0,60~64,1,65000,65000070
19CoV,2021,20,新北市,永和區,F,0,40~44,1,65000,65000040
19CoV,2021,20,新北市,永和區,F,0,50~54,1,65000,65000040
19CoV,2021,20,新北市,永和區,M,0,60~64,1,65000,65000040
19CoV,2021,20,新北市,永和區,M,0,65~69,3,65000,65000040
19CoV,2021,20,新北市,永和區,F,0,70+,1,65000,65000040
19CoV,2021,20,新北市,永和區,M,0,70+,6,65000,65000040
19CoV,2021,20,新北市,汐止區,M,0,60~64,1,65000,65000110
19CoV,2021,20,新北市,汐止區,M,0,70+,3,65000,65000110
19CoV,2021,20,新北市,泰山區,M,0,65~69,1,65000,65000160
19CoV,2021,20,新北市,淡水區,M,0,70+,1,65000,65000100
19CoV,2021,20,新北市,深坑區,M,0,65~69,1,65000,65000180
19CoV,2021,20,新北市,深坑區,M,0,70+,2,65000,65000180
19CoV,2021,20,新北市,瑞芳區,M,0,65~69,1,65000,65000120
19CoV,2021,20,新北市,蘆洲區,M,0,60~64,1,65000,65000140
19CoV,2021,20,新北市,蘆洲區,M,0,65~69,3,65000,65000140
19CoV,2021,20,新北市,蘆洲區,F,0,70+,2,65000,65000140
19CoV,2021,20,桃園市,平鎮區,M,0,70+,1,68000,68000100
19CoV,2021,20,桃園市,桃園區,M,0,70+,1,68000,68000010
19CoV,2021,20,桃園市,楊梅區,M,0,70+,1,68000,68000040
19CoV,2021,20,桃園市,龍潭區,M,0,60~64,1,68000,68000090
19CoV,2021,20,桃園市,龜山區,M,0,50~54,1,68000,68000070
19CoV,2021,20,桃園市,龜山區,F,0,70+,1,68000,68000070
19CoV,2021,21,宜蘭縣,頭城鎮,M,0,70+,1,10002,10002040
19CoV,2021,21,新竹縣,竹北市,F,0,50~54,1,10004,10004010
19CoV,2021,21,彰化縣,二林鎮,M,0,65~69,1,10007,10007200
19CoV,2021,21,彰化縣,溪湖鎮,F,0,70+,1,10007,10007110
19CoV,2021,21,彰化縣,田中鎮,F,0,70+,1,10007,10007120
19CoV,2021,21,台東縣,太麻里鄉,M,0,70+,1,10014,10014090
19CoV,2021,21,花蓮縣,花蓮市,M,0,65~69,1,10015,10015010
19CoV,2021,21,基隆市,中山區,M,0,60~64,1,10017,10017050
19CoV,2021,21,基隆市,仁愛區,F,0,70+,1,10017,10017040
19CoV,2021,21,基隆市,仁愛區,M,0,70+,1,10017,10017040
19CoV,2021,21,基隆市,信義區,F,0,70+,1,10017,10017070
19CoV,2021,21,基隆市,安樂區,F,0,70+,1,10017,10017060
19CoV,2021,21,基隆市,安樂區,M,0,70+,3,10017,10017060
19CoV,2021,21,台北市,中山區,M,0,65~69,1,63000,63000040
19CoV,2021,21,台北市,中山區,F,0,70+,1,63000,63000040
19CoV,2021,21,台北市,中山區,M,0,70+,1,63000,63000040
19CoV,2021,21,台北市,中正區,M,0,30~34,1,63000,63000050
19CoV,2021,21,台北市,中正區,M,0,60~64,1,63000,63000050
19CoV,2021,21,台北市,中正區,M,0,70+,2,63000,63000050
19CoV,2021,21,台北市,信義區,F,0,60~64,1,63000,63000020
19CoV,2021,21,台北市,信義區,F,0,65~69,1,63000,63000020
19CoV,2021,21,台北市,信義區,M,0,65~69,1,63000,63000020
19CoV,2021,21,台北市,信義區,F,0,70+,6,63000,63000020
19CoV,2021,21,台北市,信義區,M,0,70+,2,63000,63000020
19CoV,2021,21,台北市,內湖區,M,0,55~59,1,63000,63000100
19CoV,2021,21,台北市,內湖區,F,0,70+,2,63000,63000100
19CoV,2021,21,台北市,內湖區,M,0,70+,1,63000,63000100
19CoV,2021,21,台北市,北投區,F,0,65~69,1,63000,63000120
19CoV,2021,21,台北市,北投區,M,0,65~69,1,63000,63000120
19CoV,2021,21,台北市,北投區,F,0,70+,2,63000,63000120
19CoV,2021,21,台北市,南港區,M,0,50~54,1,63000,63000090
19CoV,2021,21,台北市,南港區,M,0,65~69,1,63000,63000090
19CoV,2021,21,台北市,南港區,F,0,70+,4,63000,63000090
19CoV,2021,21,台北市,士林區,M,0,60~64,1,63000,63000110
19CoV,2021,21,台北市,士林區,M,0,70+,2,63000,63000110
19CoV,2021,21,台北市,大同區,M,0,60~64,1,63000,63000060
19CoV,2021,21,台北市,大同區,M,0,70+,3,63000,63000060
19CoV,2021,21,台北市,大安區,F,0,70+,3,63000,63000030
19CoV,2021,21,台北市,大安區,M,0,70+,1,63000,63000030
19CoV,2021,21,台北市,文山區,F,0,70+,3,63000,63000080
19CoV,2021,21,台北市,文山區,F,0,70+,3,63000,63000082
19CoV,2021,21,台北市,文山區,F,0,70+,3,63000,63000081
19CoV,2021,21,台北市,文山區,M,0,70+,2,63000,63000080
19CoV,2021,21,台北市,文山區,M,0,70+,2,63000,63000081
19CoV,2021,21,台北市,文山區,M,0,70+,2,63000,63000082
19CoV,2021,21,台北市,松山區,F,0,70+,1,63000,63000010
19CoV,2021,21,台北市,松山區,M,0,70+,2,63000,63000010
19CoV,2021,21,台北市,萬華區,M,0,40~44,2,63000,63000071
19CoV,2021,21,台北市,萬華區,M,0,40~44,2,63000,63000072
19CoV,2021,21,台北市,萬華區,M,0,40~44,2,63000,63000070
19CoV,2021,21,台北市,萬華區,M,0,45~49,1,63000,63000071
19CoV,2021,21,台北市,萬華區,M,0,45~49,1,63000,63000070
19CoV,2021,21,台北市,萬華區,M,0,45~49,1,63000,63000072
19CoV,2021,21,台北市,萬華區,M,0,55~59,1,63000,63000072
19CoV,2021,21,台北市,萬華區,M,0,55~59,1,63000,63000070
19CoV,2021,21,台北市,萬華區,M,0,55~59,1,63000,63000071
19CoV,2021,21,台北市,萬華區,F,0,65~69,1,63000,63000071
19CoV,2021,21,台北市,萬華區,F,0,65~69,1,63000,63000070
19CoV,2021,21,台北市,萬華區,F,0,65~69,1,63000,63000072
19CoV,2021,21,台北市,萬華區,M,0,65~69,3,63000,63000072
19CoV,2021,21,台北市,萬華區,M,0,65~69,3,63000,63000070
19CoV,2021,21,台北市,萬華區,M,0,65~69,3,63000,63000071
19CoV,2021,21,台北市,萬華區,F,0,70+,5,63000,63000070
19CoV,2021,21,台北市,萬華區,F,0,70+,5,63000,63000072
19CoV,2021,21,台北市,萬華區,F,0,70+,5,63000,63000071
19CoV,2021,21,台北市,萬華區,M,0,70+,13,63000,63000070
19CoV,2021,21,台北市,萬華區,M,0,70+,13,63000,63000071
19CoV,2021,21,台北市,萬華區,M,0,70+,13,63000,63000072
19CoV,2021,21,新北市,三峽區,F,0,70+,1,65000,65000090
19CoV,2021,21,新北市,三峽區,M,0,70+,2,65000,65000090
19CoV,2021,21,新北市,三重區,F,0,60~64,1,65000,65000020
19CoV,2021,21,新北市,三重區,M,0,60~64,2,65000,65000020
19CoV,2021,21,新北市,三重區,F,0,65~69,2,65000,65000020
19CoV,2021,21,新北市,三重區,M,0,65~69,1,65000,65000020
19CoV,2021,21,新北市,三重區,F,0,70+,5,65000,65000020
19CoV,2021,21,新北市,三重區,M,0,70+,5,65000,65000020
19CoV,2021,21,新北市,中和區,M,0,65~69,1,65000,65000030
19CoV,2021,21,新北市,中和區,F,0,70+,7,65000,65000030
19CoV,2021,21,新北市,中和區,M,0,70+,9,65000,65000030
19CoV,2021,21,新北市,五股區,F,0,70+,1,65000,65000150
19CoV,2021,21,新北市,五股區,M,0,70+,1,65000,65000150
19CoV,2021,21,新北市,八里區,M,0,55~59,1,65000,65000230
19CoV,2021,21,新北市,土城區,M,0,35~39,1,65000,65000130
19CoV,2021,21,新北市,土城區,M,0,65~69,1,65000,65000130
19CoV,2021,21,新北市,土城區,M,0,70+,2,65000,65000130
19CoV,2021,21,新北市,新店區,M,0,60~64,1,65000,65000060
19CoV,2021,21,新北市,新店區,M,0,70+,1,65000,65000060
19CoV,2021,21,新北市,新莊區,F,0,35~39,1,65000,65000050
19CoV,2021,21,新北市,新莊區,F,0,60~64,2,65000,65000050
19CoV,2021,21,新北市,新莊區,F,0,65~69,1,65000,65000050
19CoV,2021,21,新北市,新莊區,F,0,70+,2,65000,65000050
19CoV,2021,21,新北市,新莊區,M,0,70+,7,65000,65000050
19CoV,2021,21,新北市,板橋區,M,0,55~59,2,65000,65000010
19CoV,2021,21,新北市,板橋區,F,0,60~64,1,65000,65000010
19CoV,2021,21,新北市,板橋區,M,0,60~64,2,65000,65000010
19CoV,2021,21,新北市,板橋區,F,0,65~69,3,65000,65000010
19CoV,2021,21,新北市,板橋區,M,0,65~69,1,65000,65000010
19CoV,2021,21,新北市,板橋區,F,0,70+,3,65000,65000010
19CoV,2021,21,新北市,板橋區,M,0,70+,10,65000,65000010
19CoV,2021,21,新北市,林口區,F,0,65~69,1,65000,65000170
19CoV,2021,21,新北市,樹林區,M,0,60~64,1,65000,65000070
19CoV,2021,21,新北市,永和區,F,0,50~54,1,65000,65000040
19CoV,2021,21,新北市,永和區,M,0,60~64,1,65000,65000040
19CoV,2021,21,新北市,永和區,F,0,70+,2,65000,65000040
19CoV,2021,21,新北市,汐止區,F,0,40~44,1,65000,65000110
19CoV,2021,21,新北市,汐止區,M,0,65~69,2,65000,65000110
19CoV,2021,21,新北市,汐止區,F,0,70+,2,65000,65000110
19CoV,2021,21,新北市,泰山區,M,0,60~64,1,65000,65000160
19CoV,2021,21,新北市,泰山區,M,0,70+,1,65000,65000160
19CoV,2021,21,新北市,淡水區,F,0,65~69,1,65000,65000100
