年度,醫院層級,菌種名稱,抗生素名稱,分離菌株總數,通報藥敏試驗菌株總數,敏感性菌株數,非敏感性菌株數,通報藥敏試驗醫院家數
2018,區域醫院,Enterobacter cloacae,Amikacin,9832,8245,8033,212,73
2018,區域醫院,Enterobacter cloacae,Cefotaxime,9832,4004,2359,1645,73
2018,區域醫院,Enterobacter cloacae,Cefepime,9832,7427,6427,1000,72
2018,區域醫院,Enterobacter cloacae,Ciprofloxacin,9832,5601,4464,1137,73
2018,區域醫院,Enterobacter cloacae,Ceftazidime,9832,7378,4784,2594,73
2018,區域醫院,Enterobacter cloacae,Ceftriaxone,9832,6030,3769,2261,73
2018,區域醫院,Enterobacter cloacae,Ertapenem,9832,7886,6859,1027,74
2018,區域醫院,Enterobacter cloacae,Gentamicin,9832,8448,7404,1044,73
2018,區域醫院,Enterobacter cloacae,Imipenem,9832,6410,5734,676,73
2018,區域醫院,Enterobacter cloacae,Levofloxacin,9832,5983,5147,836,73
2018,區域醫院,Enterobacter cloacae,Meropenem,9832,4000,3884,116,74
2018,區域醫院,Escherichia coli,Ampicillin/Sulbactam,180092,114199,49159,65040,73
2018,區域醫院,Escherichia coli,Ampicillin,180092,67656,16238,51418,73
2018,區域醫院,Escherichia coli,Amikacin,180092,139335,137118,2217,73
2018,區域醫院,Escherichia coli,Cefuroxime sodium,180092,41210,25507,15703,73
2018,區域醫院,Escherichia coli,Cefotaxime,180092,62016,39678,22338,73
2018,區域醫院,Escherichia coli,Ciprofloxacin,180092,104709,62022,42687,73
2018,區域醫院,Escherichia coli,Ceftazidime,180092,107473,80274,27199,73
2018,區域醫院,Escherichia coli,Cefazolin,180092,117263,62196,55067,73
2018,區域醫院,Escherichia coli,Ceftriaxone,180092,96348,64037,32311,73
2018,區域醫院,Escherichia coli,Ertapenem,180092,122011,119166,2845,77
2018,區域醫院,Escherichia coli,Gentamicin,180092,141180,104527,36653,73
2018,區域醫院,Escherichia coli,Imipenem,180092,94005,92978,1027,76
2018,區域醫院,Escherichia coli,Levofloxacin,180092,110110,67851,42259,73
2018,區域醫院,Escherichia coli,Meropenem,180092,59544,59111,433,75
2018,區域醫院,Klebsiella pneumoniae,Ampicillin/Sulbactam,69889,48043,26238,21805,75
2018,區域醫院,Klebsiella pneumoniae,Ampicillin,69889,25371,304,25067,75
2018,區域醫院,Klebsiella pneumoniae,Amikacin,69889,59032,55273,3759,75
2018,區域醫院,Klebsiella pneumoniae,Cefuroxime sodium,69889,14996,9151,5845,75
2018,區域醫院,Klebsiella pneumoniae,Cefotaxime,69889,26686,16449,10237,75
2018,區域醫院,Klebsiella pneumoniae,Ciprofloxacin,69889,44544,30359,14185,75
2018,區域醫院,Klebsiella pneumoniae,Ceftazidime,69889,48139,30953,17186,75
2018,區域醫院,Klebsiella pneumoniae,Cefazolin,69889,51048,26234,24814,75
2018,區域醫院,Klebsiella pneumoniae,Ceftriaxone,69889,32606,23009,9597,75
2018,區域醫院,Klebsiella pneumoniae,Ertapenem,69889,51702,44281,7421,80
2018,區域醫院,Klebsiella pneumoniae,Gentamicin,69889,60239,43204,17035,75
2018,區域醫院,Klebsiella pneumoniae,Imipenem,69889,46098,40439,5659,81
2018,區域醫院,Klebsiella pneumoniae,Levofloxacin,69889,41101,30306,10795,75
2018,區域醫院,Klebsiella pneumoniae,Meropenem,69889,29878,26965,2913,81
2018,區域醫院,Proteus mirabilis,Ampicillin/Sulbactam,23036,19679,11677,8002,73
2018,區域醫院,Proteus mirabilis,Ampicillin,23036,10260,3826,6434,73
2018,區域醫院,Proteus mirabilis,Amikacin,23036,19759,17831,1928,73
2018,區域醫院,Proteus mirabilis,Cefuroxime sodium,23036,5958,4606,1352,73
2018,區域醫院,Proteus mirabilis,Cefotaxime,23036,9975,7359,2616,73
2018,區域醫院,Proteus mirabilis,Ciprofloxacin,23036,14869,8687,6182,73
2018,區域醫院,Proteus mirabilis,Cefazolin,23036,20059,8116,11943,73
2018,區域醫院,Proteus mirabilis,Ceftriaxone,23036,11673,9633,2040,73
2018,區域醫院,Proteus mirabilis,Gentamicin,23036,22030,12857,9173,73
2018,區域醫院,Proteus mirabilis,Levofloxacin,23036,12584,8661,3923,73
2018,區域醫院,Proteus mirabilis,Meropenem,23036,10358,10032,326,74
2018,區域醫院,Pseudomonas aeruginosa,Amikacin,53944,41234,39356,1878,73
2018,區域醫院,Pseudomonas aeruginosa,Cefepime,53944,38515,33709,4806,72
2018,區域醫院,Pseudomonas aeruginosa,Ciprofloxacin,53944,41341,31223,10118,73
2018,區域醫院,Pseudomonas aeruginosa,Ceftazidime,53944,48404,41276,7128,73
2018,區域醫院,Pseudomonas aeruginosa,Gentamicin,53944,47241,39610,7631,73
2018,區域醫院,Pseudomonas aeruginosa,Imipenem,53944,41739,35505,6234,75
2018,區域醫院,Pseudomonas aeruginosa,Levofloxacin,53944,41596,29994,11602,73
2018,區域醫院,Pseudomonas aeruginosa,Meropenem,53944,32075,27661,4414,77
2018,區域醫院,Pseudomonas aeruginosa,Piperacillin/Tazobactam,53944,45481,37428,8053,73
2018,區域醫院,Pseudomonas aeruginosa,Piperacillin,53944,9064,7135,1929,72
2018,區域醫院,Enterococcus faecalis,Ampicillin,23857,16000,15708,292,74
2018,區域醫院,Enterococcus faecalis,Gentamicin-High,23857,19799,10371,9428,74
2018,區域醫院,Enterococcus faecalis,Vancomycin,23857,23197,22932,265,81
2018,區域醫院,Enterococcus faecium,Ampicillin,14311,10538,905,9633,74
2018,區域醫院,Enterococcus faecium,Gentamicin-High,14311,12150,5376,6774,74
2018,區域醫院,Enterococcus faecium,Vancomycin,14311,14213,5764,8449,81
2018,區域醫院,Staphylococcus aureus,Ciprofloxacin,58275,18046,10980,7066,75
2018,區域醫院,Staphylococcus aureus,Oxacillin,58275,56221,25628,30593,82
2018,區域醫院,Staphylococcus aureus,Trimethoprim/Sulfamethoxazole,58275,51870,44819,7051,75
2018,區域醫院,Staphylococcus aureus,Vancomycin,58275,49620,49228,392,76
2018,區域醫院,Enterococcus spp.,Ampicillin,8636,6740,4920,1820,71
2018,區域醫院,Enterococcus spp.,Gentamicin-High,8636,6641,4044,2597,71
2018,區域醫院,Enterococcus spp.,Vancomycin,8636,8624,7133,1491,75
2018,地區醫院,Acinetobacter baumannii,Ampicillin/Sulbactam,13494,8936,3295,5641,204
2018,地區醫院,Acinetobacter baumannii,Amikacin,13494,8129,2508,5621,204
2018,地區醫院,Acinetobacter baumannii,Cefepime,13494,8810,1597,7213,201
2018,地區醫院,Acinetobacter baumannii,Ciprofloxacin,13494,8116,1255,6861,203
2018,地區醫院,Acinetobacter baumannii,Ceftazidime,13494,10252,1921,8331,204
2018,地區醫院,Acinetobacter baumannii,Colistin,13494,3476,3263,213,199
2018,地區醫院,Acinetobacter baumannii,Gentamicin,13494,9886,2079,7807,204
2018,地區醫院,Acinetobacter baumannii,Imipenem,13494,10575,2727,7848,213
2018,地區醫院,Acinetobacter baumannii,Levofloxacin,13494,8094,1170,6924,201
2018,地區醫院,Acinetobacter baumannii,Meropenem,13494,6962,1766,5196,211
2018,地區醫院,Acinetobacter baumannii,Piperacillin/Tazobactam,13494,9432,1490,7942,203
2018,地區醫院,Acinetobacter baumannii,Piperacillin,13494,1548,214,1334,197
2018,地區醫院,Acinetobacter baumannii,Tigecycline,13494,4251,3303,948,197
2018,地區醫院,Enterobacter cloacae,Amikacin,3139,2652,2484,168,191
2018,地區醫院,Enterobacter cloacae,Cefotaxime,3139,1180,681,499,191
2018,地區醫院,Enterobacter cloacae,Cefepime,3139,2302,1805,497,190
2018,地區醫院,Enterobacter cloacae,Ciprofloxacin,3139,2309,1566,743,191
2018,地區醫院,Enterobacter cloacae,Ceftazidime,3139,2600,1700,900,193
2018,地區醫院,Enterobacter cloacae,Ceftriaxone,3139,2170,1305,865,194
2018,地區醫院,Enterobacter cloacae,Ertapenem,3139,2307,2018,289,193
2018,地區醫院,Enterobacter cloacae,Gentamicin,3139,2979,2378,601,191
2018,地區醫院,Enterobacter cloacae,Imipenem,3139,2333,2127,206,194
2018,地區醫院,Enterobacter cloacae,Levofloxacin,3139,2021,1418,603,191
2018,地區醫院,Enterobacter cloacae,Meropenem,3139,1585,1503,82,191
2018,地區醫院,Escherichia coli,Ampicillin/Sulbactam,66249,41903,17413,24490,197
2018,地區醫院,Escherichia coli,Ampicillin,66249,32314,7485,24829,197
2018,地區醫院,Escherichia coli,Amikacin,66249,55988,53699,2289,202
2018,地區醫院,Escherichia coli,Cefuroxime sodium,66249,18054,10268,7786,194
2018,地區醫院,Escherichia coli,Cefotaxime,66249,21070,12789,8281,197
2018,地區醫院,Escherichia coli,Ciprofloxacin,66249,51472,26057,25415,202
2018,地區醫院,Escherichia coli,Ceftazidime,66249,51687,34521,17166,201
2018,地區醫院,Escherichia coli,Cefazolin,66249,52548,22896,29652,197
2018,地區醫院,Escherichia coli,Ceftriaxone,66249,44472,26103,18369,200
2018,地區醫院,Escherichia coli,Ertapenem,66249,43306,40306,3000,198
2018,地區醫院,Escherichia coli,Gentamicin,66249,63886,44672,19214,202
2018,地區醫院,Escherichia coli,Imipenem,66249,43679,41347,2332,204
2018,地區醫院,Escherichia coli,Levofloxacin,66249,41772,20902,20870,201
2018,地區醫院,Escherichia coli,Meropenem,66249,34755,32026,2729,202
2018,地區醫院,Klebsiella pneumoniae,Ampicillin/Sulbactam,32649,18203,7890,10313,198
2018,地區醫院,Klebsiella pneumoniae,Ampicillin,32649,15804,567,15237,198
2018,地區醫院,Klebsiella pneumoniae,Amikacin,32649,24368,21335,3033,203
2018,地區醫院,Klebsiella pneumoniae,Cefuroxime sodium,32649,7652,3946,3706,195
2018,地區醫院,Klebsiella pneumoniae,Cefotaxime,32649,9101,5302,3799,198
2018,地區醫院,Klebsiella pneumoniae,Ciprofloxacin,32649,22259,13077,9182,203
2018,地區醫院,Klebsiella pneumoniae,Ceftazidime,32649,23494,13947,9547,203
2018,地區醫院,Klebsiella pneumoniae,Cefazolin,32649,23632,10350,13282,198
2018,地區醫院,Klebsiella pneumoniae,Ceftriaxone,32649,18631,11027,7604,198
2018,地區醫院,Klebsiella pneumoniae,Ertapenem,32649,21232,16692,4540,209
2018,地區醫院,Klebsiella pneumoniae,Gentamicin,32649,27630,18499,9131,203
2018,地區醫院,Klebsiella pneumoniae,Imipenem,32649,23551,19511,4040,213
2018,地區醫院,Klebsiella pneumoniae,Levofloxacin,32649,16945,10067,6878,198
2018,地區醫院,Klebsiella pneumoniae,Meropenem,32649,15019,11977,3042,210
2018,地區醫院,Proteus mirabilis,Ampicillin/Sulbactam,16067,11326,5021,6305,197
2018,地區醫院,Proteus mirabilis,Ampicillin,16067,8871,1876,6995,196
2018,地區醫院,Proteus mirabilis,Amikacin,16067,13814,10435,3379,195
2018,地區醫院,Proteus mirabilis,Cefuroxime sodium,16067,3935,2509,1426,191
2018,地區醫院,Proteus mirabilis,Cefotaxime,16067,5372,3490,1882,193
2018,地區醫院,Proteus mirabilis,Ciprofloxacin,16067,12456,5542,6914,195
2018,地區醫院,Proteus mirabilis,Cefazolin,16067,12618,3319,9299,197
2018,地區醫院,Proteus mirabilis,Ceftriaxone,16067,11089,7372,3717,194
2018,地區醫院,Proteus mirabilis,Gentamicin,16067,15261,5694,9567,199
2018,地區醫院,Proteus mirabilis,Levofloxacin,16067,10225,4617,5608,193
2018,地區醫院,Proteus mirabilis,Meropenem,16067,9033,8203,830,193
2018,地區醫院,Pseudomonas aeruginosa,Amikacin,28240,24222,22242,1980,197
2018,地區醫院,Pseudomonas aeruginosa,Cefepime,28240,20695,16635,4060,193
2018,地區醫院,Pseudomonas aeruginosa,Ciprofloxacin,28240,22115,12094,10021,200
2018,地區醫院,Pseudomonas aeruginosa,Ceftazidime,28240,26101,20742,5359,200
2018,地區醫院,Pseudomonas aeruginosa,Gentamicin,28240,26145,17767,8378,200
2018,地區醫院,Pseudomonas aeruginosa,Imipenem,28240,20878,15857,5021,200
2018,地區醫院,Pseudomonas aeruginosa,Levofloxacin,28240,21294,10425,10869,199
2018,地區醫院,Pseudomonas aeruginosa,Meropenem,28240,17098,13070,4028,199
2018,地區醫院,Pseudomonas aeruginosa,Piperacillin/Tazobactam,28240,24377,17939,6438,199
2018,地區醫院,Pseudomonas aeruginosa,Piperacillin,28240,6556,4382,2174,195
2018,地區醫院,Enterococcus faecalis,Ampicillin,5969,4420,4229,191,187
2018,地區醫院,Enterococcus faecalis,Gentamicin-High,5969,4425,1971,2454,186
2018,地區醫院,Enterococcus faecalis,Vancomycin,5969,5923,5711,212,192
2018,地區醫院,Enterococcus faecium,Ampicillin,2761,2143,166,1977,186
2018,地區醫院,Enterococcus faecium,Gentamicin-High,2761,2123,974,1149,185
2018,地區醫院,Enterococcus faecium,Vancomycin,2761,2714,1109,1605,191
2018,地區醫院,Staphylococcus aureus,Ciprofloxacin,26146,10016,5332,4684,203
2018,地區醫院,Staphylococcus aureus,Oxacillin,26146,25109,10075,15034,216
2018,地區醫院,Staphylococcus aureus,Trimethoprim/Sulfamethoxazole,26146,19784,16872,2912,207
2018,地區醫院,Staphylococcus aureus,Vancomycin,26146,23211,22865,346,213
2018,地區醫院,Enterococcus spp.,Ampicillin,6918,3601,2625,976,195
2018,地區醫院,Enterococcus spp.,Gentamicin-High,6918,3707,1712,1995,195
2018,地區醫院,Enterococcus spp.,Vancomycin,6918,6782,5684,1098,206
2017,醫學中心,Acinetobacter baumannii,Ampicillin/Sulbactam,18299,9981,5165,4816,16
2017,醫學中心,Acinetobacter baumannii,Amikacin,18299,8999,4367,4632,16
2017,醫學中心,Acinetobacter baumannii,Cefepime,18299,11869,5055,6814,16
2017,醫學中心,Acinetobacter baumannii,Ciprofloxacin,18299,13494,5241,8253,16
2017,醫學中心,Acinetobacter baumannii,Ceftazidime,18299,12611,5277,7334,16
2017,醫學中心,Acinetobacter baumannii,Colistin,18299,7619,7500,119,14
2017,醫學中心,Acinetobacter baumannii,Gentamicin,18299,10422,4229,6193,16
2017,醫學中心,Acinetobacter baumannii,Imipenem,18299,15969,7258,8711,22
2017,醫學中心,Acinetobacter baumannii,Levofloxacin,18299,8689,3653,5036,15
2017,醫學中心,Acinetobacter baumannii,Meropenem,18299,11876,5120,6756,21
2017,醫學中心,Acinetobacter baumannii,Piperacillin/Tazobactam,18299,13006,4889,8117,16
2017,醫學中心,Acinetobacter baumannii,Piperacillin,18299,943,304,639,14
2017,醫學中心,Acinetobacter baumannii,Tigecycline,18299,5966,4595,1371,14
2017,醫學中心,Enterobacter cloacae,Amikacin,7261,5434,5333,101,14
2017,醫學中心,Enterobacter cloacae,Cefotaxime,7261,2810,1579,1231,15
2017,醫學中心,Enterobacter cloacae,Cefepime,7261,5325,4433,892,14
2017,醫學中心,Enterobacter cloacae,Ciprofloxacin,7261,5511,4289,1222,14
2017,醫學中心,Enterobacter cloacae,Ceftazidime,7261,5239,2875,2364,16
2017,醫學中心,Enterobacter cloacae,Ceftriaxone,7261,4718,2584,2134,16
2017,醫學中心,Enterobacter cloacae,Ertapenem,7261,5861,4788,1073,16
2017,醫學中心,Enterobacter cloacae,Gentamicin,7261,5753,4804,949,14
2017,醫學中心,Enterobacter cloacae,Imipenem,7261,5478,4915,563,16
2017,醫學中心,Enterobacter cloacae,Levofloxacin,7261,4537,3520,1017,14
2017,醫學中心,Enterobacter cloacae,Meropenem,7261,2178,2070,108,16
2017,醫學中心,Escherichia coli,Ampicillin/Sulbactam,65426,45736,20953,24783,14
2017,醫學中心,Escherichia coli,Ampicillin,65426,25749,6247,19502,14
2017,醫學中心,Escherichia coli,Amikacin,65426,61289,60777,512,16
2017,醫學中心,Escherichia coli,Cefuroxime sodium,65426,12919,7785,5134,14
2017,醫學中心,Escherichia coli,Cefotaxime,65426,27142,18636,8506,15
2017,醫學中心,Escherichia coli,Ciprofloxacin,65426,61265,38214,23051,16
2017,醫學中心,Escherichia coli,Ceftazidime,65426,37315,26415,10900,16
2017,醫學中心,Escherichia coli,Cefazolin,65426,47106,24867,22239,14
2017,醫學中心,Escherichia coli,Ceftriaxone,65426,42885,28934,13951,16
2017,醫學中心,Escherichia coli,Ertapenem,65426,51206,50222,984,16
2017,醫學中心,Escherichia coli,Gentamicin,65426,56523,43013,13510,16
2017,醫學中心,Escherichia coli,Imipenem,65426,47062,46598,464,16
2017,醫學中心,Escherichia coli,Levofloxacin,65426,52027,32566,19461,16
2017,醫學中心,Escherichia coli,Meropenem,65426,17547,17410,137,16
2017,醫學中心,Klebsiella pneumoniae,Ampicillin/Sulbactam,45795,23280,13259,10021,14
2017,醫學中心,Klebsiella pneumoniae,Ampicillin,45795,12750,1,12749,14
2017,醫學中心,Klebsiella pneumoniae,Amikacin,45795,31583,29623,1960,16
2017,醫學中心,Klebsiella pneumoniae,Cefuroxime sodium,45795,6852,3886,2966,14
2017,醫學中心,Klebsiella pneumoniae,Cefotaxime,45795,13721,9310,4411,15
2017,醫學中心,Klebsiella pneumoniae,Ciprofloxacin,45795,31559,22611,8948,16
2017,醫學中心,Klebsiella pneumoniae,Ceftazidime,45795,22606,14240,8366,16
2017,醫學中心,Klebsiella pneumoniae,Cefazolin,45795,24215,13149,11066,14
2017,醫學中心,Klebsiella pneumoniae,Ceftriaxone,45795,15611,11222,4389,14
2017,醫學中心,Klebsiella pneumoniae,Ertapenem,45795,35500,31010,4490,21
2017,醫學中心,Klebsiella pneumoniae,Gentamicin,45795,30833,21977,8856,16
2017,醫學中心,Klebsiella pneumoniae,Imipenem,45795,33254,29292,3962,22
2017,醫學中心,Klebsiella pneumoniae,Levofloxacin,45795,20861,15553,5308,14
2017,醫學中心,Klebsiella pneumoniae,Meropenem,45795,10671,9865,806,21
2017,醫學中心,Proteus mirabilis,Ampicillin/Sulbactam,8893,6966,4916,2050,16
2017,醫學中心,Proteus mirabilis,Ampicillin,8893,3818,1748,2070,15
2017,醫學中心,Proteus mirabilis,Amikacin,8893,6901,6652,249,14
2017,醫學中心,Proteus mirabilis,Cefuroxime sodium,8893,1553,1369,184,14
2017,醫學中心,Proteus mirabilis,Cefotaxime,8893,3735,3301,434,14
2017,醫學中心,Proteus mirabilis,Ciprofloxacin,8893,6874,4918,1956,14
2017,醫學中心,Proteus mirabilis,Cefazolin,8893,8127,4188,3939,16
2017,醫學中心,Proteus mirabilis,Ceftriaxone,8893,4365,3910,455,14
2017,醫學中心,Proteus mirabilis,Gentamicin,8893,7963,5379,2584,16
2017,醫學中心,Proteus mirabilis,Levofloxacin,8893,5387,4095,1292,14
2017,醫學中心,Proteus mirabilis,Meropenem,8893,3055,2959,96,14
2017,醫學中心,Pseudomonas aeruginosa,Amikacin,32778,22570,21885,685,14
2017,醫學中心,Pseudomonas aeruginosa,Cefepime,32778,21714,18963,2751,14
2017,醫學中心,Pseudomonas aeruginosa,Ciprofloxacin,32778,28809,23491,5318,16
2017,醫學中心,Pseudomonas aeruginosa,Ceftazidime,32778,26938,22935,4003,16
2017,醫學中心,Pseudomonas aeruginosa,Gentamicin,32778,23578,21257,2321,16
2017,醫學中心,Pseudomonas aeruginosa,Imipenem,32778,27686,23017,4669,17
2017,醫學中心,Pseudomonas aeruginosa,Levofloxacin,32778,23218,17872,5346,16
2017,醫學中心,Pseudomonas aeruginosa,Meropenem,32778,24039,20758,3281,17
