年度,區別,縣市,行政區,單位/醫事機構代碼,醫療院所名稱,地址,連絡電話
2022,台北區,台北市,大同區,3501093940,大同耳鼻喉科診所,台北市大同區重慶北路3段250之3、250之4號,02 -25975833
2022,高屏區,高雄市,左營區,3507301816,自由心胸診所,高雄市左營區自由二路340號1~2樓,07-5588001
2022,北區,桃園市,中壢區,3532027887,福澤診所,桃園市中壢區華美三路335號,03-4665959
2022,台北區,台北市,大安區,350102G798,逸林診所,台北市大安區信義路4段109之2號,02-27006896
2022,台北區,台北市,松山區,3501015035,安兒康小兒專科診所,台北市松山區敦化路118號,02 -77287688
2022,中區,彰化縣,鹿港鎮,3537021849,張容毓親子診所,彰化縣鹿港鎮中正路441號,04-7779909
2022,高屏區,高雄市,前鎮區,3507360708,又安心診所,高雄市前鎮區英德街103號,07-7215681
2022,中區,彰化縣,田中鎮,1537071098,建元醫院,彰化縣田中鎮中南路三段512號,04-8743747
2022,高屏區,高雄市,三民區,3507321612,四季康和診所,高雄市三民區遼北街209號1樓,07-3432349
2022,中區,台中市,西屯區,3503272350,榛果耳鼻喉科診所,台中市西屯區東興路三段379號,04 -23104668
2022,高屏區,高雄市,仁武區,3507080269,銘美診所,高雄市仁武區赤仁路58號,07-3752066
2022,台北區,台北市,松山區,3501015240,宥全診所,台北市松山區民生東路5段216號,02 -27678225
2022,南區,台南市,東　區,3521013046,王舒岳兒科診所,台南市東　區生產路281號,06-2902816
2022,台北區,台北市,大安區,0101090517A,臺北市立聯合醫院仁愛院區,台北市大安區仁愛路4段10號,02-27093600
2022,台北區,台北市,大同區,0101090517B,臺北市立聯合醫院中興院區,台北市大同區鄭州路１４５號,02-25523234
2022,台北區,台北市,萬華區,0101090517C,臺北市立聯合醫院昆明院區,台北市萬華區昆明街100號,02-23703739
2022,台北區,台北市,南港區,0101090517D,臺北市立聯合醫院忠孝院區,台北市南港區同德路８７號,02-27861288
2022,台北區,台北市,士林區,0101090517E,臺北市立聯合醫院陽明院區,台北市士林區雨聲街105號,02-28353456
2022,台北區,台北市,信義區,0101090517F,臺北市立聯合醫院松德院區,台北市信義區松德路３０９號,02-27263141
2022,台北區,台北市,中正區,0101090517G,臺北市立聯合醫院和平婦幼院區,台北市中正區中華路２段３３號,02-23889595
2022,台北區,台北市,中山區,0101090517H,臺北市立聯合醫院林森中醫昆明院區,台北市中山區林森北路530號,02-25916681
2022,台北區,連江縣,南竿鄉,0291010010,連江縣立醫院,連江縣南竿鄉２１７號,083-623995
2022,台北區,台北市,大安區,0401020013,國立臺灣大學醫學院附設醫院癌醫中心分院,台北市大安區基隆路3段155巷57號,02-23220322
2022,台北區,台北市,中正區,0401180014,國立臺灣大學醫學院附設醫院,台北市中正區中山南路７號,02-23123456
2022,台北區,台北市,萬華區,0401190010,國立臺灣大學醫學院附設醫院北護分院,台北市萬華區康定路３７號,02-23717101
2022,北區,新竹市,北　區,0412040012,國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,新竹市北　區經國路一段４４２巷２５號,03-5326151
2022,南區,台南市,北　區,0421040011,國立成功大學醫學院附設醫院,台南市北　區勝利路１３８號,06-2353535
2022,台北區,新北市,金山區,0431270012,國立台灣大學醫學院附設醫院金山分院,新北市金山區11鄰玉爐路7號,02-24989898
2022,北區,新竹縣,竹北市,0433050018A,國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院,新竹縣竹北市生醫路一段2號,03-5330133
2022,北區,新竹縣,竹東鎮,0433050018B,國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院 (竹東院區),新竹縣竹東鎮至善路52號,03-5343248
2022,台北區,宜蘭縣,宜蘭市,0434010518,國立陽明交通大學附設醫院,宜蘭縣宜蘭市校舍路169號,03-9325192
2022,南區,雲林縣,斗六市,0439010518,國立臺灣大學醫學院附設醫院雲林分院,雲林縣斗六市雲林路二段５７９號,05-5323911
2022,南區,雲林縣,斗六市,0439010527,國立成功大學醫學院附設醫院斗六分院,雲林縣斗六市莊敬路345號,05-5332121
2022,台北區,台北市,松山區,0501010019,三軍總醫院松山分院附設民眾診療服務處,台北市松山區健康路１３１號,02-27656673
2022,台北區,台北市,內湖區,0501110514,三軍總醫院附設民眾診療服務處,台北市內湖區成功路2段325號,02-87927044
2022,台北區,台北市,北投區,0501160014,三軍總醫院北投分院附設民眾診療服務處,台北市北投區新民路６０號中和街２５０號,02-28959808
2022,中區,台中市,西屯區,0617060018,臺中榮民總醫院,台中市西屯區臺灣大道四段1650號,04-23592525
2022,南區,嘉義市,西　區,0622020017,臺中榮民總醫院嘉義分院,嘉義市西　區世賢路二段６００號,05-2359630
2022,北區,桃園市,桃園區,0632010014,臺北榮民總醫院桃園分院,桃園市桃園區成功路三段１００號,03-3384889
2022,北區,新竹縣,竹東鎮,0633030010,臺北榮民總醫院新竹分院,新竹縣竹東鎮中豐路１段８１號,03-5962134
2022,台北區,宜蘭縣,蘇澳鎮,0634030014,臺北榮民總醫院蘇澳分院,宜蘭縣蘇澳鎮蘇濱路１段３０１號,03-9905106
2022,台北區,宜蘭縣,員山鄉,0634070018,臺北榮民總醫院員山分院,宜蘭縣員山鄉榮光路３８６號,039-222141
2022,中區,南投縣,埔里鎮,0638020014,臺中榮民總醫院埔里分院,南投縣埔里鎮榮光路１號,049-2990833
2022,南區,嘉義縣,竹崎鄉,0640140012,臺中榮民總醫院灣橋分院,嘉義縣竹崎鄉石麻園３８號,05-2791072
2022,南區,台南市,永康區,0641310018,高雄榮民總醫院臺南分院,台南市永康區復興路４２７號,06-3125101
2022,高屏區,屏東縣,內埔鄉,0643130018,高雄榮民總醫院屏東分院,屏東縣內埔鄉昭勝路安平一巷１號,08-7704115
2022,東區,花蓮縣,鳳林鎮,0645020015,臺北榮民總醫院鳳林分院,花蓮縣鳳林鎮中正路1段2號,03-8764539
2022,東區,花蓮縣,玉里鎮,0645030011,臺北榮民總醫院玉里分院,花蓮縣玉里鎮泰昌里新興街９１號,03-8883141
2022,東區,台東縣,台東市,0646010013,臺北榮民總醫院臺東分院,台東縣台東市更生路1000號,089-222995
2022,台北區,台北市,北投區,0701160518,臺北市立關渡醫院-委託臺北榮民總醫院經營,台北市北投區知行路２２５巷１２號,02-28587177
2022,中區,台中市,南屯區,0717070516,法務部矯正署臺中監獄附設培德醫院,台中市南屯區培德路9號,04-23891296
2022,台北區,台北市,大安區,0901020013,中山醫療社團法人中山醫院,台北市大安區仁愛路４段１１２巷１１號,02-27081166
2022,台北區,台北市,中正區,0901180023,郵政醫院(委託中英醫療社團法人經營),台北市中正區福州街１４號,02-23956755
2022,台北區,台北市,萬華區,0901190010,西園醫療社團法人西園醫院,台北市萬華區西園路２段189號,02-23076968
2022,高屏區,高雄市,苓雅區,0902080013,阮綜合醫療社團法人阮綜合醫院,高雄市苓雅區鼓中里成功一路１６２號,07-3386463
2022,中區,台中市,烏日區,0903150014,林新醫療社團法人烏日林新醫院,台中市烏日區榮和路168號,04-23388766
2022,北區,桃園市,中壢區,0932020034,新國民醫療社團法人新國民醫院,桃園市中壢區復興路１５２號,03-4225180
2022,北區,新竹縣,竹北市,0933050018,東元醫療社團法人東元綜合醫院,新竹縣竹北市縣政二路６９號,03-5527000
2022,北區,苗栗縣,苗栗市,0935010012,梓榮醫療社團法人弘大醫院,苗栗縣苗栗市新東街１２５號,037-361188
2022,北區,苗栗縣,苗栗市,0935010021,大千醫療社團法人南勢醫院,苗栗縣南勢里南勢52號,037-369936
2022,北區,苗栗縣,苑裡鎮,0935020027,李綜合醫療社團法人苑裡李綜合醫院,苗栗縣苑裡鎮和平路１６８號,037-862387
2022,中區,台中市,大甲區,0936030018,李綜合醫療社團法人大甲李綜合醫院,台中市大甲區八德街２號,04-26862288
2022,中區,台中市,沙鹿區,0936050029,光田醫療社團法人光田綜合醫院,台中市沙鹿區沙田路117號,04-26625111
2022,中區,台中市,梧棲區,0936060016,童綜合醫療社團法人童綜合醫院,台中市梧棲區臺灣大道八段６９９號,04-26581919
2022,中區,彰化縣,彰化市,0937010019,秀傳醫療社團法人秀傳紀念醫院,彰化縣彰化市中山路一段５４２號,04-7256166
2022,中區,彰化縣,和美鎮,0937030012,道周醫療社團法人道周醫院,彰化縣和美鎮面前里和光路１８０號,04-7566995
2022,中區,彰化縣,員林市,0937050014,員榮醫療社團法人員榮醫院,彰化縣員林市中正路201號,04-8326161
2022,中區,彰化縣,員林市,0937050024,惠來醫療社團法人宏仁醫院,彰化縣員林市惠來路８９號,04-8375878
2022,中區,彰化縣,二林鎮,0937080012,洪宗鄰醫療社團法人洪宗鄰醫院,彰化縣二林鎮西平里中正路６１號,04-8967955
2022,中區,南投縣,草屯鎮,0938030016,佑民醫療社團法人佑民醫院,南投縣草屯鎮太平路一段２００號,049-2358151
2022,中區,南投縣,竹山鎮,0938040012,竹山秀傳醫療社團法人竹山秀傳醫院,南投縣竹山鎮集山路２段７５號,049-2624266
2022,南區,台南市,新營區,0941010019,新興醫療社團法人新興醫院,台南市新營區中興路１０號,06-6330011
2022,高屏區,高雄市,岡山區,0942020019,高雄市立岡山醫院（委託秀傳醫療社團法人經營）,高雄市岡山區壽天路１２號,07-6222131
2022,高屏區,屏東縣,屏東市,0943010017,寶建醫療社團法人寶建醫院,屏東縣屏東市中山路１２３號  感染管制室,08-7665995
2022,高屏區,屏東縣,屏東市,0943010026,安和醫療社團法人安和醫院,屏東縣屏東市自由路５９８號,08-7651828
2022,高屏區,屏東縣,屏東市,0943010035,優生醫療社團法人優生醫院,屏東縣屏東市華山里瑞光路三段１０３號,08-7382222
2022,高屏區,屏東縣,潮州鎮,0943020013,安泰醫療社團法人潮州安泰醫院,屏東縣潮州鎮四維路１６２號,08-7800888
2022,高屏區,屏東縣,東港鎮,0943030019,安泰醫療社團法人安泰醫院,屏東縣東港鎮興東里中正路一段２１０號,08-8329966
2022,高屏區,屏東縣,恆春鎮,0943040015,南門醫療社團法人南門醫院,屏東縣恆春鎮南門路１０號  (藥庫),08-8894568
2022,高屏區,屏東縣,枋寮鄉,0943160012,枋寮醫療社團法人枋寮醫院,屏東縣枋寮鄉中山路139號,08-8789991
2022,南區,台南市,佳里區,1105050012,奇美醫療財團法人佳里奇美醫院,台南市佳里區６０６號,06-7263333
2022,北區,桃園市,龜山區,1132071036,長庚醫療財團法人桃園長庚紀念醫院,桃園市龜山區頂湖路123號,03-3196200
2022,北區,新竹縣,湖口鄉,1133060019,天主教仁慈醫療財團法人仁慈醫院,新竹縣湖口鄉忠孝路２９號,03-5993500
2022,台北區,宜蘭縣,宜蘭市,1134010022,宜蘭仁愛醫療財團法人宜蘭仁愛醫院,宜蘭縣宜蘭市中山路二段270號,039-321888
2022,台北區,宜蘭縣,羅東鎮,1134020019,醫療財團法人羅許基金會羅東博愛醫院,宜蘭縣羅東鎮南昌街83號,03-9543131
2022,台北區,宜蘭縣,羅東鎮,1134020028,天主教靈醫會醫療財團法人羅東聖母醫院,宜蘭縣羅東鎮中正南路１６０號,039-544106
2022,台北區,宜蘭縣,礁溪鄉,1134050026,天主教靈醫會醫療財團法人礁溪杏和醫院,宜蘭縣礁溪鄉礁溪路4段129號,039-886996
2022,台北區,宜蘭縣,員山鄉,1134070019,宜蘭員山醫療財團法人宜蘭員山醫院,宜蘭縣員山鄉尚深路９１號,03-9220292
2022,北區,苗栗縣,頭份鎮,1135050020,為恭醫療財團法人為恭紀念醫院,苗栗縣頭份鎮信義路128號,037-676811
2022,中區,台中市,潭子區,1136090519,佛教慈濟醫療財團法人台中慈濟醫院,台中市潭子區豐興路一段66、88號,04-36060666
2022,中區,台中市,大里區,1136200015,仁愛醫療財團法人大里仁愛醫院,台中市大里區東榮路４８３號,04-24819900
2022,中區,彰化縣,彰化市,1137010024,彰化基督教醫療財團法人彰化基督教醫院,彰化縣彰化市南校街１３５號,04-7238595
2022,中區,彰化縣,彰化市,1137010042,彰化基督教醫療財團法人彰化基督教兒童醫院,彰化縣彰化市旭光路320號,04-7238595
2022,中區,彰化縣,彰化市,1137010051,彰化基督教醫療財團法人漢銘基督教醫院,彰化縣彰化市南興里中山路一段３６６號,04-7113456
2022,中區,彰化縣,鹿港鎮,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,彰化縣鹿港鎮鹿工路6號,04-7813888
2022,中區,彰化縣,鹿港鎮,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,彰化縣鹿港鎮中正路480號,04-7779595
2022,中區,彰化縣,員林市,1137050019,彰化基督教醫療財團法人員林基督教醫院,彰化縣員林市莒光路456號,04-8381456
2022,中區,彰化縣,二林鎮,1137080017,彰化基督教醫療財團法人二林基督教醫院,彰化縣二林鎮大成路一段５５８號,04-8952031
2022,高屏區,澎湖縣,馬公市,1144010016,天主教靈醫會醫療財團法人惠民醫院,澎湖縣馬公市樹德路１４號,06-9272318
2022,東區,花蓮縣,花蓮市,1145010010,佛教慈濟醫療財團法人花蓮慈濟醫院,花蓮縣花蓮市中央路三段７０７號,03-8561825
2022,東區,花蓮縣,花蓮市,1145010038,臺灣基督教門諾會醫療財團法人門諾醫院,花蓮縣花蓮市民權路４４號,03-8241016
2022,東區,花蓮縣,玉里鎮,1145030012,佛教慈濟醫療財團法人玉里慈濟醫院,花蓮縣玉里鎮民權街1之1號,03-8882718
2022,東區,花蓮縣,壽豐鄉,1145060029,臺灣基督教門諾會醫療財團法人門諾醫院壽豐分院,花蓮縣壽豐鄉魚池52號,03-8664648
2022,東區,台東縣,台東市,1146010014,台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,台東縣台東市長沙街３０３巷１號,089-310150
2022,東區,台東縣,台東市,1146010032,東基醫療財團法人台東基督教醫院,台東縣台東市開封街３５０號,089-323362
2022,東區,台東縣,台東市,1146010041,天主教花蓮教區醫療財團法人台東聖母醫院,台東縣台東市民族里１８鄰杭州街２號,089-322833
2022,東區,台東縣,關山鎮,1146030516,佛教慈濟醫療財團法人關山慈濟醫院,台東縣關山鎮和平路１２５–５號,089-814880
2022,台北區,新北市,永和區,1231030015,天主教耕莘醫療財團法人永和耕莘醫院,新北市永和區中興街８０號,02-29251302
2022,台北區,新北市,新店區,1231050017,天主教耕莘醫療財團法人耕莘醫院,新北市新店區中正路３６２號,02-22193391
2022,台北區,台北市,內湖區,1301110511,中國醫藥大學附設醫院臺北分院,台北市內湖區內湖路二段360號,02-27919696
2022,台北區,台北市,信義區,1301170017,臺北醫學大學附設醫院,台北市信義區吳興街252號,02-27372181
2022,台北區,台北市,文山區,1301200010,臺北市立萬芳醫院-委託財團法人臺北醫學大學辦理,台北市文山區興隆路３段１１１號,02-29307930
2022,高屏區,高雄市,三民區,1302050014,財團法人私立高雄醫學大學附設中和紀念醫院,高雄市三民區自由一路１００號,07-3121101
2022,中區,台中市,霧峰區,1303180011,亞洲大學附屬醫院,台中市霧峰區福新路２２２號,04-37061668
2022,高屏區,高雄市,鼓山區,0102020011,高雄市立聯合醫院,高雄市鼓山區中華一路９７６號,07-5552565
2022,高屏區,高雄市,前金區,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),高雄市前金區中華三路68號,07-2911101
2022,高屏區,高雄市,苓雅區,0102080017,高雄市立民生醫院,高雄市苓雅區凱旋二路１３４號,07-7511131
2022,高屏區,高雄市,苓雅區,0102080026,高雄市立凱旋醫院,高雄市苓雅區凱旋二路１３０號,07-7513171
2022,台北區,基隆市,信義區,0111070010,衛生福利部基隆醫院,基隆市信義區信二路２６８號,02-24292525
2022,中區,台中市,西　區,0117030010,衛生福利部臺中醫院,台中市西　區西區三民路一段１９９號,04-22294411
2022,南區,台南市,中西區,0121050011,衛生福利部臺南醫院,台南市中西區中山路１２５號,06-2200055
2022,南區,嘉義市,西　區,0122020517,衛生福利部嘉義醫院,嘉義市西　區西區北港路３１２號,05-2319090
2022,台北區,新北市,三重區,0131020016,新北市立聯合醫院三重院區,新北市三重區新北大道一段3號,02-29829111
2022,台北區,新北市,新莊區,0131060010,衛生福利部樂生療養院,新北市新莊區中正路７９４號,02-82006600
2022,台北區,新北市,新莊區,0131060029,衛生福利部臺北醫院,新北市新莊區思源路１２７號,02-22765566
2022,北區,桃園市,桃園區,0132010014,衛生福利部桃園醫院,桃園市桃園區中山路１４９２號,03-3699721
2022,北區,桃園市,新屋區,0132110519,衛生福利部桃園醫院新屋分院,桃園市新屋區新福二路六號,03-4971989
2022,北區,苗栗縣,苗栗市,0135010016,衛生福利部苗栗醫院,苗栗縣苗栗市為公路747號,037-261920
2022,中區,台中市,豐原區,0136010010,衛生福利部豐原醫院,台中市豐原區安康路１００號,04-25271180
2022,中區,彰化縣,埔心鄉,0137170515,衛生福利部彰化醫院,彰化縣埔心鄉中正路二段８０號,04-8298686
2022,中區,南投縣,南投市,0138010027,衛生福利部南投醫院,南投縣南投市復興路４７８號,049-2231150
2022,南區,嘉義縣,朴子市,0140010028,衛生福利部朴子醫院,嘉義縣朴子市應菜埔４２－５０號,05-3790600
2022,南區,台南市,新營區,0141010013,衛生福利部新營醫院,台南市新營區忠政里信義街７３號,06-6351131
2022,南區,台南市,新化區,0141060513,衛生福利部臺南醫院新化分院,台南市新化區牧場７２號,06-5911929
2022,南區,台南市,仁德區,0141270019,衛生福利部胸腔病院,台南市仁德區中山路８６４號,06-2705911
2022,南區,台南市,仁德區,0141270028,衛生福利部嘉南療養院,台南市仁德區裕忠路539號,06-2795019
2022,高屏區,高雄市,旗山區,0142030019,衛生福利部旗山醫院,高雄市旗山區中學路60號,07-6613811
2022,高屏區,屏東縣,屏東市,0143010011,衛生福利部屏東醫院,屏東縣屏東市自由路２７０號,08-7363011
2022,高屏區,屏東縣,恆春鎮,0143040019,衛生福利部恆春旅遊醫院,屏東縣恆春鎮恆南路１８８號,08-8892704
2022,高屏區,澎湖縣,馬公市,0144010015,衛生福利部澎湖醫院,澎湖縣馬公市中正路１０號,06-9261151
2022,東區,花蓮縣,花蓮市,0145010019,衛生福利部花蓮醫院,花蓮縣花蓮市中正路600號,03-8358141
2022,東區,花蓮縣,玉里鎮,0145030020,衛生福利部玉里醫院,花蓮縣玉里鎮中華路４４８號,038-886141
2022,東區,花蓮縣,豐濱鄉,0145080011,衛生福利部花蓮醫院豐濱原住民分院,花蓮縣豐濱鄉豐濱村光豐路４１號,038-791385
2022,東區,台東縣,台東市,0146010013,衛生福利部臺東醫院,台東縣台東市五權街１號,089-324112
2022,東區,台東縣,成功鎮,0146020537,衛生福利部臺東醫院成功分院,台東縣成功鎮中山東路32號,089-854748
2022,台北區,金門縣,金湖鎮,0190030516,衛生福利部金門醫院,金門縣金湖鎮復興路２號,082-332546
2022,台北區,基隆市,信義區,0211070012,基隆市立醫院,基隆市信義區東信路２８２號,02-24652141
2022,高屏區,高雄市,左營區,0502030015,國軍高雄總醫院左營分院附設民眾診療服務處,高雄市左營區合群里軍校路５５３號,07-5817121
2022,高屏區,高雄市,苓雅區,0502080015,國軍高雄總醫院附設民眾診療服務處,高雄市苓雅區中正一路二號,07-7496730
2022,台北區,基隆市,中正區,0511040010,三軍總醫院基隆分院附設民眾診療服務處,基隆市中正區正榮街100號,02-24633330
2022,北區,新竹市,北　區,0512040014,國軍桃園總醫院新竹分院附設民眾診療服務處,新竹市北　區北區武陵路３號,03-5348181
2022,中區,台中市,北　區,0517050010,國軍台中總醫院附設民眾診療服務處中清分院,台中市北　區忠明路５００號,04-22033178
2022,北區,桃園市,龍潭區,0532090029,國軍桃園總醫院附設民眾診療服務處,桃園市龍潭區中興村中興路１６８號,03-4799595
2022,中區,台中市,太平區,0536190011,國軍台中總醫院附設民眾診療服務處,台中市太平區中山路2段348號,04-23934191
2022,高屏區,高雄市,岡山區,0542020011,國軍高雄總醫院岡山分院附設民眾診療服務處,高雄市岡山區大義二路１號,07-6250919
2022,高屏區,屏東縣,屏東市,0543010019,國軍高雄總醫院屏東分院附設民眾診療服務處,屏東縣屏東市大湖路５８巷２２號,08-7560756
2022,高屏區,澎湖縣,馬公市,0544010031,三軍總醫院澎湖分院附設民眾診療服務處,澎湖縣馬公市前寮里90號,06-9212582
2022,東區,花蓮縣,新城鄉,0545040515,國軍花蓮總醫院附設民眾診療服務處,花蓮縣新城鄉嘉里村嘉里路163號,03-8263151
2022,台北區,台北市,北投區,0601160016,臺北榮民總醫院,台北市北投區石牌路２段２０１號,02-28757437
2022,高屏區,高雄市,左營區,0602030026,高雄榮民總醫院,高雄市左營區大中一路３８６號,07-3422121
2022,南區,台南市,關廟區,0905290020,吉安醫療社團法人吉安醫院,台南市關廟區中正路435號,06-6025115*111
2022,南區,台南市,東　區,0905320023,台南市立醫院(委託秀傳醫療社團法人經營),台南市東　區崇德路670號   藥劑科,06-2609926
2022,高屏區,高雄市,三民區,0907320012,愛仁醫療社團法人愛仁醫院,高雄市三民區民族一路４９號,07-3115159
2022,北區,新竹市,北　區,0912040012,平和醫療社團法人和平醫院,新竹市北　區和平路８６－１號,03-5260151
2022,中區,台中市,南屯區,0917070029,林新醫療社團法人林新醫院,台中市南屯區惠中路３段３６號,04-22586688
2022,南區,嘉義市,,0922020013,仁德醫療社團法人陳仁德醫院,嘉義市林森西路２８５號,05-2258279
2022,南區,嘉義市,,0922020022,慶昇醫療社團法人慶昇醫院,嘉義市新榮路339-1號,05-2229191
2022,南區,嘉義市,西　區,0922020031,祥太醫療社團法人祥太醫院,嘉義市西　區驛站里延平街４９０號,05-2230398
2022,台北區,新北市,板橋區,0931010016,中英醫療社團法人中英醫院,新北市板橋區文化路１段１９６號,02-22563584
2022,台北區,新北市,新莊區,0931060016,新仁醫療社團法人新仁醫院,新北市新莊區中正路３９５號,02-22017212
2022,北區,桃園市,中壢區,0932020016,宏其醫療社團法人宏其婦幼醫院,桃園市中壢區元化路223號,03-4618888
2022,北區,桃園市,中壢區,0932020025,天成醫療社團法人天晟醫院,桃園市中壢區延平路一五五號,03-4629292
2022,台北區,台北市,松山區,1101010012,長庚醫療財團法人台北長庚紀念醫院,台北市松山區敦化北路１９９號,02-27135211
2022,台北區,台北市,松山區,1101010021,基督復臨安息日會醫療財團法人臺安醫院,台北市松山區八德路２段４２４號,02-27718151
2022,台北區,台北市,大安區,1101020018,國泰醫療財團法人國泰綜合醫院,台北市大安區仁愛路４段２８０號,02-27082121
2022,台北區,台北市,大安區,1101020027,中心診所醫療財團法人中心綜合醫院,台北市大安區忠孝東路４段７７號,02-27510221
2022,台北區,台北市,大安區,1101020036,宏恩醫療財團法人宏恩綜合醫院,台北市大安區仁愛路４段７１巷１號,02-27713161
2022,台北區,台北市,中山區,1101100011,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,台北市中山區中山北路２段９２號,02-25433535
2022,台北區,台北市,內湖區,1101110026,康寧醫療財團法人康寧醫院,台北市內湖區成功路５段４２０巷２６號,02-26345500
2022,台北區,台北市,士林區,1101150011,新光醫療財團法人新光吳火獅紀念醫院,台北市士林區文昌路９５號,02-28332211
2022,台北區,台北市,北投區,1101160017,振興醫療財團法人振興醫院,台北市北投區振興街４５號,02-28264400
2022,台北區,台北市,北投區,1101160026,醫療財團法人辜公亮基金會和信治癌中心醫院,台北市北投區立德路１２５號,02-28970011
2022,高屏區,高雄市,小港區,1102110011,高雄市立小港醫院(委託財團法人私立高雄醫學大學經營),高雄市小港區山明路482號B1-10F,07-8036783
2022,南區,台南市,麻豆區,1105040016,台灣基督長老教會新樓醫療財團法人麻豆新樓醫院,台南市麻豆區苓子林２０號,06-5702228
2022,高屏區,高雄市,燕巢區,1107120017,義大醫療財團法人義大癌治療醫院,高雄市燕巢區 高雄市燕巢區角宿里義大路21號 ,07-6150022
2022,高屏區,高雄市,三民區,1107320017,義大醫療財團法人義大大昌醫院,高雄市三民區大昌一路305號,07-5599123
2022,高屏區,高雄市,苓雅區,1107350015,天主教聖功醫療財團法人聖功醫院,高雄市苓雅區民主里建國一路３５２號,07-2238153
2022,台北區,基隆市,安樂區,1111060015,長庚醫療財團法人基隆長庚紀念醫院,基隆市安樂區麥金路２２２號,02-24313131
