確定病名,診斷年份,診斷月份,縣市,性別,是否為境外移入,年齡層,確定病例數
梅毒,2003,1,宜蘭縣,M,否,40-44,2
梅毒,2003,1,苗栗縣,F,否,35-39,1
梅毒,2003,1,苗栗縣,F,否,55-59,1
梅毒,2003,1,苗栗縣,F,是,30-34,1
梅毒,2003,1,苗栗縣,M,否,0,1
梅毒,2003,1,苗栗縣,M,否,45-49,1
梅毒,2003,1,彰化縣,F,否,40-44,1
梅毒,2003,1,彰化縣,F,否,45-49,1
梅毒,2003,1,彰化縣,F,否,55-59,1
梅毒,2003,1,彰化縣,F,否,60-64,1
梅毒,2003,1,彰化縣,M,否,30-34,1
梅毒,2003,1,彰化縣,M,否,40-44,1
梅毒,2003,1,彰化縣,M,否,70+,2
梅毒,2003,1,南投縣,M,否,35-39,1
梅毒,2003,1,南投縣,M,否,40-44,1
梅毒,2003,1,南投縣,M,否,50-54,1
梅毒,2003,1,南投縣,M,否,60-64,1
梅毒,2003,1,南投縣,M,否,65-69,1
梅毒,2003,1,南投縣,M,否,70+,2
梅毒,2003,1,雲林縣,M,否,30-34,1
梅毒,2003,1,雲林縣,M,否,70+,1
梅毒,2003,1,嘉義縣,M,否,40-44,1
梅毒,2003,1,嘉義縣,M,否,45-49,1
梅毒,2003,1,嘉義縣,M,否,50-54,1
梅毒,2003,1,高雄縣(舊),M,否,50-54,1
梅毒,2003,1,屏東縣,F,否,30-34,1
梅毒,2003,1,屏東縣,F,否,45-49,1
梅毒,2003,1,屏東縣,F,否,55-59,1
梅毒,2003,1,屏東縣,F,否,65-69,1
梅毒,2003,1,屏東縣,M,否,0,1
梅毒,2003,1,屏東縣,M,否,20-24,1
梅毒,2003,1,屏東縣,M,否,30-34,1
梅毒,2003,1,屏東縣,M,否,35-39,3
梅毒,2003,1,屏東縣,M,否,40-44,2
梅毒,2003,1,屏東縣,M,否,45-49,1
梅毒,2003,1,屏東縣,M,否,50-54,1
梅毒,2003,1,屏東縣,M,否,60-64,1
梅毒,2003,1,屏東縣,M,否,65-69,1
梅毒,2003,1,屏東縣,M,否,70+,2
梅毒,2003,1,花蓮縣,F,否,0,1
梅毒,2003,1,花蓮縣,F,否,30-34,1
梅毒,2003,1,花蓮縣,F,否,35-39,1
梅毒,2003,1,花蓮縣,M,否,20-24,1
梅毒,2003,1,花蓮縣,M,否,35-39,1
梅毒,2003,1,花蓮縣,M,否,45-49,1
梅毒,2003,1,花蓮縣,M,否,60-64,1
梅毒,2003,1,花蓮縣,M,否,65-69,1
梅毒,2003,1,花蓮縣,M,否,70+,1
梅毒,2003,1,台東縣,M,否,25-29,1
梅毒,2003,1,台東縣,M,否,35-39,1
梅毒,2003,1,金門縣,F,否,20-24,1
梅毒,2003,1,金門縣,F,否,25-29,1
梅毒,2003,2,台北市,F,否,20-24,1
梅毒,2003,2,台北市,F,否,25-29,1
梅毒,2003,2,台北市,F,否,35-39,1
梅毒,2003,2,台北市,F,否,40-44,1
梅毒,2003,2,台北市,F,否,45-49,1
梅毒,2003,2,台北市,F,否,50-54,1
梅毒,2003,2,台北市,F,否,70+,7
梅毒,2003,2,台北市,M,否,0,1
梅毒,2003,2,台北市,M,否,20-24,1
梅毒,2003,2,台北市,M,否,25-29,4
梅毒,2003,2,台北市,M,否,30-34,7
梅毒,2003,2,台北市,M,否,35-39,4
梅毒,2003,2,台北市,M,否,40-44,4
梅毒,2003,2,台北市,M,否,45-49,2
梅毒,2003,2,台北市,M,否,50-54,2
梅毒,2003,2,台北市,M,否,60-64,1
梅毒,2003,2,台北市,M,否,65-69,1
梅毒,2003,2,台北市,M,否,70+,9
梅毒,2003,2,高雄市(舊),F,否,25-29,1
梅毒,2003,2,高雄市(舊),M,否,25-29,1
梅毒,2003,2,高雄市(舊),M,否,60-64,1
梅毒,2003,2,台中市,F,否,35-39,1
梅毒,2003,2,台中市,F,否,40-44,1
梅毒,2003,2,台中市,F,否,55-59,3
梅毒,2003,2,台中市,M,否,0,1
梅毒,2003,2,台中市,M,否,20-24,4
梅毒,2003,2,台中市,M,否,30-34,1
梅毒,2003,2,台中市,M,否,35-39,3
梅毒,2003,2,台中市,M,否,40-44,1
梅毒,2003,2,台中市,M,否,55-59,1
梅毒,2003,2,台中市,M,否,60-64,1
梅毒,2003,2,台中市,M,否,65-69,1
梅毒,2003,2,台南市,F,否,60-64,1
梅毒,2003,2,台南市,M,否,20-24,1
梅毒,2003,2,台南市,M,否,25-29,1
梅毒,2003,2,台南市,M,否,30-34,1
梅毒,2003,2,台南市,M,否,40-44,1
梅毒,2003,2,台南市,M,否,45-49,1
梅毒,2003,2,台南市,M,否,70+,1
梅毒,2003,2,台南市,M,是,25-29,1
梅毒,2003,2,高雄市,F,否,10-14,1
梅毒,2003,2,高雄市,F,否,25-29,2
梅毒,2003,2,高雄市,F,否,30-34,3
梅毒,2003,2,高雄市,F,否,40-44,1
梅毒,2003,2,高雄市,F,否,45-49,2
梅毒,2003,2,高雄市,F,否,65-69,3
梅毒,2003,2,高雄市,F,否,70+,2
梅毒,2003,2,高雄市,M,否,0,1
梅毒,2003,2,高雄市,M,否,25-29,1
梅毒,2003,2,高雄市,M,否,30-34,2
梅毒,2003,2,高雄市,M,否,35-39,1
梅毒,2003,2,高雄市,M,否,40-44,3
梅毒,2003,2,高雄市,M,否,45-49,3
梅毒,2003,2,高雄市,M,否,5-9,1
梅毒,2003,2,高雄市,M,否,50-54,3
梅毒,2003,2,高雄市,M,否,55-59,3
梅毒,2003,2,高雄市,M,否,70+,2
梅毒,2003,2,基隆市,F,否,25-29,1
梅毒,2003,2,基隆市,F,否,70+,2
梅毒,2003,2,基隆市,F,是,20-24,1
梅毒,2003,2,基隆市,M,否,30-34,1
梅毒,2003,2,基隆市,M,否,40-44,1
梅毒,2003,2,基隆市,M,否,50-54,1
梅毒,2003,2,基隆市,M,否,55-59,1
梅毒,2003,2,基隆市,M,否,60-64,1
梅毒,2003,2,基隆市,M,是,30-34,1
梅毒,2003,2,新竹市,F,否,15-19,2
梅毒,2003,2,新竹市,F,否,25-29,1
梅毒,2003,2,新竹市,F,否,30-34,1
梅毒,2003,2,新竹市,F,否,40-44,1
梅毒,2003,2,新竹市,M,否,20-24,1
梅毒,2003,2,新竹市,M,否,25-29,1
梅毒,2003,2,新竹市,M,否,55-59,1
梅毒,2003,2,新竹市,M,否,70+,1
梅毒,2003,2,台中市(舊),F,否,25-29,1
梅毒,2003,2,台中市(舊),M,否,40-44,1
梅毒,2003,2,台南市(舊),F,否,30-34,1
梅毒,2003,2,嘉義市,F,否,70+,1
梅毒,2003,2,新北市,F,否,20-24,2
梅毒,2003,2,新北市,F,否,30-34,1
梅毒,2003,2,新北市,F,否,35-39,1
梅毒,2003,2,新北市,F,否,40-44,2
梅毒,2003,2,新北市,F,否,45-49,2
梅毒,2003,2,新北市,F,否,65-69,1
梅毒,2003,2,新北市,F,否,70+,5
梅毒,2003,2,新北市,M,否,0,2
梅毒,2003,2,新北市,M,否,15-19,1
梅毒,2003,2,新北市,M,否,20-24,3
梅毒,2003,2,新北市,M,否,25-29,5
梅毒,2003,2,新北市,M,否,30-34,3
梅毒,2003,2,新北市,M,否,35-39,5
梅毒,2003,2,新北市,M,否,40-44,4
梅毒,2003,2,新北市,M,否,45-49,4
梅毒,2003,2,新北市,M,否,50-54,2
梅毒,2003,2,新北市,M,否,55-59,6
梅毒,2003,2,新北市,M,否,60-64,3
梅毒,2003,2,新北市,M,否,65-69,2
梅毒,2003,2,新北市,M,否,70+,5
梅毒,2003,2,桃園市,F,否,25-29,2
梅毒,2003,2,桃園市,F,否,40-44,1
梅毒,2003,2,桃園市,F,否,45-49,1
梅毒,2003,2,桃園市,F,否,50-54,1
梅毒,2003,2,桃園市,F,否,65-69,1
梅毒,2003,2,桃園市,M,否,25-29,1
梅毒,2003,2,桃園市,M,否,30-34,3
梅毒,2003,2,桃園市,M,否,35-39,2
梅毒,2003,2,桃園市,M,否,40-44,1
梅毒,2003,2,桃園市,M,否,60-64,2
梅毒,2003,2,桃園市,M,否,70+,1
梅毒,2003,2,新竹縣,F,否,45-49,1
梅毒,2003,2,新竹縣,M,否,20-24,1
梅毒,2003,2,新竹縣,M,否,40-44,1
梅毒,2003,2,新竹縣,M,否,45-49,1
梅毒,2003,2,新竹縣,M,否,70+,1
梅毒,2003,2,宜蘭縣,F,否,40-44,1
梅毒,2003,2,宜蘭縣,M,否,20-24,2
梅毒,2003,2,宜蘭縣,M,否,35-39,1
梅毒,2003,2,宜蘭縣,M,否,45-49,1
梅毒,2003,2,宜蘭縣,M,否,60-64,1
梅毒,2003,2,宜蘭縣,M,否,70+,1
梅毒,2003,2,苗栗縣,F,否,70+,1
梅毒,2003,2,苗栗縣,F,是,25-29,1
梅毒,2003,2,苗栗縣,M,否,25-29,1
梅毒,2003,2,苗栗縣,M,否,35-39,1
梅毒,2003,2,苗栗縣,M,否,40-44,1
梅毒,2003,2,苗栗縣,M,否,60-64,1
梅毒,2003,2,台中縣(舊),M,否,15-19,1
梅毒,2003,2,台中縣(舊),M,否,45-49,1
梅毒,2003,2,彰化縣,F,否,20-24,1
梅毒,2003,2,彰化縣,F,否,60-64,1
梅毒,2003,2,彰化縣,M,否,35-39,1
梅毒,2003,2,彰化縣,M,否,40-44,2
梅毒,2003,2,彰化縣,M,否,45-49,1
梅毒,2003,2,南投縣,F,否,20-24,1
梅毒,2003,2,南投縣,M,否,55-59,1
梅毒,2003,2,雲林縣,M,否,15-19,1
梅毒,2003,2,雲林縣,M,否,20-24,1
梅毒,2003,2,雲林縣,M,否,35-39,1
梅毒,2003,2,雲林縣,M,否,60-64,2
梅毒,2003,2,嘉義縣,M,否,25-29,1
梅毒,2003,2,嘉義縣,M,否,30-34,1
梅毒,2003,2,台南縣(舊),M,否,30-34,1
梅毒,2003,2,高雄縣(舊),F,否,35-39,1
梅毒,2003,2,高雄縣(舊),M,否,50-54,1
梅毒,2003,2,屏東縣,F,否,30-34,1
梅毒,2003,2,屏東縣,F,否,45-49,3
梅毒,2003,2,屏東縣,F,否,70+,1
梅毒,2003,2,屏東縣,M,否,25-29,2
梅毒,2003,2,屏東縣,M,否,30-34,1
梅毒,2003,2,屏東縣,M,否,35-39,2
梅毒,2003,2,屏東縣,M,否,40-44,1
梅毒,2003,2,屏東縣,M,否,45-49,1
梅毒,2003,2,屏東縣,M,否,50-54,1
梅毒,2003,2,屏東縣,M,否,55-59,1
梅毒,2003,2,屏東縣,M,否,60-64,1
梅毒,2003,2,澎湖縣,F,否,20-24,1
梅毒,2003,2,花蓮縣,F,否,40-44,1
梅毒,2003,2,花蓮縣,M,否,55-59,1
梅毒,2003,2,台東縣,F,否,35-39,1
梅毒,2003,2,台東縣,M,否,25-29,1
梅毒,2003,2,連江縣,M,否,55-59,1
梅毒,2003,3,台北市,F,否,20-24,2
梅毒,2003,3,台北市,F,否,25-29,1
梅毒,2003,3,台北市,F,否,30-34,3
梅毒,2003,3,台北市,F,否,35-39,3
梅毒,2003,3,台北市,F,否,40-44,2
梅毒,2003,3,台北市,F,否,45-49,1
梅毒,2003,3,台北市,F,否,55-59,4
梅毒,2003,3,台北市,F,否,60-64,1
梅毒,2003,3,台北市,F,否,65-69,4
梅毒,2003,3,台北市,F,否,70+,3
梅毒,2003,3,台北市,M,否,15-19,1
梅毒,2003,3,台北市,M,否,20-24,2
梅毒,2003,3,台北市,M,否,25-29,5
梅毒,2003,3,台北市,M,否,30-34,2
梅毒,2003,3,台北市,M,否,35-39,4
梅毒,2003,3,台北市,M,否,40-44,3
梅毒,2003,3,台北市,M,否,45-49,2
梅毒,2003,3,台北市,M,否,50-54,1
梅毒,2003,3,台北市,M,否,55-59,2
梅毒,2003,3,台北市,M,否,60-64,3
梅毒,2003,3,台北市,M,否,65-69,2
梅毒,2003,3,台北市,M,否,70+,6
梅毒,2003,3,台中市,F,否,25-29,1
梅毒,2003,3,台中市,F,否,35-39,3
梅毒,2003,3,台中市,F,否,45-49,1
梅毒,2003,3,台中市,F,否,50-54,1
梅毒,2003,3,台中市,F,否,55-59,1
梅毒,2003,3,台中市,M,否,20-24,2
梅毒,2003,3,台中市,M,否,30-34,3
梅毒,2003,3,台中市,M,否,35-39,2
梅毒,2003,3,台中市,M,否,40-44,1
梅毒,2003,3,台中市,M,否,45-49,3
梅毒,2003,3,台中市,M,否,50-54,3
梅毒,2003,3,台中市,M,否,60-64,1
梅毒,2003,3,台中市,M,否,70+,2
梅毒,2003,3,台南市,F,否,1,1
梅毒,2003,3,台南市,F,否,30-34,2
梅毒,2003,3,台南市,F,否,35-39,1
梅毒,2003,3,台南市,F,否,65-69,1
梅毒,2003,3,台南市,F,否,70+,1
梅毒,2003,3,台南市,M,否,20-24,1
梅毒,2003,3,台南市,M,否,30-34,1
梅毒,2003,3,台南市,M,否,40-44,1
梅毒,2003,3,台南市,M,否,45-49,1
梅毒,2003,3,台南市,M,否,60-64,1
梅毒,2003,3,台南市,M,否,70+,2
梅毒,2003,3,高雄市,F,否,15-19,1
梅毒,2003,3,高雄市,F,否,20-24,2
梅毒,2003,3,高雄市,F,否,25-29,2
梅毒,2003,3,高雄市,F,否,30-34,1
梅毒,2003,3,高雄市,F,否,35-39,2
梅毒,2003,3,高雄市,F,否,40-44,2
梅毒,2003,3,高雄市,F,否,45-49,3
梅毒,2003,3,高雄市,F,否,55-59,1
梅毒,2003,3,高雄市,M,否,25-29,6
梅毒,2003,3,高雄市,M,否,30-34,2
梅毒,2003,3,高雄市,M,否,35-39,4
梅毒,2003,3,高雄市,M,否,40-44,9
梅毒,2003,3,高雄市,M,否,45-49,3
梅毒,2003,3,高雄市,M,否,50-54,4
梅毒,2003,3,高雄市,M,否,55-59,2
梅毒,2003,3,高雄市,M,否,60-64,2
梅毒,2003,3,高雄市,M,否,65-69,1
梅毒,2003,3,高雄市,M,否,70+,2
梅毒,2003,3,基隆市,F,否,40-44,1
梅毒,2003,3,基隆市,F,否,60-64,1
梅毒,2003,3,基隆市,F,否,70+,1
梅毒,2003,3,基隆市,F,是,20-24,1
梅毒,2003,3,基隆市,F,是,25-29,1
梅毒,2003,3,基隆市,F,是,30-34,1
梅毒,2003,3,基隆市,M,否,0,1
梅毒,2003,3,基隆市,M,否,25-29,1
梅毒,2003,3,基隆市,M,否,30-34,1
梅毒,2003,3,基隆市,M,否,35-39,1
梅毒,2003,3,基隆市,M,否,70+,1
梅毒,2003,3,新竹市,F,否,35-39,1
梅毒,2003,3,新竹市,F,否,40-44,1
梅毒,2003,3,新竹市,M,否,0,1
梅毒,2003,3,新竹市,M,否,20-24,1
梅毒,2003,3,新竹市,M,否,30-34,1
梅毒,2003,3,新竹市,M,否,50-54,1
梅毒,2003,3,嘉義市,F,否,50-54,1
梅毒,2003,3,嘉義市,F,否,55-59,1
梅毒,2003,3,嘉義市,M,否,30-34,1
梅毒,2003,3,新北市,F,否,25-29,2
梅毒,2003,3,新北市,F,否,30-34,4
梅毒,2003,3,新北市,F,否,35-39,3
梅毒,2003,3,新北市,F,否,40-44,3
梅毒,2003,3,新北市,F,否,45-49,1
梅毒,2003,3,新北市,F,否,50-54,3
梅毒,2003,3,新北市,F,否,55-59,3
梅毒,2003,3,新北市,F,否,60-64,2
梅毒,2003,3,新北市,F,否,65-69,1
梅毒,2003,3,新北市,F,否,70+,4
梅毒,2003,3,新北市,M,否,20-24,3
梅毒,2003,3,新北市,M,否,25-29,7
梅毒,2003,3,新北市,M,否,30-34,3
梅毒,2003,3,新北市,M,否,35-39,3
梅毒,2003,3,新北市,M,否,40-44,4
梅毒,2003,3,新北市,M,否,45-49,4
梅毒,2003,3,新北市,M,否,50-54,1
梅毒,2003,3,新北市,M,否,55-59,4
梅毒,2003,3,新北市,M,否,60-64,1
梅毒,2003,3,新北市,M,否,65-69,3
梅毒,2003,3,新北市,M,否,70+,6
梅毒,2003,3,桃園市,F,否,20-24,4
梅毒,2003,3,桃園市,F,否,25-29,1
梅毒,2003,3,桃園市,F,否,30-34,1
梅毒,2003,3,桃園市,F,否,40-44,1
梅毒,2003,3,桃園市,F,否,45-49,1
梅毒,2003,3,桃園市,F,否,50-54,1
梅毒,2003,3,桃園市,F,否,55-59,1
梅毒,2003,3,桃園市,F,否,70+,2
梅毒,2003,3,桃園市,M,否,20-24,2
梅毒,2003,3,桃園市,M,否,25-29,1
梅毒,2003,3,桃園市,M,否,35-39,2
梅毒,2003,3,桃園市,M,否,40-44,2
梅毒,2003,3,桃園市,M,否,45-49,2
梅毒,2003,3,桃園市,M,否,50-54,1
梅毒,2003,3,桃園市,M,否,65-69,1
梅毒,2003,3,桃園市,M,否,70+,5
梅毒,2003,3,新竹縣,F,否,20-24,1
梅毒,2003,3,新竹縣,F,否,30-34,1
梅毒,2003,3,新竹縣,F,否,50-54,1
梅毒,2003,3,新竹縣,F,否,60-64,1
梅毒,2003,3,新竹縣,F,否,70+,1
梅毒,2003,3,新竹縣,M,否,25-29,1
梅毒,2003,3,新竹縣,M,否,35-39,1
梅毒,2003,3,新竹縣,M,否,40-44,1
梅毒,2003,3,新竹縣,M,否,65-69,3
梅毒,2003,3,宜蘭縣,F,否,70+,2
梅毒,2003,3,宜蘭縣,M,否,25-29,1
梅毒,2003,3,宜蘭縣,M,否,35-39,1
梅毒,2003,3,苗栗縣,F,否,0,1
梅毒,2003,3,苗栗縣,F,是,15-19,1
梅毒,2003,3,苗栗縣,M,否,25-29,1
梅毒,2003,3,苗栗縣,M,否,30-34,2
梅毒,2003,3,彰化縣,F,否,30-34,1
梅毒,2003,3,彰化縣,M,否,20-24,2
梅毒,2003,3,彰化縣,M,否,30-34,2
梅毒,2003,3,彰化縣,M,否,35-39,1
梅毒,2003,3,彰化縣,M,否,40-44,1
梅毒,2003,3,彰化縣,M,否,45-49,2
梅毒,2003,3,南投縣,M,否,40-44,1
梅毒,2003,3,南投縣,M,否,70+,2
梅毒,2003,3,雲林縣,F,否,30-34,1
梅毒,2003,3,雲林縣,M,否,40-44,1
梅毒,2003,3,雲林縣,M,否,50-54,1
梅毒,2003,3,嘉義縣,M,否,50-54,3
梅毒,2003,3,台南縣(舊),M,否,50-54,1
梅毒,2003,3,高雄縣(舊),F,否,55-59,1
梅毒,2003,3,高雄縣(舊),M,否,30-34,3
梅毒,2003,3,高雄縣(舊),M,否,40-44,1
梅毒,2003,3,高雄縣(舊),M,否,60-64,1
梅毒,2003,3,屏東縣,F,否,20-24,1
梅毒,2003,3,屏東縣,F,否,30-34,3
梅毒,2003,3,屏東縣,F,否,50-54,1
梅毒,2003,3,屏東縣,M,否,0,1
梅毒,2003,3,屏東縣,M,否,15-19,3
梅毒,2003,3,屏東縣,M,否,20-24,1
梅毒,2003,3,澎湖縣,F,否,45-49,1
梅毒,2003,3,澎湖縣,M,否,35-39,1
梅毒,2003,3,花蓮縣,F,否,30-34,1
梅毒,2003,3,花蓮縣,F,否,40-44,1
梅毒,2003,3,花蓮縣,F,否,50-54,1
梅毒,2003,3,花蓮縣,M,否,25-29,1
梅毒,2003,3,花蓮縣,M,否,30-34,2
梅毒,2003,3,花蓮縣,M,否,35-39,3
梅毒,2003,3,花蓮縣,M,否,55-59,1
梅毒,2003,3,台東縣,F,否,30-34,1
梅毒,2003,3,台東縣,M,否,35-39,2
梅毒,2003,3,台東縣,M,否,50-54,1
梅毒,2003,3,台東縣,M,否,65-69,1
梅毒,2003,4,台北市,F,否,15-19,1
梅毒,2003,4,台北市,F,否,25-29,1
梅毒,2003,4,台北市,F,否,30-34,4
梅毒,2003,4,台北市,F,否,35-39,2
梅毒,2003,4,台北市,F,否,45-49,1
梅毒,2003,4,台北市,F,否,50-54,1
梅毒,2003,4,台北市,F,否,60-64,2
梅毒,2003,4,台北市,F,否,65-69,1
梅毒,2003,4,台北市,F,否,70+,3
梅毒,2003,4,台北市,M,否,15-19,2
梅毒,2003,4,台北市,M,否,20-24,1
梅毒,2003,4,台北市,M,否,25-29,9
梅毒,2003,4,台北市,M,否,30-34,4
梅毒,2003,4,台北市,M,否,35-39,3
梅毒,2003,4,台北市,M,否,40-44,2
梅毒,2003,4,台北市,M,否,45-49,3
梅毒,2003,4,台北市,M,否,50-54,3
梅毒,2003,4,台北市,M,否,55-59,4
梅毒,2003,4,台北市,M,否,60-64,1
梅毒,2003,4,台北市,M,否,65-69,2
梅毒,2003,4,台北市,M,否,70+,10
梅毒,2003,4,高雄市(舊),M,否,25-29,1
梅毒,2003,4,高雄市(舊),M,否,40-44,1
梅毒,2003,4,台中市,F,否,30-34,1
梅毒,2003,4,台中市,F,否,70+,1
梅毒,2003,4,台中市,F,是,25-29,1
梅毒,2003,4,台中市,M,否,30-34,1
梅毒,2003,4,台中市,M,否,35-39,1
梅毒,2003,4,台中市,M,否,50-54,1
梅毒,2003,4,台中市,M,否,70+,1
梅毒,2003,4,台南市,F,否,35-39,1
梅毒,2003,4,台南市,F,否,40-44,1
梅毒,2003,4,台南市,F,否,70+,1
梅毒,2003,4,台南市,M,否,25-29,1
梅毒,2003,4,台南市,M,否,30-34,3
梅毒,2003,4,台南市,M,否,35-39,2
梅毒,2003,4,台南市,M,否,40-44,1
梅毒,2003,4,台南市,M,否,45-49,1
梅毒,2003,4,台南市,M,否,50-54,2
梅毒,2003,4,台南市,M,否,70+,2
梅毒,2003,4,高雄市,F,否,20-24,3
梅毒,2003,4,高雄市,F,否,30-34,1
梅毒,2003,4,高雄市,F,否,35-39,2
梅毒,2003,4,高雄市,F,否,40-44,2
梅毒,2003,4,高雄市,F,否,45-49,2
梅毒,2003,4,高雄市,F,否,50-54,1
