項目,實施縣市,鄉鎮市區,接種時程,備註
山地鄉,屏東縣,瑪家鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
山地鄉,屏東縣,霧台鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
山地鄉,台東縣,延平鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
山地鄉,台東縣,金峰鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
山地鄉,台東縣,海端鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
山地鄉,台東縣,達仁鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
山地鄉,台東縣,蘭嶼鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
山地鄉,花蓮縣,秀林鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
山地鄉,花蓮縣,卓溪鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
山地鄉,花蓮縣,萬榮鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
鄰近山地鄉之平地鄉鎮,屏東縣,琉球鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
鄰近山地鄉之平地鄉鎮,台東縣,池上鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
鄰近山地鄉之平地鄉鎮,台東縣,卑南鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
鄰近山地鄉之平地鄉鎮,台東縣,關山鎮,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
鄰近山地鄉之平地鄉鎮,花蓮縣,玉里鎮,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
鄰近山地鄉之平地鄉鎮,花蓮縣,吉安鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
鄰近山地鄉之平地鄉鎮,花蓮縣,新城鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
鄰近山地鄉之平地鄉鎮,花蓮縣,瑞穗鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
鄰近山地鄉之平地鄉鎮,花蓮縣,壽豐鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
金馬地區,金門縣,全部,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
金馬地區,連江縣,全部,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
常規接種,其他地區,全部,出生滿12-15個月接種第1劑，間隔至少6個月接種第2劑。,民國106年1月1日（含）以後出生，年滿12個月以上之幼兒。
