確定病名,發病年份,發病週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,感染國別,縣市別代碼,鄉鎮別代碼,感染國別代碼
061,2001,4,新北市,新店區,,1,30~34,1,馬來西亞,65000,65000060,458
061,2001,5,新北市,新店區,M,1,10~14,1,菲律賓,65000,65000060,608
055,2001,6,台北市,內湖區,F,1,25~29,1,中國,63000,63000100,156
006,2001,6,台中市,西屯區,F,1,30~34,1,印尼,66000,66000060,360
061,2001,6,台中市,豐原區,F,1,20~24,1,印尼,66000,66000090,360
084,2001,8,高雄市,前鎮區,M,1,45~49,1,印度,64000,64000090,356
006,2001,8,高雄市,楠梓區,M,1,25~29,2,菲律賓,64000,64000040,608
061,2001,8,新北市,板橋區,M,1,35~39,1,柬埔寨,65000,65000010,116
084,2001,9,台北市,大安區,M,1,55~59,1,馬拉威,63000,63000030,454
055,2001,9,新北市,中和區,F,1,3,1,中國,65000,65000030,156
006,2001,9,台中市,西屯區,F,1,25~29,1,印尼,66000,66000060,360
084,2001,10,新竹縣,湖口鄉,M,1,40~44,1,印尼,10004,10004050,360
061,2001,10,台東縣,台東市,F,1,55~59,1,印尼,10014,10014010,360
006,2001,10,台中市,南屯區,F,1,25~29,1,菲律賓,66000,66000070,608
006,2001,10,台中市,西區,F,1,25~29,1,印尼,66000,66000040,360
006,2001,11,台中市,西屯區,F,1,25~29,1,印尼,66000,66000060,360
0701,2001,13,新竹市,北區,M,1,20~24,1,未知,10018,10018020,000
084,2001,16,台北市,士林區,M,1,25~29,1,印尼,63000,63000110,360
084,2001,17,新北市,中和區,F,1,35~39,1,緬甸,65000,65000030,104
006,2001,17,台中市,中區,F,1,30~34,1,印尼,66000,66000010,360
084,2001,18,嘉義市,東區,F,1,50~54,1,緬甸,10020,10020010,104
061,2001,18,台北市,中山區,F,1,20~24,1,泰國,63000,63000040,764
084,2001,18,其他,其他,M,1,20~24,1,印度,99999,99999999,356
061,2001,19,彰化縣,員林市,F,1,15~19,1,越南,10007,10007100,704
084,2001,19,新北市,新店區,M,1,35~39,1,緬甸,65000,65000060,104
084,2001,20,台北市,信義區,M,1,50~54,1,象牙海岸,63000,63000020,384
084,2001,20,台北市,大安區,M,1,50~54,1,加納,63000,63000030,288
084,2001,22,彰化縣,彰化市,F,1,20~24,1,印尼,10007,10007010,360
061,2001,22,台北市,信義區,M,1,70+,1,泰國,63000,63000020,764
002,2001,22,新北市,新店區,M,1,25~29,1,印尼,65000,65000060,360
006,2001,22,台中市,北屯區,M,1,30~34,1,菲律賓,66000,66000080,608
084,2001,23,彰化縣,伸港鄉,M,1,30~34,1,泰國,10007,10007050,764
006,2001,23,高雄市,大樹區,F,1,25~29,1,印尼,64000,64000150,360
061,2001,23,台南市,東區,F,1,55~59,1,印尼,67000,67000320,360
061,2001,24,南投縣,竹山鎮,M,1,40~44,1,泰國,10008,10008040,764
084,2001,24,台東縣,台東市,M,1,70+,1,中國,10014,10014010,156
061,2001,24,台北市,北投區,M,1,65~69,1,緬甸,63000,63000120,104
7710,2001,24,高雄市,三民區,F,1,0,1,越南,64000,64000050,704
7710,2001,24,高雄市,三民區,F,1,0,1,越南,64000,64000051,704
7710,2001,24,高雄市,三民區,F,1,0,1,越南,64000,64000052,704
006,2001,24,台中市,北屯區,F,1,20~24,1,越南,66000,66000080,704
084,2001,24,台中市,潭子區,M,1,50~54,1,馬達加斯加,66000,66000170,450
006,2001,24,台中市,西區,M,1,30~34,1,菲律賓,66000,66000040,608
084,2001,25,新北市,板橋區,F,1,25~29,1,中國,65000,65000010,156
006,2001,25,台中市,北區,F,1,20~24,1,印尼,66000,66000050,360
030,2001,25,台南市,南區,F,1,20~24,1,越南,67000,67000330,704
061,2001,26,高雄市,左營區,F,1,20~24,1,柬埔寨,64000,64000030,116
006,2001,26,高雄市,左營區,M,1,30~34,1,中國,64000,64000030,156
061,2001,27,嘉義縣,水上鄉,M,1,35~39,1,尼泊爾,10010,10010120,524
084,2001,27,台北市,中山區,F,1,25~29,1,印尼,63000,63000040,360
061,2001,27,台北市,內湖區,F,1,25~29,1,泰國,63000,63000100,764
061,2001,28,彰化縣,和美鎮,M,1,30~34,1,菲律賓,10007,10007030,608
061,2001,28,台北市,中正區,F,1,40~44,1,泰國,63000,63000050,764
055,2001,28,台北市,南港區,M,1,0,1,中國,63000,63000090,156
061,2001,28,高雄市,小港區,M,1,65~69,1,緬甸,64000,64000110,104
061,2001,28,新北市,板橋區,F,1,5~9,1,緬甸,65000,65000010,104
061,2001,29,宜蘭縣,宜蘭市,F,1,35~39,1,泰國,10002,10002010,764
061,2001,29,台北市,內湖區,M,1,40~44,1,印尼,63000,63000100,360
084,2001,29,台北市,南港區,F,1,35~39,1,印尼,63000,63000090,360
061,2001,29,高雄市,苓雅區,F,1,20~24,1,泰國,64000,64000080,764
061,2001,29,高雄市,鳳山區,M,1,50~54,1,緬甸,64000,64000120,104
006,2001,29,台中市,北屯區,F,1,30~34,1,印尼,66000,66000080,360
061,2001,30,彰化縣,彰化市,F,1,40~44,1,菲律賓,10007,10007010,608
061,2001,30,新北市,土城區,F,1,30~34,1,緬甸,65000,65000130,104
061,2001,30,新北市,土城區,M,1,20~24,1,緬甸,65000,65000130,104
061,2001,31,彰化縣,大城鄉,F,1,25~29,1,印尼,10007,10007240,360
061,2001,31,雲林縣,斗南鎮,M,1,65~69,1,泰國,10009,10009020,764
061,2001,31,台北市,文山區,F,1,40~44,1,泰國,63000,63000080,764
061,2001,31,台北市,文山區,F,1,40~44,1,泰國,63000,63000081,764
061,2001,31,台北市,文山區,F,1,40~44,1,泰國,63000,63000082,764
061,2001,31,高雄市,三民區,F,1,50~54,1,緬甸,64000,64000050,104
061,2001,31,高雄市,三民區,F,1,50~54,1,緬甸,64000,64000051,104
061,2001,31,高雄市,三民區,F,1,50~54,1,緬甸,64000,64000052,104
061,2001,31,新北市,中和區,M,1,45~49,1,緬甸,65000,65000030,104
006,2001,32,台中市,南屯區,M,1,25~29,1,菲律賓,66000,66000070,608
061,2001,33,宜蘭縣,蘇澳鎮,F,1,40~44,1,印尼,10002,10002030,360
061,2001,33,台北市,士林區,F,1,20~24,1,厄瓜多,63000,63000110,218
061,2001,33,新北市,板橋區,M,1,40~44,1,緬甸,65000,65000010,104
006,2001,33,台中市,西區,F,1,25~29,1,菲律賓,66000,66000040,608
084,2001,34,新竹縣,竹北市,F,1,20~24,1,印尼,10004,10004010,360
061,2001,34,嘉義市,東區,F,1,45~49,1,泰國,10020,10020010,764
061,2001,34,新北市,板橋區,F,1,40~44,1,泰國,65000,65000010,764
061,2001,34,台中市,大里區,M,1,10~14,1,菲律賓,66000,66000280,608
006,2001,34,台中市,潭子區,F,1,25~29,1,印尼,66000,66000170,360
006,2001,34,台中市,西屯區,M,1,25~29,1,泰國,66000,66000060,764
006,2001,34,台中市,西屯區,M,1,30~34,1,泰國,66000,66000060,764
084,2001,35,台北市,松山區,M,1,30~34,1,奈及利亞,63000,63000010,566
006,2001,35,台中市,北屯區,F,1,20~24,1,柬埔寨,66000,66000080,116
006,2001,35,台中市,北屯區,F,1,30~34,1,菲律賓,66000,66000080,608
0701,2001,36,台南市,東區,F,1,30~34,1,印尼,67000,67000320,360
006,2001,37,高雄市,三民區,M,1,30~34,1,美國,64000,64000050,840
006,2001,37,高雄市,三民區,M,1,30~34,1,美國,64000,64000051,840
006,2001,37,高雄市,三民區,M,1,30~34,1,美國,64000,64000052,840
006,2001,37,高雄市,小港區,F,1,20~24,1,印尼,64000,64000110,360
0701,2001,37,新北市,三峽區,F,1,20~24,1,菲律賓,65000,65000090,608
061,2001,37,台南市,善化區,F,1,60~64,1,泰國,67000,67000190,764
061,2001,37,台南市,永康區,M,1,30~34,1,菲律賓,67000,67000310,608
006,2001,38,屏東縣,新園鄉,M,1,30~34,1,印尼,10013,10013170,360
006,2001,38,台北市,中山區,F,1,30~34,1,印尼,63000,63000040,360
0701,2001,38,新北市,新莊區,M,1,40~44,1,中國,65000,65000050,156
084,2001,38,桃園市,龍潭區,M,1,30~34,1,緬甸,68000,68000090,104
061,2001,39,屏東縣,東港鎮,M,1,45~49,1,菲律賓,10013,10013030,608
0701,2001,39,新北市,永和區,M,1,25~29,1,美國,65000,65000040,840
006,2001,39,台中市,西屯區,M,1,20~24,1,泰國,66000,66000060,764
084,2001,39,台中市,霧峰區,M,1,40~44,1,印度,66000,66000260,356
002,2001,39,台南市,其他,M,1,35~39,1,中國,67000,67000999,156
084,2001,40,高雄市,梓官區,M,1,50~54,1,幾內亞,64000,64000290,324
061,2001,40,高雄市,苓雅區,M,1,45~49,1,美屬薩摩亞,64000,64000080,016
006,2001,40,新北市,中和區,F,1,25~29,1,印尼,65000,65000030,360
0701,2001,40,新北市,新店區,M,1,30~34,1,中國,65000,65000060,156
084,2001,40,新北市,板橋區,M,1,60~64,1,奈及利亞,65000,65000010,566
006,2001,40,新北市,樹林區,F,1,30~34,1,印尼,65000,65000070,360
0701,2001,40,台中市,大里區,F,1,20~24,1,印尼,66000,66000280,360
061,2001,40,台中市,潭子區,M,1,30~34,1,緬甸,66000,66000170,104
006,2001,40,台南市,安南區,M,1,30~34,1,泰國,67000,67000350,764
084,2001,41,彰化縣,社頭鄉,M,1,30~34,1,緬甸,10007,10007170,104
061,2001,41,高雄市,茄萣區,M,1,25~29,1,越南,64000,64000260,704
004,2001,41,新北市,土城區,F,1,25~29,1,越南,65000,65000130,704
0701,2001,41,新北市,土城區,M,1,20~24,1,中國,65000,65000130,156
061,2001,42,屏東縣,東港鎮,M,1,25~29,1,印尼,10013,10013030,360
006,2001,42,高雄市,前鎮區,M,1,25~29,1,越南,64000,64000090,704
006,2001,42,高雄市,左營區,F,1,25~29,1,薩爾瓦多,64000,64000030,222
006,2001,42,新北市,淡水區,F,1,15~19,1,越南,65000,65000100,704
0701,2001,42,台中市,西屯區,M,1,30~34,1,中國,66000,66000060,156
006,2001,43,基隆市,安樂區,F,1,25~29,1,印尼,10017,10017060,360
061,2001,43,高雄市,三民區,M,1,50~54,1,印尼,64000,64000050,360
061,2001,43,高雄市,三民區,M,1,50~54,1,印尼,64000,64000051,360
061,2001,43,高雄市,三民區,M,1,50~54,1,印尼,64000,64000052,360
006,2001,43,新北市,三芝區,F,1,30~34,1,印尼,65000,65000210,360
084,2001,43,新北市,中和區,M,1,50~54,1,奈及利亞,65000,65000030,566
061,2001,43,新北市,汐止區,F,1,70+,1,中國,65000,65000110,156
006,2001,43,台中市,西屯區,M,1,25~29,1,泰國,66000,66000060,764
006,2001,44,高雄市,左營區,M,1,20~24,1,印尼,64000,64000030,360
006,2001,44,新北市,三重區,F,1,30~34,1,印尼,65000,65000020,360
006,2001,45,台北市,文山區,F,1,30~34,1,菲律賓,63000,63000080,608
006,2001,45,台北市,文山區,F,1,30~34,1,菲律賓,63000,63000081,608
006,2001,45,台北市,文山區,F,1,30~34,1,菲律賓,63000,63000082,608
006,2001,45,高雄市,楠梓區,F,1,15~19,1,印尼,64000,64000040,360
061,2001,45,高雄市,茄萣區,F,1,20~24,1,越南,64000,64000260,704
061,2001,45,高雄市,茄萣區,F,1,3,1,越南,64000,64000260,704
006,2001,45,高雄市,鼓山區,F,1,20~24,1,印尼,64000,64000020,360
055,2001,45,新北市,三峽區,F,1,0,1,中國,65000,65000090,156
006,2001,45,新北市,汐止區,F,1,20~24,1,印尼,65000,65000110,360
002a,2001,45,新北市,汐止區,F,1,50~54,1,中國,65000,65000110,156
084,2001,46,台北市,內湖區,F,1,60~64,1,緬甸,63000,63000100,104
055,2001,46,新北市,三峽區,F,1,25~29,1,中國,65000,65000090,156
061,2001,46,新北市,淡水區,M,1,50~54,1,美屬薩摩亞,65000,65000100,016
006,2001,46,台中市,北屯區,F,1,30~34,1,印尼,66000,66000080,360
006,2001,47,台中市,北屯區,F,1,20~24,1,印尼,66000,66000080,360
006,2001,47,台中市,東區,F,1,35~39,1,菲律賓,66000,66000020,608
002,2001,48,新北市,中和區,F,1,3,1,印尼,65000,65000030,360
006,2001,48,新北市,樹林區,M,1,40~44,1,泰國,65000,65000070,764
006,2001,48,台中市,南區,F,1,25~29,1,印尼,66000,66000030,360
004,2001,49,台北市,文山區,F,1,30~34,1,印尼,63000,63000080,360
004,2001,49,台北市,文山區,F,1,30~34,1,印尼,63000,63000081,360
004,2001,49,台北市,文山區,F,1,30~34,1,印尼,63000,63000082,360
006,2001,49,高雄市,前金區,F,1,30~34,1,印尼,64000,64000070,360
006,2001,49,高雄市,前鎮區,F,1,25~29,1,菲律賓,64000,64000090,608
061,2001,49,台中市,烏日區,M,1,40~44,1,新加坡,66000,66000230,702
061,2001,49,台南市,新營區,M,1,20~24,1,印尼,67000,67000010,360
002a,2001,50,宜蘭縣,冬山鄉,M,1,70+,1,中國,10002,10002080,156
002,2001,50,台北市,士林區,F,1,70+,1,印尼,63000,63000110,360
061,2001,50,高雄市,前鎮區,M,1,45~49,1,中國,64000,64000090,156
006,2001,50,新北市,淡水區,M,1,25~29,1,印尼,65000,65000100,360
084,2001,50,台中市,梧棲區,M,1,45~49,1,巴布亞紐幾內亞,66000,66000140,598
006,2001,51,屏東縣,屏東市,F,1,20~24,1,越南,10013,10013010,704
006,2001,51,高雄市,永安區,M,1,35~39,1,泰國,64000,64000270,764
006,2001,51,新北市,鶯歌區,M,1,25~29,1,越南,65000,65000080,704
061,2001,51,台中市,南屯區,M,1,40~44,1,菲律賓,66000,66000070,608
006,2002,1,高雄市,苓雅區,F,1,25~29,1,印尼,64000,64000080,360
006,2002,2,雲林縣,麥寮鄉,M,1,30~34,1,泰國,10009,10009130,764
004,2002,2,台北市,中山區,F,1,70+,1,寮國,63000,63000040,418
061,2002,2,台北市,士林區,F,1,50~54,1,柬埔寨,63000,63000110,116
006,2002,2,台北市,文山區,F,1,20~24,1,印尼,63000,63000080,360
006,2002,2,台北市,文山區,F,1,20~24,1,印尼,63000,63000081,360
006,2002,2,台北市,文山區,F,1,20~24,1,印尼,63000,63000082,360
006,2002,2,高雄市,前鎮區,M,1,30~34,1,泰國,64000,64000090,764
006,2002,2,新北市,樹林區,F,1,25~29,1,印尼,65000,65000070,360
0701,2002,2,新北市,汐止區,M,1,25~29,1,中國,65000,65000110,156
006,2002,2,台中市,北區,F,1,30~34,1,印尼,66000,66000050,360
006,2002,2,台南市,七股區,F,1,20~24,1,印尼,67000,67000150,360
006,2002,3,雲林縣,二崙鄉,F,1,25~29,1,印尼,10009,10009110,360
061,2002,3,屏東縣,琉球鄉,F,1,40~44,1,印尼,10013,10013220,360
006,2002,3,新竹市,東區,F,1,25~29,1,越南,10018,10018010,704
061,2002,3,台北市,中山區,F,1,25~29,1,印尼,63000,63000040,360
006,2002,3,高雄市,前鎮區,F,1,25~29,1,泰國,64000,64000090,764
006,2002,3,高雄市,前鎮區,M,1,30~34,1,泰國,64000,64000090,764
006,2002,3,新北市,新莊區,F,1,25~29,1,越南,65000,65000050,704
084,2002,3,桃園市,平鎮區,M,1,30~34,1,奈及利亞,68000,68000100,566
061,2002,4,台北市,中山區,M,1,20~24,1,泰國,63000,63000040,764
006,2002,4,台中市,西屯區,F,1,30~34,1,印尼,66000,66000060,360
006,2002,5,苗栗縣,後龍鎮,F,1,35~39,1,印尼,10005,10005060,360
006,2002,5,新竹市,香山區,M,1,20~24,1,越南,10018,10018030,704
061,2002,5,台北市,大安區,F,1,30~34,1,泰國,63000,63000030,764
006,2002,5,高雄市,左營區,F,1,25~29,1,泰國,64000,64000030,764
061,2002,5,高雄市,新興區,M,1,25~29,1,印尼,64000,64000060,360
006,2002,5,台中市,北屯區,M,1,15~19,1,印尼,66000,66000080,360
006,2002,5,台南市,南區,F,1,35~39,1,菲律賓,67000,67000330,608
006,2002,5,台南市,永康區,M,1,30~34,1,泰國,67000,67000310,764
006,2002,5,桃園市,中壢區,M,1,30~34,1,泰國,68000,68000020,764
002,2002,6,新北市,中和區,F,1,40~44,1,緬甸,65000,65000030,104
006,2002,6,台中市,東區,F,1,20~24,1,印尼,66000,66000020,360
006,2002,6,桃園市,中壢區,F,1,30~34,1,印尼,68000,68000020,360
084,2002,7,彰化縣,花壇鄉,M,1,60~64,1,馬拉威,10007,10007080,454
061,2002,7,台中市,北屯區,F,1,40~44,1,印尼,66000,66000080,360
006,2002,8,新竹市,北區,F,1,25~29,1,印尼,10018,10018020,360
084,2002,9,台北市,中山區,M,1,25~29,1,印度,63000,63000040,356
006,2002,9,台北市,大安區,M,1,1,1,越南,63000,63000030,704
006,2002,9,新北市,板橋區,F,1,25~29,1,印尼,65000,65000010,360
006,2002,9,新北市,汐止區,F,1,25~29,1,印尼,65000,65000110,360
006,2002,9,台中市,北屯區,F,1,15~19,1,印尼,66000,66000080,360
006,2002,9,台中市,北屯區,M,1,35~39,1,美國,66000,66000080,840
055,2002,9,台中市,潭子區,F,1,0,1,菲律賓,66000,66000170,608
006,2002,9,台中市,西屯區,M,1,25~29,1,菲律賓,66000,66000060,608
004,2002,9,桃園市,平鎮區,F,1,30~34,1,緬甸,68000,68000100,104
006,2002,9,桃園市,新屋區,M,1,25~29,1,菲律賓,68000,68000110,608
006,2002,9,桃園市,觀音區,F,1,20~24,1,越南,68000,68000120,704
084,2002,10,南投縣,南投市,M,1,35~39,1,聖多美和普林西比,10008,10008010,678
006,2002,10,南投縣,國姓鄉,F,1,20~24,1,印尼,10008,10008100,360
006,2002,10,基隆市,中正區,F,1,25~29,1,印尼,10017,10017010,360
006,2002,10,台南市,善化區,F,1,25~29,1,印尼,67000,67000190,360
002,2002,10,桃園市,大溪區,F,1,20~24,1,印尼,68000,68000030,360
084,2002,11,嘉義市,西區,M,1,50~54,1,馬來西亞,10020,10020020,458
061,2002,11,台北市,中正區,F,1,20~24,1,泰國,63000,63000050,764
084,2002,11,高雄市,岡山區,M,1,45~49,1,馬拉威,64000,64000190,454
006,2002,12,嘉義縣,大林鎮,F,1,35~39,1,越南,10010,10010040,704
006,2002,12,台北市,松山區,F,1,20~24,1,印尼,63000,63000010,360
061,2002,13,彰化縣,溪湖鎮,M,1,30~34,1,印尼,10007,10007110,360
030,2002,13,嘉義縣,六腳鄉,F,1,30~34,1,印尼,10010,10010080,360
084,2002,13,台北市,信義區,M,1,45~49,1,越南,63000,63000020,704
006,2002,13,台中市,南區,F,1,20~24,1,印尼,66000,66000030,360
006,2002,14,新竹縣,竹北市,M,1,30~34,1,菲律賓,10004,10004010,608
061,2002,14,新北市,土城區,M,1,25~29,1,印尼,65000,65000130,360
002a,2002,14,台中市,南區,M,1,40~44,1,中國,66000,66000030,156
006,2002,14,台南市,安南區,F,1,25~29,1,印尼,67000,67000350,360
061,2002,15,台北市,士林區,F,1,25~29,1,泰國,63000,63000110,764
061,2002,15,台北市,士林區,F,1,5~9,1,泰國,63000,63000110,764
061,2002,15,台北市,士林區,M,1,40~44,1,泰國,63000,63000110,764
084,2002,15,高雄市,前鎮區,M,1,25~29,1,印尼,64000,64000090,360
061,2002,15,台中市,北屯區,M,1,20~24,1,印尼,66000,66000080,360
006,2002,16,嘉義縣,番路鄉,F,1,20~24,1,印尼,10010,10010160,360
002,2002,16,台北市,北投區,F,1,25~29,1,印尼,63000,63000120,360
001,2002,16,高雄市,仁武區,F,1,35~39,1,印尼,64000,64000170,360
002,2002,16,高雄市,苓雅區,F,1,25~29,1,印尼,64000,64000080,360
030,2002,16,新北市,五股區,F,1,30~34,1,印尼,65000,65000150,360
084,2002,16,台中市,其他,M,1,50~54,1,莫三比克,66000,66000999,508
0701,2002,16,台中市,豐原區,F,1,25~29,1,中國,66000,66000090,156
001,2002,16,台南市,東區,F,1,30~34,1,印尼,67000,67000320,360
004,2002,16,桃園市,中壢區,F,1,1,1,越南,68000,68000020,704
0701,2002,16,桃園市,大溪區,F,1,25~29,1,印尼,68000,68000030,360
002,2002,16,桃園市,龜山區,F,1,25~29,1,印尼,68000,68000070,360
006,2002,17,雲林縣,台西鄉,F,1,30~34,1,印尼,10009,10009160,360
084,2002,18,基隆市,信義區,M,1,45~49,1,緬甸,10017,10017070,104
0701,2002,18,台北市,內湖區,M,1,35~39,1,中國,63000,63000100,156
006,2002,18,台北市,北投區,M,1,35~39,1,馬來西亞,63000,63000120,458
084,2002,18,高雄市,美濃區,M,1,30~34,1,印尼,64000,64000310,360
061,2002,18,高雄市,苓雅區,F,1,25~29,1,泰國,64000,64000080,764
061,2002,18,台南市,東區,F,1,35~39,1,越南,67000,67000320,704
006,2002,19,台北市,大安區,M,1,40~44,1,中國,63000,63000030,156
084,2002,19,新北市,板橋區,M,1,45~49,1,馬來西亞,65000,65000010,458
006,2002,20,台北市,萬華區,F,1,25~29,1,中國,63000,63000070,156
006,2002,20,台北市,萬華區,F,1,25~29,1,中國,63000,63000071,156
006,2002,20,台北市,萬華區,F,1,25~29,1,中國,63000,63000072,156
006,2002,20,台中市,北屯區,F,1,20~24,1,印尼,66000,66000080,360
006,2002,21,雲林縣,斗六市,F,1,25~29,1,印尼,10009,10009010,360
006,2002,21,桃園市,蘆竹區,M,1,25~29,1,菲律賓,68000,68000050,608
006,2002,21,桃園市,蘆竹區,M,1,25~29,1,泰國,68000,68000050,764
061,2002,22,新北市,汐止區,F,1,55~59,1,泰國,65000,65000110,764
061,2002,22,台南市,善化區,M,1,60~64,1,印尼,67000,67000190,360
084,2002,22,桃園市,楊梅區,M,1,45~49,1,中國,68000,68000040,156
004,2002,22,桃園市,龜山區,F,1,20~24,1,印尼,68000,68000070,360
006,2002,23,嘉義縣,溪口鄉,F,1,30~34,1,印尼,10010,10010060,360
084,2002,23,台南市,東區,M,1,45~49,1,中國,67000,67000320,156
002a,2002,23,台南市,永康區,M,1,30~34,1,中國,67000,67000310,156
006,2002,24,屏東縣,萬丹鄉,F,1,25~29,1,泰國,10013,10013050,764
084,2002,24,屏東縣,高樹鄉,M,1,45~49,1,索羅門群島,10013,10013110,090
002,2002,24,花蓮縣,花蓮市,F,1,20~24,1,中國,10015,10015010,156
084,2002,24,台北市,文山區,F,1,40~44,1,馬來西亞,63000,63000080,458
084,2002,24,台北市,文山區,F,1,40~44,1,馬來西亞,63000,63000081,458
084,2002,24,台北市,文山區,F,1,40~44,1,馬來西亞,63000,63000082,458
084,2002,24,新北市,汐止區,M,1,30~34,1,印尼,65000,65000110,360
061,2002,24,台南市,新市區,M,1,50~54,1,印尼,67000,67000200,360
084,2002,25,屏東縣,高樹鄉,M,1,40~44,1,索羅門群島,10013,10013110,090
004,2002,25,花蓮縣,吉安鄉,M,1,30~34,1,泰國,10015,10015050,764
055,2002,25,新北市,新店區,F,1,0,1,中國,65000,65000060,156
084,2002,25,新北市,板橋區,F,1,25~29,1,印尼,65000,65000010,360
061,2002,26,彰化縣,彰化市,F,1,50~54,1,柬埔寨,10007,10007010,116
071,2002,26,花蓮縣,玉里鎮,F,1,45~49,1,中國,10015,10015030,156
006,2002,26,台北市,大安區,F,1,30~34,1,印尼,63000,63000030,360
055,2002,26,新北市,中和區,M,1,0,1,中國,65000,65000030,156
002,2002,26,桃園市,觀音區,M,1,25~29,1,中國,68000,68000120,156
006,2002,26,桃園市,龜山區,F,1,25~29,1,菲律賓,68000,68000070,608
006,2002,27,苗栗縣,南庄鄉,F,1,25~29,1,印尼,10005,10005110,360
061,2002,27,屏東縣,林邊鄉,M,1,30~34,1,柬埔寨,10013,10013190,116
061,2002,27,台北市,信義區,M,1,60~64,1,緬甸,63000,63000020,104
004,2002,27,台北市,文山區,M,1,25~29,1,印尼,63000,63000080,360
004,2002,27,台北市,文山區,M,1,25~29,1,印尼,63000,63000081,360
004,2002,27,台北市,文山區,M,1,25~29,1,印尼,63000,63000082,360
006,2002,27,台中市,北屯區,F,1,20~24,1,印尼,66000,66000080,360
0812,2002,27,台中市,大雅區,M,1,30~34,1,泰國,66000,66000180,764
006,2002,28,台北市,大安區,F,1,20~24,1,印尼,63000,63000030,360
006,2002,28,高雄市,仁武區,M,1,25~29,1,泰國,64000,64000170,764
061,2002,28,台中市,北屯區,M,1,30~34,1,泰國,66000,66000080,764
004,2002,28,台中市,龍井區,M,1,10~14,1,印尼,66000,66000250,360
002,2002,28,桃園市,中壢區,M,1,25~29,1,中國,68000,68000020,156
006,2002,28,桃園市,平鎮區,F,1,35~39,1,泰國,68000,68000100,764
061,2002,29,新北市,淡水區,M,1,35~39,1,泰國,65000,65000100,764
061,2002,29,台中市,西屯區,M,1,40~44,1,越南,66000,66000060,704
004,2002,29,台中市,龍井區,F,1,15~19,1,印尼,66000,66000250,360
004,2002,29,台中市,龍井區,F,1,45~49,1,印尼,66000,66000250,360
004,2002,29,台中市,龍井區,F,1,55~59,1,印尼,66000,66000250,360
006,2002,29,桃園市,龍潭區,F,1,25~29,1,菲律賓,68000,68000090,608
055,2002,30,屏東縣,高樹鄉,F,1,25~29,1,中國,10013,10013110,156
006,2002,30,高雄市(舊),三民區,F,1,30~34,1,印尼,64000,64000050,360
002,2002,30,新北市,汐止區,F,1,40~44,1,印度,65000,65000110,356
061,2002,30,台南市,東區,M,1,40~44,1,泰國,67000,67000320,764
061,2002,31,嘉義縣,民雄鄉,M,1,55~59,1,緬甸,10010,10010050,104
061,2002,31,台北市,內湖區,F,1,45~49,1,泰國,63000,63000100,764
061,2002,31,台北市,北投區,M,1,50~54,1,菲律賓,63000,63000120,608
006,2002,32,宜蘭縣,宜蘭市,F,1,20~24,1,印尼,10002,10002010,360
055,2002,32,屏東縣,高樹鄉,M,1,0,1,中國,10013,10013110,156
056,2002,32,新竹市,北區,F,1,30~34,1,澳大利亞,10018,10018020,036
006,2002,32,台北市,士林區,F,1,25~29,1,印尼,63000,63000110,360
