確定病名,診斷年份,診斷月份,縣市,性別,非本國籍,年齡層,確定病例數,縣市別代碼
042,2004,04,新北市,M,0,50~54,1,65000
042,2004,04,台南市,F,0,15~19,1,67000
042,2004,04,台南市,M,0,30~34,1,67000
042,2004,04,桃園市,M,0,25~29,1,68000
042,2004,04,桃園市,M,0,30~34,2,68000
042,2004,04,桃園市,M,0,35~39,1,68000
042,2004,04,桃園市,M,0,40~44,1,68000
042,2004,04,桃園市,M,0,45~49,4,68000
042,2004,04,桃園市,M,0,55~59,1,68000
042,2004,05,宜蘭縣,M,0,45~49,1,10002
042,2004,05,新竹縣,M,0,60~64,1,10004
042,2004,05,彰化縣,M,0,25~29,1,10007
042,2004,05,嘉義縣,M,0,70+,1,10010
042,2004,05,花蓮縣,M,0,40~44,1,10015
042,2004,05,台北市,M,0,25~29,1,63000
042,2004,05,台北市,M,0,35~39,2,63000
042,2004,05,台北市,M,0,40~44,1,63000
042,2004,05,高雄市,M,0,30~34,1,64000
042,2004,05,高雄市,M,0,55~59,1,64000
042,2004,05,新北市,M,0,35~39,2,65000
042,2004,05,台中市,F,0,25~29,1,66000
042,2004,05,台中市,M,0,60~64,1,66000
042,2004,05,台南市,F,0,60~64,1,67000
042,2004,05,台南市,M,0,30~34,1,67000
042,2004,05,台南市,M,0,35~39,1,67000
042,2004,05,台南市,M,0,40~44,1,67000
042,2004,05,台南市,M,0,50~54,1,67000
042,2004,05,桃園市,F,0,35~39,1,68000
042,2004,05,桃園市,F,0,45~49,1,68000
042,2004,06,屏東縣,M,0,25~29,1,10013
042,2004,06,花蓮縣,M,0,25~29,3,10015
042,2004,06,花蓮縣,M,0,30~34,1,10015
042,2004,06,花蓮縣,M,0,40~44,1,10015
042,2004,06,新竹市,M,0,30~34,1,10018
042,2004,06,台北市,M,0,25~29,1,63000
042,2004,06,高雄市,M,0,20~24,1,64000
042,2004,06,高雄市,M,0,30~34,2,64000
042,2004,06,高雄市,M,0,35~39,2,64000
042,2004,06,新北市,M,0,25~29,1,65000
042,2004,06,新北市,M,0,40~44,2,65000
042,2004,06,新北市,M,0,55~59,1,65000
042,2004,06,新北市,M,0,60~64,1,65000
042,2004,06,台南市,M,0,25~29,1,67000
042,2004,06,桃園市,F,0,30~34,1,68000
042,2004,07,新竹縣,M,0,35~39,1,10004
042,2004,07,雲林縣,M,0,35~39,1,10009
042,2004,07,屏東縣,M,0,35~39,1,10013
042,2004,07,屏東縣,M,0,50~54,1,10013
042,2004,07,台東縣,M,0,30~34,1,10014
042,2004,07,嘉義市,M,0,30~34,1,10020
042,2004,07,台北市,F,0,50~54,1,63000
042,2004,07,台北市,M,0,30~34,1,63000
042,2004,07,高雄市,M,0,30~34,2,64000
042,2004,07,高雄市,M,0,35~39,2,64000
042,2004,07,新北市,M,0,35~39,1,65000
042,2004,07,新北市,M,0,40~44,1,65000
042,2004,07,台南市,M,0,30~34,1,67000
042,2004,07,台南市,M,0,35~39,1,67000
042,2004,07,台南市,M,0,70+,1,67000
042,2004,07,桃園市,M,1,35~39,1,68000
042,2004,08,苗栗縣,M,0,25~29,1,10005
042,2004,08,苗栗縣,M,0,45~49,1,10005
042,2004,08,彰化縣,M,0,25~29,1,10007
042,2004,08,南投縣,M,0,30~34,1,10008
042,2004,08,屏東縣,M,0,25~29,1,10013
042,2004,08,屏東縣,M,0,30~34,1,10013
042,2004,08,屏東縣,M,0,35~39,1,10013
042,2004,08,屏東縣,M,0,40~44,1,10013
042,2004,08,花蓮縣,M,0,30~34,1,10015
042,2004,08,花蓮縣,M,0,35~39,2,10015
042,2004,08,基隆市,M,0,35~39,1,10017
042,2004,08,台北市,F,0,35~39,1,63000
042,2004,08,台北市,M,0,30~34,6,63000
042,2004,08,台北市,M,0,40~44,1,63000
042,2004,08,高雄市,M,0,20~24,1,64000
042,2004,08,高雄市,M,0,35~39,1,64000
042,2004,08,高雄市,M,0,45~49,1,64000
042,2004,08,新北市,M,0,20~24,1,65000
042,2004,08,新北市,M,0,25~29,2,65000
042,2004,08,新北市,M,0,30~34,2,65000
042,2004,08,新北市,M,0,35~39,2,65000
042,2004,08,新北市,M,0,40~44,1,65000
042,2004,08,新北市,M,0,50~54,1,65000
042,2004,08,台中市,M,0,40~44,1,66000
042,2004,08,桃園市,M,0,40~44,1,68000
042,2004,09,宜蘭縣,M,0,25~29,1,10002
042,2004,09,彰化縣,M,0,35~39,1,10007
042,2004,09,花蓮縣,M,0,40~44,1,10015
042,2004,09,基隆市,M,0,35~39,1,10017
042,2004,09,高雄市,M,0,20~24,1,64000
042,2004,09,高雄市,M,0,35~39,1,64000
042,2004,09,高雄市,M,0,40~44,4,64000
042,2004,09,新北市,M,0,30~34,1,65000
042,2004,09,新北市,M,0,45~49,1,65000
042,2004,09,台中市,F,0,25~29,1,66000
042,2004,09,台中市,M,0,40~44,1,66000
042,2004,09,台南市,M,0,40~44,1,67000
042,2004,09,桃園市,M,0,35~39,1,68000
042,2004,09,桃園市,M,0,45~49,2,68000
042,2004,09,桃園市,M,0,50~54,1,68000
042,2004,10,彰化縣,M,0,70+,1,10007
042,2004,10,嘉義縣,M,0,35~39,1,10010
042,2004,10,屏東縣,M,0,50~54,1,10013
042,2004,10,花蓮縣,M,0,25~29,1,10015
042,2004,10,基隆市,M,0,30~34,1,10017
042,2004,10,基隆市,M,0,55~59,1,10017
042,2004,10,台北市,M,0,25~29,1,63000
042,2004,10,台北市,M,0,70+,1,63000
042,2004,10,高雄市,M,0,25~29,1,64000
042,2004,10,高雄市,M,0,50~54,3,64000
042,2004,10,新北市,F,0,35~39,1,65000
042,2004,10,新北市,M,0,25~29,1,65000
042,2004,10,新北市,M,0,30~34,1,65000
042,2004,10,新北市,M,0,45~49,1,65000
042,2004,10,新北市,M,0,50~54,1,65000
042,2004,10,新北市,M,0,70+,1,65000
042,2004,10,台中市,F,0,35~39,1,66000
042,2004,10,台中市,M,0,35~39,1,66000
042,2004,10,台中市,M,0,40~44,1,66000
042,2004,10,桃園市,M,0,30~34,1,68000
042,2004,10,桃園市,M,0,35~39,1,68000
042,2004,10,桃園市,M,0,40~44,1,68000
042,2004,11,南投縣,M,0,50~54,1,10008
042,2004,11,雲林縣,M,0,15~19,1,10009
042,2004,11,屏東縣,M,0,30~34,1,10013
042,2004,11,台北市,F,0,45~49,1,63000
042,2004,11,台北市,M,0,35~39,1,63000
042,2004,11,高雄市,M,0,25~29,1,64000
042,2004,11,高雄市,M,0,30~34,2,64000
042,2004,11,高雄市,M,0,40~44,1,64000
042,2004,11,新北市,M,0,25~29,2,65000
042,2004,11,新北市,M,0,35~39,1,65000
042,2004,11,台中市,M,0,30~34,3,66000
042,2004,11,台中市,M,0,35~39,1,66000
042,2004,11,台南市,M,0,50~54,1,67000
042,2004,11,桃園市,M,0,40~44,1,68000
042,2004,12,南投縣,M,0,40~44,1,10008
042,2004,12,屏東縣,M,0,35~39,1,10013
042,2004,12,花蓮縣,M,0,35~39,1,10015
042,2004,12,嘉義市,M,0,35~39,1,10020
042,2004,12,台北市,F,0,25~29,1,63000
042,2004,12,台北市,F,0,30~34,1,63000
042,2004,12,台北市,M,0,25~29,1,63000
042,2004,12,台北市,M,0,30~34,1,63000
042,2004,12,台北市,M,0,35~39,2,63000
042,2004,12,高雄市,M,0,20~24,2,64000
042,2004,12,高雄市,M,0,25~29,1,64000
042,2004,12,高雄市,M,0,30~34,1,64000
042,2004,12,高雄市,M,0,35~39,1,64000
042,2004,12,高雄市,M,0,45~49,1,64000
042,2004,12,新北市,M,0,30~34,1,65000
042,2004,12,新北市,M,0,35~39,3,65000
042,2004,12,新北市,M,0,40~44,1,65000
042,2004,12,新北市,M,0,45~49,1,65000
042,2004,12,台中市,M,0,30~34,1,66000
042,2004,12,台中市,M,0,50~54,1,66000
042,2004,12,台中市,M,0,60~64,1,66000
042,2004,12,台南市,M,0,25~29,1,67000
042,2004,12,台南市,M,0,55~59,1,67000
042,2004,12,桃園市,M,0,40~44,2,68000
042,2005,01,新竹縣,M,0,50~54,1,10004
042,2005,01,彰化縣,M,0,25~29,1,10007
042,2005,01,南投縣,M,0,40~44,1,10008
042,2005,01,南投縣,M,0,55~59,1,10008
042,2005,01,嘉義縣,M,0,25~29,1,10010
042,2005,01,嘉義縣,M,0,30~34,1,10010
042,2005,01,屏東縣,M,0,40~44,1,10013
042,2005,01,基隆市,M,0,25~29,1,10017
042,2005,01,新竹市,M,0,35~39,1,10018
042,2005,01,台北市,M,0,40~44,5,63000
042,2005,01,台北市,M,0,50~54,1,63000
042,2005,01,高雄市,M,0,30~34,1,64000
042,2005,01,高雄市,M,0,35~39,2,64000
042,2005,01,新北市,M,0,30~34,4,65000
042,2005,01,新北市,M,0,35~39,2,65000
042,2005,01,新北市,M,0,40~44,2,65000
042,2005,01,新北市,M,0,45~49,1,65000
042,2005,01,新北市,M,0,55~59,1,65000
042,2005,01,新北市,M,0,60~64,1,65000
042,2005,01,台中市,M,0,25~29,1,66000
042,2005,01,台中市,M,0,35~39,1,66000
042,2005,01,台南市,M,0,30~34,1,67000
042,2005,01,台南市,M,0,40~44,2,67000
042,2005,01,台南市,M,0,55~59,1,67000
042,2005,01,台南市,M,0,65~69,1,67000
042,2005,01,桃園市,M,0,30~34,1,68000
042,2005,01,桃園市,M,0,35~39,4,68000
042,2005,02,南投縣,M,0,20~24,1,10008
042,2005,02,雲林縣,M,0,35~39,1,10009
042,2005,02,嘉義縣,M,0,20~24,1,10010
042,2005,02,嘉義縣,M,0,40~44,1,10010
042,2005,02,屏東縣,M,0,35~39,1,10013
042,2005,02,花蓮縣,M,0,45~49,1,10015
042,2005,02,基隆市,M,0,40~44,1,10017
042,2005,02,台北市,M,0,30~34,4,63000
042,2005,02,台北市,M,0,35~39,2,63000
042,2005,02,台北市,M,0,40~44,1,63000
042,2005,02,高雄市,M,0,30~34,2,64000
042,2005,02,高雄市,M,0,50~54,1,64000
042,2005,02,高雄市,M,0,5~9,1,64000
042,2005,02,新北市,M,0,35~39,3,65000
042,2005,02,新北市,M,0,40~44,1,65000
042,2005,02,新北市,M,0,45~49,1,65000
042,2005,02,台南市,M,0,20~24,1,67000
042,2005,02,台南市,M,0,25~29,1,67000
042,2005,02,台南市,M,0,45~49,1,67000
042,2005,02,台南市,M,0,70+,1,67000
042,2005,02,桃園市,M,0,40~44,1,68000
042,2005,03,新竹縣,F,0,45~49,1,10004
042,2005,03,新竹縣,M,0,40~44,2,10004
042,2005,03,彰化縣,M,0,40~44,1,10007
042,2005,03,南投縣,M,0,20~24,1,10008
042,2005,03,南投縣,M,0,25~29,1,10008
042,2005,03,南投縣,M,0,60~64,1,10008
042,2005,03,南投縣,M,0,65~69,1,10008
042,2005,03,屏東縣,M,0,25~29,1,10013
042,2005,03,屏東縣,M,0,40~44,1,10013
042,2005,03,台東縣,F,0,25~29,1,10014
042,2005,03,花蓮縣,F,0,35~39,1,10015
042,2005,03,基隆市,F,0,50~54,1,10017
042,2005,03,基隆市,F,1,15~19,1,10017
042,2005,03,基隆市,M,0,65~69,1,10017
042,2005,03,新竹市,M,0,20~24,1,10018
042,2005,03,新竹市,M,0,40~44,1,10018
042,2005,03,台北市,F,0,30~34,1,63000
042,2005,03,台北市,F,0,35~39,3,63000
042,2005,03,台北市,F,0,70+,1,63000
042,2005,03,台北市,M,0,25~29,3,63000
042,2005,03,台北市,M,0,30~34,10,63000
042,2005,03,台北市,M,0,35~39,4,63000
042,2005,03,台北市,M,0,70+,3,63000
042,2005,03,高雄市,M,0,20~24,1,64000
042,2005,03,高雄市,M,0,25~29,4,64000
042,2005,03,高雄市,M,0,30~34,1,64000
042,2005,03,高雄市,M,0,35~39,5,64000
042,2005,03,高雄市,M,0,45~49,6,64000
042,2005,03,新北市,F,0,30~34,2,65000
042,2005,03,新北市,M,0,15~19,1,65000
042,2005,03,新北市,M,0,20~24,2,65000
042,2005,03,新北市,M,0,25~29,2,65000
042,2005,03,新北市,M,0,30~34,7,65000
042,2005,03,新北市,M,0,35~39,4,65000
042,2005,03,新北市,M,0,40~44,3,65000
042,2005,03,新北市,M,0,45~49,1,65000
042,2005,03,新北市,M,0,50~54,3,65000
042,2005,03,新北市,M,0,70+,1,65000
042,2005,03,台中市,M,0,30~34,1,66000
042,2005,03,台南市,M,0,25~29,2,67000
042,2005,03,台南市,M,0,30~34,1,67000
042,2005,03,台南市,M,0,55~59,1,67000
042,2005,03,桃園市,F,0,20~24,1,68000
042,2005,03,桃園市,M,0,25~29,4,68000
042,2005,04,宜蘭縣,M,0,25~29,1,10002
042,2005,04,新竹縣,M,0,30~34,1,10004
042,2005,04,苗栗縣,M,0,40~44,1,10005
042,2005,04,彰化縣,F,0,70+,1,10007
042,2005,04,雲林縣,M,0,40~44,2,10009
042,2005,04,嘉義縣,M,0,30~34,1,10010
042,2005,04,台東縣,M,0,35~39,1,10014
042,2005,04,花蓮縣,M,0,25~29,1,10015
042,2005,04,花蓮縣,M,0,40~44,1,10015
042,2005,04,花蓮縣,M,0,45~49,1,10015
042,2005,04,新竹市,M,0,25~29,1,10018
042,2005,04,新竹市,M,0,45~49,1,10018
042,2005,04,台北市,M,0,20~24,4,63000
042,2005,04,台北市,M,0,25~29,1,63000
042,2005,04,台北市,M,0,30~34,1,63000
042,2005,04,台北市,M,0,35~39,5,63000
042,2005,04,台北市,M,0,45~49,2,63000
042,2005,04,台北市,M,0,55~59,1,63000
042,2005,04,台北市,M,0,60~64,3,63000
042,2005,04,高雄市,F,0,25~29,1,64000
042,2005,04,高雄市,M,0,30~34,2,64000
042,2005,04,高雄市,M,0,35~39,2,64000
042,2005,04,高雄市,M,0,40~44,2,64000
042,2005,04,新北市,M,0,15~19,1,65000
042,2005,04,新北市,M,0,20~24,2,65000
042,2005,04,新北市,M,0,25~29,1,65000
042,2005,04,新北市,M,0,30~34,4,65000
042,2005,04,新北市,M,0,35~39,1,65000
042,2005,04,新北市,M,0,40~44,4,65000
042,2005,04,新北市,M,0,45~49,3,65000
