確定病名,建檔年份,建檔週別,縣市,鄉鎮,性別,非本國籍,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
010m,2008,11,桃園市,龍潭區,F,0,35~39,1,68000,68000090
010m,2008,11,桃園市,龍潭區,M,0,40~44,1,68000,68000090
010m,2008,12,彰化縣,鹿港鎮,M,0,70+,1,10007,10007020
010m,2008,12,新北市,三重區,M,0,30~34,1,65000,65000020
010m,2008,13,新竹縣,竹北市,F,0,70+,1,10004,10004010
010m,2008,13,苗栗縣,後龍鎮,F,0,30~34,1,10005,10005060
010m,2008,13,花蓮縣,秀林鄉,F,0,15~19,1,10015,10015110
010m,2008,13,台北市,中正區,M,0,25~29,1,63000,63000050
010m,2008,13,台北市,南港區,F,0,20~24,1,63000,63000090
010m,2008,13,新北市,新店區,M,0,50~54,1,65000,65000060
010m,2008,13,台中市,西區,M,0,50~54,1,66000,66000040
010m,2008,14,彰化縣,彰化市,F,0,45~49,1,10007,10007010
010m,2008,14,台北市,萬華區,F,0,40~44,1,63000,63000070
010m,2008,14,台北市,萬華區,F,0,40~44,1,63000,63000071
010m,2008,14,台北市,萬華區,F,0,40~44,1,63000,63000072
010m,2008,14,新北市,新莊區,M,0,30~34,1,65000,65000050
010m,2008,14,桃園市,大溪區,M,0,50~54,1,68000,68000030
010m,2008,15,彰化縣,員林市,F,0,70+,1,10007,10007100
010m,2008,15,雲林縣,西螺鎮,M,0,50~54,1,10009,10009040
010m,2008,15,花蓮縣,秀林鄉,M,0,45~49,1,10015,10015110
010m,2008,15,新北市,永和區,M,0,35~39,1,65000,65000040
010m,2008,16,苗栗縣,竹南鎮,M,0,35~39,1,10005,10005040
010m,2008,16,屏東縣,恆春鎮,M,0,50~54,1,10013,10013040
010m,2008,16,台東縣,成功鎮,M,0,55~59,1,10014,10014020
010m,2008,17,雲林縣,元長鄉,M,0,70+,1,10009,10009170
010m,2008,17,台東縣,卑南鄉,M,0,60~64,1,10014,10014040
010m,2008,17,桃園市,楊梅區,M,0,60~64,1,68000,68000040
010m,2008,18,彰化縣,員林市,M,0,55~59,1,10007,10007100
010m,2008,18,台北市,大同區,M,0,45~49,1,63000,63000060
010m,2008,18,新北市,鶯歌區,M,0,65~69,1,65000,65000080
010m,2008,19,苗栗縣,苗栗市,F,0,40~44,1,10005,10005010
010m,2008,19,南投縣,中寮鄉,M,0,50~54,1,10008,10008080
010m,2008,19,雲林縣,斗六市,M,0,20~24,1,10009,10009010
010m,2008,19,花蓮縣,花蓮市,M,0,15~19,1,10015,10015010
010m,2008,20,宜蘭縣,五結鄉,M,0,20~24,1,10002,10002090
010m,2008,20,雲林縣,東勢鄉,M,0,45~49,1,10009,10009140
010m,2008,20,台東縣,卑南鄉,M,0,65~69,1,10014,10014040
010m,2008,20,台北市,北投區,F,0,30~34,1,63000,63000120
010m,2008,20,台中市,太平區,M,0,30~34,1,66000,66000270
010m,2008,20,桃園市,桃園區,M,0,45~49,1,68000,68000010
010m,2008,21,彰化縣,溪湖鎮,M,0,70+,1,10007,10007110
010m,2008,21,雲林縣,元長鄉,M,0,60~64,1,10009,10009170
010m,2008,21,嘉義縣,溪口鄉,F,0,70+,1,10010,10010060
010m,2008,21,花蓮縣,秀林鄉,F,0,25~29,1,10015,10015110
010m,2008,21,新北市,新店區,M,0,25~29,1,65000,65000060
010m,2008,21,台中市,大肚區,F,0,35~39,1,66000,66000240
010m,2008,22,屏東縣,新園鄉,M,0,40~44,1,10013,10013170
010m,2008,23,台北市,萬華區,M,0,50~54,1,63000,63000070
010m,2008,23,台北市,萬華區,M,0,50~54,1,63000,63000071
010m,2008,23,台北市,萬華區,M,0,50~54,1,63000,63000072
010m,2008,24,新北市,三重區,M,0,55~59,1,65000,65000020
010m,2008,24,新北市,新莊區,M,0,70+,1,65000,65000050
010m,2008,24,台中市,太平區,F,0,10~14,1,66000,66000270
010m,2008,26,新北市,永和區,M,0,30~34,1,65000,65000040
010m,2008,26,新北市,瑞芳區,M,0,70+,1,65000,65000120
010m,2008,26,台中市,北屯區,M,0,20~24,1,66000,66000080
010m,2008,27,台中市,南屯區,M,1,25~29,1,66000,66000070
010m,2008,27,桃園市,桃園區,M,0,40~44,1,68000,68000010
010m,2008,28,新北市,平溪區,M,0,70+,1,65000,65000240
010m,2008,30,南投縣,信義鄉,M,0,30~34,1,10008,10008120
010m,2008,30,嘉義縣,民雄鄉,F,0,40~44,1,10010,10010050
010m,2008,30,屏東縣,屏東市,M,0,70+,1,10013,10013010
010m,2008,31,新竹縣,竹東鎮,F,0,40~44,1,10004,10004020
010m,2008,31,新北市,三重區,M,0,70+,1,65000,65000020
010m,2008,31,桃園市,觀音區,M,0,70+,1,68000,68000120
010m,2008,32,彰化縣,員林市,F,0,70+,1,10007,10007100
010m,2008,32,彰化縣,田尾鄉,M,0,45~49,1,10007,10007210
010m,2008,32,屏東縣,萬巒鄉,M,0,70+,1,10013,10013120
010m,2008,32,新北市,板橋區,M,0,30~34,1,65000,65000010
010m,2008,32,新北市,深坑區,M,0,50~54,1,65000,65000180
010m,2008,32,新北市,蘆洲區,M,0,40~44,1,65000,65000140
010m,2008,32,台南市,永康區,F,0,70+,1,67000,67000310
010m,2008,34,新竹縣,竹北市,M,0,70+,1,10004,10004010
010m,2008,34,南投縣,草屯鎮,M,0,60~64,1,10008,10008030
010m,2008,34,台南市,北門區,M,0,55~59,1,67000,67000170
010m,2008,35,新竹縣,竹北市,F,0,30~34,1,10004,10004010
010m,2008,35,高雄市,大寮區,M,0,50~54,1,64000,64000140
010m,2008,35,新北市,新店區,M,0,45~49,1,65000,65000060
010m,2008,36,新北市,五股區,F,0,55~59,1,65000,65000150
010m,2008,37,屏東縣,萬丹鄉,M,0,50~54,1,10013,10013050
010m,2008,37,新北市,板橋區,F,0,55~59,1,65000,65000010
010m,2008,37,台中市,南屯區,M,0,30~34,1,66000,66000070
010m,2008,37,台中市,西區,M,0,70+,1,66000,66000040
010m,2008,38,新北市,鶯歌區,M,0,55~59,1,65000,65000080
010m,2008,38,桃園市,楊梅區,M,0,15~19,1,68000,68000040
010m,2008,39,新竹市,東區,M,0,70+,1,10018,10018010
010m,2008,39,台北市,大同區,F,0,40~44,1,63000,63000060
010m,2008,39,新北市,新莊區,F,0,65~69,1,65000,65000050
010m,2008,39,台中市,豐原區,F,0,45~49,1,66000,66000090
010m,2008,40,屏東縣,萬巒鄉,F,0,70+,1,10013,10013120
010m,2008,42,基隆市,仁愛區,M,0,45~49,1,10017,10017040
010m,2008,43,台南市,北區,M,0,65~69,1,67000,67000340
010m,2008,44,高雄市,鼓山區,M,0,70+,1,64000,64000020
010m,2008,46,彰化縣,埔心鄉,M,0,70+,1,10007,10007150
010m,2008,46,雲林縣,虎尾鎮,M,0,70+,1,10009,10009030
010m,2008,46,基隆市,七堵區,M,0,35~39,1,10017,10017020
010m,2008,46,高雄市,大社區,F,0,20~24,1,64000,64000160
010m,2008,46,新北市,鶯歌區,M,0,45~49,1,65000,65000080
010m,2008,46,台中市,沙鹿區,M,0,40~44,1,66000,66000130
010m,2008,47,高雄市,大寮區,M,0,40~44,1,64000,64000140
010m,2008,47,新北市,中和區,F,0,30~34,1,65000,65000030
010m,2008,47,桃園市,桃園區,F,0,15~19,1,68000,68000010
010m,2008,49,新北市,新店區,M,0,70+,1,65000,65000060
010m,2008,49,桃園市,楊梅區,F,0,60~64,1,68000,68000040
010m,2008,49,桃園市,蘆竹區,F,0,30~34,1,68000,68000050
010m,2008,50,新竹縣,竹北市,F,0,40~44,1,10004,10004010
010m,2008,50,南投縣,竹山鎮,F,0,40~44,1,10008,10008040
010m,2008,50,雲林縣,東勢鄉,M,0,45~49,1,10009,10009140
010m,2008,50,嘉義縣,竹崎鄉,M,0,70+,1,10010,10010140
010m,2008,50,台北市,內湖區,M,0,55~59,1,63000,63000100
010m,2008,50,台北市,文山區,M,0,50~54,1,63000,63000080
010m,2008,50,台北市,文山區,M,0,50~54,1,63000,63000081
010m,2008,50,台北市,文山區,M,0,50~54,1,63000,63000082
010m,2008,50,高雄市,大樹區,F,0,70+,1,64000,64000150
010m,2008,50,高雄市,燕巢區,F,0,60~64,1,64000,64000210
010m,2008,50,新北市,三峽區,M,0,45~49,1,65000,65000090
010m,2008,50,新北市,中和區,F,0,15~19,1,65000,65000030
010m,2008,50,新北市,瑞芳區,F,0,15~19,1,65000,65000120
010m,2008,50,新北市,雙溪區,M,0,55~59,1,65000,65000250
010m,2008,50,台中市,外埔區,M,0,45~49,1,66000,66000210
010m,2008,50,台南市,玉井區,F,0,65~69,1,67000,67000230
010m,2008,51,台南市,玉井區,M,0,60~64,1,67000,67000230
010m,2008,52,彰化縣,彰化市,M,0,50~54,1,10007,10007010
010m,2008,52,南投縣,仁愛鄉,M,0,35~39,1,10008,10008130
010m,2008,52,高雄市,鳳山區,M,0,45~49,1,64000,64000120
010m,2008,52,新北市,中和區,F,0,20~24,1,65000,65000030
010m,2008,52,台中市,大雅區,M,0,45~49,1,66000,66000180
010m,2008,52,台中市,沙鹿區,M,0,55~59,1,66000,66000130
010m,2008,52,台中市,潭子區,M,0,55~59,1,66000,66000170
010m,2008,52,台中市,西屯區,F,0,30~34,1,66000,66000060
010m,2008,52,台南市,歸仁區,F,0,50~54,1,67000,67000280
010m,2008,52,桃園市,復興區,M,0,55~59,1,68000,68000130
010m,2008,53,花蓮縣,秀林鄉,F,0,30~34,1,10015,10015110
010m,2008,53,花蓮縣,秀林鄉,M,0,60~64,1,10015,10015110
010m,2009,2,彰化縣,彰化市,F,0,20~24,1,10007,10007010
010m,2009,2,彰化縣,永靖鄉,M,0,70+,1,10007,10007160
010m,2009,2,彰化縣,秀水鄉,M,0,55~59,1,10007,10007070
010m,2009,2,彰化縣,鹿港鎮,M,0,60~64,1,10007,10007020
010m,2009,2,南投縣,名間鄉,F,0,60~64,1,10008,10008060
010m,2009,2,南投縣,竹山鎮,M,0,60~64,1,10008,10008040
010m,2009,2,嘉義縣,民雄鄉,M,0,25~29,1,10010,10010050
010m,2009,2,高雄市,鳳山區,M,0,70+,1,64000,64000120
010m,2009,2,新北市,三峽區,F,0,25~29,1,65000,65000090
010m,2009,2,台中市,太平區,F,0,70+,1,66000,66000270
010m,2009,3,高雄市,仁武區,M,0,50~54,1,64000,64000170
010m,2009,3,台南市,左鎮區,F,0,70+,1,67000,67000260
010m,2009,4,花蓮縣,萬榮鄉,F,0,35~39,1,10015,10015120
010m,2009,4,高雄市,湖內區,M,0,40~44,1,64000,64000250
010m,2009,4,新北市,中和區,F,0,45~49,1,65000,65000030
010m,2009,4,台中市,大里區,M,0,55~59,1,66000,66000280
010m,2009,7,嘉義縣,水上鄉,M,0,50~54,1,10010,10010120
010m,2009,7,花蓮縣,秀林鄉,F,0,70+,1,10015,10015110
010m,2009,7,基隆市,中正區,F,0,70+,1,10017,10017010
010m,2009,7,基隆市,信義區,M,0,55~59,1,10017,10017070
010m,2009,7,新北市,深坑區,M,0,65~69,1,65000,65000180
010m,2009,8,彰化縣,和美鎮,M,0,45~49,1,10007,10007030
010m,2009,8,嘉義縣,大林鎮,M,0,60~64,1,10010,10010040
010m,2009,8,基隆市,信義區,M,0,60~64,1,10017,10017070
010m,2009,8,新北市,五股區,F,0,35~39,1,65000,65000150
010m,2009,8,台中市,潭子區,M,0,50~54,1,66000,66000170
010m,2009,8,桃園市,桃園區,F,0,35~39,1,68000,68000010
010m,2009,9,雲林縣,土庫鎮,M,0,55~59,1,10009,10009050
010m,2009,9,雲林縣,虎尾鎮,F,0,70+,1,10009,10009030
010m,2009,9,台北市,大安區,M,0,60~64,1,63000,63000030
010m,2009,9,新北市,中和區,M,0,35~39,1,65000,65000030
010m,2009,9,台中市,南屯區,M,0,55~59,1,66000,66000070
010m,2009,9,台中市,西屯區,F,0,20~24,1,66000,66000060
010m,2009,10,宜蘭縣,三星鄉,M,0,70+,1,10002,10002100
010m,2009,10,新北市,中和區,F,0,70+,1,65000,65000030
010m,2009,10,新北市,汐止區,F,0,55~59,1,65000,65000110
010m,2009,10,新北市,萬里區,M,0,65~69,1,65000,65000280
010m,2009,11,苗栗縣,通霄鎮,M,0,50~54,1,10005,10005030
010m,2009,11,雲林縣,東勢鄉,M,0,50~54,1,10009,10009140
010m,2009,11,屏東縣,屏東市,M,0,45~49,1,10013,10013010
010m,2009,11,花蓮縣,玉里鎮,M,0,70+,1,10015,10015030
010m,2009,11,高雄市,三民區,M,0,40~44,1,64000,64000050
010m,2009,11,高雄市,三民區,M,0,40~44,1,64000,64000051
010m,2009,11,高雄市,三民區,M,0,40~44,1,64000,64000052
010m,2009,12,花蓮縣,花蓮市,M,0,70+,1,10015,10015010
010m,2009,12,新竹市,東區,F,0,50~54,1,10018,10018010
010m,2009,12,高雄市,苓雅區,M,0,15~19,1,64000,64000080
010m,2009,13,台中市,西區,M,0,35~39,1,66000,66000040
010m,2009,14,南投縣,草屯鎮,M,0,65~69,1,10008,10008030
010m,2009,14,台南市,北區,F,0,50~54,1,67000,67000340
010m,2009,15,花蓮縣,秀林鄉,F,0,20~24,1,10015,10015110
010m,2009,15,花蓮縣,萬榮鄉,M,0,15~19,1,10015,10015120
010m,2009,15,新北市,泰山區,M,0,55~59,1,65000,65000160
010m,2009,16,台北市,萬華區,F,0,60~64,1,63000,63000070
010m,2009,16,台北市,萬華區,F,0,60~64,1,63000,63000071
010m,2009,16,台北市,萬華區,F,0,60~64,1,63000,63000072
010m,2009,16,高雄市,美濃區,M,0,60~64,1,64000,64000310
010m,2009,16,新北市,板橋區,M,0,40~44,1,65000,65000010
010m,2009,16,新北市,永和區,M,0,70+,1,65000,65000040
010m,2009,16,台中市,南屯區,M,0,55~59,1,66000,66000070
010m,2009,17,彰化縣,彰化市,F,0,70+,1,10007,10007010
010m,2009,17,高雄市,楠梓區,M,0,45~49,1,64000,64000040
010m,2009,17,新北市,三重區,M,0,50~54,1,65000,65000020
010m,2009,17,新北市,中和區,F,0,70+,1,65000,65000030
010m,2009,17,台中市,太平區,F,0,55~59,1,66000,66000270
010m,2009,17,桃園市,八德區,M,0,45~49,1,68000,68000080
010m,2009,17,桃園市,桃園區,F,0,25~29,1,68000,68000010
010m,2009,18,宜蘭縣,宜蘭市,M,0,20~24,1,10002,10002010
010m,2009,19,彰化縣,員林市,F,0,70+,1,10007,10007100
010m,2009,19,彰化縣,埔心鄉,F,0,25~29,1,10007,10007150
010m,2009,19,台中市,大里區,F,0,50~54,1,66000,66000280
010m,2009,19,台南市,仁德區,F,0,45~49,1,67000,67000270
010m,2009,20,桃園市,中壢區,F,0,30~34,1,68000,68000020
010m,2009,21,彰化縣,田中鎮,M,0,70+,1,10007,10007120
010m,2009,21,嘉義縣,竹崎鄉,M,0,70+,1,10010,10010140
010m,2009,21,新竹市,香山區,M,0,40~44,1,10018,10018030
010m,2009,21,新北市,中和區,M,1,15~19,1,65000,65000030
010m,2009,23,彰化縣,大城鄉,F,0,25~29,1,10007,10007240
010m,2009,23,南投縣,信義鄉,M,0,40~44,1,10008,10008120
010m,2009,23,台東縣,卑南鄉,M,0,45~49,1,10014,10014040
010m,2009,23,新北市,土城區,M,0,70+,1,65000,65000130
010m,2009,23,新北市,樹林區,M,0,70+,1,65000,65000070
010m,2009,23,台中市,烏日區,M,0,30~34,1,66000,66000230
010m,2009,23,台南市,東區,M,0,55~59,1,67000,67000320
010m,2009,24,彰化縣,鹿港鎮,F,0,35~39,1,10007,10007020
010m,2009,25,基隆市,中正區,M,0,35~39,1,10017,10017010
010m,2009,26,宜蘭縣,蘇澳鎮,F,0,30~34,1,10002,10002030
010m,2009,26,嘉義縣,布袋鎮,M,0,65~69,1,10010,10010030
010m,2009,26,嘉義縣,義竹鄉,F,0,35~39,1,10010,10010100
010m,2009,26,花蓮縣,秀林鄉,M,0,40~44,1,10015,10015110
010m,2009,26,花蓮縣,花蓮市,F,0,25~29,1,10015,10015010
010m,2009,26,新竹市,東區,M,0,20~24,1,10018,10018010
010m,2009,26,高雄市,仁武區,M,0,65~69,1,64000,64000170
010m,2009,26,高雄市,大社區,M,0,55~59,1,64000,64000160
010m,2009,26,高雄市,鳳山區,M,0,45~49,1,64000,64000120
010m,2009,26,台南市,北區,F,0,25~29,1,67000,67000340
010m,2009,27,苗栗縣,西湖鄉,F,0,50~54,1,10005,10005140
010m,2009,27,屏東縣,佳冬鄉,M,0,45~49,1,10013,10013210
010m,2009,27,新北市,新莊區,M,0,45~49,1,65000,65000050
010m,2009,28,花蓮縣,秀林鄉,M,0,30~34,1,10015,10015110
010m,2009,28,高雄市,前金區,M,0,45~49,1,64000,64000070
010m,2009,28,新北市,新莊區,M,0,70+,1,65000,65000050
010m,2009,28,台中市,大肚區,M,0,50~54,1,66000,66000240
010m,2009,28,台南市,永康區,M,0,45~49,1,67000,67000310
010m,2009,29,彰化縣,伸港鄉,M,0,55~59,1,10007,10007050
010m,2009,29,台北市,南港區,M,0,70+,1,63000,63000090
010m,2009,29,台北市,文山區,F,0,70+,1,63000,63000080
010m,2009,29,台北市,文山區,F,0,70+,1,63000,63000081
010m,2009,29,台北市,文山區,F,0,70+,1,63000,63000082
010m,2009,29,台中市,大里區,M,0,25~29,1,66000,66000280
010m,2009,30,高雄市,那瑪夏區,M,0,30~34,1,64000,64000380
010m,2009,30,高雄市,鳳山區,M,0,55~59,1,64000,64000120
010m,2009,31,新竹市,香山區,M,0,65~69,1,10018,10018030
010m,2009,31,高雄市,楠梓區,M,0,70+,1,64000,64000040
010m,2009,32,嘉義縣,新港鄉,M,0,65~69,1,10010,10010070
010m,2009,33,彰化縣,二林鎮,F,0,35~39,1,10007,10007200
010m,2009,33,花蓮縣,秀林鄉,F,0,60~64,1,10015,10015110
010m,2009,33,花蓮縣,萬榮鄉,M,0,70+,1,10015,10015120
010m,2009,33,基隆市,七堵區,F,0,30~34,1,10017,10017020
010m,2009,33,高雄市,前金區,M,0,55~59,1,64000,64000070
010m,2009,33,高雄市,鳳山區,M,0,70+,1,64000,64000120
010m,2009,33,新北市,烏來區,M,0,20~24,1,65000,65000290
010m,2009,33,台中市,西區,F,0,45~49,1,66000,66000040
010m,2009,34,高雄市,杉林區,M,0,70+,1,64000,64000340
010m,2009,35,花蓮縣,新城鄉,F,0,30~34,1,10015,10015040
010m,2009,35,新北市,中和區,M,0,50~54,1,65000,65000030
010m,2009,35,桃園市,中壢區,F,0,20~24,1,68000,68000020
010m,2009,36,彰化縣,埔心鄉,M,0,35~39,1,10007,10007150
010m,2009,37,花蓮縣,吉安鄉,M,0,70+,1,10015,10015050
010m,2009,37,台北市,松山區,M,0,25~29,1,63000,63000010
010m,2009,37,高雄市,岡山區,M,0,30~34,1,64000,64000190
010m,2009,37,新北市,坪林區,M,0,70+,1,65000,65000200
010m,2009,37,新北市,新莊區,M,0,25~29,1,65000,65000050
010m,2009,37,新北市,蘆洲區,F,0,15~19,2,65000,65000140
010m,2009,38,高雄市,大社區,M,0,65~69,1,64000,64000160
010m,2009,39,花蓮縣,秀林鄉,M,0,35~39,1,10015,10015110
010m,2009,39,台北市,大同區,M,0,70+,1,63000,63000060
010m,2009,40,花蓮縣,瑞穗鄉,M,0,70+,1,10015,10015090
010m,2009,40,新北市,板橋區,F,0,65~69,1,65000,65000010
010m,2009,40,台中市,大雅區,F,0,50~54,1,66000,66000180
010m,2009,41,南投縣,竹山鎮,M,0,55~59,1,10008,10008040
010m,2009,41,新北市,瑞芳區,M,0,70+,1,65000,65000120
010m,2009,42,彰化縣,和美鎮,F,0,70+,1,10007,10007030
010m,2009,42,屏東縣,竹田鄉,M,0,30~34,1,10013,10013140
010m,2009,42,基隆市,信義區,F,0,55~59,1,10017,10017070
010m,2009,42,台南市,永康區,M,0,55~59,1,67000,67000310
010m,2009,42,桃園市,蘆竹區,M,0,45~49,1,68000,68000050
010m,2009,43,彰化縣,彰化市,F,0,45~49,1,10007,10007010
010m,2009,43,台東縣,鹿野鄉,F,0,35~39,1,10014,10014050
010m,2009,43,新北市,中和區,M,0,20~24,1,65000,65000030
010m,2009,43,台中市,西屯區,M,0,45~49,1,66000,66000060
010m,2009,44,基隆市,仁愛區,M,0,70+,1,10017,10017040
010m,2009,45,新竹縣,關西鎮,M,0,70+,1,10004,10004040
010m,2009,45,彰化縣,埤頭鄉,M,0,60~64,1,10007,10007220
010m,2009,45,基隆市,七堵區,M,0,35~39,1,10017,10017020
010m,2009,45,台北市,內湖區,F,0,25~29,1,63000,63000100
010m,2009,45,新北市,中和區,F,0,15~19,1,65000,65000030
010m,2009,45,新北市,中和區,M,0,55~59,1,65000,65000030
010m,2009,45,台中市,東區,M,0,45~49,1,66000,66000020
010m,2009,45,台中市,西屯區,M,0,70+,1,66000,66000060
010m,2009,46,台中市,北屯區,M,0,60~64,1,66000,66000080
010m,2009,47,彰化縣,和美鎮,F,0,70+,1,10007,10007030
010m,2009,47,雲林縣,四湖鄉,M,0,65~69,1,10009,10009180
010m,2009,47,花蓮縣,秀林鄉,M,0,30~34,1,10015,10015110
010m,2009,48,南投縣,埔里鎮,M,0,55~59,1,10008,10008020
010m,2009,48,台北市,信義區,M,0,35~39,1,63000,63000020
010m,2009,50,高雄市,小港區,M,0,65~69,1,64000,64000110
010m,2009,50,高雄市,鳥松區,M,0,45~49,1,64000,64000180
010m,2009,51,屏東縣,屏東市,M,0,20~24,1,10013,10013010
010m,2009,51,台北市,內湖區,F,0,45~49,1,63000,63000100
010m,2009,51,台中市,太平區,F,1,40~44,1,66000,66000270
010m,2009,51,台南市,北區,F,0,70+,1,67000,67000340
010m,2009,52,彰化縣,花壇鄉,M,0,70+,1,10007,10007080
010m,2009,52,彰化縣,鹿港鎮,M,0,70+,1,10007,10007020
010m,2009,52,南投縣,埔里鎮,F,0,60~64,1,10008,10008020
010m,2009,52,花蓮縣,花蓮市,M,0,35~39,1,10015,10015010
010m,2009,52,嘉義市,西區,M,0,45~49,1,10020,10020020
010m,2009,52,台北市,士林區,F,0,55~59,1,63000,63000110
010m,2009,52,台南市,歸仁區,M,0,60~64,1,67000,67000280
010m,2009,53,屏東縣,東港鎮,F,0,70+,1,10013,10013030
010m,2009,53,高雄市,左營區,M,0,70+,1,64000,64000030
010m,2009,53,高雄市,阿蓮區,M,0,45~49,1,64000,64000230
010m,2009,53,新北市,中和區,F,0,55~59,1,65000,65000030
010m,2010,1,花蓮縣,卓溪鄉,M,0,70+,1,10015,10015130
010m,2010,1,高雄市,橋頭區,F,0,50~54,1,64000,64000200
010m,2010,1,新北市,三重區,M,0,60~64,1,65000,65000020
010m,2010,1,新北市,中和區,M,0,45~49,1,65000,65000030
010m,2010,2,新竹縣,竹北市,M,0,70+,1,10004,10004010
010m,2010,2,彰化縣,彰化市,M,0,60~64,1,10007,10007010
010m,2010,2,高雄市,三民區,F,0,50~54,1,64000,64000050
010m,2010,2,高雄市,三民區,F,0,50~54,1,64000,64000051
010m,2010,2,高雄市,三民區,F,0,50~54,1,64000,64000052
010m,2010,3,花蓮縣,卓溪鄉,M,0,55~59,1,10015,10015130
010m,2010,3,花蓮縣,瑞穗鄉,M,0,30~34,1,10015,10015090
010m,2010,4,彰化縣,埔心鄉,F,0,70+,1,10007,10007150
010m,2010,4,新北市,中和區,M,0,45~49,1,65000,65000030
010m,2010,4,台中市,西區,M,0,70+,1,66000,66000040
010m,2010,4,台南市,新化區,M,0,70+,1,67000,67000180
010m,2010,5,屏東縣,內埔鄉,M,0,70+,1,10013,10013130
010m,2010,5,高雄市,三民區,F,0,70+,1,64000,64000050
010m,2010,5,高雄市,三民區,F,0,70+,1,64000,64000051
010m,2010,5,高雄市,三民區,F,0,70+,1,64000,64000052
010m,2010,5,桃園市,平鎮區,M,0,55~59,1,68000,68000100
010m,2010,6,花蓮縣,花蓮市,M,0,45~49,1,10015,10015010
010m,2010,6,基隆市,安樂區,M,0,55~59,1,10017,10017060
010m,2010,6,高雄市,楠梓區,F,0,70+,1,64000,64000040
010m,2010,6,台中市,潭子區,M,0,40~44,1,66000,66000170
010m,2010,6,桃園市,楊梅區,F,1,20~24,1,68000,68000040
010m,2010,8,南投縣,仁愛鄉,F,0,45~49,1,10008,10008130
010m,2010,8,新北市,樹林區,M,0,55~59,1,65000,65000070
010m,2010,8,台中市,大甲區,M,0,70+,1,66000,66000110
010m,2010,9,彰化縣,鹿港鎮,M,0,60~64,1,10007,10007020
010m,2010,9,南投縣,埔里鎮,M,0,70+,1,10008,10008020
010m,2010,9,高雄市,桃源區,M,0,40~44,1,64000,64000370
010m,2010,9,台中市,南屯區,M,0,45~49,1,66000,66000070
010m,2010,9,台南市,東區,M,0,60~64,1,67000,67000320
010m,2010,9,桃園市,八德區,M,0,40~44,1,68000,68000080
010m,2010,9,桃園市,桃園區,F,0,60~64,1,68000,68000010
010m,2010,10,花蓮縣,卓溪鄉,M,0,70+,1,10015,10015130
010m,2010,10,高雄市,楠梓區,M,0,30~34,1,64000,64000040
010m,2010,10,新北市,新莊區,M,0,65~69,1,65000,65000050
010m,2010,10,桃園市,楊梅區,F,1,30~34,1,68000,68000040
