"死亡年份","死亡月份","縣市別","性別","死亡年齡分組","個案數"
"1995","10","台北市","M","35-44",1
"1995","10","台北市","M","45-54",2
"1995","10","台南市","M","25-34",1
"1995","10","高雄市","M","65以上",1
"1995","11","台北市","M","35-44",1
"1995","11","台南市","M","25-34",1
"1995","11","新竹市","M","45-54",1
"1995","12","台中市","M","25-34",1
"1995","12","台中市","M","35-44",1
"1995","12","台北市","M","25-34",1
"1995","12","台北市","M","35-44",1
"1995","12","台北市","M","45-54",1
"1995","12","台北市","M","55-64",1
"1995","12","高雄市","M","25-34",1
"1996","01","台中市","M","25-34",1
"1996","01","台北市","M","15-24",1
"1996","01","台北市","M","65以上",1
"1996","01","台南市","F","15-24",1
"1996","01","桃園市","M","45-54",1
"1996","01","高雄市","M","15-24",1
"1996","01","高雄市","M","25-34",1
"1996","01","高雄市","M","65以上",1
"1996","01","嘉義縣","M","25-34",1
"1996","02","台中市","M","55-64",1
"1996","02","台北市","M","25-34",2
"1996","02","台北市","M","35-44",1
"1996","02","台北市","M","65以上",1
"1996","02","台南市","M","45-54",1
"1996","02","高雄市","M","35-44",2
"1996","02","高雄市","M","55-64",1
"1996","03","台中市","M","45-54",1
"1996","03","台北市","M","25-34",1
"1996","03","台北市","M","45-54",2
"1996","04","台北市","F","25-34",1
"1996","04","台北市","M","25-34",1
"1996","04","台北市","M","65以上",1
"1996","04","桃園市","M","25-34",1
"1996","04","桃園市","M","35-44",2
"1996","04","桃園市","M","55-64",1
"1996","05","台中市","M","25-34",1
"1996","05","台北市","M","25-34",3
"1996","05","台北市","M","45-54",2
"1996","05","台北市","M","55-64",1
"1996","05","台南市","M","25-34",1
"1996","05","台南市","M","45-54",1
"1996","05","台南市","M","55-64",1
"1996","05","桃園市","M","65以上",1
"1996","05","高雄市","M","35-44",1
"1996","06","台中市","M","25-34",1
"1996","06","台中市","M","45-54",1
"1996","06","台北市","F","35-44",1
"1996","06","台北市","M","25-34",1
"1996","06","台北市","M","35-44",2
"1996","06","台北市","M","45-54",1
"1996","06","台北市","M","55-64",2
"1996","06","台北市","M","65以上",1
"1996","06","高雄市","M","65以上",1
"1996","06","基隆市","M","55-64",1
"1996","07","台中市","M","25-34",1
"1996","07","台中市","M","35-44",1
"1996","07","台北市","M","25-34",2
"1996","07","台北市","M","35-44",1
"1996","07","台北市","M","45-54",2
"1996","07","桃園市","M","35-44",1
"1996","07","高雄市","M","25-34",1
"1996","07","高雄市","M","45-54",1
"1996","07","高雄市","M","55-64",1
"1996","07","基隆市","M","55-64",1
"1996","07","新北市","M","25-34",1
"1996","08","台中市","F","25-34",1
"1996","08","台北市","M","25-34",1
"1996","08","台北市","M","35-44",2
"1996","08","台北市","M","45-54",1
"1996","08","高雄市","M","35-44",1
"1996","08","新北市","M","65以上",1
"1996","09","台中市","F","25-34",1
"1996","09","台北市","M","45-54",1
"1996","09","台南市","M","25-34",2
"1996","09","台南市","M","35-44",1
"1996","09","花蓮縣","M","25-34",1
"1996","09","桃園市","M","35-44",1
"1996","09","高雄市","M","35-44",1
"1996","09","基隆市","M","45-54",1
"1996","10","台中市","M","25-34",2
"1996","10","台北市","M","25-34",2
"1996","10","台北市","M","35-44",3
"1996","10","台北市","M","65以上",1
"1996","10","桃園市","M","35-44",1
"1996","10","高雄市","M","35-44",1
"1996","11","台中市","M","25-34",1
"1996","11","台中市","M","35-44",1
"1996","11","台北市","M","25-34",3
"1996","11","台北市","M","35-44",1
"1996","11","桃園市","M","45-54",1
"1996","11","高雄市","M","35-44",1
"1996","12","台中市","F","25-34",1
"1996","12","台中市","M","25-34",1
"1996","12","台北市","M","25-34",1
"1996","12","台北市","M","35-44",1
"1996","12","台北市","M","65以上",1
"1996","12","台南市","M","25-34",1
"1996","12","桃園市","M","35-44",1
"1996","12","高雄市","M","25-34",1
"1996","12","高雄市","M","45-54",1
"1997","01","台北市","F","55-64",1
"1997","01","台北市","M","25-34",3
"1997","01","台北市","M","35-44",1
"1997","01","台北市","M","45-54",1
"1997","01","台南市","M","25-34",1
"1997","01","新竹市","M","15-24",1
"1997","02","台中市","M","45-54",1
"1997","02","台北市","F","45-54",1
"1997","02","台北市","M","15-24",1
"1997","02","台北市","M","35-44",1
"1997","02","台南市","M","55-64",1
"1997","02","桃園市","M","35-44",1
"1997","02","高雄市","M","45-54",1
"1997","03","台中市","M","25-34",2
"1997","03","台中市","M","45-54",2
"1997","03","台北市","M","15-24",1
"1997","03","台北市","M","25-34",2
"1997","03","台北市","M","45-54",1
"1997","03","台北市","M","65以上",2
"1997","03","高雄市","M","45-54",1
"1997","03","新北市","M","25-34",1
"1997","04","台中市","M","55-64",1
"1997","04","台北市","M","35-44",1
"1997","04","台北市","M","45-54",1
"1997","04","桃園市","M","25-34",1
"1997","04","高雄市","M","35-44",1
"1997","04","高雄市","M","55-64",1
"1997","05","台中市","M","45-54",1
"1997","05","台中市","M","65以上",1
"1997","05","台北市","M","25-34",2
"1997","05","台北市","M","35-44",1
"1997","05","台北市","M","65以上",1
"1997","05","桃園市","M","35-44",1
"1997","05","桃園市","M","55-64",1
"1997","05","高雄市","M","25-34",1
"1997","05","高雄市","M","45-54",2
"1997","05","高雄市","M","55-64",1
"1997","06","台中市","M","25-34",2
"1997","06","台北市","M","25-34",2
"1997","06","台北市","M","45-54",1
"1997","06","桃園市","M","25-34",1
"1997","06","桃園市","M","45-54",1
"1997","06","高雄市","M","25-34",1
"1997","06","基隆市","F","35-44",1
"1997","07","台北市","F","65以上",1
"1997","07","台北市","M","25-34",1
"1997","07","台北市","M","65以上",1
"1997","07","新北市","M","25-34",1
"1997","08","台中市","M","35-44",1
"1997","08","台北市","M","25-34",1
"1997","08","台北市","M","35-44",1
"1997","08","台北市","M","55-64",1
"1997","08","台南市","M","25-34",1
"1997","08","台南市","M","65以上",1
"1997","08","高雄市","M","35-44",1
"1997","08","新北市","M","35-44",1
"1997","09","台中市","M","35-44",1
"1997","09","台北市","M","25-34",1
"1997","09","台北市","M","35-44",1
"1997","09","台北市","M","45-54",1
"1997","09","台南市","M","25-34",1
"1997","09","高雄市","M","35-44",2
"1997","09","新北市","M","25-34",1
"1997","10","台中市","M","45-54",1
"1997","10","台北市","F","35-44",1
"1997","10","台北市","M","25-34",1
"1997","10","台北市","M","35-44",1
"1997","10","高雄市","M","55-64",1
"1997","10","基隆市","M","25-34",1
"1997","11","台中市","M","25-34",1
"1997","11","台北市","M","35-44",1
"1997","11","台北市","M","45-54",1
"1997","11","新北市","M","25-34",1
"1997","12","台北市","M","25-34",1
"1997","12","桃園市","M","25-34",1
"1997","12","高雄市","M","45-54",1
"1998","01","台中市","M","25-34",1
"1998","01","台中市","M","45-54",1
"1998","01","台北市","M","25-34",2
"1998","01","桃園市","M","25-34",1
"1998","01","高雄市","M","25-34",1
"1998","01","高雄市","M","35-44",1
"1998","01","基隆市","M","35-44",1
"1998","01","新北市","M","35-44",1
"1998","02","台中市","M","35-44",1
"1998","02","台北市","F","25-34",1
"1998","02","台北市","M","25-34",2
"1998","02","台南市","M","15-24",1
"1998","02","桃園市","M","25-34",1
"1998","02","基隆市","M","25-34",1
"1998","03","台中市","F","55-64",1
"1998","03","台南市","M","35-44",2
"1998","03","高雄市","M","15-24",1
"1998","03","高雄市","M","25-34",1
"1998","03","高雄市","M","55-64",1
"1998","03","基隆市","M","25-34",1
"1998","03","彰化縣","M","25-34",1
"1998","04","台中市","M","35-44",1
"1998","04","台北市","M","25-34",1
"1998","04","台北市","M","35-44",2
"1998","04","台北市","M","55-64",1
"1998","04","台南市","M","25-34",1
"1998","04","桃園市","M","35-44",1
"1998","04","高雄市","M","25-34",1
"1998","04","高雄市","M","55-64",1
"1998","05","台中市","M","25-34",1
"1998","05","台中市","M","35-44",1
"1998","05","台中市","M","45-54",1
"1998","05","台北市","F","25-34",2
"1998","05","台北市","M","25-34",1
"1998","05","台北市","M","35-44",4
"1998","05","台南市","M","45-54",1
"1998","05","高雄市","M","25-34",1
"1998","05","嘉義市","M","25-34",1
"1998","06","台中市","M","35-44",1
"1998","06","台北市","F","35-44",1
"1998","06","台北市","M","25-34",2
"1998","06","台北市","M","55-64",1
"1998","06","高雄市","M","35-44",1
"1998","06","高雄市","M","55-64",1
"1998","06","新北市","F","25-34",1
"1998","07","台中市","M","25-34",1
"1998","07","台中市","M","45-54",1
"1998","07","台北市","M","45-54",2
"1998","07","台南市","M","35-44",1
"1998","07","桃園市","F","15-24",1
"1998","07","桃園市","M","35-44",1
"1998","07","嘉義市","M","35-44",1
"1998","08","台中市","M","35-44",1
"1998","08","台北市","M","25-34",1
"1998","08","台北市","M","35-44",2
"1998","08","台北市","M","55-64",2
"1998","08","台北市","M","65以上",1
"1998","08","高雄市","M","35-44",2
"1998","09","台北市","F","25-34",1
"1998","09","台北市","M","35-44",1
"1998","09","台北市","M","45-54",1
"1998","09","台北市","M","55-64",1
"1998","09","桃園市","M","35-44",1
"1998","09","高雄市","M","35-44",1
"1998","09","新竹市","M","35-44",1
"1998","10","台中市","M","25-34",2
"1998","10","台中市","M","35-44",1
"1998","10","台北市","M","25-34",2
"1998","10","台北市","M","35-44",1
"1998","10","台北市","M","45-54",1
"1998","10","台北市","M","55-64",1
"1998","10","台北市","M","65以上",1
"1998","10","南投縣","F","45-54",1
"1998","10","新竹縣","F","45-54",1
"1998","10","嘉義縣","M","55-64",1
"1998","11","台北市","M","25-34",1
"1998","11","台北市","M","35-44",1
"1998","11","台北市","M","45-54",1
"1998","11","台東縣","M","25-34",1
"1998","11","台南市","M","35-44",1
"1998","11","台南市","M","55-64",1
"1998","11","桃園市","M","45-54",1
"1998","11","高雄市","M","35-44",1
"1998","11","新北市","M","65以上",1
"1998","11","嘉義縣","M","25-34",1
"1998","12","台中市","F","25-34",1
"1998","12","台中市","M","25-34",2
"1998","12","台中市","M","35-44",1
"1998","12","台北市","M","25-34",2
"1998","12","台北市","M","35-44",1
"1998","12","台北市","M","45-54",1
"1998","12","桃園市","M","15-24",1
"1998","12","高雄市","M","25-34",1
"1998","12","高雄市","M","45-54",1
"1999","01","台中市","M","15-24",1
"1999","01","台中市","M","35-44",1
"1999","01","台中市","M","45-54",1
"1999","01","台北市","M","25-34",1
"1999","01","台南市","M","55-64",1
"1999","01","桃園市","M","25-34",1
"1999","01","桃園市","M","35-44",1
"1999","01","桃園市","M","45-54",1
"1999","01","基隆市","M","45-54",1
"1999","02","台中市","M","55-64",1
"1999","02","台北市","M","65以上",1
"1999","02","花蓮縣","F","15-24",1
"1999","02","高雄市","M","15-24",1
"1999","02","高雄市","M","35-44",1
"1999","03","台北市","M","35-44",1
"1999","03","高雄市","M","25-34",1
"1999","04","台中市","M","25-34",1
"1999","04","台北市","M","25-34",1
"1999","04","台南市","M","25-34",1
"1999","04","台南市","M","35-44",2
"1999","04","台南市","M","45-54",1
"1999","04","南投縣","M","55-64",1
"1999","04","桃園市","M","35-44",1
"1999","04","桃園市","M","65以上",1
"1999","04","彰化縣","F","65以上",1
"1999","05","台北市","F","25-34",1
"1999","05","台北市","M","25-34",1
"1999","05","台北市","M","35-44",1
"1999","05","桃園市","M","35-44",1
"1999","05","高雄市","M","35-44",1
"1999","06","台中市","M","35-44",1
"1999","06","台北市","M","25-34",1
"1999","06","台北市","M","35-44",1
"1999","06","台東縣","M","45-54",1
"1999","06","宜蘭縣","M","65以上",1
"1999","06","桃園市","M","55-64",1
"1999","06","新北市","M","65以上",1
"1999","06","彰化縣","M","55-64",1
"1999","07","台中市","M","35-44",1
"1999","07","台北市","M","45-54",1
"1999","07","桃園市","M","45-54",1
"1999","07","高雄市","F","25-34",1
"1999","07","嘉義縣","M","35-44",1
"1999","08","台北市","M","35-44",3
"1999","08","台北市","M","45-54",1
"1999","08","宜蘭縣","F","45-54",1
"1999","08","高雄市","M","25-34",1
"1999","08","新北市","M","45-54",1
"1999","08","彰化縣","M","35-44",1
"1999","09","台北市","F","35-44",1
"1999","09","桃園市","F","25-34",1
"1999","09","高雄市","M","25-34",1
"1999","09","基隆市","M","45-54",1
"1999","09","基隆市","M","65以上",1
"1999","10","台中市","M","35-44",1
"1999","10","台北市","M","35-44",1
"1999","10","台南市","F","25-34",1
"1999","10","桃園市","M","35-44",1
"1999","10","桃園市","M","65以上",1
"1999","10","新竹市","M","35-44",1
"1999","11","台中市","M","25-34",1
"1999","11","台北市","M","25-34",1
"1999","11","台北市","M","35-44",1
"1999","11","台北市","M","55-64",1
"1999","11","台南市","M","65以上",1
"1999","11","宜蘭縣","M","15-24",1
"1999","11","桃園市","M","35-44",3
"1999","11","桃園市","M","65以上",1
"1999","12","台中市","M","25-34",1
"1999","12","台北市","M","35-44",2
"1999","12","台北市","M","55-64",1
"1999","12","桃園市","M","45-54",1
"1999","12","桃園市","M","55-64",1
"2000","01","台中市","M","35-44",2
"2000","01","台北市","M","25-34",1
"2000","01","台北市","M","45-54",1
"2000","01","台北市","M","55-64",2
"2000","01","台北市","M","65以上",1
"2000","01","屏東縣","M","55-64",1
"2000","01","高雄市","M","25-34",1
"2000","01","高雄市","M","45-54",1
"2000","02","台北市","M","25-34",1
"2000","02","台北市","M","65以上",1
"2000","02","高雄市","M","15-24",1
"2000","02","高雄市","M","45-54",1
"2000","02","基隆市","M","35-44",1
"2000","03","台中市","M","15-24",1
"2000","03","台中市","M","25-34",1
"2000","03","台中市","M","35-44",1
"2000","03","台北市","F","55-64",1
"2000","03","台北市","M","45-54",1
"2000","03","台北市","M","55-64",1
"2000","03","台北市","M","65以上",1
"2000","03","台南市","M","35-44",1
"2000","03","苗栗縣","M","55-64",1
"2000","04","台中市","M","35-44",1
"2000","04","台北市","M","35-44",1
"2000","04","桃園市","M","35-44",1
"2000","04","嘉義縣","M","45-54",1
"2000","05","台中市","F","55-64",1
"2000","05","台中市","M","35-44",1
"2000","05","台北市","M","25-34",1
"2000","05","台北市","M","35-44",1
"2000","05","台北市","M","55-64",1
"2000","05","台南市","M","35-44",1
"2000","05","台南市","M","45-54",1
"2000","05","花蓮縣","M","25-34",1
"2000","05","高雄市","M","35-44",1
"2000","05","新北市","M","45-54",1
"2000","06","台北市","M","35-44",2
"2000","06","台南市","M","15-24",1
"2000","06","台南市","M","25-34",1
"2000","06","屏東縣","M","25-34",1
"2000","06","桃園市","M","35-44",1
"2000","06","桃園市","M","65以上",1
"2000","06","高雄市","F","35-44",1
"2000","06","基隆市","F","45-54",1
"2000","06","基隆市","M","55-64",1
"2000","06","嘉義縣","F","45-54",1
"2000","07","台北市","F","25-34",1
"2000","07","台北市","M","25-34",1
"2000","07","台北市","M","65以上",2
"2000","07","桃園市","M","35-44",2
"2000","07","高雄市","M","25-34",1
"2000","07","高雄市","M","55-64",1
"2000","07","嘉義市","M","55-64",1
"2000","08","台北市","F","35-44",1
"2000","08","台北市","M","35-44",3
"2000","08","台南市","M","65以上",1
"2000","08","屏東縣","F","55-64",1
"2000","08","桃園市","M","15-24",1
"2000","08","桃園市","M","25-34",1
"2000","09","台中市","M","25-34",1
"2000","09","台中市","M","35-44",1
"2000","09","台中市","M","45-54",1
"2000","09","桃園市","M","35-44",1
"2000","09","高雄市","M","45-54",1
"2000","10","台中市","M","25-34",1
"2000","10","台中市","M","55-64",1
"2000","10","台北市","M","35-44",2
"2000","10","台北市","M","45-54",1
"2000","10","桃園市","M","25-34",1
"2000","10","桃園市","M","35-44",2
"2000","10","高雄市","F","55-64",1
"2000","10","嘉義市","M","25-34",1
"2000","10","彰化縣","M","25-34",1
"2000","11","台中市","M","55-64",1
"2000","11","台北市","M","35-44",1
"2000","11","台北市","M","65以上",1
"2000","11","台南市","F","25-34",1
"2000","11","屏東縣","M","35-44",1
"2000","11","高雄市","F","35-44",1
"2000","11","高雄市","M","35-44",1
"2000","11","基隆市","M","65以上",1
"2000","12","台中市","M","25-34",1
"2000","12","台中市","M","35-44",2
"2000","12","台北市","M","25-34",1
"2000","12","台北市","M","35-44",1
"2000","12","台北市","M","45-54",1
"2000","12","台東縣","M","35-44",1
"2000","12","台南市","M","55-64",1
"2001","01","台北市","M","15-24",1
"2001","01","台北市","M","65以上",1
"2001","01","台南市","M","35-44",1
"2001","01","台南市","M","45-54",1
"2001","01","花蓮縣","M","25-34",1
"2001","01","桃園市","M","65以上",1
"2001","01","高雄市","M","25-34",1
"2001","01","高雄市","M","45-54",1
"2001","02","台中市","M","25-34",1
"2001","02","台中市","M","35-44",1
"2001","02","台北市","M","25-34",1
"2001","02","嘉義縣","F","15-24",1
"2001","03","台中市","M","35-44",2
"2001","03","台中市","M","65以上",1
"2001","03","高雄市","M","25-34",1
"2001","03","高雄市","M","35-44",2
"2001","03","高雄市","M","45-54",2
"2001","04","台中市","M","35-44",1
"2001","04","台中市","M","55-64",1
"2001","04","台北市","M","35-44",1
"2001","04","台北市","M","45-54",2
"2001","04","高雄市","M","35-44",1
"2001","04","新北市","M","35-44",1
"2001","04","嘉義市","M","65以上",1
"2001","05","台中市","M","45-54",1
"2001","05","台北市","M","25-34",2
"2001","05","台北市","M","35-44",1
"2001","05","台北市","M","45-54",1
"2001","05","高雄市","F","35-44",1
"2001","05","高雄市","M","65以上",1
"2001","06","台北市","M","25-34",3
"2001","06","台北市","M","35-44",1
"2001","06","台北市","M","45-54",1
"2001","06","台北市","M","65以上",1
"2001","06","高雄市","M","25-34",1
"2001","06","高雄市","M","45-54",1
"2001","06","高雄市","M","55-64",1
"2001","06","基隆市","M","35-44",1
"2001","07","台中市","M","35-44",2
"2001","07","台北市","M","25-34",1
"2001","07","台北市","M","35-44",1
"2001","07","台南市","M","45-54",1
"2001","07","南投縣","M","35-44",1
"2001","07","高雄市","M","45-54",2
"2001","07","雲林縣","M","35-44",1
"2001","08","台北市","F","55-64",1
"2001","08","台北市","M","25-34",2
"2001","08","台北市","M","35-44",1
"2001","08","台南市","M","65以上",1
"2001","09","台中市","F","25-34",1
"2001","09","台北市","M","25-34",1
"2001","09","台北市","M","55-64",1
"2001","09","桃園市","M","55-64",1
"2001","09","基隆市","F","35-44",1
"2001","09","基隆市","F","45-54",1
"2001","09","新竹市","M","15-24",1
"2001","10","台中市","M","55-64",1
"2001","10","台北市","M","35-44",1
"2001","10","台北市","M","45-54",1
"2001","10","台北市","M","55-64",2
"2001","10","台南市","M","25-34",1
"2001","10","高雄市","M","25-34",1
"2001","10","高雄市","M","35-44",1
"2001","10","新北市","M","35-44",2
"2001","11","台中市","M","55-64",1
"2001","11","台北市","M","25-34",2
"2001","11","台北市","M","35-44",1
"2001","11","台北市","M","45-54",1
"2001","11","台北市","M","65以上",1
"2001","11","台南市","M","45-54",1
"2001","11","桃園市","M","35-44",1
"2001","11","高雄市","F","55-64",1
"2001","11","高雄市","M","45-54",1
"2001","11","新竹市","M","35-44",1
"2001","11","彰化縣","M","35-44",1
"2001","12","台北市","M","25-34",2
"2001","12","台北市","M","35-44",1
"2001","12","台北市","M","55-64",2
"2001","12","高雄市","F","35-44",1
"2001","12","高雄市","M","35-44",1
"2001","12","高雄市","M","45-54",1
"2002","01","台中市","M","55-64",1
"2002","01","台北市","M","25-34",1
"2002","01","台北市","M","35-44",3
"2002","01","高雄市","M","25-34",1
"2002","01","基隆市","M","35-44",1
"2002","01","新北市","M","15-24",1
"2002","02","台中市","M","15-24",1
"2002","02","台北市","M","35-44",1
"2002","02","台北市","M","45-54",2
"2002","02","新竹市","M","55-64",1
"2002","03","台中市","F","45-54",1
"2002","03","台中市","M","35-44",1
"2002","03","台北市","F","55-64",1
"2002","03","台北市","M","25-34",3
"2002","03","台北市","M","35-44",2
"2002","03","桃園市","M","35-44",1
"2002","03","高雄市","M","35-44",1
"2002","03","高雄市","M","65以上",1
"2002","03","彰化縣","M","55-64",1
"2002","04","台中市","F","25-34",1
"2002","04","台中市","F","55-64",1
"2002","04","台中市","M","55-64",1
"2002","04","台北市","M","35-44",2
"2002","04","台北市","M","45-54",1
"2002","04","台北市","M","55-64",1
"2002","04","台南市","M","45-54",1
"2002","04","高雄市","M","25-34",2
"2002","05","台中市","M","35-44",2
"2002","05","台北市","F","45-54",1
"2002","05","台北市","F","55-64",1
"2002","05","台北市","M","25-34",1
"2002","05","台北市","M","35-44",1
"2002","05","台北市","M","55-64",1
"2002","05","台北市","M","65以上",1
"2002","05","桃園市","M","35-44",1
"2002","05","高雄市","M","25-34",1
"2002","05","高雄市","M","55-64",1
"2002","06","台北市","M","15-24",1
"2002","06","台北市","M","25-34",1
"2002","06","台北市","M","35-44",1
"2002","06","台北市","M","55-64",1
"2002","06","台南市","M","35-44",1
"2002","06","桃園市","F","45-54",1
"2002","06","高雄市","M","35-44",1
"2002","06","基隆市","M","25-34",1
"2002","07","台中市","M","35-44",1
"2002","07","台中市","M","45-54",1
"2002","07","台北市","F","35-44",1
"2002","07","台北市","F","65以上",1
"2002","07","台北市","M","25-34",1
"2002","07","台北市","M","35-44",4
"2002","07","台北市","M","65以上",1
"2002","07","桃園市","M","25-34",1
"2002","07","高雄市","M","45-54",1
"2002","08","台中市","M","25-34",1
"2002","08","台中市","M","65以上",1
"2002","08","台北市","M","15-24",1
"2002","08","台北市","M","25-34",1
"2002","08","台北市","M","35-44",1
"2002","08","台北市","M","45-54",2
"2002","08","台北市","M","65以上",1
"2002","08","台南市","M","35-44",1
"2002","08","桃園市","M","45-54",2
"2002","08","新北市","F","55-64",1
"2002","08","新北市","M","25-34",1
"2002","09","台中市","M","35-44",1
"2002","09","台北市","F","25-34",2
"2002","09","台北市","F","45-54",1
"2002","09","台北市","M","25-34",1
"2002","09","台北市","M","35-44",2
