月份,縣市別,縣市代碼,抗蛇毒血清種類,2019-2023年購買數量總數
01,新竹縣,10004,抗龜殼花及赤尾鮐蛇毒血清,26
01,嘉義市,10020,抗雨傘節及飯匙倩蛇毒血清,5
01,嘉義市,10020,抗龜殼花及赤尾鮐蛇毒血清,41
01,嘉義縣,10010,抗雨傘節及飯匙倩蛇毒血清,1
01,嘉義縣,10010,抗龜殼花及赤尾鮐蛇毒血清,13
01,彰化縣,10007,抗龜殼花及赤尾鮐蛇毒血清,2
01,澎湖縣,10016,抗雨傘節及飯匙倩蛇毒血清,1
02,臺中市,10019,抗百步蛇毒血清,1
02,臺中市,10019,抗雨傘節及飯匙倩蛇毒血清,3
02,臺中市,10019,抗龜殼花及赤尾鮐蛇毒血清,17
02,臺北市,63000,抗雨傘節及飯匙倩蛇毒血清,2
02,臺北市,63000,抗龜殼花及赤尾鮐蛇毒血清,45
02,臺東縣,10014,抗百步蛇毒血清,3
02,臺東縣,10014,抗雨傘節及飯匙倩蛇毒血清,1
02,臺東縣,10014,抗龜殼花及赤尾鮐蛇毒血清,50
02,臺南市,10021,抗雨傘節及飯匙倩蛇毒血清,2
02,臺南市,10021,抗龜殼花及赤尾鮐蛇毒血清,25
02,宜蘭縣,10002,抗百步蛇毒血清,1
02,宜蘭縣,10002,抗龜殼花及赤尾鮐蛇毒血清,24
02,花蓮縣,10015,抗雨傘節及飯匙倩蛇毒血清,17
02,花蓮縣,10015,抗龜殼花及赤尾鮐蛇毒血清,55
02,金門縣,09020,抗雨傘節及飯匙倩蛇毒血清,2
02,金門縣,09020,抗龜殼花及赤尾鮐蛇毒血清,2
02,南投縣,10008,抗龜殼花及赤尾鮐蛇毒血清,12
02,屏東縣,10013,抗雨傘節及飯匙倩蛇毒血清,11
02,屏東縣,10013,抗龜殼花及赤尾鮐蛇毒血清,22
02,屏東縣,10013,抗鎖鏈蛇毒血清,8
02,苗栗縣,10005,抗龜殼花及赤尾鮐蛇毒血清,24
02,桃園市,68000,抗雨傘節及飯匙倩蛇毒血清,2
02,桃園市,68000,抗龜殼花及赤尾鮐蛇毒血清,42
02,高雄市,64000,抗百步蛇毒血清,1
02,高雄市,64000,抗雨傘節及飯匙倩蛇毒血清,2
02,高雄市,64000,抗龜殼花及赤尾鮐蛇毒血清,39
02,高雄市,64000,抗鎖鏈蛇毒血清,1
02,雲林縣,10009,抗龜殼花及赤尾鮐蛇毒血清,6
02,新北市,65000,抗雨傘節及飯匙倩蛇毒血清,1
02,新北市,65000,抗龜殼花及赤尾鮐蛇毒血清,16
02,新竹市,10018,抗雨傘節及飯匙倩蛇毒血清,1
02,新竹市,10018,抗龜殼花及赤尾鮐蛇毒血清,4
02,新竹縣,10004,抗龜殼花及赤尾鮐蛇毒血清,20
02,嘉義市,10020,抗龜殼花及赤尾鮐蛇毒血清,32
02,嘉義縣,10010,抗龜殼花及赤尾鮐蛇毒血清,2
03,臺中市,10019,抗百步蛇毒血清,4
03,臺中市,10019,抗雨傘節及飯匙倩蛇毒血清,26
03,臺中市,10019,抗龜殼花及赤尾鮐蛇毒血清,50
03,臺北市,63000,抗百步蛇毒血清,1
03,臺北市,63000,抗雨傘節及飯匙倩蛇毒血清,6
03,臺北市,63000,抗龜殼花及赤尾鮐蛇毒血清,59
03,臺東縣,10014,抗雨傘節及飯匙倩蛇毒血清,2
03,臺東縣,10014,抗龜殼花及赤尾鮐蛇毒血清,51
03,臺東縣,10014,抗鎖鏈蛇毒血清,4
03,臺南市,10021,抗雨傘節及飯匙倩蛇毒血清,18
03,臺南市,10021,抗龜殼花及赤尾鮐蛇毒血清,22
03,宜蘭縣,10002,抗雨傘節及飯匙倩蛇毒血清,4
03,宜蘭縣,10002,抗龜殼花及赤尾鮐蛇毒血清,32
03,花蓮縣,10015,抗雨傘節及飯匙倩蛇毒血清,10
03,花蓮縣,10015,抗龜殼花及赤尾鮐蛇毒血清,80
03,南投縣,10008,抗雨傘節及飯匙倩蛇毒血清,6
03,南投縣,10008,抗龜殼花及赤尾鮐蛇毒血清,47
03,屏東縣,10013,抗百步蛇毒血清,1
03,屏東縣,10013,抗雨傘節及飯匙倩蛇毒血清,10
03,屏東縣,10013,抗龜殼花及赤尾鮐蛇毒血清,63
03,屏東縣,10013,抗鎖鏈蛇毒血清,2
03,苗栗縣,10005,抗龜殼花及赤尾鮐蛇毒血清,19
03,桃園市,68000,抗百步蛇毒血清,4
03,桃園市,68000,抗雨傘節及飯匙倩蛇毒血清,2
03,桃園市,68000,抗龜殼花及赤尾鮐蛇毒血清,7
03,高雄市,64000,抗百步蛇毒血清,2
03,高雄市,64000,抗雨傘節及飯匙倩蛇毒血清,4
03,高雄市,64000,抗龜殼花及赤尾鮐蛇毒血清,18
03,基隆市,10017,抗龜殼花及赤尾鮐蛇毒血清,21
03,雲林縣,10009,抗雨傘節及飯匙倩蛇毒血清,12
03,雲林縣,10009,抗龜殼花及赤尾鮐蛇毒血清,27
03,新北市,65000,抗百步蛇毒血清,2
03,新北市,65000,抗雨傘節及飯匙倩蛇毒血清,2
03,新北市,65000,抗龜殼花及赤尾鮐蛇毒血清,76
03,新竹市,10018,抗雨傘節及飯匙倩蛇毒血清,1
03,新竹市,10018,抗龜殼花及赤尾鮐蛇毒血清,4
03,新竹縣,10004,抗百步蛇毒血清,1
03,新竹縣,10004,抗雨傘節及飯匙倩蛇毒血清,6
03,新竹縣,10004,抗龜殼花及赤尾鮐蛇毒血清,27
03,嘉義市,10020,抗百步蛇毒血清,1
03,嘉義市,10020,抗雨傘節及飯匙倩蛇毒血清,7
03,嘉義市,10020,抗龜殼花及赤尾鮐蛇毒血清,46
03,嘉義縣,10010,抗雨傘節及飯匙倩蛇毒血清,14
03,嘉義縣,10010,抗龜殼花及赤尾鮐蛇毒血清,12
04,臺中市,10019,抗百步蛇毒血清,3
04,臺中市,10019,抗雨傘節及飯匙倩蛇毒血清,33
04,臺中市,10019,抗龜殼花及赤尾鮐蛇毒血清,76
04,臺中市,10019,抗鎖鏈蛇毒血清,2
04,臺北市,63000,抗百步蛇毒血清,8
04,臺北市,63000,抗雨傘節及飯匙倩蛇毒血清,6
04,臺北市,63000,抗龜殼花及赤尾鮐蛇毒血清,32
04,臺東縣,10014,抗百步蛇毒血清,1
04,臺東縣,10014,抗雨傘節及飯匙倩蛇毒血清,11
04,臺東縣,10014,抗龜殼花及赤尾鮐蛇毒血清,63
04,臺南市,10021,抗雨傘節及飯匙倩蛇毒血清,25
04,臺南市,10021,抗龜殼花及赤尾鮐蛇毒血清,40
04,宜蘭縣,10002,抗百步蛇毒血清,3
04,宜蘭縣,10002,抗雨傘節及飯匙倩蛇毒血清,2
04,宜蘭縣,10002,抗龜殼花及赤尾鮐蛇毒血清,41
04,花蓮縣,10015,抗百步蛇毒血清,6
04,花蓮縣,10015,抗雨傘節及飯匙倩蛇毒血清,3
04,花蓮縣,10015,抗龜殼花及赤尾鮐蛇毒血清,42
04,金門縣,09020,抗百步蛇毒血清,3
04,金門縣,09020,抗雨傘節及飯匙倩蛇毒血清,2
04,金門縣,09020,抗龜殼花及赤尾鮐蛇毒血清,2
04,南投縣,10008,抗百步蛇毒血清,4
04,南投縣,10008,抗雨傘節及飯匙倩蛇毒血清,5
04,南投縣,10008,抗龜殼花及赤尾鮐蛇毒血清,74
04,屏東縣,10013,抗百步蛇毒血清,4
04,屏東縣,10013,抗雨傘節及飯匙倩蛇毒血清,4
04,屏東縣,10013,抗龜殼花及赤尾鮐蛇毒血清,20
04,苗栗縣,10005,抗百步蛇毒血清,3
04,苗栗縣,10005,抗雨傘節及飯匙倩蛇毒血清,16
04,苗栗縣,10005,抗龜殼花及赤尾鮐蛇毒血清,49
04,桃園市,68000,抗百步蛇毒血清,4
04,桃園市,68000,抗雨傘節及飯匙倩蛇毒血清,29
04,桃園市,68000,抗龜殼花及赤尾鮐蛇毒血清,91
04,高雄市,64000,抗百步蛇毒血清,11
04,高雄市,64000,抗雨傘節及飯匙倩蛇毒血清,16
04,高雄市,64000,抗龜殼花及赤尾鮐蛇毒血清,101
04,基隆市,10017,抗百步蛇毒血清,1
04,基隆市,10017,抗雨傘節及飯匙倩蛇毒血清,3
04,基隆市,10017,抗龜殼花及赤尾鮐蛇毒血清,20
04,雲林縣,10009,抗雨傘節及飯匙倩蛇毒血清,6
04,雲林縣,10009,抗龜殼花及赤尾鮐蛇毒血清,20
04,新北市,65000,抗百步蛇毒血清,13
04,新北市,65000,抗雨傘節及飯匙倩蛇毒血清,7
04,新北市,65000,抗龜殼花及赤尾鮐蛇毒血清,40
04,新竹市,10018,抗雨傘節及飯匙倩蛇毒血清,1
04,新竹市,10018,抗龜殼花及赤尾鮐蛇毒血清,9
04,新竹縣,10004,抗百步蛇毒血清,3
04,新竹縣,10004,抗雨傘節及飯匙倩蛇毒血清,2
04,新竹縣,10004,抗龜殼花及赤尾鮐蛇毒血清,16
04,嘉義市,10020,抗百步蛇毒血清,2
04,嘉義市,10020,抗雨傘節及飯匙倩蛇毒血清,4
04,嘉義市,10020,抗龜殼花及赤尾鮐蛇毒血清,50
04,嘉義縣,10010,抗雨傘節及飯匙倩蛇毒血清,7
04,嘉義縣,10010,抗龜殼花及赤尾鮐蛇毒血清,7
04,彰化縣,10007,抗雨傘節及飯匙倩蛇毒血清,18
04,彰化縣,10007,抗龜殼花及赤尾鮐蛇毒血清,14
05,臺中市,10019,抗百步蛇毒血清,7
05,臺中市,10019,抗雨傘節及飯匙倩蛇毒血清,49
05,臺中市,10019,抗龜殼花及赤尾鮐蛇毒血清,144
05,臺中市,10019,抗鎖鏈蛇毒血清,2
05,臺北市,63000,抗百步蛇毒血清,10
05,臺北市,63000,抗雨傘節及飯匙倩蛇毒血清,17
05,臺北市,63000,抗龜殼花及赤尾鮐蛇毒血清,113
05,臺東縣,10014,抗雨傘節及飯匙倩蛇毒血清,14
05,臺東縣,10014,抗龜殼花及赤尾鮐蛇毒血清,57
05,臺南市,10021,抗雨傘節及飯匙倩蛇毒血清,4
05,臺南市,10021,抗龜殼花及赤尾鮐蛇毒血清,16
05,宜蘭縣,10002,抗雨傘節及飯匙倩蛇毒血清,9
05,宜蘭縣,10002,抗龜殼花及赤尾鮐蛇毒血清,61
05,花蓮縣,10015,抗雨傘節及飯匙倩蛇毒血清,11
05,花蓮縣,10015,抗龜殼花及赤尾鮐蛇毒血清,111
05,金門縣,09020,抗雨傘節及飯匙倩蛇毒血清,7
05,南投縣,10008,抗雨傘節及飯匙倩蛇毒血清,6
05,南投縣,10008,抗龜殼花及赤尾鮐蛇毒血清,42
05,屏東縣,10013,抗百步蛇毒血清,1
05,屏東縣,10013,抗雨傘節及飯匙倩蛇毒血清,23
05,屏東縣,10013,抗龜殼花及赤尾鮐蛇毒血清,58
05,苗栗縣,10005,抗百步蛇毒血清,1
05,苗栗縣,10005,抗雨傘節及飯匙倩蛇毒血清,20
05,苗栗縣,10005,抗龜殼花及赤尾鮐蛇毒血清,55
05,桃園市,68000,抗百步蛇毒血清,4
05,桃園市,68000,抗雨傘節及飯匙倩蛇毒血清,23
05,桃園市,68000,抗龜殼花及赤尾鮐蛇毒血清,20
05,高雄市,64000,抗百步蛇毒血清,11
05,高雄市,64000,抗雨傘節及飯匙倩蛇毒血清,10
05,高雄市,64000,抗龜殼花及赤尾鮐蛇毒血清,103
05,基隆市,10017,抗雨傘節及飯匙倩蛇毒血清,12
05,基隆市,10017,抗龜殼花及赤尾鮐蛇毒血清,32
05,連江縣,09007,抗龜殼花及赤尾鮐蛇毒血清,1
05,雲林縣,10009,抗雨傘節及飯匙倩蛇毒血清,27
05,雲林縣,10009,抗龜殼花及赤尾鮐蛇毒血清,46
05,新北市,65000,抗百步蛇毒血清,2
05,新北市,65000,抗雨傘節及飯匙倩蛇毒血清,22
05,新北市,65000,抗龜殼花及赤尾鮐蛇毒血清,148
05,新竹市,10018,抗雨傘節及飯匙倩蛇毒血清,6
05,新竹市,10018,抗龜殼花及赤尾鮐蛇毒血清,3
05,新竹縣,10004,抗雨傘節及飯匙倩蛇毒血清,13
05,新竹縣,10004,抗龜殼花及赤尾鮐蛇毒血清,52
05,嘉義市,10020,抗百步蛇毒血清,1
05,嘉義市,10020,抗雨傘節及飯匙倩蛇毒血清,16
05,嘉義市,10020,抗龜殼花及赤尾鮐蛇毒血清,68
05,嘉義縣,10010,抗百步蛇毒血清,6
05,嘉義縣,10010,抗雨傘節及飯匙倩蛇毒血清,15
05,嘉義縣,10010,抗龜殼花及赤尾鮐蛇毒血清,40
05,彰化縣,10007,抗雨傘節及飯匙倩蛇毒血清,36
05,彰化縣,10007,抗龜殼花及赤尾鮐蛇毒血清,15
05,澎湖縣,10016,抗雨傘節及飯匙倩蛇毒血清,5
05,澎湖縣,10016,抗龜殼花及赤尾鮐蛇毒血清,2
06,臺中市,10019,抗雨傘節及飯匙倩蛇毒血清,19
06,臺中市,10019,抗龜殼花及赤尾鮐蛇毒血清,84
06,臺北市,63000,抗百步蛇毒血清,2
06,臺北市,63000,抗雨傘節及飯匙倩蛇毒血清,17
06,臺北市,63000,抗龜殼花及赤尾鮐蛇毒血清,39
06,臺東縣,10014,抗雨傘節及飯匙倩蛇毒血清,9
06,臺東縣,10014,抗龜殼花及赤尾鮐蛇毒血清,51
06,臺南市,10021,抗雨傘節及飯匙倩蛇毒血清,30
06,臺南市,10021,抗龜殼花及赤尾鮐蛇毒血清,58
06,宜蘭縣,10002,抗雨傘節及飯匙倩蛇毒血清,4
06,宜蘭縣,10002,抗龜殼花及赤尾鮐蛇毒血清,67
06,花蓮縣,10015,抗百步蛇毒血清,7
06,花蓮縣,10015,抗雨傘節及飯匙倩蛇毒血清,11
06,花蓮縣,10015,抗龜殼花及赤尾鮐蛇毒血清,62
06,南投縣,10008,抗雨傘節及飯匙倩蛇毒血清,10
06,南投縣,10008,抗龜殼花及赤尾鮐蛇毒血清,109
06,屏東縣,10013,抗百步蛇毒血清,2
06,屏東縣,10013,抗雨傘節及飯匙倩蛇毒血清,8
06,屏東縣,10013,抗龜殼花及赤尾鮐蛇毒血清,62
06,苗栗縣,10005,抗雨傘節及飯匙倩蛇毒血清,8
06,苗栗縣,10005,抗龜殼花及赤尾鮐蛇毒血清,31
06,桃園市,68000,抗百步蛇毒血清,1
06,桃園市,68000,抗雨傘節及飯匙倩蛇毒血清,29
06,桃園市,68000,抗龜殼花及赤尾鮐蛇毒血清,77
06,高雄市,64000,抗百步蛇毒血清,1
06,高雄市,64000,抗雨傘節及飯匙倩蛇毒血清,16
06,高雄市,64000,抗龜殼花及赤尾鮐蛇毒血清,135
06,高雄市,64000,抗鎖鏈蛇毒血清,4
06,基隆市,10017,抗龜殼花及赤尾鮐蛇毒血清,24
06,連江縣,09007,抗雨傘節及飯匙倩蛇毒血清,3
06,雲林縣,10009,抗雨傘節及飯匙倩蛇毒血清,14
06,雲林縣,10009,抗龜殼花及赤尾鮐蛇毒血清,17
06,新北市,65000,抗百步蛇毒血清,1
06,新北市,65000,抗雨傘節及飯匙倩蛇毒血清,7
06,新北市,65000,抗龜殼花及赤尾鮐蛇毒血清,102
06,新竹市,10018,抗雨傘節及飯匙倩蛇毒血清,1
06,新竹市,10018,抗龜殼花及赤尾鮐蛇毒血清,6
06,新竹縣,10004,抗雨傘節及飯匙倩蛇毒血清,6
06,新竹縣,10004,抗龜殼花及赤尾鮐蛇毒血清,33
06,嘉義市,10020,抗雨傘節及飯匙倩蛇毒血清,12
06,嘉義市,10020,抗龜殼花及赤尾鮐蛇毒血清,118
06,嘉義縣,10010,抗雨傘節及飯匙倩蛇毒血清,1
06,嘉義縣,10010,抗龜殼花及赤尾鮐蛇毒血清,38
06,彰化縣,10007,抗雨傘節及飯匙倩蛇毒血清,9
06,彰化縣,10007,抗龜殼花及赤尾鮐蛇毒血清,12
07,臺中市,10019,抗百步蛇毒血清,1
07,臺中市,10019,抗雨傘節及飯匙倩蛇毒血清,78
07,臺中市,10019,抗龜殼花及赤尾鮐蛇毒血清,95
07,臺北市,63000,抗百步蛇毒血清,3
07,臺北市,63000,抗雨傘節及飯匙倩蛇毒血清,9
07,臺北市,63000,抗龜殼花及赤尾鮐蛇毒血清,62
07,臺東縣,10014,抗百步蛇毒血清,2
07,臺東縣,10014,抗雨傘節及飯匙倩蛇毒血清,8
07,臺東縣,10014,抗龜殼花及赤尾鮐蛇毒血清,34
07,臺南市,10021,抗雨傘節及飯匙倩蛇毒血清,31
07,臺南市,10021,抗龜殼花及赤尾鮐蛇毒血清,40
07,宜蘭縣,10002,抗雨傘節及飯匙倩蛇毒血清,1
07,宜蘭縣,10002,抗龜殼花及赤尾鮐蛇毒血清,57
07,花蓮縣,10015,抗百步蛇毒血清,1
07,花蓮縣,10015,抗雨傘節及飯匙倩蛇毒血清,17
07,花蓮縣,10015,抗龜殼花及赤尾鮐蛇毒血清,86
07,金門縣,09020,抗雨傘節及飯匙倩蛇毒血清,2
07,南投縣,10008,抗雨傘節及飯匙倩蛇毒血清,1
07,南投縣,10008,抗龜殼花及赤尾鮐蛇毒血清,80
07,屏東縣,10013,抗百步蛇毒血清,3
07,屏東縣,10013,抗雨傘節及飯匙倩蛇毒血清,31
07,屏東縣,10013,抗龜殼花及赤尾鮐蛇毒血清,39
07,苗栗縣,10005,抗雨傘節及飯匙倩蛇毒血清,35
07,苗栗縣,10005,抗龜殼花及赤尾鮐蛇毒血清,48
07,桃園市,68000,抗百步蛇毒血清,1
07,桃園市,68000,抗雨傘節及飯匙倩蛇毒血清,26
07,桃園市,68000,抗龜殼花及赤尾鮐蛇毒血清,47
07,高雄市,64000,抗百步蛇毒血清,3
07,高雄市,64000,抗雨傘節及飯匙倩蛇毒血清,28
07,高雄市,64000,抗龜殼花及赤尾鮐蛇毒血清,73
07,基隆市,10017,抗雨傘節及飯匙倩蛇毒血清,8
07,基隆市,10017,抗龜殼花及赤尾鮐蛇毒血清,42
07,連江縣,09007,抗雨傘節及飯匙倩蛇毒血清,5
07,雲林縣,10009,抗雨傘節及飯匙倩蛇毒血清,34
07,雲林縣,10009,抗龜殼花及赤尾鮐蛇毒血清,35
07,新北市,65000,抗百步蛇毒血清,2
07,新北市,65000,抗雨傘節及飯匙倩蛇毒血清,17
07,新北市,65000,抗龜殼花及赤尾鮐蛇毒血清,96
07,新竹市,10018,抗雨傘節及飯匙倩蛇毒血清,10
07,新竹市,10018,抗龜殼花及赤尾鮐蛇毒血清,8
07,新竹縣,10004,抗雨傘節及飯匙倩蛇毒血清,17
07,新竹縣,10004,抗龜殼花及赤尾鮐蛇毒血清,33
07,嘉義市,10020,抗百步蛇毒血清,1
07,嘉義市,10020,抗雨傘節及飯匙倩蛇毒血清,6
07,嘉義市,10020,抗龜殼花及赤尾鮐蛇毒血清,93
07,嘉義縣,10010,抗雨傘節及飯匙倩蛇毒血清,18
07,嘉義縣,10010,抗龜殼花及赤尾鮐蛇毒血清,49
07,彰化縣,10007,抗雨傘節及飯匙倩蛇毒血清,33
07,彰化縣,10007,抗龜殼花及赤尾鮐蛇毒血清,3
07,澎湖縣,10016,抗雨傘節及飯匙倩蛇毒血清,2
08,臺中市,10019,抗百步蛇毒血清,5
08,臺中市,10019,抗雨傘節及飯匙倩蛇毒血清,87
08,臺中市,10019,抗龜殼花及赤尾鮐蛇毒血清,26
08,臺北市,63000,抗百步蛇毒血清,4
08,臺北市,63000,抗雨傘節及飯匙倩蛇毒血清,15
08,臺北市,63000,抗龜殼花及赤尾鮐蛇毒血清,43
08,臺北市,63000,抗鎖鏈蛇毒血清,1
08,臺東縣,10014,抗百步蛇毒血清,6
08,臺東縣,10014,抗雨傘節及飯匙倩蛇毒血清,23
08,臺東縣,10014,抗龜殼花及赤尾鮐蛇毒血清,66
08,臺東縣,10014,抗鎖鏈蛇毒血清,1
08,臺南市,10021,抗雨傘節及飯匙倩蛇毒血清,45
08,臺南市,10021,抗龜殼花及赤尾鮐蛇毒血清,61
08,宜蘭縣,10002,抗百步蛇毒血清,1
08,宜蘭縣,10002,抗雨傘節及飯匙倩蛇毒血清,5
08,宜蘭縣,10002,抗龜殼花及赤尾鮐蛇毒血清,70
08,花蓮縣,10015,抗雨傘節及飯匙倩蛇毒血清,28
08,花蓮縣,10015,抗龜殼花及赤尾鮐蛇毒血清,88
08,金門縣,09020,抗百步蛇毒血清,2
08,金門縣,09020,抗雨傘節及飯匙倩蛇毒血清,2
08,南投縣,10008,抗百步蛇毒血清,4
08,南投縣,10008,抗雨傘節及飯匙倩蛇毒血清,6
08,南投縣,10008,抗龜殼花及赤尾鮐蛇毒血清,93
08,屏東縣,10013,抗百步蛇毒血清,1
08,屏東縣,10013,抗雨傘節及飯匙倩蛇毒血清,6
08,屏東縣,10013,抗龜殼花及赤尾鮐蛇毒血清,75
08,苗栗縣,10005,抗百步蛇毒血清,2
08,苗栗縣,10005,抗雨傘節及飯匙倩蛇毒血清,31
08,苗栗縣,10005,抗龜殼花及赤尾鮐蛇毒血清,62
08,桃園市,68000,抗百步蛇毒血清,2
08,桃園市,68000,抗雨傘節及飯匙倩蛇毒血清,109
08,桃園市,68000,抗龜殼花及赤尾鮐蛇毒血清,85
08,高雄市,64000,抗百步蛇毒血清,10
08,高雄市,64000,抗雨傘節及飯匙倩蛇毒血清,8
08,高雄市,64000,抗龜殼花及赤尾鮐蛇毒血清,83
08,基隆市,10017,抗百步蛇毒血清,1
08,基隆市,10017,抗龜殼花及赤尾鮐蛇毒血清,24
08,連江縣,09007,抗雨傘節及飯匙倩蛇毒血清,1
08,雲林縣,10009,抗雨傘節及飯匙倩蛇毒血清,39
08,雲林縣,10009,抗龜殼花及赤尾鮐蛇毒血清,29
08,新北市,65000,抗百步蛇毒血清,4
08,新北市,65000,抗雨傘節及飯匙倩蛇毒血清,12
08,新北市,65000,抗龜殼花及赤尾鮐蛇毒血清,79
08,新竹市,10018,抗雨傘節及飯匙倩蛇毒血清,26
08,新竹市,10018,抗龜殼花及赤尾鮐蛇毒血清,5
08,新竹縣,10004,抗百步蛇毒血清,2
08,新竹縣,10004,抗雨傘節及飯匙倩蛇毒血清,35
08,新竹縣,10004,抗龜殼花及赤尾鮐蛇毒血清,50
08,嘉義市,10020,抗百步蛇毒血清,3
08,嘉義市,10020,抗雨傘節及飯匙倩蛇毒血清,26
08,嘉義市,10020,抗龜殼花及赤尾鮐蛇毒血清,131
08,嘉義縣,10010,抗百步蛇毒血清,3
08,嘉義縣,10010,抗雨傘節及飯匙倩蛇毒血清,21
08,嘉義縣,10010,抗龜殼花及赤尾鮐蛇毒血清,77
08,彰化縣,10007,抗雨傘節及飯匙倩蛇毒血清,58
09,臺中市,10019,抗百步蛇毒血清,2
09,臺中市,10019,抗雨傘節及飯匙倩蛇毒血清,123
09,臺中市,10019,抗龜殼花及赤尾鮐蛇毒血清,111
09,臺北市,63000,抗百步蛇毒血清,8
09,臺北市,63000,抗雨傘節及飯匙倩蛇毒血清,42
09,臺北市,63000,抗龜殼花及赤尾鮐蛇毒血清,115
09,臺北市,63000,抗鎖鏈蛇毒血清,8
09,臺東縣,10014,抗百步蛇毒血清,1
09,臺東縣,10014,抗雨傘節及飯匙倩蛇毒血清,20
09,臺東縣,10014,抗龜殼花及赤尾鮐蛇毒血清,46
09,臺東縣,10014,抗鎖鏈蛇毒血清,1
09,臺南市,10021,抗雨傘節及飯匙倩蛇毒血清,35
09,臺南市,10021,抗龜殼花及赤尾鮐蛇毒血清,63
09,宜蘭縣,10002,抗百步蛇毒血清,1
09,宜蘭縣,10002,抗雨傘節及飯匙倩蛇毒血清,29
09,宜蘭縣,10002,抗龜殼花及赤尾鮐蛇毒血清,52
09,花蓮縣,10015,抗百步蛇毒血清,3
09,花蓮縣,10015,抗雨傘節及飯匙倩蛇毒血清,31
09,花蓮縣,10015,抗龜殼花及赤尾鮐蛇毒血清,108
09,金門縣,09020,抗百步蛇毒血清,1
09,南投縣,10008,抗雨傘節及飯匙倩蛇毒血清,7
09,南投縣,10008,抗龜殼花及赤尾鮐蛇毒血清,75
09,屏東縣,10013,抗百步蛇毒血清,3
09,屏東縣,10013,抗雨傘節及飯匙倩蛇毒血清,17
09,屏東縣,10013,抗龜殼花及赤尾鮐蛇毒血清,81
09,屏東縣,10013,抗鎖鏈蛇毒血清,4
09,苗栗縣,10005,抗百步蛇毒血清,1
09,苗栗縣,10005,抗雨傘節及飯匙倩蛇毒血清,45
09,苗栗縣,10005,抗龜殼花及赤尾鮐蛇毒血清,63
09,桃園市,68000,抗百步蛇毒血清,8
09,桃園市,68000,抗雨傘節及飯匙倩蛇毒血清,47
09,桃園市,68000,抗龜殼花及赤尾鮐蛇毒血清,36
09,高雄市,64000,抗百步蛇毒血清,6
09,高雄市,64000,抗雨傘節及飯匙倩蛇毒血清,28
09,高雄市,64000,抗龜殼花及赤尾鮐蛇毒血清,126
09,基隆市,10017,抗百步蛇毒血清,1
09,基隆市,10017,抗雨傘節及飯匙倩蛇毒血清,2
09,基隆市,10017,抗龜殼花及赤尾鮐蛇毒血清,46
09,連江縣,09007,抗雨傘節及飯匙倩蛇毒血清,4
09,雲林縣,10009,抗雨傘節及飯匙倩蛇毒血清,19
09,雲林縣,10009,抗龜殼花及赤尾鮐蛇毒血清,25
09,新北市,65000,抗百步蛇毒血清,2
09,新北市,65000,抗雨傘節及飯匙倩蛇毒血清,24
