確定病名,死亡年份,死亡月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,死亡病例數
嚴重特殊傳染性肺炎,2023,3,新竹縣,湖口鄉,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,3,宜蘭縣,宜蘭市,M,否,70+,1
嚴重特殊傳染性肺炎,2023,3,苗栗縣,苗栗市,M,否,70+,1
嚴重特殊傳染性肺炎,2023,3,苗栗縣,後龍鎮,F,否,70+,1
嚴重特殊傳染性肺炎,2023,3,彰化縣,彰化市,F,否,70+,1
嚴重特殊傳染性肺炎,2023,3,彰化縣,員林市,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,3,彰化縣,芳苑鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,3,南投縣,名間鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,3,南投縣,魚池鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,3,雲林縣,斗六市,M,否,70+,1
嚴重特殊傳染性肺炎,2023,3,雲林縣,斗南鎮,F,否,70+,1
嚴重特殊傳染性肺炎,2023,3,嘉義縣,大林鎮,M,否,70+,1
嚴重特殊傳染性肺炎,2023,3,嘉義縣,民雄鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,3,屏東縣,萬巒鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台北市,松山區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台北市,松山區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台北市,大安區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台北市,大安區,M,否,70+,5
嚴重特殊傳染性肺炎,2023,4,台北市,大同區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台北市,大同區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台北市,中山區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台北市,中山區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台北市,內湖區,M,否,70+,3
嚴重特殊傳染性肺炎,2023,4,台北市,南港區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台北市,南港區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,4,台北市,士林區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台北市,北投區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台北市,中正區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台北市,中正區,M,否,70+,3
嚴重特殊傳染性肺炎,2023,4,台北市,萬華區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台北市,萬華區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台北市,文山區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台中市,豐原區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,4,台中市,豐原區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,4,台中市,豐原區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台中市,東勢區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,4,台中市,東勢區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台中市,大甲區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,4,台中市,清水區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台中市,清水區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台中市,沙鹿區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台中市,神岡區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,4,台中市,神岡區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台中市,外埔區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,4,台中市,烏日區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台中市,霧峰區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,4,台中市,太平區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,4,台中市,太平區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台中市,太平區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台中市,大里區,F,否,50-54,1
嚴重特殊傳染性肺炎,2023,4,台中市,大里區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,4,台中市,中區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台中市,東區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台中市,南區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台中市,北區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台中市,西屯區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台中市,西屯區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台中市,南屯區,M,否,70+,6
嚴重特殊傳染性肺炎,2023,4,台中市,北屯區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台中市,北屯區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,4,台南市,新營區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台南市,鹽水區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台南市,白河區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台南市,麻豆區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台南市,佳里區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台南市,新化區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台南市,新化區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台南市,東山區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,4,台南市,新市區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,4,台南市,安定區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,4,台南市,山上區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台南市,仁德區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台南市,歸仁區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台南市,關廟區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,4,台南市,關廟區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台南市,永康區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,4,台南市,永康區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,4,台南市,東區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台南市,東區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,4,台南市,南區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,4,台南市,北區,F,否,70+,5
嚴重特殊傳染性肺炎,2023,4,台南市,北區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台南市,安南區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台南市,安平區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,4,高雄市,鳳山區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,4,高雄市,鳳山區,M,否,70+,5
嚴重特殊傳染性肺炎,2023,4,高雄市,岡山區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,高雄市,旗山區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,高雄市,美濃區,F,否,15-19,1
嚴重特殊傳染性肺炎,2023,4,高雄市,林園區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,高雄市,大寮區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,高雄市,仁武區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,高雄市,路竹區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,高雄市,梓官區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,高雄市,六龜區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,高雄市,杉林區,M,否,50-54,1
嚴重特殊傳染性肺炎,2023,4,高雄市,那瑪夏區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,高雄市,鹽埕區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,高雄市,鼓山區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,高雄市,鼓山區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,高雄市,左營區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,高雄市,楠梓區,M,否,40-44,1
嚴重特殊傳染性肺炎,2023,4,高雄市,楠梓區,F,否,45-49,1
嚴重特殊傳染性肺炎,2023,4,高雄市,三民區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,4,高雄市,三民區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,高雄市,新興區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,4,高雄市,新興區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,高雄市,苓雅區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,4,高雄市,苓雅區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,高雄市,前鎮區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,高雄市,小港區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,4,基隆市,中正區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,基隆市,七堵區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,基隆市,七堵區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,基隆市,仁愛區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,基隆市,中山區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,新竹市,東區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,4,新竹市,東區,M,否,70+,3
嚴重特殊傳染性肺炎,2023,4,新竹市,北區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,嘉義市,東區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,4,嘉義市,東區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,4,嘉義市,西區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,4,嘉義市,西區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,4,嘉義市,西區,F,否,70+,4
嚴重特殊傳染性肺炎,2023,4,嘉義市,西區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,新北市,板橋區,M,否,40-44,1
嚴重特殊傳染性肺炎,2023,4,新北市,板橋區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,4,新北市,板橋區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,新北市,三重區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,4,新北市,三重區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,4,新北市,三重區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,4,新北市,永和區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,新北市,中和區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,4,新北市,中和區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,4,新北市,中和區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,4,新北市,中和區,M,否,70+,3
嚴重特殊傳染性肺炎,2023,4,新北市,新店區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,新北市,新店區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,新北市,新莊區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,新北市,新莊區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,新北市,鶯歌區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,新北市,鶯歌區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,新北市,三峽區,M,否,70+,4
嚴重特殊傳染性肺炎,2023,4,新北市,淡水區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,4,新北市,淡水區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,4,新北市,汐止區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,新北市,汐止區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,新北市,瑞芳區,M,否,50-54,1
嚴重特殊傳染性肺炎,2023,4,新北市,土城區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,4,新北市,土城區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,4,新北市,蘆洲區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,新北市,泰山區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,4,新北市,泰山區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,新北市,深坑區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,新北市,三芝區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,新北市,三芝區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,新北市,石門區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,新北市,金山區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,桃園市,桃園區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,4,桃園市,桃園區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,4,桃園市,桃園區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,4,桃園市,桃園區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,4,桃園市,桃園區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,4,桃園市,中壢區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,桃園市,中壢區,M,否,70+,3
嚴重特殊傳染性肺炎,2023,4,桃園市,楊梅區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,桃園市,蘆竹區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,4,桃園市,蘆竹區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,4,桃園市,大園區,M,否,50-54,1
嚴重特殊傳染性肺炎,2023,4,桃園市,大園區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,桃園市,龜山區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,桃園市,八德區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,桃園市,八德區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,4,桃園市,平鎮區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,桃園市,新屋區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,桃園市,觀音區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,新竹縣,竹東鎮,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,新竹縣,竹北市,F,否,70+,3
嚴重特殊傳染性肺炎,2023,4,新竹縣,湖口鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,新竹縣,湖口鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,新竹縣,新豐鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,新竹縣,新豐鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,新竹縣,尖石鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,宜蘭縣,宜蘭市,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,宜蘭縣,羅東鎮,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,宜蘭縣,蘇澳鎮,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,4,宜蘭縣,蘇澳鎮,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,宜蘭縣,礁溪鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,宜蘭縣,員山鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,宜蘭縣,冬山鄉,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,4,宜蘭縣,冬山鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,宜蘭縣,冬山鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,宜蘭縣,五結鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,宜蘭縣,三星鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,苗栗縣,苗栗市,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,苗栗縣,通霄鎮,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,苗栗縣,竹南鎮,M,否,70+,2
嚴重特殊傳染性肺炎,2023,4,苗栗縣,後龍鎮,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,4,苗栗縣,公館鄉,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,4,彰化縣,彰化市,F,否,50-54,1
嚴重特殊傳染性肺炎,2023,4,彰化縣,彰化市,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,4,彰化縣,彰化市,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,4,彰化縣,彰化市,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,彰化縣,鹿港鎮,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,4,彰化縣,鹿港鎮,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,彰化縣,和美鎮,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,4,彰化縣,員林市,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,4,彰化縣,溪湖鎮,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,彰化縣,溪湖鎮,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,彰化縣,二林鎮,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,彰化縣,福興鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,彰化縣,秀水鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,彰化縣,花壇鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,彰化縣,埔鹽鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,彰化縣,埔心鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,彰化縣,永靖鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,彰化縣,溪州鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,南投縣,南投市,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,南投縣,埔里鎮,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,4,南投縣,埔里鎮,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,南投縣,埔里鎮,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,南投縣,竹山鎮,M,否,70+,2
嚴重特殊傳染性肺炎,2023,4,南投縣,國姓鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,南投縣,仁愛鄉,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,4,雲林縣,斗六市,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,雲林縣,虎尾鎮,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,雲林縣,西螺鎮,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,雲林縣,北港鎮,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,4,雲林縣,古坑鄉,F,否,70+,2
嚴重特殊傳染性肺炎,2023,4,雲林縣,二崙鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,雲林縣,褒忠鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,雲林縣,台西鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,雲林縣,元長鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,嘉義縣,民雄鄉,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,4,嘉義縣,民雄鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,嘉義縣,義竹鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,嘉義縣,竹崎鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,屏東縣,屏東市,F,否,40-44,1
嚴重特殊傳染性肺炎,2023,4,屏東縣,屏東市,M,否,40-44,1
嚴重特殊傳染性肺炎,2023,4,屏東縣,屏東市,F,否,70+,2
嚴重特殊傳染性肺炎,2023,4,屏東縣,屏東市,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,屏東縣,潮州鎮,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,屏東縣,恆春鎮,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,4,屏東縣,萬丹鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,屏東縣,鹽埔鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,屏東縣,內埔鄉,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,4,屏東縣,內埔鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,屏東縣,竹田鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,屏東縣,佳冬鄉,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,4,澎湖縣,馬公市,F,否,50-54,1
嚴重特殊傳染性肺炎,2023,4,澎湖縣,馬公市,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,澎湖縣,望安鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,花蓮縣,花蓮市,F,否,70+,1
嚴重特殊傳染性肺炎,2023,4,花蓮縣,吉安鄉,F,否,70+,2
嚴重特殊傳染性肺炎,2023,4,花蓮縣,豐濱鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,4,台東縣,台東市,F,否,70+,2
嚴重特殊傳染性肺炎,2023,4,台東縣,台東市,M,否,70+,1
嚴重特殊傳染性肺炎,2023,5,台北市,松山區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,5,台北市,松山區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,5,台北市,大安區,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,5,台北市,大安區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,5,台北市,大安區,M,否,70+,4
嚴重特殊傳染性肺炎,2023,5,台北市,大同區,M,否,70+,5
嚴重特殊傳染性肺炎,2023,5,台北市,中山區,F,否,70+,7
嚴重特殊傳染性肺炎,2023,5,台北市,中山區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,5,台北市,內湖區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,5,台北市,內湖區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,5,台北市,內湖區,M,否,70+,6
嚴重特殊傳染性肺炎,2023,5,台北市,南港區,M,否,50-54,1
嚴重特殊傳染性肺炎,2023,5,台北市,南港區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,5,台北市,南港區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,5,台北市,士林區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,5,台北市,士林區,F,否,70+,6
嚴重特殊傳染性肺炎,2023,5,台北市,士林區,M,否,70+,4
嚴重特殊傳染性肺炎,2023,5,台北市,北投區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,5,台北市,北投區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,5,台北市,北投區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,5,台北市,北投區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,5,台北市,北投區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,5,台北市,信義區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,5,台北市,信義區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,5,台北市,中正區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,5,台北市,中正區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,5,台北市,萬華區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,5,台北市,文山區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,5,台北市,文山區,M,否,70+,5
嚴重特殊傳染性肺炎,2023,5,台中市,豐原區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,5,台中市,豐原區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,5,台中市,東勢區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,5,台中市,大甲區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,5,台中市,大甲區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,5,台中市,清水區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,5,台中市,清水區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,5,台中市,清水區,M,否,70+,4
嚴重特殊傳染性肺炎,2023,5,台中市,沙鹿區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,5,台中市,梧棲區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,5,台中市,神岡區,M,否,70+,1
